time,x,y,bs,pv,npv,ue,spatial_ref
1987-09-14 00:33:52.106431,127455.0,-2399025.0,36.0,16.0,47.0,12.0,3577
1987-09-14 00:33:52.106431,127485.0,-2399025.0,35.0,11.0,53.0,12.0,3577
1987-09-14 00:33:52.106431,127515.0,-2399025.0,36.0,14.0,49.0,12.0,3577
1987-09-14 00:33:52.106431,127545.0,-2399025.0,40.0,16.0,43.0,11.0,3577
1987-09-14 00:33:52.106431,127575.0,-2399025.0,39.0,15.0,45.0,10.0,3577
1987-09-14 00:33:52.106431,127605.0,-2399025.0,38.0,17.0,43.0,10.0,3577
1987-09-14 00:33:52.106431,127635.0,-2399025.0,40.0,16.0,43.0,10.0,3577
1987-09-14 00:33:52.106431,127455.0,-2399055.0,34.0,16.0,49.0,12.0,3577
1987-09-14 00:33:52.106431,127485.0,-2399055.0,29.0,15.0,55.0,12.0,3577
1987-09-14 00:33:52.106431,127515.0,-2399055.0,36.0,13.0,49.0,11.0,3577
1987-09-14 00:33:52.106431,127545.0,-2399055.0,38.0,13.0,47.0,11.0,3577
1987-09-14 00:33:52.106431,127575.0,-2399055.0,40.0,14.0,45.0,11.0,3577
1987-09-14 00:33:52.106431,127605.0,-2399055.0,29.0,19.0,51.0,12.0,3577
1987-09-14 00:33:52.106431,127635.0,-2399055.0,37.0,14.0,48.0,10.0,3577
1987-09-14 00:33:52.106431,127455.0,-2399085.0,34.0,17.0,48.0,11.0,3577
1987-09-14 00:33:52.106431,127485.0,-2399085.0,39.0,15.0,45.0,11.0,3577
1987-09-14 00:33:52.106431,127515.0,-2399085.0,43.0,12.0,44.0,10.0,3577
1987-09-14 00:33:52.106431,127545.0,-2399085.0,33.0,15.0,51.0,11.0,3577
1987-09-14 00:33:52.106431,127575.0,-2399085.0,33.0,16.0,50.0,13.0,3577
1987-09-14 00:33:52.106431,127605.0,-2399085.0,34.0,16.0,49.0,12.0,3577
1987-09-14 00:33:52.106431,127635.0,-2399085.0,44.0,11.0,43.0,10.0,3577
1987-09-14 00:33:52.106431,127455.0,-2399115.0,44.0,16.0,39.0,10.0,3577
1987-09-14 00:33:52.106431,127485.0,-2399115.0,44.0,15.0,39.0,9.0,3577
1987-09-14 00:33:52.106431,127515.0,-2399115.0,43.0,15.0,41.0,9.0,3577
1987-09-14 00:33:52.106431,127545.0,-2399115.0,38.0,12.0,49.0,10.0,3577
1987-09-14 00:33:52.106431,127575.0,-2399115.0,37.0,15.0,47.0,11.0,3577
1987-09-14 00:33:52.106431,127605.0,-2399115.0,41.0,15.0,42.0,10.0,3577
1987-09-14 00:33:52.106431,127635.0,-2399115.0,45.0,12.0,42.0,9.0,3577
1987-09-14 00:33:52.106431,127455.0,-2399145.0,38.0,13.0,48.0,9.0,3577
