date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,124,1.8103975535168195,62.75868055555556,34.26246588935748,0,0,2,3,4,58,61,63,65,68,30,32,34,36,38,
1988-02,84,,,,,,,,,,,,,,,,,,,
1988-03,18,,,,,,,,,,,,,,,,,,,
1988-04,217,1.4790131368151234,66.88045634920636,30.90451388888889,0,0,1,3,3,61,65,67,69,72,26,28,31,33,36,
1988-05,57,,,,,,,,,,,,,,,,,,,
1988-06,47,,,,,,,,,,,,,,,,,,,
1988-07,112,1.6933091129276416,68.64409722222223,28.722084367245657,0,0,2,3,4,64,66,69,71,73,24,27,29,31,33,
1988-08,97,,,,,,,,,,,,,,,,,,,
1988-09,116,,,,,,,,,,,,,,,,,,,
1988-10,24,3.0463904738278345,55.52552031714569,39.81606346058503,0,1,3,5,8,49,53,56,58,60,36,38,40,42,44,
1988-11,64,,,,,,,,,,,,,,,,,,,
1988-12,170,,,,,,,,,,,,,,,,,,,
1989-01,84,1.8060941828254848,63.99380267724343,32.87360594795539,0,0,2,3,4,59,61,64,67,69,28,30,33,35,37,
1989-02,42,,,,,,,,,,,,,,,,,,,
1989-03,83,,,,,,,,,,,,,,,,,,,
1989-04,204,,,,,,,,,,,,,,,,,,,
1989-05,90,,,,,,,,,,,,,,,,,,,
1989-06,117,,,,,,,,,,,,,,,,,,,
1989-07,149,1.38125,59.78199404761905,38.220238095238095,0,0,1,2,3,53,56,61,63,65,33,35,38,42,45,
1989-08,17,,,,,,,,,,,,,,,,,,,
1989-09,1,,,,,,,,,,,,,,,,,,,
1989-10,12,4.548303548303548,50.62162162162162,43.42364898363907,0,1,3,8,12,41,44,51,56,59,38,40,43,47,49,
1989-11,164,,,,,,,,,,,,,,,,,,,
1989-12,58,,,,,,,,,,,,,,,,,,,
1990-01,22,3.908792319353209,54.44381046886629,40.15649801587302,0,2,4,6,9,48,51,54,58,61,36,38,40,42,44,
1990-02,106,,,,,,,,,,,,,,,,,,,
1990-03,13,,,,,,,,,,,,,,,,,,,
1990-04,268,1.6379310344827587,67.3971719176383,30.190523443314316,0,0,2,3,4,59,65,68,71,73,25,27,30,33,36,
1990-05,155,,,,,,,,,,,,,,,,,,,
1990-06,59,,,,,,,,,,,,,,,,,,,
1990-07,163,1.2447935696017538,71.81473214285714,26.36022840119166,0,0,1,2,3,66,68,71,75,81,16,24,27,30,32,
1990-08,71,,,,,,,,,,,,,,,,,,,
1990-09,59,,,,,,,,,,,,,,,,,,,
1990-10,65,3.8608673853096014,53.73313492063492,40.79127416955875,0,1,3,5,12,47,50,54,57,59,37,39,41,43,45,
1990-11,13,,,,,,,,,,,,,,,,,,,
1990-12,55,,,,,,,,,,,,,,,,,,,
1991-01,181,2.1355104139881718,58.64037698412698,37.59796626984127,0,1,2,4,4,53,55,59,62,64,33,35,37,41,43,
1991-02,134,,,,,,,,,,,,,,,,,,,
1991-03,73,,,,,,,,,,,,,,,,,,,
1991-04,1,1.5527777777777778,67.26506322836597,29.94197867592363,0,0,2,3,3,63,65,67,69,71,26,28,30,32,34,
1991-05,227,,,,,,,,,,,,,,,,,,,
1991-06,79,,,,,,,,,,,,,,,,,,,
1991-07,91,1.4153846153846155,65.94665012406948,32.13895781637717,0,0,1,2,3,58,63,66,69,71,27,30,32,35,39,
1991-08,0,,,,,,,,,,,,,,,,,,,
1991-09,31,,,,,,,,,,,,,,,,,,,
1991-10,49,3.841557153483759,50.700322500620196,43.78521825396825,1,2,4,5,8,43,47,51,54,57,38,41,44,47,48,
1991-11,81,,,,,,,,,,,,,,,,,,,
1991-12,203,,,,,,,,,,,,,,,,,,,
1992-01,22,3.4621869575998017,55.15203373015873,39.37599206349206,0,1,3,5,8,50,53,55,57,61,35,38,40,41,43,
1992-02,216,,,,,,,,,,,,,,,,,,,
1992-03,11,,,,,,,,,,,,,,,,,,,
1992-04,64,1.5562422744128555,66.38864087301587,30.960069444444443,0,0,2,3,4,62,64,66,69,73,25,29,31,34,35,
1992-05,41,,,,,,,,,,,,,,,,,,,
1992-06,20,,,,,,,,,,,,,,,,,,,
1992-07,61,1.7263282873256158,67.24175551698488,30.151177199504335,0,0,2,3,4,60,63,68,71,73,25,27,30,34,37,
1992-08,106,,,,,,,,,,,,,,,,,,,
1992-09,36,,,,,,,,,,,,,,,,,,,
1992-10,80,3.202776400594943,55.195091720376794,39.97271825396825,1,2,3,5,6,50,53,56,58,60,35,37,40,42,45,
1992-11,170,,,,,,,,,,,,,,,,,,,
1992-12,92,,,,,,,,,,,,,,,,,,,
1993-01,130,1.86897152818129,67.1610022326966,29.58074919374845,0,0,2,3,4,61,63,68,71,73,24,26,29,33,35,
1993-02,80,,,,,,,,,,,,,,,,,,,
1993-03,19,,,,,,,,,,,,,,,,,,,
1993-04,0,1.5561365733620425,70.64055528011899,26.897842796925367,0,0,2,3,3,66,68,71,73,75,23,25,27,29,31,
1993-05,57,,,,,,,,,,,,,,,,,,,
1993-06,124,,,,,,,,,,,,,,,,,,,
1993-07,155,1.5782836050446016,70.12992809323084,27.321269211700546,0,0,2,3,4,66,67,70,73,75,22,25,28,30,32,
1993-08,53,,,,,,,,,,,,,,,,,,,
1993-09,116,,,,,,,,,,,,,,,,,,,
1993-10,138,2.3413522410736896,59.34159643034209,37.0138854450781,0,1,2,4,5,55,57,59,62,65,32,35,37,39,41,
1993-11,53,,,,,,,,,,,,,,,,,,,
1993-12,80,,,,,,,,,,,,,,,,,,,
1994-01,51,1.560281517747858,64.09000743863129,33.18770146293082,0,0,2,3,3,60,62,64,66,69,28,31,33,35,37,
1994-02,103,,,,,,,,,,,,,,,,,,,
1994-03,129,,,,,,,,,,,,,,,,,,,
1994-04,19,1.6118321762752792,67.51004215224398,29.959345562716905,0,0,2,3,4,62,64,68,70,73,25,27,30,33,35,
1994-05,10,,,,,,,,,,,,,,,,,,,
1994-06,27,,,,,,,,,,,,,,,,,,,
1994-07,15,1.4710097719869706,65.39003223406893,32.346554288547345,0,0,1,3,3,59,62,65,69,72,26,29,33,36,38,
1994-08,36,,,,,,,,,,,,,,,,,,,
1994-09,11,,,,,,,,,,,,,,,,,,,
1994-10,38,2.2089276281035395,56.38284155715348,39.94049094966526,0,1,2,4,5,51,53,56,60,63,34,37,41,43,45,
1994-11,67,,,,,,,,,,,,,,,,,,,
1994-12,59,,,,,,,,,,,,,,,,,,,
1995-01,284,7.5798698047070605,60.29739776951673,30.696331184928113,1,3,8,12,14,54,57,60,63,67,25,27,30,34,38,
1995-02,63,,,,,,,,,,,,,,,,,,,
1995-03,13,,,,,,,,,,,,,,,,,,,
1995-04,1,1.4160241367750586,66.46926127912742,31.361021572030747,0,0,1,2,3,60,63,66,71,72,25,28,32,35,37,
1995-05,96,,,,,,,,,,,,,,,,,,,
1995-06,106,,,,,,,,,,,,,,,,,,,
1995-07,28,1.7591327591327592,62.136160714285715,35.229032258064514,0,0,2,3,4,55,58,62,67,71,27,31,36,39,42,
1995-08,1,,,,,,,,,,,,,,,,,,,
1995-09,101,,,,,,,,,,,,,,,,,,,
1995-10,82,2.1769981535214984,56.926889714993806,39.54362915220625,0,1,2,4,5,49,53,57,61,65,32,37,39,43,46,
1995-11,228,,,,,,,,,,,,,,,,,,,
1995-12,90,,,,,,,,,,,,,,,,,,,
1996-01,238,1.7171145685997171,65.7089737233515,31.63163113534953,0,0,2,3,4,61,63,65,69,71,26,28,32,35,37,
1996-02,53,,,,,,,,,,,,,,,,,,,
1996-03,2,,,,,,,,,,,,,,,,,,,
1996-04,14,1.4362304362304363,71.3976680724386,26.57302256384825,0,0,1,2,3,64,69,72,74,77,21,24,27,29,33,
1996-05,104,,,,,,,,,,,,,,,,,,,
1996-06,77,,,,,,,,,,,,,,,,,,,
1996-07,132,1.406705045716221,72.38467261904762,25.4275092936803,0,0,1,2,3,63,66,72,79,84,15,20,26,31,34,
1996-08,110,,,,,,,,,,,,,,,,,,,
1996-09,84,,,,,,,,,,,,,,,,,,,
1996-10,46,1.5285182889026658,63.729977684106125,33.74690133862172,0,0,1,3,3,58,61,64,66,68,30,31,34,36,39,
1996-11,67,,,,,,,,,,,,,,,,,,,
1996-12,235,,,,,,,,,,,,,,,,,,,
1997-01,259,1.4792713567839195,72.06079404466502,25.618303571428573,0,0,1,3,3,68,70,72,74,77,21,23,26,28,30,
1997-02,183,,,,,,,,,,,,,,,,,,,
1997-03,76,,,,,,,,,,,,,,,,,,,
1997-04,1,1.4369443529799144,74.57649392511777,23.310019841269842,0,0,1,3,3,69,72,75,77,79,19,21,23,25,28,
1997-05,88,,,,,,,,,,,,,,,,,,,
1997-06,39,,,,,,,,,,,,,,,,,,,
1997-07,30,1.575007638252368,68.93432465923172,28.723530870319863,0,0,2,3,4,61,64,69,73,78,20,25,29,33,36,
1997-08,21,,,,,,,,,,,,,,,,,,,
1997-09,114,,,,,,,,,,,,,,,,,,,
1997-10,117,1.9500268672756582,64.20570012391573,32.52888668484999,0,1,2,3,4,60,62,64,66,68,30,31,32,34,36,
1997-11,56,,,,,,,,,,,,,,,,,,,
1997-12,185,,,,,,,,,,,,,,,,,,,
1998-01,63,1.3663967611336032,70.49776785714286,27.209025539300768,0,0,1,2,3,67,69,71,72,74,24,25,27,29,31,
1998-02,144,,,,,,,,,,,,,,,,,,,
1998-03,10,,,,,,,,,,,,,,,,,,,
1998-04,99,1.3968413978494623,72.78934324659232,24.854486861675756,0,0,1,2,3,67,70,73,75,78,21,23,25,27,29,
1998-05,74,,,,,,,,,,,,,,,,,,,
1998-06,133,,,,,,,,,,,,,,,,,,,
1998-07,212,1.36227442969016,72.85416666666667,25.172456575682382,0,0,1,2,3,68,70,73,76,78,20,23,25,28,30,
1998-08,162,,,,,,,,,,,,,,,,,,,
1998-09,215,,,,,,,,,,,,,,,,,,,
1998-10,124,1.8594594594594596,61.173277144273676,35.32258864368956,0,0,2,3,4,56,59,61,63,65,32,33,35,37,39,
1998-11,92,,,,,,,,,,,,,,,,,,,
1998-12,21,,,,,,,,,,,,,,,,,,,
1999-01,89,1.6835331968411815,68.5493306891423,28.81184928111056,0,0,2,3,4,64,66,69,71,73,25,26,29,31,33,
1999-02,78,,,,,,,,,,,,,,,,,,,
1999-03,86,,,,,,,,,,,,,,,,,,,
1999-04,91,1.324567474048443,74.46096654275092,23.463444857496903,0,0,1,2,3,68,72,75,77,79,19,21,23,26,29,
1999-05,5,,,,,,,,,,,,,,,,,,,
1999-06,101,,,,,,,,,,,,,,,,,,,
1999-07,62,1.4572538860103628,71.50557620817844,26.33085501858736,0,0,1,3,3,66,69,72,74,76,22,24,26,29,32,
1999-08,84,,,,,,,,,,,,,,,,,,,
1999-09,38,,,,,,,,,,,,,,,,,,,
1999-10,193,1.5307262569832403,64.88296553434168,32.59037937019588,0,0,1,3,3,61,63,65,67,69,29,31,33,34,36,
1999-11,137,,,,,,,,,,,,,,,,,,,
1999-12,89,,,,,,,,,,,,,,,,,,,
2000-01,40,1.403560830860534,71.67443590379371,26.247831474597273,0,0,1,3,3,68,70,72,74,75,23,25,26,28,29,
2000-02,56,,,,,,,,,,,,,,,,,,,
2000-03,157,,,,,,,,,,,,,,,,,,,
2000-04,23,1.220414201183432,74.35515873015873,23.789043133366384,0,0,1,2,3,69,72,74,77,79,19,21,24,27,29,
2000-05,52,,,,,,,,,,,,,,,,,,,
2000-06,30,,,,,,,,,,,,,,,,,,,
2000-07,76,1.439374185136897,75.1410860401686,22.412596082320853,0,0,1,3,3,70,72,75,78,81,17,20,23,25,27,
2000-08,56,,,,,,,,,,,,,,,,,,,
2000-09,16,,,,,,,,,,,,,,,,,,,
