date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,46,3.825924075924076,53.324506620034974,41.558360409897524,1,2,4,5,7,49,51,53,56,58,38,40,41,43,45,
1988-02,15,,,,,,,,,,,,,,,,,,,
1988-03,50,,,,,,,,,,,,,,,,,,,
1988-04,102,,,,,,,,,,,,,,,,,,,
1988-05,35,,,,,,,,,,,,,,,,,,,
1988-06,74,,,,,,,,,,,,,,,,,,,
1988-07,95,,,,,,,,,,,,,,,,,,,
1988-08,39,,,,,,,,,,,,,,,,,,,
1988-09,59,,,,,,,,,,,,,,,,,,,
1988-10,14,,,,,,,,,,,,,,,,,,,
1988-11,68,,,,,,,,,,,,,,,,,,,
1988-12,179,,,,,,,,,,,,,,,,,,,
1989-01,42,1.4437086092715232,70.59860034991252,27.234308577144287,0,0,1,3,3,61,66,71,76,78,21,22,26,32,36,
1989-02,10,,,,,,,,,,,,,,,,,,,
1989-03,52,,,,,,,,,,,,,,,,,,,
1989-04,164,,,,,,,,,,,,,,,,,,,
1989-05,95,,,,,,,,,,,,,,,,,,,
1989-06,78,,,,,,,,,,,,,,,,,,,
1989-07,91,,,,,,,,,,,,,,,,,,,
1989-08,33,,,,,,,,,,,,,,,,,,,
1989-09,9,,,,,,,,,,,,,,,,,,,
1989-10,34,1.4659383033419022,64.67400881057269,32.55729676787463,0,0,1,3,3,59,62,64,68,70,28,30,32,35,37,
1989-11,37,,,,,,,,,,,,,,,,,,,
1989-12,37,,,,,,,,,,,,,,,,,,,
1990-01,48,,,,,,,,,,,,,,,,,,,
1990-02,47,,,,,,,,,,,,,,,,,,,
1990-03,38,,,,,,,,,,,,,,,,,,,
1990-04,370,1.1596153846153847,68.07240948813983,30.19495756365452,0,0,1,2,3,62,64,68,72,75,24,26,30,34,36,
1990-05,65,,,,,,,,,,,,,,,,,,,
1990-06,38,,,,,,,,,,,,,,,,,,,
1990-07,114,,,,,,,,,,,,,,,,,,,
1990-08,89,,,,,,,,,,,,,,,,,,,
1990-09,32,,,,,,,,,,,,,,,,,,,
1990-10,36,1.4159525379037574,63.3935532233883,34.28228828378716,0,0,1,3,3,60,61,63,66,68,30,32,34,36,38,
1990-11,17,,,,,,,,,,,,,,,,,,,
1990-12,22,,,,,,,,,,,,,,,,,,,
1991-01,55,1.97551237689646,62.60734816295926,34.15384615384615,0,1,2,3,4,53,58,63,67,70,27,30,34,39,43,
