"","vapourpres_h09","time"
"170",10.45703125,1980-06-18
"171",8.2265625,1980-06-19
"172",8.2265625,1980-06-20
"173",9.63671875,1980-06-21
"174",7.7265625,1980-06-22
"175",7.7568359375,1980-06-23
"176",6.27734375,1980-06-24
"177",6.1767578125,1980-06-25
"178",12.6767578125,1980-06-26
"179",10.45703125,1980-06-27
"180",9.2265625,1980-06-28
"181",10.0771484375,1980-06-29
"182",7.4365234375,1980-06-30
"183",11.943359375,1980-07-01
"184",12.9931640625,1980-07-02
"185",13.1728515625,1980-07-03
"186",11.943359375,1980-07-04
"187",10.623046875,1980-07-05
"188",11.4326171875,1980-07-06
"189",11.0927734375,1980-07-07
"190",9.3828125,1980-07-08
"191",8.5732421875,1980-07-09
"192",7.642578125,1980-07-10
"193",6.453125,1980-07-11
"194",5.7734375,1980-07-12
"195",12.36328125,1980-07-13
"196",8.703125,1980-07-14
"197",11.0029296875,1980-07-15
"198",8.4833984375,1980-07-16
"199",9.642578125,1980-07-17
"200",9.5126953125,1980-07-18
"201",6.7333984375,1980-07-19
"202",7.5634765625,1980-07-20
"203",8.5927734375,1980-07-21
"204",10.392578125,1980-07-22
"205",8.2333984375,1980-07-23
"206",7.2431640625,1980-07-24
"207",6.2626953125,1980-07-25
"208",9.443359375,1980-07-26
"209",12.533203125,1980-07-27
"210",8.0126953125,1980-07-28
"211",9.8427734375,1980-07-29
"212",9.5634765625,1980-07-30
"213",8.86328125,1980-07-31
"214",6.6171875,1980-08-01
"215",9.6171875,1980-08-02
"216",7.306640625,1980-08-03
"217",6.02734375,1980-08-04
"218",5.0166015625,1980-08-05
"219",3.5869140625,1980-08-06
"220",9.056640625,1980-08-07
"221",8.0771484375,1980-08-08
"222",6.4072265625,1980-08-09
"223",5.3671875,1980-08-10
"224",9.8369140625,1980-08-11
"225",7.8173828125,1980-08-12
"226",8.3466796875,1980-08-13
"227",6.296875,1980-08-14
"228",7.2470703125,1980-08-15
"229",6.1865234375,1980-08-16
"230",4.197265625,1980-08-17
"231",3.7265625,1980-08-18
"232",8.88671875,1980-08-19
"233",7.9873046875,1980-08-20
"234",8.607421875,1980-08-21
"235",4.1669921875,1980-08-22
"236",10.1865234375,1980-08-23
"237",10.8466796875,1980-08-24
"238",8.6669921875,1980-08-25
"239",7.1865234375,1980-08-26
"240",5.4970703125,1980-08-27
"241",8.5869140625,1980-08-28
"242",6.357421875,1980-08-29
"243",3.357421875,1980-08-30
"244",8.4873046875,1980-08-31
"245",7.3505859375,1980-09-01
"246",10.291015625,1980-09-02
"247",6.951171875,1980-09-03
"248",5.060546875,1980-09-04
"249",9.970703125,1980-09-05
"250",6.630859375,1980-09-06
"251",5.6513671875,1980-09-07
"252",3.201171875,1980-09-08
"253",6.541015625,1980-09-09
"254",9.5908203125,1980-09-10
"255",6.2109375,1980-09-11
"256",8.8310546875,1980-09-12
"257",6.03125,1980-09-13
"258",4.130859375,1980-09-14
"259",7.0810546875,1980-09-15
"260",4.69140625,1980-09-16
"261",7.6708984375,1980-09-17
"262",9.2509765625,1980-09-18
"263",8.6005859375,1980-09-19
"264",7.1806640625,1980-09-20
"265",9.861328125,1980-09-21
"266",8.771484375,1980-09-22
"267",2.791015625,1980-09-23
"268",1.6611328125,1980-09-24
"269",9.1708984375,1980-09-25
"270",7.9111328125,1980-09-26
"271",7.541015625,1980-09-27
"272",4.060546875,1980-09-28
"273",2.9013671875,1980-09-29
"274",10.0107421875,1980-09-30
"275",6.595703125,1980-10-01
"276",9.505859375,1980-10-02
"277",6.6162109375,1980-10-03
"278",3.8359375,1980-10-04
"279",15.435546875,1980-10-05
"280",12.4462890625,1980-10-06
"281",7.4462890625,1980-10-07
"282",7.74609375,1980-10-08
"283",5.7763671875,1980-10-09
"284",5.90625,1980-10-10
"285",5.826171875,1980-10-11
"286",10.1962890625,1980-10-12
"287",10.9658203125,1980-10-13
"288",9.4755859375,1980-10-14
"289",5.515625,1980-10-15
"290",4.4462890625,1980-10-16
"291",13.4755859375,1980-10-17
"292",10.6962890625,1980-10-18
"293",6.666015625,1980-10-19
"294",11.515625,1980-10-20
"295",8.595703125,1980-10-21
"296",5.4560546875,1980-10-22
"297",14.435546875,1980-10-23
"298",7.3056640625,1980-10-24
"299",7.8759765625,1980-10-25
"300",4.005859375,1980-10-26
"301",10.1162109375,1980-10-27
"302",7.56640625,1980-10-28
"303",8.0263671875,1980-10-29
"304",7.935546875,1980-10-30
"305",8.5556640625,1980-10-31
"306",8.9365234375,1980-11-01
"307",9.6474609375,1980-11-02
"308",8.7265625,1980-11-03
"309",13.796875,1980-11-04
"310",11.357421875,1980-11-05
"311",11.0166015625,1980-11-06
"312",10.2666015625,1980-11-07
