"","vapourpres_h09","time"
"1",28.544921875,1987-01-01
"2",27.2548828125,1987-01-02
"3",28.89453125,1987-01-03
"4",27.544921875,1987-01-04
"5",27.3046875,1987-01-05
"6",27.2646484375,1987-01-06
"7",26.2646484375,1987-01-07
"8",28.96484375,1987-01-08
"9",28.9951171875,1987-01-09
"10",28.724609375,1987-01-10
"11",28.7548828125,1987-01-11
"12",28.6953125,1987-01-12
"13",28.974609375,1987-01-13
"14",30.03515625,1987-01-14
"15",30.025390625,1987-01-15
"16",30.46484375,1987-01-16
"17",30.224609375,1987-01-17
"18",31.775390625,1987-01-18
"19",28.53515625,1987-01-19
"20",31.3447265625,1987-01-20
"21",30.294921875,1987-01-21
"22",30.375,1987-01-22
"23",28.89453125,1987-01-23
"24",29.2353515625,1987-01-24
"25",28.615234375,1987-01-25
"26",30.544921875,1987-01-26
"27",31.8349609375,1987-01-27
"28",30.2451171875,1987-01-28
"29",33.3349609375,1987-01-29
"30",32.9150390625,1987-01-30
"31",30.0146484375,1987-01-31
"32",29.6796875,1987-02-01
"33",29.8896484375,1987-02-02
"34",28.8896484375,1987-02-03
"35",31.0400390625,1987-02-04
"36",31.1396484375,1987-02-05
"37",29.4697265625,1987-02-06
"38",29.900390625,1987-02-07
"39",31.5400390625,1987-02-08
"40",29.5400390625,1987-02-09
"41",29.7197265625,1987-02-10
"42",28.0400390625,1987-02-11
"43",29.7802734375,1987-02-12
"44",30.0703125,1987-02-13
"45",29.1103515625,1987-02-14
"46",30.150390625,1987-02-15
"47",30.349609375,1987-02-16
"48",31.4599609375,1987-02-17
"49",31.5302734375,1987-02-18
"50",31.51953125,1987-02-19
"51",31.2099609375,1987-02-20
"52",29.990234375,1987-02-21
"53",31.7001953125,1987-02-22
"54",30.169921875,1987-02-23
"55",30.150390625,1987-02-24
"56",29.0703125,1987-02-25
"57",28.9697265625,1987-02-26
"58",30.349609375,1987-02-27
"59",30.58984375,1987-02-28
"60",28.51953125,1987-03-01
"61",31.5302734375,1987-03-02
"62",28.6103515625,1987-03-03
"63",31.6396484375,1987-03-04
"64",31.7802734375,1987-03-05
"65",25.5302734375,1987-03-06
"66",22.3095703125,1987-03-07
"67",26.7900390625,1987-03-08
"68",30.2001953125,1987-03-09
"69",31.7099609375,1987-03-10
"70",27.0498046875,1987-03-11
"71",28.3603515625,1987-03-12
"72",31.330078125,1987-03-13
"73",28.4404296875,1987-03-14
"74",29.099609375,1987-03-15
"75",26.6904296875,1987-03-16
"76",29.08984375,1987-03-17
"77",31.2998046875,1987-03-18
"78",29.9501953125,1987-03-19
"79",28.6201171875,1987-03-20
"80",27.51953125,1987-03-21
"81",28.8896484375,1987-03-22
"82",24.0302734375,1987-03-23
"83",23.9501953125,1987-03-24
"84",22.349609375,1987-03-25
"85",28.16015625,1987-03-26
"86",28.080078125,1987-03-27
"87",31.240234375,1987-03-28
"88",29.8095703125,1987-03-29
"89",26.5595703125,1987-03-30
"90",13.73046875,1987-03-31
"91",11.9130859375,1987-04-01
"92",23.443359375,1987-04-02
"93",27.8232421875,1987-04-03
"94",30.7626953125,1987-04-04
"95",29.392578125,1987-04-05
"96",29.6826171875,1987-04-06
"97",28.5029296875,1987-04-07
"98",24.7529296875,1987-04-08
"99",24.3134765625,1987-04-09
"100",26.123046875,1987-04-10
"101",26.7626953125,1987-04-11
"102",26.1728515625,1987-04-12
"103",25.54296875,1987-04-13
"104",24.8828125,1987-04-14
"105",25.8427734375,1987-04-15
"106",24.97265625,1987-04-16
"107",22.623046875,1987-04-17
"108",23.5029296875,1987-04-18
"109",24.5830078125,1987-04-19
"110",24.4033203125,1987-04-20
"111",25.4931640625,1987-04-21
"112",25.142578125,1987-04-22
"113",24.86328125,1987-04-23
"114",29.123046875,1987-04-24
"115",26.7431640625,1987-04-25
"116",29.5927734375,1987-04-26
"117",29.5927734375,1987-04-27
"118",30.9033203125,1987-04-28
"119",28.5927734375,1987-04-29
"120",31.4326171875,1987-04-30
"121",31.236328125,1987-05-01
"122",29.9755859375,1987-05-02
"123",30.9658203125,1987-05-03
"124",30.24609375,1987-05-04
"125",19.3564453125,1987-05-05
"126",16.8759765625,1987-05-06
"127",24.1162109375,1987-05-07
"128",27.8359375,1987-05-08
"129",25.646484375,1987-05-09
"130",28.4462890625,1987-05-10
"131",28.1259765625,1987-05-11
"132",28.0556640625,1987-05-12
"133",28.0263671875,1987-05-13
"134",28.0263671875,1987-05-14
"135",27.1259765625,1987-05-15
"136",26.9462890625,1987-05-16
"137",28.4755859375,1987-05-17
"138",13.40625,1987-05-18
"139",14.015625,1987-05-19
"140",13.505859375,1987-05-20
"141",18.396484375,1987-05-21
"142",12.845703125,1987-05-22
"143",12.076171875,1987-05-23
"144",14.24609375,1987-05-24
"145",23.3056640625,1987-05-25
"146",19.2255859375,1987-05-26
"147",11.826171875,1987-05-27
"148",9.31640625,1987-05-28
"149",7.6064453125,1987-05-29
"150",10.3662109375,1987-05-30
"151",8.67578125,1987-05-31
"152",9.6337890625,1987-06-01
"153",24.1640625,1987-06-02
"154",21.75390625,1987-06-03
"155",19.8037109375,1987-06-04
"156",21.1640625,1987-06-05
"157",21.34375,1987-06-06
"158",18.603515625,1987-06-07
"159",24.1142578125,1987-06-08
"160",23.734375,1987-06-09
"161",22.68359375,1987-06-10
"162",21.5439453125,1987-06-11
"163",24.5537109375,1987-06-12
"164",20.0244140625,1987-06-13
"165",17.3837890625,1987-06-14
"166",15.314453125,1987-06-15
"167",14.9443359375,1987-06-16
"168",16.583984375,1987-06-17
"169",17.603515625,1987-06-18
"170",24.2138671875,1987-06-19
"171",26.333984375,1987-06-20
"172",24.1943359375,1987-06-21
"173",25.244140625,1987-06-22
"174",25.4736328125,1987-06-23
"175",19.2236328125,1987-06-24
"176",13.34375,1987-06-25
"177",9.853515625,1987-06-26
