"","X","site_location_name","latitude","longitude","mga","SW_easting","SW_northing"
"204",204,"NTASSD0001",-25.3097916666667,136.307027777778,53,631566.458350058,7200107.12823211
"205",205,"NTASSD0003",-25.2994444444444,136.298875,53,630756.80915035,7201261.07747084
"206",206,"NTASSD0004",-25.2532666666667,136.274811111111,53,628382.651232526,7206398.53552654
"207",207,"NTASSD0005",-25.7541111111111,136.546952777778,53,655148.112224229,7150636.13128197
"208",208,"NTASSD0006",-25.7534361111111,136.547825,53,655236.480929513,7150709.87088332
"209",209,"NTASSD0007",-25.7835555555556,136.564875,53,656907.123982215,7147353.46948873
"211",211,"NTASSD0009",-24.7817328,136.0114582,53,602248.993989728,7258841.98843823
"212",212,"NTASSD0010",-24.792826,136.021357,53,603240.557551574,7257606.11961513
