site_location_name,longitude,latitude,point
NSABBS0001,148.976552,-31.281189,SW
NSABBS0002,148.992461111111,-31.2794527777778,SW
NSABHC0015,141.05925,-31.83394,SW
NSABHC0019,141.549646,-32.514855,SW
NSABHC0020,141.500681,-32.264805,SW
NSABHC0021,141.868274,-32.120072,SW
NSABHC0022,142.472433,-30.666082,SW
NSABHC0023,142.136552777778,-31.34395,SW
NSABHC0024,142.148516666667,-31.3467916666667,SW
NSABHC0025,141.535447,-32.420531,SW
NSABHC0026,142.268019,-31.778032,SW
NSABHC0028,141.717325,-31.0659777777778,SW
NSABHC0029,141.669402777778,-31.0621666666667,SW
NSACHC0001,142.264755555556,-29.4453861111111,SW
NSACHC0002,142.180561111111,-29.3067333333333,SW
NSACHC0003,141.895477777778,-29.2130861111111,SW
NSACHC0004,141.8645194,-29.06618333,SW
NSACOP0001,145.540680555556,-32.5910611111111,SW
NSACOP0002,145.665288888889,-32.6045194444444,SW
NSAMDD0001,142.560225,-34.1839194444444,SW
NSAMDD0002,142.602588888889,-34.2048166666667,SW
NSAMDD0003,142.604063888889,-34.2075416666667,SW
NSAMDD0004,142.5594,-34.1653666666667,SW
NSAMDD0005,143.203866666667,-33.6561944444444,SW
NSAMDD0006,143.166536111111,-33.6643194444444,SW
NSAMDD0007,141.160811111111,-33.3799805555556,SW
NSAMDD0008,141.072030555556,-33.4309611111111,SW
NSAMDD0009,141.065522222222,-33.4404944444444,SW
NSAMDD0010,141.293472222222,-33.4076027777778,SW
NSAMDD0011,141.012675,-33.4388194444444,SW
NSAMDD0012,141.266244444444,-33.2631611111111,SW
NSAMDD0013,141.106466666667,-33.2376527777778,SW
NSAMDD0014,141.191816666667,-33.1679388888889,SW
NSAMDD0015,141.090063888889,-33.3118222222222,SW
NSAMDD0016,141.089808333333,-33.2822888888889,SW
NSAMDD0017,145.566383333333,-33.6687638888889,SW
NSAMDD0018,145.784008333333,-33.5672333333333,SW
NSAMDD0019,145.699369444444,-33.1921472222222,SW
NSAMDD0020,145.708558333333,-33.2068027777778,SW
NSAMDD0021,145.717186111111,-33.2008361111111,SW
NSAMDD0022,145.760172222222,-33.2252222222222,SW
NSAMDD0023,144.649777777778,-32.6900916666667,SW
NSAMDD0024,144.627461111111,-32.6822083333333,SW
NSAMDD0025,144.246994444444,-31.6085916666667,SW
NSAMDD0026,144.201152777778,-31.6280111111111,SW
