"","site_location_name","ignition_d","OBJECTID","fire_id","fire_name","capture_da","extinguish","fire_type","ignition_c","capt_metho","area_ha","perim_km","state","agency","Shape__Are","Shape__Len","Data_Source.x","BurnDate","FirstDay","LastDay","Data_Source.y"
"17","SAAKAN0007",1991-12-31,256411,"0","",NA,"","Bushfire","","Unknown",24866,339,"SA (South Australia)","SA DEW",0.025753526643712,1.28604617961572,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"18","WAASWA0004",2005-09-16,60210,"SWC_092","SWC_092",NA,"","Prescribed Burn","","Aerial photography",351,7,"WA (Western Australia)","WA DFES",0.000332904802463,0.070993889543941,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"19","WAAPIL0017",2018-09-18,276813,"999","",NA,"","Prescribed Burn","","Landsat",15114,414,"WA (Western Australia)","WA DFES",0.014219192047221,1.85109205951565,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"20","WAALSD0002",2002-02-20,311415,"999","",NA,"","Unknown","","Landsat",115225,4877,"WA (Western Australia)","WA DFES",0.027237319248798,3.67640375428701,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"21","QDAGUP0029",2015-10-24,173416,"","Staaten River National Park/2015/W/3",NA,"","Bushfire","","",195983,745,"QLD (Queensland)","QPWS",0.177761078990443,5.08821047872109,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"22","QDAGUP0030",2015-10-24,173416,"","Staaten River National Park/2015/W/3",NA,"","Bushfire","","",195983,745,"QLD (Queensland)","QPWS",0.177761078990443,5.08821047872109,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"23","QDAGUP0031",2015-10-24,173416,"","Staaten River National Park/2015/W/3",NA,"","Bushfire","","",195983,745,"QLD (Queensland)","QPWS",0.177761078990443,5.08821047872109,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"24","WAAAVW0007",1969-09-16,279416,"999","",NA,"","Unknown","","Landsat",12872,1114,"WA (Western Australia)","WA DFES",0.012900357466833,8.27594883600883,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"25","WAAPIL0022",1987-11-23,130616,"999","",NA,"","Unknown","","Landsat",14,3,"WA (Western Australia)","WA DFES",1.2489300161e-05,0.02978094412233,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"26","NSAMDD0030",2012-05-14,171618,"HR12030557592","BHI-Dunoak North SFAZ",NA,"2012/05/16","Prescribed Burn","","",1134,19,"NSW (New South Wales)","NSW PWS",0.001074392947885,0.186151308745675,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"27","QDAEIU0004",2011-10-14,78218,"","Blackbraes National Park/2011/W/2",NA,"","Bushfire","","",18785,97,"QLD (Queensland)","QPWS",0.016162099024768,0.901452632849142,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"28","WAAPIL0004",2007-02-14,8618,"999","",NA,"","Unknown","","Landsat",1901,51,"WA (Western Australia)","WA DFES",0.00170660273966,0.301360799048564,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"29","WAAPIL0022",2005-11-24,21018,"999","",NA,"","Unknown","","Landsat",32,5,"WA (Western Australia)","WA DFES",2.7648820378e-05,0.046305460276913,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"30","SAAKAN0009",1996-12-15,238020,"0","",NA,"","Bushfire","","Unknown",24273,187,"SA (South Australia)","SA DEW",0.025229352649603,1.25226020813799,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"31","VCAAUA0001",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"32","VCAAUA0002",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"33","VCAAUA0003",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"34","VCAAUA0004",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"35","VCAAUA0005",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"36","VCAAUA0006",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"37","VCAAUA0007",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"38","VCAAUA0008",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"39","VCAAUA0009",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"40","VCAAUA0010",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"41","VCAAUA0011",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"42","VCAAUA0012",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"43","VCAAUA0013",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"44","VCAAUA0014",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"45","VCAAUA0015",1939-01-01,190220,"999","",NA,"","Bushfire","","",2384394,1431,"VIC (Victoria)","VIC DEECA",2.4217715401478,14.5062896280083,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"46","WAAAVW0005",2001-12-25,178820,"999","",NA,"","Unknown","","Landsat",20300,1724,"WA (Western Australia)","WA DFES",0.022215986930178,4.60951946014345,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"47","WAAAVW0006",2001-12-25,178820,"999","",NA,"","Unknown","","Landsat",20300,1724,"WA (Western Australia)","WA DFES",0.022215986930178,4.60951946014345,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"48","WAAAVW0007",2001-12-25,178820,"999","",NA,"","Unknown","","Landsat",20300,1724,"WA (Western Australia)","WA DFES",0.022215986930178,4.60951946014345,"Historical_BushFires_Boundaries",NA,NA,NA,NA
