"","site_location_name","ignition_d","OBJECTID","fire_id","fire_name","capture_da","extinguish","fire_type","ignition_c","capt_metho","area_ha","perim_km","state","agency","Shape__Are","Shape__Len","Data_Source.x","BurnDate","FirstDay","LastDay","Data_Source.y"
"115","SAAKAN0004",2019-12-21,161656,"201912031","KI Complex",NA,"","Bushfire","","Landsat",16312,199,"SA (South Australia)","SA DEW",0.018007597249834,1.22708651993754,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"116","WAACEK0002",2023-03-27,76255,"WKM_023","Wunaamin Miliwundi Ranges CP",NA,"","Prescribed Burn","","Multiple",945119,855,"WA (Western Australia)","WA DFES",0.819485399996665,7.34996226768395,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"117","WAACEK0003",2023-03-27,76255,"WKM_023","Wunaamin Miliwundi Ranges CP",NA,"","Prescribed Burn","","Multiple",945119,855,"WA (Western Australia)","WA DFES",0.819485399996665,7.34996226768395,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"118","WAADAL0001",2023-03-27,76255,"WKM_023","Wunaamin Miliwundi Ranges CP",NA,"","Prescribed Burn","","Multiple",945119,855,"WA (Western Australia)","WA DFES",0.819485399996665,7.34996226768395,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"119","SASMDD0001",1982-02-01,95458,"0","",NA,"","Bushfire","","Aerial photography",75,6,"SA (South Australia)","SA DEW",7.2899210863e-05,0.06603805512572,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"120","SASMDD0018",2007-09-13,70458,"0","Calperum",NA,"","Bushfire","","Unknown",73,12,"SA (South Australia)","SA DEW",7.1287497576e-05,0.120682780778583,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"121","SASMDD0018",1982-02-01,95458,"0","",NA,"","Bushfire","","Aerial photography",75,6,"SA (South Australia)","SA DEW",7.2899210863e-05,0.06603805512572,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"122","VCAAUA0013",2006-12-01,310459,"12","",NA,"","Bushfire","","",684566,961,"VIC (Victoria)","VIC DEECA",0.259534284200072,3.2509407949452,"Historical_BushFires_Boundaries",347,313,23,"MODIS/061/MCD64A1"
"123","VCAAUA0014",2006-12-01,310459,"12","",NA,"","Bushfire","","",684566,961,"VIC (Victoria)","VIC DEECA",0.259534284200072,3.2509407949452,"Historical_BushFires_Boundaries",349,313,24,"MODIS/061/MCD64A1"
"124","VCAAUA0015",2006-12-01,310459,"12","",NA,"","Bushfire","","",684566,961,"VIC (Victoria)","VIC DEECA",0.259534284200072,3.2509407949452,"Historical_BushFires_Boundaries",347,315,24,"MODIS/061/MCD64A1"
"125","WAAJAF0001",1985-09-16,73258,"999","",NA,"","Prescribed Burn","","Aerial photography",6005,35,"WA (Western Australia)","WA DFES",0.005905510382036,0.346478539824492,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"126","QDAGUP0029",2018-11-29,279462,"","Staaten River National Park/NP/W/2018/003",NA,"2018/12/08","Bushfire","","",324864,2708,"QLD (Queensland)","QPWS",0.309362501328451,14.6150003380017,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"127","QDAGUP0030",2018-11-29,279462,"","Staaten River National Park/NP/W/2018/003",NA,"2018/12/08","Bushfire","","",324864,2708,"QLD (Queensland)","QPWS",0.309362501328451,14.6150003380017,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"128","QDAGUP0031",2018-11-29,279462,"","Staaten River National Park/NP/W/2018/003",NA,"2018/12/08","Bushfire","","",324864,2708,"QLD (Queensland)","QPWS",0.309362501328451,14.6150003380017,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"129","WAAJAF0001",1991-04-01,204662,"999","",NA,"","Prescribed Burn","","Aerial photography",16514,66,"WA (Western Australia)","WA DFES",0.016240574016138,0.671203939995184,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"130","WAAPIL0034",2018-09-27,63661,"999","",NA,"","Prescribed Burn","","Landsat",927,40,"WA (Western Australia)","WA DFES",0.000842041997885,0.304446421665307,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"131","WAAVIB0002",2017-05-02,138463,"EKM_043","Parry Lagoons - Ngamoowalem",NA,"","Prescribed Burn","","Unknown",68193,157,"WA (Western Australia)","WA DFES",0.057488722244784,1.43604113983039,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"132","SATKAN0002",1995-02-13,133665,"0","",NA,"","Bushfire","","Unknown",253,10,"SA (South Australia)","SA DEW",0.000250501580012,0.105650338113296,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"133","SATKAN0002",1983-02-16,209266,"0","",NA,"","Bushfire","","Unknown",15865,385,"SA (South Australia)","SA DEW",0.016539256552733,2.47084256329173,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"134","QDAEIU0003",2022-10-11,237867,"","Blackbraes National Park/NP/W/2022/001",NA,"2022/10/14","Bushfire","","",2217,56,"QLD (Queensland)","QPWS",0.001906996212483,0.516660049294819,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"135","NSTSYB0005",2006-11-14,309468,"","Lawsons Long Alley",NA,"2007/01/03","Bushfire","","",14644,150,"NSW (New South Wales)","NSW PWS",0.014222595247702,1.49272714738353,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"136","NSTSYB0009",2006-11-14,309468,"","Lawsons Long Alley",NA,"2007/01/03","Bushfire","","",14644,150,"NSW (New South Wales)","NSW PWS",0.014222595247702,1.49272714738353,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"137","SAAKAN0005",1968-12-31,133268,"0","",NA,"","Bushfire","","Unknown",21526,78,"SA (South Australia)","SA DEW",0.021471552288858,0.807335306106976,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"138","WAACEK0002",2012-04-27,74867,"K001","KING LEOPOLD RANGE CP",NA,"","Prescribed Burn","","Landsat",421614,659,"WA (Western Australia)","WA DFES",0.370698972522518,5.41654651297476,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"139","WAACEK0003",2012-04-27,74867,"K001","KING LEOPOLD RANGE CP",NA,"","Prescribed Burn","","Landsat",421614,659,"WA (Western Australia)","WA DFES",0.370698972522518,5.41654651297476,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"140","WAASWA0004",2006-09-16,151668,"415092","SWC_092",NA,"","Prescribed Burn","","Landsat",263,11,"WA (Western Australia)","WA DFES",0.000249626363484,0.109951532869397,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"141","QDAEIU0004",2015-04-22,297469,"","Blackbraes Regional Park/2015/P/1",NA,"2015/05/05","Prescribed Burn","","",19209,74,"QLD (Queensland)","QPWS",0.016529074540813,0.685748459194027,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"142","QDACYP0016",2011-09-20,276270,"","Heathlands Regional Park/2011/P/2",NA,"2011/10/04","Prescribed Burn","","",3815,44,"QLD (Queensland)","QPWS",0.003161108065456,0.404404408742541,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"143","SASMDD0001",1973-10-05,183871,"0","",NA,"","Bushfire","","Unknown",35,4,"SA (South Australia)","SA DEW",3.4253802369e-05,0.042589606377841,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"144","QDAEIU0001",2022-03-14,205672,"","Blackbraes National Park/P/2022/001",NA,"2022/06/26","Prescribed Burn","","",17142,545,"QLD (Queensland)","QPWS",0.015356020733634,4.64037549644592,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"145","QDAEIU0002",2022-03-14,205672,"","Blackbraes National Park/P/2022/001",NA,"2022/06/26","Prescribed Burn","","",17142,545,"QLD (Queensland)","QPWS",0.015356020733634,4.64037549644592,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"146","QDAEIU0004",2008-03-10,131672,"","Blackbraes Regional Park/2008/P/1",NA,"2008/03/24","Prescribed Burn","","",3789,77,"QLD (Queensland)","QPWS",0.003259424249791,0.71515329475201,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"147","QDAEIU0004",2022-03-14,205672,"","Blackbraes National Park/P/2022/001",NA,"2022/06/26","Prescribed Burn","","",17142,545,"QLD (Queensland)","QPWS",0.015356020733634,4.64037549644592,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"148","QDAEIU0005",2016-11-11,309273,"","Canyon Regional Park/NP/W/2016/001",NA,"2016/12/19","Bushfire","","",49395,118,"QLD (Queensland)","QPWS",0.042231968250007,1.08899688531275,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"149","SAAKAN0002",2019-12-30,310473,"201912036","Ravine",NA,"","Bushfire","","Aerial photography",184941,1359,"SA (South Australia)","SA DEW",0.006058322982881,0.939424434012098,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"150","WAACEK0002",2013-04-18,103872,"WKM_001","KING LEOPOLD NATIONAL PARK",NA,"","Prescribed Burn","","Unknown",456453,537,"WA (Western Australia)","WA DFES",0.387398735956822,4.96218721774396,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"151","WAACEK0003",2013-04-18,103872,"WKM_001","KING LEOPOLD NATIONAL PARK",NA,"","Prescribed Burn","","Unknown",456453,537,"WA (Western Australia)","WA DFES",0.387398735956822,4.96218721774396,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"152","WAAPIL0020",1991-11-18,239073,"999","",NA,"","Unknown","","Landsat",661,67,"WA (Western Australia)","WA DFES",0.000603197413511,0.468201286315067,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"153","SAAKAN0005",2019-12-30,310474,"201912036","Ravine",NA,"","Bushfire","","Aerial photography",184941,1359,"SA (South Australia)","SA DEW",0.146561744604696,3.70999164458625,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"154","SAAKAN0006",2019-12-30,310474,"201912036","Ravine",NA,"","Bushfire","","Aerial photography",184941,1359,"SA (South Australia)","SA DEW",0.146561744604696,3.70999164458625,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"155","SAAKAN0007",2019-12-30,310474,"201912036","Ravine",NA,"","Bushfire","","Aerial photography",184941,1359,"SA (South Australia)","SA DEW",0.146561744604696,3.70999164458625,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"156","SAAKAN0003",2019-12-30,310475,"201912036","Ravine",NA,"","Bushfire","","Aerial photography",184941,1359,"SA (South Australia)","SA DEW",0.023305027489187,1.57093472478613,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"157","SATFLB0027",2021-01-24,108075,"202101025","Cherry Gardens",NA,"","Bushfire","","Sentinel",2523,65,"SA (South Australia)","SA DEW",0.002509235087928,0.595777502849262,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"158","WAAVIB0002",2019-03-28,226476,"EKM_052","Parry Lagoons_Ngamoowalem",NA,"","Prescribed Burn","","Landsat",9188,1096,"WA (Western Australia)","WA DFES",0.009170054643619,6.42432571197491,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"159","QDAEIU0001",2011-05-11,239477,"","Blackbraes National Park/2011/P/3",NA,"2011/06/03","Prescribed Burn","","",1113,16,"QLD (Queensland)","QPWS",0.000958236707447,0.152238201840554,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"160","QDAEIU0002",2011-05-11,239477,"","Blackbraes National Park/2011/P/3",NA,"2011/06/03","Prescribed Burn","","",1113,16,"QLD (Queensland)","QPWS",0.000958236707447,0.152238201840554,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"161","WAAPIL0003",2014-04-23,168279,"999","",NA,"","Unknown","","Landsat",16371,862,"WA (Western Australia)","WA DFES",0.015842626614585,2.33224624384958,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"162","SAAEYB0021",2006-11-30,149080,"200611095","Hincks 2",NA,"","Bushfire","","Landsat",5190,76,"SA (South Australia)","SA DEW",0.005223473141996,0.50589649595642,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"163","SAAEYB0023",2006-11-30,149080,"200611095","Hincks 2",NA,"","Bushfire","","Landsat",5190,76,"SA (South Australia)","SA DEW",0.005223473141996,0.50589649595642,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"164","QDAEIU0001",2016-02-23,172082,"","Blackbraes National Park/P/2016/001",NA,"2016/04/04","Prescribed Burn","","",5914,56,"QLD (Queensland)","QPWS",0.005089128724876,0.522329998700446,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"165","QDAEIU0001",2004-03-16,297082,"","Blackbraes National Park/2004/P/4",NA,"2004/03/21","Prescribed Burn","","",706,33,"QLD (Queensland)","QPWS",0.00060806127226,0.305502825442172,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"166","QDACYP0016",2020-10-30,190885,"","Heathlands Resources Reserve/NP/W/2021/001",NA,"2021/11/22","Bushfire","","",6956,91,"QLD (Queensland)","QPWS",0.005782558749615,0.80465275945735,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"167","WAACEK0003",2012-09-18,266485,"16","",NA,"","Bushfire","Accidental","Unknown",250912,1111,"WA (Western Australia)","WA DFES",0.218256250198465,8.00000010599965,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"168","WAANOK0007",2016-08-25,106685,"006","Drysdale / Theda",NA,"","Bushfire","Incendiary","Landsat",216058,1018,"WA (Western Australia)","WA DFES",0.189606249315489,6.50499978199824,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"169","WAAPIL0004",2014-02-24,141686,"069","MCNP - SPRINGS CREEK",NA,"","Bushfire","Incendiary","Landsat",21836,620,"WA (Western Australia)","WA DFES",0.022334292539426,2.57728772331233,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"170","WAAPIL0023",2005-11-17,269486,"999","",NA,"","Unknown","","Landsat",3085,158,"WA (Western Australia)","WA DFES",0.002904995663584,0.896360202488876,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"171","WAAPIL0030",2017-03-16,116085,"999","",NA,"","Prescribed Burn","","Landsat",21403,1386,"WA (Western Australia)","WA DFES",0.023259141939889,3.99553417604997,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"172","SAAEYB0022",1953-12-14,165889,"0","",NA,"","Bushfire","","Aerial photography",14838,302,"SA (South Australia)","SA DEW",0.014993401162883,2.42892092743442,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"173","SAAEYB0024",1953-12-14,165889,"0","",NA,"","Bushfire","","Aerial photography",14838,302,"SA (South Australia)","SA DEW",0.014993401162883,2.42892092743442,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"174","WAAPIL0004",1989-11-28,142889,"999","",NA,"","Unknown","","Landsat",1619,105,"WA (Western Australia)","WA DFES",0.001550141819052,0.432068534882546,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"175","NSANAN0002",2018-02-11,267090,"18021290865","Bobbiwaa Creek Fire",NA,"2018/03/01","Bushfire","","",19,2,"NSW (New South Wales)","NSW PWS",1.794163154e-05,0.018323416783561,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"176","SATKAN0004",2007-01-04,262291,"0","Mount Beevor",NA,"","Bushfire","","Unknown",129,5,"SA (South Australia)","SA DEW",0.000127585181872,0.052937920890939,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"177","WAAVIB0004",2017-05-03,43091,"EKM_050","Cockburn Ranges",NA,"","Prescribed Burn","","Unknown",60607,104,"WA (Western Australia)","WA DFES",0.051107011972249,0.959414711996975,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"178","WAAVIB0002",2022-08-10,118692,"BF 2022 EKM 007","Ngamoowalem 1",NA,"","Bushfire","Incendiary","Unknown",287,31,"WA (Western Australia)","WA DFES",0.00025533350663,0.21562302013052,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"179","SAAEYB0026",1991-12-31,90694,"0","",NA,"","Bushfire","","Unknown",5339,106,"SA (South Australia)","SA DEW",0.00536450248228,0.72772500097058,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"180","SAAEYB0027",1991-12-31,90694,"0","",NA,"","Bushfire","","Unknown",5339,106,"SA (South Australia)","SA DEW",0.00536450248228,0.72772500097058,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"181","WAACEK0002",2022-11-13,311895,"BF 2022 WKM 013","Airstrip Fire",NA,"","Unknown","","Unknown",21142,1236,"WA (Western Australia)","WA DFES",0.005280870914476,0.763988306451375,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"182","WAAPIL0017",2007-11-21,24294,"999","",NA,"","Unknown","","Landsat",52900,999,"WA (Western Australia)","WA DFES",0.050001703902126,4.51920322114678,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"183","NSANAN0001",2019-10-16,118895,"19101751804","Kaputar Fire",NA,"2019/12/03","Bushfire","","",19667,207,"NSW (New South Wales)","NSW PWS",0.018927170312054,1.64876072001532,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"184","NSANAN0002",2019-10-16,118895,"19101751804","Kaputar Fire",NA,"2019/12/03","Bushfire","","",19667,207,"NSW (New South Wales)","NSW PWS",0.018927170312054,1.64876072001532,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"185","QDAMUL0001",2020-06-30,222696,"","Idalia National Park/P/2018/001",NA,"2020/07/17","Prescribed Burn","","",270,28,"QLD (Queensland)","QPWS",0.000241352957346,0.267988019203188,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"186","WAACEK0002",2016-03-27,283096,"WKM_009","King Leopold Ranges Conservati",NA,"","Prescribed Burn","","Unknown",494087,644,"WA (Western Australia)","WA DFES",0.419261017856002,5.9364034606362,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"187","WAACEK0003",2016-03-27,283096,"WKM_009","King Leopold Ranges Conservati",NA,"","Prescribed Burn","","Unknown",494087,644,"WA (Western Australia)","WA DFES",0.419261017856002,5.9364034606362,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"188","SASMDD0001",2014-01-14,310497,"201401086","Calperum",NA,"","Bushfire","","Aerial photography",48253,634,"SA (South Australia)","SA DEW",0.018525323924678,1.3714060897375,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"189","SASMDD0002",2014-01-14,310497,"201401086","Calperum",NA,"","Bushfire","","Aerial photography",48253,634,"SA (South Australia)","SA DEW",0.018525323924678,1.3714060897375,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"190","SASMDD0003",2014-01-14,310497,"201401086","Calperum",NA,"","Bushfire","","Aerial photography",48253,634,"SA (South Australia)","SA DEW",0.018525323924678,1.3714060897375,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"191","SASMDD0016",2014-01-14,310497,"201401086","Calperum",NA,"","Bushfire","","Aerial photography",48253,634,"SA (South Australia)","SA DEW",0.018525323924678,1.3714060897375,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"192","SASMDD0017",2014-01-14,310497,"201401086","Calperum",NA,"","Bushfire","","Aerial photography",48253,634,"SA (South Australia)","SA DEW",0.018525323924678,1.3714060897375,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"193","SASMDD0018",2014-01-14,310497,"201401086","Calperum",NA,"","Bushfire","","Aerial photography",48253,634,"SA (South Australia)","SA DEW",0.018525323924678,1.3714060897375,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"194","QDAEIU0003",2011-12-08,305698,"","Blackbraes Regional Park/2011/W/1",NA,"","Bushfire","","",7166,46,"QLD (Queensland)","QPWS",0.006162709293449,0.429313099733848,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"195","WAACEK0002",2017-04-18,208098,"WKM_011","King Leopold Ranges CP",NA,"","Prescribed Burn","","Unknown",470193,485,"WA (Western Australia)","WA DFES",0.399031343188426,4.474733536231,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"196","WAACEK0003",2017-04-18,208098,"WKM_011","King Leopold Ranges CP",NA,"","Prescribed Burn","","Unknown",470193,485,"WA (Western Australia)","WA DFES",0.399031343188426,4.474733536231,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"197","WAAPIL0008",2005-11-24,141098,"999","",NA,"","Unknown","","Landsat",73770,1725,"WA (Western Australia)","WA DFES",0.070391934428926,7.60350140051267,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"198","WAAVIB0002",2007-07-30,157698,"7","PARRYS FIRE 7",NA,"","Unknown","","Aerial photography",29072,116,"WA (Western Australia)","WA DFES",0.0244976844657,1.06388381028247,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"199","NSTSYB0002",2020-09-04,61698,"HR20080289064","Bowen Mountain South West Stage 2 HR",NA,"2020/09/05","Prescribed Burn","","",191,13,"NSW (New South Wales)","NSW PWS",0.000185608417723,0.129536204733149,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"200","WAACEK0002",2018-12-02,214499,"BF 2018 WKM 023","Bell Ck",NA,"","Bushfire","Natural","MODIS",3815,78,"WA (Western Australia)","WA DFES",0.003281249771362,0.674999892000026,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"201","WAALSD0003",2013-08-05,242499,"999","",NA,"","Bushfire","Undetermined","Landsat",4267,184,"WA (Western Australia)","WA DFES",0.004232931331671,1.13392368454614,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"202","SAAEYB0029",1972-12-31,126300,"0","",NA,"","Bushfire","","Landsat",14579,130,"SA (South Australia)","SA DEW",0.01437550014407,1.21268457333605,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"203","WAACEK0002",2014-04-15,32700,"WKM_001","King Leopold Ranges CP",NA,"","Prescribed Burn","","Multiple",271919,914,"WA (Western Australia)","WA DFES",0.230954131104681,8.44807945263998,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"204","WAACEK0003",2014-04-15,32700,"WKM_001","King Leopold Ranges CP",NA,"","Prescribed Burn","","Multiple",271919,914,"WA (Western Australia)","WA DFES",0.230954131104681,8.44807945263998,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"205","NSANET0001",2002-09-28,193303,"NTR02010","Blatherarm",NA,"2002/11/12","Bushfire","","",13863,121,"NSW (New South Wales)","NSW PWS",0.012866528187715,1.16607191641462,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"206","WAAJAF0001",2002-09-16,87902,"WLP_116","WLP_116",NA,"","Prescribed Burn","","Aerial photography",7591,53,"WA (Western Australia)","WA DFES",0.007697970777826,0.467877441190987,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"207","WAANOK0007",2017-04-20,161103,"EKM_040","Drysdale Precinct",NA,"","Prescribed Burn","","Unknown",834499,591,"WA (Western Australia)","WA DFES",0.7003089657602,5.40896627831254,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"208","SAAEYB0021",1953-12-14,263904,"0","",NA,"","Bushfire","","Aerial photography",3257,84,"SA (South Australia)","SA DEW",0.003344955688135,0.611215270380019,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"209","SAAEYB0023",1953-12-14,263904,"0","",NA,"","Bushfire","","Aerial photography",3257,84,"SA (South Australia)","SA DEW",0.003344955688135,0.611215270380019,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"210","SAAKAN0008",1984-02-01,64504,"0","",NA,"","Bushfire","","Aerial photography",16,3,"SA (South Australia)","SA DEW",1.5536865703e-05,0.030858048067987,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"211","QDAEIU0005",2018-05-28,248106,"","Canyon Resources Reserve/P/2018/002",NA,"2018/06/01","Prescribed Burn","","",567,12,"QLD (Queensland)","QPWS",0.000484927296156,0.112178610122299,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"212","NSABBS0001",2013-01-12,258108,"13011263523","Wambelong WNP",NA,"","Bushfire","","",55204,404,"NSW (New South Wales)","NSW PWS",0.053433067614151,3.29579128106361,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"213","NSABBS0002",2013-01-12,258108,"13011263523","Wambelong WNP",NA,"","Bushfire","","",55204,404,"NSW (New South Wales)","NSW PWS",0.053433067614151,3.29579128106361,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"214","QDAGUP0029",2009-12-30,140708,"","Staaten River National Park/2009/P/2",NA,"2009/12/29","Prescribed Burn","","",12504,144,"QLD (Queensland)","QPWS",0.010599822012637,1.33177888509857,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"215","QDAGUP0030",2009-12-30,140708,"","Staaten River National Park/2009/P/2",NA,"2009/12/29","Prescribed Burn","","",12504,144,"QLD (Queensland)","QPWS",0.010599822012637,1.33177888509857,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"216","QDAGUP0031",2009-12-30,140708,"","Staaten River National Park/2009/P/2",NA,"2009/12/29","Prescribed Burn","","",12504,144,"QLD (Queensland)","QPWS",0.010599822012637,1.33177888509857,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"217","WAACOO0026",1979-05-05,217508,"999","999",NA,"","Unknown","","Landsat",14501,409,"WA (Western Australia)","WA DFES",0.013873017720016,3.28031404168357,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"218","WAACOO0027",1979-05-05,217508,"999","999",NA,"","Unknown","","Landsat",14501,409,"WA (Western Australia)","WA DFES",0.013873017720016,3.28031404168357,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"219","WAACOO0028",1979-05-05,217508,"999","999",NA,"","Unknown","","Landsat",14501,409,"WA (Western Australia)","WA DFES",0.013873017720016,3.28031404168357,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"220","WAAPIL0015",2018-11-17,233508,"BF 2018 PIL 030","KNP Marandoo",NA,"","Bushfire","Natural","Ground intelligence",33573,1712,"WA (Western Australia)","WA DFES",0.036397047851551,4.94369804420129,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"221","WAAVIB0002",2013-06-05,170908,"EKM_008","PARRY LAGOONS NR AND MG RESER*",NA,"","Prescribed Burn","","Unknown",108807,640,"WA (Western Australia)","WA DFES",0.091537488010317,5.82921217982448,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"222","VCAAUA0011",2013-02-07,64308,"14","HARRIETVILLE - ALPINE SOUTH",NA,"","Bushfire","","",14223,169,"VIC (Victoria)","VIC DEECA",0.014774878979551,1.51596201959395,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"223","VCAAUA0012",2013-02-07,64308,"14","HARRIETVILLE - ALPINE SOUTH",NA,"","Bushfire","","",14223,169,"VIC (Victoria)","VIC DEECA",0.014774878979551,1.51596201959395,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"224","WAAPIL0005",1991-11-18,247309,"999","",NA,"","Unknown","","Landsat",400,46,"WA (Western Australia)","WA DFES",0.000384965574312,0.264412107908317,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"225","QDACYP0016",2018-08-07,271710,"","Heathlands Resources Reserve/P/2018/006",NA,"2018/11/30","Prescribed Burn","","",78428,151,"QLD (Queensland)","QPWS",0.064945891740194,1.36953556640649,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"226","WAAPIL0001",2006-01-12,246510,"999","",NA,"","Unknown","","Landsat",171140,4744,"WA (Western Australia)","WA DFES",0.177455708909065,14.2301206964631,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"227","WAAPIL0002",2015-07-24,19509,"PIL_007","MCNP - HQ Precinct",NA,"","Prescribed Burn","","Landsat",73,8,"WA (Western Australia)","WA DFES",6.3593542791e-05,0.072376535756058,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"228","WAAPIL0012",2006-01-12,246510,"999","",NA,"","Unknown","","Landsat",171140,4744,"WA (Western Australia)","WA DFES",0.177455708909065,14.2301206964631,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"229","WAAPIL0013",2006-01-12,246510,"999","",NA,"","Unknown","","Landsat",171140,4744,"WA (Western Australia)","WA DFES",0.177455708909065,14.2301206964631,"Historical_BushFires_Boundaries",NA,NA,NA,NA
