,Group_Code
NTAGFU0004,2
NTAGFU0005,2
NTAGFU0006,2
NTAGFU0007,2
NTAGFU0008,2
NTAGFU0009,2
NTAGFU0010,2
NTAGFU0011,2
NTAGFU0012,2
NTAGFU0013,2
NTAGFU0014,2
NTAGFU0015,2
NTAGFU0016,2
NTAGFU0017,2
NTAGFU0018,2
NTAGFU0019,2
NTAGFU0020,2
NTAGFU0021,2
NTAGFU0022,2
NTAGFU0023,2
NTAGFU0024,2
NTAGFU0025,2
NTAGFU0026,2
NTAGFU0027,2
NTAGFU0028,2
NTAGFU0029,2
NTAGFU0030,2
NTAGFU0031,2
NTAGFU0032,2
NTAGFU0033,2
NTAGFU0034,2
NTAGFU0035,2
NTAGFU0036,2
NTAGFU0037,2
NTAGFU0038,2
NTAGFU0039,2
NTAGFU0040,2
NTAGFU0041,2
NTAMAC0001,6
NTAMAC0002,6
NTAMAC0003,6
NTAMGD0001,2
NTAMGD0002,2
NTAMGD0003,2
NTAMGD0004,2
NTAMGD0005,2
NTAPCK0001,1
NTAPCK0002,1
NTAPCK0003,1
NTAPCK0004,1
NTAPCK0005,1
NTAPCK0006,1
NTAPCK0007,1
NTAPCK1009,1
NTAPCK1010,1
NTAPCK1011,1
NTAPCK1012,1
NTAPCK2002,1
NTAPCK2003,1
NTAPCK2013,1
NTAPCK2014,1
NTASSD0001,6
NTASSD0002,6
NTASSD0003,6
NTASSD0004,6
NTASSD0005,6
NTASSD0006,6
NTASSD0007,6
NTASSD0008,6
NTASSD0009,6
NTASSD0010,6
NTASSD0011,6
NTASSD0012,6
NTASSD0013,6
NTASSD0014,6
NTASSD0015,6
NTASSD0016,6
NTASSD0017,6
NTASSD0018,6
NTASSD0019,6
NTASTU0001,2
NTASTU0002,2
NTASTU0003,2
NTASTU0004,2
NTASTU0005,2
NTATAN0001,6
NTATAN0002,6
NTATAN0003,6
NTATAN0004,6
NTTDAB0001,1
NTTDAC0001,1
NTTDMR0001,2
NTTDMR0002,2
NTTDMR0003,2
NTTMGD0001,2
NTTPCK0001,1
NTTSTU0001,2
QDABBN0001,2
QDABBN0002,2
QDABBS0001,2
QDABBS0002,2
QDABBS0003,2
QDABBS0004,2
QDABBS0005,2
QDABBS0006,2
QDABBS0007,2
QDABBS0008,2
QDABBS0009,2
QDABBS0010,2
QDACHC0001,6
QDACHC0002,6
QDACHC0003,6
QDACHC0004,6
QDACHC0005,6
QDACHC0006,6
QDACHC0007,6
QDACYP0001,1
QDACYP0002,1
QDACYP0003,1
QDACYP0004,1
QDACYP0005,1
QDACYP0006,1
QDACYP0007,1
QDACYP0008,1
QDACYP0009,1
QDACYP0010,1
QDACYP0011,1
QDACYP0012,1
QDACYP0013,1
QDACYP0014,1
QDACYP0015,1
QDACYP0016,1
QDACYP0017,1
QDACYP0018,1
QDACYP0019,1
QDACYP0020,1
QDACYP0021,1
QDACYP0022,1
QDACYP0023,1
QDACYP0024,1
QDADEU0001,2
QDADEU0002,2
QDADEU0003,2
QDADEU0004,2
QDADEU0005,2
QDADEU0006,2
QDAEIU0001,2
QDAEIU0002,2
QDAEIU0003,2
QDAEIU0004,2
QDAEIU0005,2
QDAEIU0006,2
QDAEIU0007,2
QDAEIU0008,2
QDAEIU0009,2
QDAEIU0010,2
QDAGUP0001,2
QDAGUP0002,2
QDAGUP0003,2
QDAGUP0004,2
QDAGUP0005,2
QDAGUP0006,2
QDAGUP0007,2
QDAGUP0008,2
QDAGUP0009,2
QDAGUP0010,2
QDAGUP0011,2
QDAGUP0012,2
QDAGUP0013,2
QDAGUP0014,2
QDAGUP0015,2
QDAGUP0016,2
QDAGUP0017,2
QDAGUP0018,2
QDAGUP0019,2
QDAGUP0020,1
QDAGUP0021,1
QDAGUP0022,1
QDAGUP0023,1
QDAGUP0024,2
QDAGUP0025,2
QDAGUP0026,2
QDAGUP0027,2
QDAGUP0028,2
QDAGUP0029,1
QDAGUP0030,1
QDAGUP0031,1
QDAMGD0001,6
QDAMGD0002,6
QDAMGD0003,6
QDAMGD0004,6
QDAMGD0005,6
QDAMGD0006,6
QDAMGD0007,6
QDAMGD0008,6
QDAMGD0009,6
QDAMGD0010,6
QDAMGD0011,6
QDAMGD0012,6
QDAMGD0013,6
QDAMGD0014,6
QDAMGD0015,6
QDAMGD0016,6
QDAMGD0017,6
QDAMGD0018,6
QDAMGD0019,6
QDAMGD0020,6
QDAMGD0021,6
QDAMGD0022,6
QDAMGD0023,6
QDAMGD0024,6
QDAMGD0025,2
QDAMGD0026,2
QDAMGD0027,2
QDAMGD0028,2
QDAMII0001,2
QDAMII0002,2
QDAMUL0001,6
QDAMUL0002,6
QDAMUL0003,6
QDASEQ0001,3
QDASEQ0002,3
QDASEQ0003,3
QDASEQ0004,3
QDASSD0001,6
QDASSD0002,6
QDASSD0003,6
QDASSD0004,6
QDASSD0005,6
QDASSD0006,6
QDASSD0007,6
QDASSD0008,6
QDASSD0009,6
QDASSD0010,6
QDASSD0011,6
QDASSD0012,6
QDASSD0013,6
QDASSD0014,6
QDASSD0015,6
QDAWET0001,1
QDFWET0001,2
QDFWET0002,2
QDFWET0003,2
QDFWET0004,2
SAABHC0001,6
SAABHC0002,6
SAABHC0003,6
SAABHC0004,6
SAABHC0005,6
SAABHC0006,6
SAACHC0001,6
SAACHC0002,6
SAACHC0003,6
SAACHC0004,6
SAACHC0005,6
SAACHC0006,6
SAACHC0007,6
SAACHC0008,6
SAACHC0009,6
SAACHC0010,6
SAACHC0011,6
SAACHC0012,6
SAACHC0013,6
SAACHC0014,6
SAACHC0015,6
SAAEYB0001,5
SAAEYB0002,5
SAAEYB0003,5
SAAEYB0004,5
SAAEYB0005,5
SAAEYB0006,5
SAAEYB0007,5
SAAEYB0008,5
SAAEYB0009,5
SAAEYB0010,5
SAAEYB0011,5
SAAEYB0012,5
SAAEYB0013,5
