"","site_unique","pv","NDVI","green_mean","date"
"2","WAAPIL0003-57601",2.01183431952663,0.0908375798989383,4.04860937108494,2015-08-30
"3","TCATCH0006-58807",45.656981093063,0.417786668304069,54.2611138251099,2020-02-06
"4","WAAGAS0002-58421",25.2721893491124,0.28097497564968,NA,2016-08-08
"5","NSAMDD0014-56963",13.0993856706743,0.208429066239116,16.5484500854284,2014-06-04
"6","NTAGFU0021-53668",26.2057387057387,0.262514948432919,25.173583984375,2012-06-06
"7","NSANSS0001-58579",58.6496201891468,0.548827615556142,58.3431568431568,2018-05-09
"8","SATSTP0005-58639",8.59619867312175,0.182539537827583,1.90242477359042,2018-08-05
"9","SATSTP0005-53513",10.589349112426,0.170764189376554,1.84805345729227,2013-08-17
"10","QDASSD0015-58694",10.8331308543444,0.162302222153941,4.84963954685891,2018-06-24
"11","QDASSD0015-56924",9.66444361491153,0.145698974296448,2.76089295320065,2014-05-08
"12","QDASSD0015-57635",9.86037777965052,0.143243627427919,2.50955071294054,2015-04-25
"13","NTAFIN0002-58787",17.0464743589744,0.232600765488645,12.9365079365079,2019-05-28
"14","NTAFIN0002-53622",11.7302836052836,0.155851333129575,9.997557997558,2011-09-23
"15","NTAFIN0002-58018",22.2051282051282,0.257985287436074,19.211669921875,2016-03-05
"16","NSANAN0002-58561",46.6495323749334,0.47092263127794,45.6049107142857,2018-05-16
"17","QDAEIU0010-58883",38.4129827836801,0.412244733007406,43.9614351964852,2021-06-05
