"date","NDVI","green_mean","pv"
1987-09-02,56.3559226414542,NA,58.9551282051282
1987-09-09,NA,NA,NA
1987-09-18,55.5641912989191,NA,58.0064102564103
1987-09-25,53.9249448582643,NA,55.6794871794872
1987-10-04,22.2068591001885,NA,NA
1987-10-11,55.1800471101884,NA,57.1666666666667
1987-10-20,54.720546869134,NA,59.0128205128205
1987-11-05,NA,NA,NA
1987-11-12,53.7223738539575,NA,56.7948717948718
1987-11-21,54.5788464984059,NA,56.1794871794872
1987-11-28,NA,NA,34.0897435897436
1987-12-07,53.2661733382482,NA,54.9935897435897
1987-12-14,38.8994587813852,NA,57.3660130718954
1987-12-23,53.4519540292977,NA,68.3589743589744
1987-12-30,51.3548436913838,NA,55.474358974359
1988-01-01,NA,62.7586805555556,NA
1988-01-08,51.7882375914472,NA,58.1923076923077
1988-01-24,55.8430609139701,NA,56.6474358974359
1988-01-31,55.3017823899467,NA,58.7564102564103
1988-02-01,NA,62.7586805555556,NA
1988-02-09,56.4595069194843,NA,59.1602564102564
1988-02-16,58.3866563042629,NA,57.9551282051282
1988-02-25,NA,NA,NA
1988-03-01,NA,62.7586805555556,NA
1988-03-03,56.9068782008948,NA,58.3205128205128
1988-03-12,56.9345524898892,NA,56.8397435897436
1988-03-19,58.1370552118,NA,63.0384615384615
1988-03-28,54.793660422604,NA,57.4038461538462
1988-04-01,NA,66.8804563492064,NA
1988-04-13,56.063774964358,NA,62.8461538461538
1988-04-20,NA,NA,NA
1988-05-01,NA,66.8804563492064,NA
1988-05-06,NA,NA,NA
1988-05-15,NA,NA,NA
1988-05-31,56.4083199770859,NA,62.9166666666667
1988-06-01,NA,66.8804563492064,NA
1988-06-07,57.8030382498622,NA,64.8653846153846
1988-06-16,NA,NA,NA
1988-06-23,58.728125887773,NA,63.3012820512821
1988-07-01,NA,68.6440972222222,NA
1988-07-02,NA,NA,NA
1988-07-09,48.1663441863034,NA,75.2948717948718
1988-07-18,53.674758226472,NA,55.1818181818182
1988-07-25,57.7358376403524,NA,60.4487179487179
1988-08-01,NA,68.6440972222222,NA
1988-08-03,NA,NA,NA
1988-08-10,57.9532565448216,NA,59.0833333333333
1988-08-26,NA,NA,NA
1988-09-01,NA,68.6440972222222,NA
1988-09-04,NA,NA,NA
1988-09-11,53.4929317038569,NA,63.8974358974359
1988-09-20,54.280067673155,NA,56.8589743589744
1988-09-27,55.6109208847608,NA,59.1217948717949
1988-10-01,NA,55.5255203171457,NA
1988-10-06,51.4368739901769,NA,54.4935897435897
1988-10-13,47.5503658708225,NA,52.1025641025641
1988-10-22,51.2479892027655,NA,54.3846153846154
1988-10-29,31.9657214509548,NA,64.5068493150685
1988-11-01,NA,55.5255203171457,NA
1988-11-07,49.1632311369035,NA,52.9871794871795
1988-11-14,NA,NA,NA
1988-11-23,48.666951440518,NA,53.2371794871795
1988-11-30,48.4156677036824,NA,51.8141025641026
1988-12-01,NA,55.5255203171457,NA
1988-12-09,NA,NA,NA
1988-12-16,38.6735924407637,NA,NA
1988-12-25,NA,NA,NA
1989-01-01,NA,63.9938026772434,NA
1989-01-10,55.8965818292783,NA,58.5192307692308
1989-01-17,NA,NA,NA
1989-01-26,53.3472805688611,NA,59.2307692307692
1989-02-01,NA,63.9938026772434,NA
1989-02-02,54.0194618388895,NA,60.6089743589744
1989-02-18,57.5309983898573,NA,61.0128205128205
1989-02-27,54.9610069256206,NA,56.6794871794872
1989-03-01,NA,63.9938026772434,NA
1989-03-06,47.2989192650026,NA,68.5217391304348
1989-03-22,55.5499277688077,NA,60.8012820512821
1989-03-31,NA,NA,NA
1989-04-01,NA,63.9938026772434,NA
1989-04-23,NA,NA,NA
1989-05-01,NA,63.9938026772434,NA
1989-05-02,30.7974735364263,NA,59
1989-05-25,58.2255360486281,NA,61.7115384615385
1989-06-01,NA,63.9938026772434,NA
1989-06-03,NA,NA,NA
1989-06-26,59.0032420023174,NA,67.8333333333333
1989-07-01,NA,59.7819940476191,NA
1989-07-05,37.3193998436798,NA,48.5172413793103
1989-07-21,NA,NA,NA
1989-07-28,NA,NA,NA
1989-08-01,NA,59.7819940476191,NA
1989-08-06,NA,NA,NA
1989-08-13,56.1668167763745,NA,57.3525641025641
1989-08-22,NA,NA,NA
1989-08-29,52.5754455724897,NA,52.9935897435897
1989-09-01,NA,59.7819940476191,NA
1989-09-14,52.3033682300164,NA,51.2820512820513
1989-09-23,49.5185060216187,NA,51.0448717948718
1989-09-30,49.4425567596395,NA,50.9807692307692
1989-10-01,NA,50.6216216216216,NA
1989-10-09,NA,NA,NA
1989-10-16,45.8958512412777,NA,50.9166666666667
1989-11-01,NA,50.6216216216216,NA
1989-11-17,39.906887335376,NA,49.1025641025641
1989-11-26,NA,NA,38.6206896551724
1989-12-01,NA,50.6216216216216,NA
1989-12-03,NA,NA,22
1989-12-19,49.5463699204658,NA,54.1153846153846
1989-12-28,51.6512534806247,NA,55.25
1990-01-01,NA,54.4438104688663,NA
1990-02-01,NA,54.4438104688663,NA
1990-02-14,NA,NA,NA
1990-02-21,42.6687157940864,NA,51.7564102564103
1990-03-01,NA,54.4438104688663,NA
1990-03-02,NA,NA,49.0759493670886
1990-03-09,58.4932179048697,NA,60.8846153846154
1990-03-25,NA,NA,42.1346153846154
1990-04-01,NA,67.3971719176383,NA
1990-04-03,NA,NA,NA
1990-05-01,NA,67.3971719176383,NA
1990-05-05,57.1985997880593,NA,58.75
1990-05-12,59.713342900463,NA,63.3076923076923
1990-05-28,NA,NA,47
1990-06-01,NA,67.3971719176383,NA
1990-06-06,43.7727278031206,NA,63.1602564102564
1990-06-13,57.8158962062454,NA,68.5961538461538
1990-06-22,56.0758232124451,NA,62.4038461538462
1990-06-29,NA,NA,NA
1990-07-01,NA,71.8147321428571,NA
1990-07-08,34.8116018668116,NA,42.8387096774194
1990-07-15,NA,NA,NA
1990-07-24,NA,NA,NA
1990-07-31,49.2967373990839,NA,70.6025641025641
1990-08-01,NA,71.8147321428571,NA
1990-08-09,NA,NA,NA
1990-08-16,NA,NA,NA
1990-08-25,NA,NA,NA
1990-09-01,50.5805260333796,71.8147321428571,45.6474358974359
1990-09-10,27.9761291833634,NA,40.156462585034
1990-09-17,39.9768648918044,NA,41.2307692307692
1990-09-26,52.457753521604,NA,55.1730769230769
1990-10-01,NA,53.7331349206349,NA
1990-10-03,52.8639483720542,NA,53.2692307692308
1990-10-12,52.7950516624452,NA,53.6730769230769
1990-10-19,43.2815600992541,NA,44.762962962963
1990-10-28,49.5055355953499,NA,53.9230769230769
1990-11-01,NA,53.7331349206349,NA
1990-11-04,NA,NA,NA
1990-11-13,49.4757261647182,NA,53.5128205128205
1990-11-20,42.8996502513384,NA,49.2628205128205
1990-12-01,NA,53.7331349206349,NA
1990-12-06,52.0794463097115,NA,56.0384615384615
1990-12-15,49.3619436080692,NA,53.7884615384615
1990-12-22,49.912252106139,NA,55.0705128205128
1991-01-01,NA,58.640376984127,NA
