,Unnamed: 0,x,y,bs,pv,npv,ue,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,pv_lag,npv_lag,bs_lag,pv_change,npv_change,bs_change,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,grass,shrub,tree,SLGA_1,SLGA_2,SLGA_3,DER_000_999,precip,tmax,tmin,vapourpres_h09,vapourpres_h15,MAT,MAP,VPD,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1.5,265355.0,8609225.0,19.33471074380165,26.61570247933885,52.702479338843006,9.851239669421489,28353.0,27.641231831012778,50.19192853250642,20.8432784214635,9,1987,248,0.6816387600233341,0.6283668624009903,,,,,,,11.901642762493218,,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,35.271728515625,20.51165771484375,19.85504150390625,12.1729736328125,28.503536849906258,1455.8170301649307,2.4512691412643797,0.0,0.0,115.2607421875,1159.3974609375,1181.203125,1689.240234375,1520.1376953125,1.8948736653040488,12.33311487417724,14.076701151982743,36.19595691454283,34.873046875,202.375,243.875,517.638671875,18.9814453125,103.5380859375,140.783203125,285.4111328125,1987-09-05,348.25
1,3.5,265355.0,8609225.0,18.7685950413223,29.00413223140495,50.98347107438015,9.851239669421485,28353.0,26.827145681576205,52.32169134905677,19.580498531361638,9,1987,264,0.6816387600233341,0.6618527940178025,27.641231831012778,50.19192853250642,20.8432784214635,,,,12.083145258153928,0.18150249566071075,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,36.5592041015625,22.20556640625,22.42437744140625,14.4678955078125,28.503536849906258,1455.8170301649307,2.548761139832619,0.0,0.0,63.0341796875,1211.6240234375,1181.203125,1654.8759765625,1554.501953125,2.227689484347813,15.469660997537531,17.024228777832334,32.92481962796272,34.712890625,216.1669921875,242.62109375,551.9697265625,17.9013671875,119.3056640625,149.0673828125,305.21484375,1987-09-21,348.25
2,5.5,265355.0,8609225.0,24.892561983471097,28.34297520661155,45.45867768595045,10.061983471074399,28353.0,27.679143478363347,52.117226267071445,18.948951255897523,10,1987,280,0.7401768531960371,0.6940671385790956,26.827145681576205,52.32169134905677,19.580498531361638,0.8636363636363491,-3.6219008264462786,2.778925619834723,12.268854994353772,0.18570973619984343,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,38.9598388671875,22.653564453125,26.1531982421875,15.61285400390625,28.503536849906258,1455.8170301649307,2.7676860411146738,0.0,0.0,33.794921875,1213.9169921875,1203.7314453125,1659.2939453125,1553.2744140625,2.5958506832821113,16.440480407395988,16.789775773076485,39.81623881078886,38.220703125,224.6396484375,249.7314453125,565.8564453125,20.408203125,138.6708984375,153.087890625,329.396484375,1987-10-07,348.25
3,7.5,265355.0,8609225.0,20.6776859504132,27.96694214876035,50.21487603305785,9.81404958677685,28353.0,29.99039844140049,50.17200946703959,18.578487910040504,10,1987,296,0.7401768531960371,0.7249480041597827,27.679143478363347,52.117226267071445,18.948951255897523,-0.5185950413222997,-0.38429752066114986,0.9545454545454497,12.450983652592988,0.18212865823921653,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,10.4716796875,39.17889404296875,25.3941650390625,28.14031982421875,19.3272705078125,28.503536849906258,1455.8170301649307,2.7692698943969187,0.0,0.0,9.662109375,1201.8173828125,1239.6787109375,1653.1640625,1513.173828125,2.9372264683032476,17.440372841643494,18.756998732625362,41.11270320234579,39.701171875,236.60546875,270.2080078125,589.4345703125,24.2275390625,143.23828125,154.46484375,352.693359375,1987-10-23,348.25
4,9.0,265355.0,8609225.0,12.9752066115702,31.9834710743802,53.7685950413223,11.0661157024793,28353.0,33.52547849049289,47.029761778910185,18.17392776899917,11,1987,312,0.793577803248942,0.7544360607860527,29.99039844140049,50.17200946703959,18.578487910040504,1.8202479338843265,4.154958677685926,-5.958677685950448,12.618630674122313,0.16764702152932465,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,98.462890625,37.24542236328125,25.73492431640625,30.3724365234375,25.43896484375,28.503536849906258,1455.8170301649307,2.034868069528718,10.4716796875,0.0,9.154296875,1164.5625,1244.349609375,1655.6904296875,1514.2314453125,2.339074983519958,15.00895603610407,21.57677644168413,44.75981590619932,38.845703125,227.1162109375,280.908203125,626.5068359375,25.578125,157.1572265625,174.4658203125,371.0361328125,1987-11-08,348.25
5,9.375,265355.0,8609225.0,13.93801652892559,37.98760330578515,46.777892561983464,11.380165289256174,28353.0,38.02034624522477,43.184448682092096,17.51505806822137,11,1987,328,0.793577803248942,0.7824746544232967,33.52547849049289,47.029761778910185,18.17392776899917,5.0103305785124,-1.7184917355371923,-3.3698347107438043,12.755863435815277,0.13723276169296383,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,47.7978515625,36.79730224609375,26.0133056640625,30.36572265625,25.5576171875,28.503536849906258,1455.8170301649307,1.9799821494815166,108.9345703125,0.0,0.0,1099.8955078125,1281.3779296875,1653.109375,1494.5576171875,1.9106303351155733,12.259179258933644,14.328879137931843,43.061563599720934,37.81640625,222.666015625,260.26171875,622.052734375,25.7578125,157.2685546875,178.5361328125,407.3974609375,1987-11-24,348.25
6,9.75,265355.0,8609225.0,14.90082644628098,43.9917355371901,39.78719008264463,11.694214876033051,28353.0,43.182359024959325,39.08028030545401,16.456634003394182,12,1987,344,0.8414709848078965,0.8090099158228746,38.02034624522477,43.184448682092096,17.51505806822137,6.004132231404951,-6.990702479338836,0.9628099173553899,12.8430024215749,0.08713898575962276,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,88.0732421875,34.27777099609375,25.43988037109375,31.87481689453125,28.8857421875,28.503536849906258,1455.8170301649307,1.2799988291832676,131.5478515625,25.1845703125,0.0,1061.5458984375,1210.955078125,1688.001953125,1517.767578125,2.031218235775845,11.22010753126334,13.69763838472076,33.41990762202602,36.8759765625,214.6171875,260.6220703125,597.3857421875,26.283203125,149.587890625,184.6552734375,417.2490234375,1987-12-10,348.25
7,10.125,265355.0,8609225.0,15.86363636363637,49.99586776859505,32.796487603305785,12.008264462809926,28353.0,48.69026884883142,35.111711427319264,14.928378730441718,12,1987,360,0.8414709848078965,0.8339908640186026,43.182359024959325,39.08028030545401,16.456634003394182,6.004132231404949,-6.9907024793388395,0.9628099173553899,12.863266358341289,0.020263936766388824,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,126.265625,33.46087646484375,24.92742919921875,31.07305908203125,29.89141845703125,28.503536849906258,1455.8170301649307,1.1008800231920965,134.7744140625,110.03125,0.0,970.626953125,1217.609375,1472.3916015625,1800.1044921875,1.0007536238512738,3.969683793706697,11.475483391462074,31.50823680407693,33.4658203125,189.015625,250.0107421875,588.0673828125,24.4931640625,148.1181640625,181.8310546875,413.1220703125,1987-12-26,348.25
8,10.5,265355.0,8609225.0,16.82644628099176,56.0,25.80578512396695,12.3223140495868,28353.0,53.79686760254728,31.167747976902433,13.805423427464383,1,1988,11,0.08323691620031025,0.03013242458278834,48.69026884883142,35.111711427319264,14.928378730441718,6.004132231404949,-6.9907024793388395,0.9628099173553899,12.810284173829636,-0.052982184511652264,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,57.5615234375,35.77362060546875,25.5360107421875,32.4156494140625,29.22540283203125,28.503536849906258,1455.8170301649307,1.4780774273330664,214.3388671875,156.732421875,0.0,886.1767578125,1198.802734375,1452.8525390625,1865.6337890625,1.3820362963886599,6.939308922527921,7.328921608862021,18.55903416752591,34.6728515625,202.9873046875,232.4921875,537.7138671875,24.6259765625,148.3564453125,177.041015625,403.2578125,1988-01-11,350.45
9,12.0,265355.0,8609225.0,13.9752066115702,62.504132231405,22.198347107438,11.7685950413223,28353.0,59.62546511921015,27.39400438518203,11.791551812111809,1,1988,27,0.08323691620031025,0.0739051588474336,53.79686760254728,31.167747976902433,13.805423427464383,6.254132231404977,-5.2990702479338925,-0.9442148760330848,12.696656801288364,-0.11362737254127175,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,114.2451171875,34.080810546875,24.97027587890625,30.8848876953125,28.96527099609375,28.503536849906258,1455.8170301649307,1.2514070453117985,181.216796875,242.4521484375,4.9638671875,710.2412109375,1044.0751953125,1602.212890625,1868.7529296875,1.370986815735105,9.75995940517292,10.02747446375959,18.188063279618017,35.283203125,215.1181640625,251.291015625,540.837890625,25.9755859375,154.6259765625,178.7021484375,399.2958984375,1988-01-27,350.45
10,13.0,265356.709401709,8609226.1965812,6.85470085470085,55.3675213675214,37.2649572649573,17.8461538461538,28353.0,65.08728475394598,25.27596229914635,8.473394298956572,2,1988,43,0.16589613269341502,0.11753590256043975,59.62546511921015,27.39400438518203,11.791551812111809,-0.3162393162393009,5.729586070495177,-4.985872713145455,12.541230567326032,-0.15542623396233246,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,89.8916015625,33.64996337890625,24.37078857421875,31.12066650390625,29.90679931640625,28.503536849906258,1455.8170301649307,1.0736726285134761,147.859375,314.5185546875,80.5,371.61328125,1279.64453125,1598.798828125,1518.759765625,0.63434154927631,6.478784800326034,10.194536418347361,24.14421767675484,30.7080078125,197.6669921875,245.8017578125,572.80859375,25.18359375,150.244140625,173.5146484375,409.8857421875,1988-02-12,350.45
11,14.0,265355.0,8609225.0,3.75206611570248,67.1487603305785,27.6611570247934,15.9504132231405,28353.0,68.33292900859328,26.100099974468705,4.39912357663271,2,1988,59,0.16589613269341502,0.16094082999888235,65.08728475394598,25.27596229914635,8.473394298956572,2.3223140495867476,2.7314049586777003,-5.1115702479338605,12.362755181071455,-0.17847538625457737,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,152.029296875,34.65460205078125,25.02947998046875,31.58587646484375,30.81195068359375,28.503536849906258,1455.8170301649307,1.2160976642843073,199.1806640625,323.505859375,110.0830078125,158.59765625,1467.884765625,1430.7763671875,1531.8681640625,0.9885970204488574,6.866812272960599,8.580549155111864,18.299072986031277,34.4384765625,206.408203125,239.81640625,531.9130859375,24.2939453125,145.59375,169.626953125,399.3603515625,1988-02-28,350.45
12,15.5,265355.0,8609225.0,1.2768595041322306,69.18595041322315,28.21074380165285,16.3512396694215,28353.0,67.96756063542891,29.04791702362757,1.7863773557117761,3,1988,75,0.24740395925452294,0.20403654929016468,68.33292900859328,26.100099974468705,4.39912357663271,6.909214522850878,-4.527106731652227,-2.7889206752843094,12.175178064619663,-0.18757711645179143,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,120.3828125,32.84588623046875,24.773681640625,30.35546875,29.31988525390625,28.503536849906258,1455.8170301649307,1.0635807428050028,234.6494140625,389.0126953125,161.13671875,78.1240234375,1428.98046875,1383.908203125,1408.1201171875,1.3450626942819321,6.6577000230939225,9.114883391866949,18.898944418590716,32.912109375,202.0615234375,249.0146484375,551.1484375,24.3427734375,147.208984375,178.162109375,390.2724609375,1988-03-15,350.45
13,17.0,265355.0,8609225.0,0.917355371900826,70.9917355371901,26.8181818181818,16.9834710743802,28353.0,63.37422163068901,33.40548864324637,1.96481383028229,3,1988,91,0.24740395925452294,0.24674026262895252,67.96756063542891,29.04791702362757,1.7863773557117761,1.921487603305799,-0.4214876033058008,-1.4173553719008272,11.988085425716257,-0.18709263890340644,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,37.380859375,33.29937744140625,23.2857666015625,29.159423828125,24.37481689453125,28.503536849906258,1455.8170301649307,1.3016398965813711,272.337890625,368.6650390625,264.1787109375,33.794921875,1401.9931640625,1361.109375,1364.501953125,0.8071972772977403,4.70521575319756,8.945332438122064,19.85903525977256,32.58203125,188.7822265625,236.345703125,551.8125,24.8330078125,151.328125,171.8916015625,398.0400390625,1988-03-31,350.45
14,18.0,265355.0,8609225.0,2.1900826446281,61.900826446281,34.6611570247934,15.1487603305785,28353.0,55.606268984986215,38.858812132324566,4.25871511703572,4,1988,107,0.3271946967961522,0.2889699253527544,63.37422163068901,33.40548864324637,1.96481383028229,-3.642561983471076,3.2252066115702736,0.45661157024793475,11.809260810885974,-0.17882461483028322,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,1.0439453125,35.13360595703125,23.2423095703125,27.15997314453125,20.561279296875,28.503536849906258,1455.8170301649307,1.863116473788946,136.763671875,400.1162109375,405.6826171875,23.841796875,1302.6904296875,1143.79296875,1683.6689453125,1.6543488854242243,9.891270009053594,7.710277802388941,16.236643264568666,33.92578125,196.7255859375,235.6513671875,524.197265625,20.91015625,126.6201171875,175.0595703125,398.03515625,1988-04-16,350.45
15,19.5,265355.0,8609225.0,10.615702479338825,41.71074380165285,46.3595041322314,15.636363636363651,28353.0,46.2695908347352,44.156886533217076,8.28892177904903,5,1988,123,0.40471456356112473,0.33064440357052394,55.606268984986215,38.858812132324566,4.25871511703572,-14.640495867768621,9.7706611570248,4.849173553718999,11.647397029227717,-0.16186378165825666,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,34.617919921875,22.67010498046875,25.6988525390625,21.62530517578125,28.503536849906258,1455.8170301649307,1.754909723521086,27.55859375,443.5771484375,462.7451171875,19.0498046875,1314.3515625,1138.0341796875,1692.2841796875,1.9827286973964282,11.402043814742992,13.07941001595849,22.689707568342435,34.4384765625,210.3154296875,248.251953125,535.4345703125,21.02734375,142.349609375,163.76953125,367.3203125,1988-05-02,350.45
16,21.5,265355.0,8609225.0,11.88429752066115,29.6487603305785,57.30578512396695,12.603305785124,28353.0,36.73328388185961,49.24033590496535,12.758507798663995,5,1988,139,0.40471456356112473,0.37168363004143945,46.2695908347352,44.156886533217076,8.28892177904903,-16.126033057851252,11.322314049586776,4.847107438016525,11.513842466625938,-0.13355456260177867,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.6630859375,33.59130859375,21.74371337890625,24.1866455078125,19.02587890625,28.503536849906258,1455.8170301649307,1.7323939938394404,1.0439453125,391.138671875,463.36328125,88.060546875,1323.6611328125,1138.046875,1688.58203125,1.4228438666998242,11.126294072462219,12.352682509073855,29.714319373850785,34.9775390625,203.9482421875,246.125,561.841796875,23.3369140625,141.08203125,155.1181640625,370.3310546875,1988-05-18,350.45
17,23.5,265355.0,8609225.0,18.1570247933884,25.95454545454545,54.636363636363654,12.5206611570248,28353.0,28.162469782939947,54.65183578883094,16.016896680405257,6,1988,155,0.479425538604203,0.41200875800437725,36.73328388185961,49.24033590496535,12.758507798663995,-7.878099173553702,4.138429752066127,3.7706611570247865,11.422194241064965,-0.09164822556097363,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,32.34747314453125,16.4779052734375,17.2320556640625,11.28936767578125,28.503536849906258,1455.8170301649307,1.9286573243908103,0.6630859375,296.0087890625,496.6591796875,150.9384765625,1323.4697265625,1138.154296875,1687.525390625,1.8309658341303252,10.687698147291655,12.788950605865482,27.476934757986555,32.4150390625,198.4140625,238.5263671875,553.15625,22.640625,127.0361328125,149.6787109375,368.0810546875,1988-06-03,350.45
18,25.5,265355.0,8609225.0,20.16115702479335,25.17768595041325,53.53719008264465,11.8884297520661,28353.0,24.190484783232495,56.23248880944483,18.382794533202436,6,1988,171,0.479425538604203,0.45154231266253464,28.162469782939947,54.65183578883094,16.016896680405257,-2.235537190082626,-1.8842975206611499,4.1384297520661,11.384782320641158,-0.03741192042380703,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,31.05462646484375,18.346923828125,15.949462890625,14.02752685546875,28.503536849906258,1455.8170301649307,1.8018781108978255,0.302734375,117.1376953125,637.2626953125,189.56640625,1323.4697265625,1132.4130859375,1693.2666015625,1.6806069101887657,11.76940462904595,14.181797887521558,28.840596304655342,29.794921875,190.439453125,231.1845703125,535.49609375,10.55078125,83.92578125,127.568359375,340.95703125,1988-06-19,350.45
19,27.5,265355.0,8609225.0,16.7685950413223,27.028925619834702,55.099173553719,11.4545454545455,28353.0,23.485879790701915,55.92181808161068,19.42607323592371,7,1988,187,0.5508090958869698,0.4902083400321613,24.190484783232495,56.23248880944483,18.382794533202436,0.5371900826446261,0.23140495867767186,-0.6942148760330493,11.407302753709937,0.022520433068779155,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,32.8035888671875,19.67767333984375,17.12921142578125,14.71630859375,28.503536849906258,1455.8170301649307,2.03355238252915,0.0,13.251953125,593.9580078125,337.0595703125,1304.869140625,1151.009765625,1693.2705078125,1.683391022873725,10.792517601605287,13.078280034863486,31.21132126957481,33.416015625,194.103515625,208.39453125,512.37890625,20.447265625,118.494140625,122.95703125,253.697265625,1988-07-05,350.45
20,29.5,265355.0,8609225.0,19.89669421487605,26.9545454545455,51.8305785123967,11.066115702479351,28353.0,26.050476581214966,53.450260329944285,19.378914141659745,7,1988,203,0.5508090958869698,0.527932552869423,23.485879790701915,55.92181808161068,19.42607323592371,0.8884297520661253,-0.8533057851239754,-0.1322314049586506,11.485756417875736,0.07845366416579935,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,33.27691650390625,19.57281494140625,16.42596435546875,13.65728759765625,28.503536849906258,1455.8170301649307,2.181140620947081,0.0,1.3203125,519.16015625,423.7890625,1304.869140625,1151.0078125,1693.2724609375,1.8949829037927133,11.595536799319145,15.15379902142035,29.612862097541772,33.4658203125,195.806640625,232.65234375,498.8466796875,20.947265625,110.373046875,143.05859375,302.3623046875,1988-07-21,350.45
21,31.5,265355.0,8609225.0,18.8719008264463,26.9793388429752,53.03719008264465,10.561983471074399,28353.0,27.50670081907039,52.3239755664261,19.10229717318191,8,1988,219,0.618369803069737,0.5646424733950354,26.050476581214966,53.450260329944285,19.378914141659745,-0.024793388429751317,-1.0309917355371745,1.0516528925620001,11.60865645855345,0.12290004067771321,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,34.11004638671875,20.41192626953125,19.25396728515625,16.26007080078125,28.503536849906258,1455.8170301649307,2.091689699606245,0.0,0.6630859375,457.6611328125,485.9453125,1282.2392578125,1173.6240234375,1690.814453125,2.2289202579148357,13.454239735455127,15.625207036415226,32.48782857138965,33.8447265625,201.251953125,231.0322265625,528.2265625,19.681640625,132.970703125,122.1591796875,312.732421875,1988-08-06,350.45
22,33.0,265355.0,8609225.0,18.2561983471074,28.1818181818182,52.5867768595041,10.5785123966942,28353.0,27.580955019696653,51.77693689008575,19.553605121176325,8,1988,235,0.618369803069737,0.6002675725424578,27.50670081907039,52.3239755664261,19.10229717318191,0.6136363636363509,0.37809917355370004,-0.8202479338843247,11.762337707865875,0.15368124931242555,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,34.98870849609375,21.99713134765625,20.7777099609375,17.07354736328125,28.503536849906258,1455.8170301649307,2.230580537180411,0.0,0.0,325.2470703125,619.0224609375,1274.658203125,1181.205078125,1690.814453125,1.904666497175246,12.268268699009804,14.733106160185306,36.03828340558788,35.6552734375,210.23046875,232.1748046875,533.8291015625,20.671875,129.341796875,134.3134765625,317.0751953125,1988-08-22,350.45
23,34.5,265355.0,8609225.0,20.62396694214875,27.78512396694215,50.4876033057851,9.669421487603325,28353.0,29.30778722850286,49.17770106974396,20.27056386542305,9,1988,251,0.6816387600233341,0.6347394054621148,27.580955019696653,51.77693689008575,19.553605121176325,0.4028925619834762,-1.2747933884297744,0.8760330578512256,11.93502797664552,0.172690268779645,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0,36.5535888671875,21.71160888671875,20.40948486328125,14.6129150390625,28.503536849906258,1455.8170301649307,2.6017022267829413,0.0,0.0,204.5244140625,739.7451171875,1274.658203125,1181.203125,1689.240234375,2.4167702579370616,12.843584916046137,17.362754486562906,32.154214347810324,37.2529296875,213.5205078125,239.3857421875,547.720703125,23.541015625,135.4462890625,146.8828125,330.4111328125,1988-09-07,350.45
24,36.5,265355.0,8609225.0,19.4876033057851,29.942148760330547,49.3801652892562,10.3925619834711,28353.0,28.69407044297956,50.068155595633094,19.947629915194845,9,1988,267,0.6816387600233341,0.6679917430213101,29.30778722850286,49.17770106974396,20.27056386542305,0.8801652892561727,-1.6033057851239505,0.6157024793388501,12.117858798999293,0.18283082235377357,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,0.0849609375,37.9896240234375,23.65087890625,27.12225341796875,17.598388671875,28.503536849906258,1455.8170301649307,2.527282602271856,0.0,0.0,68.734375,875.53515625,1274.658203125,1177.86328125,1658.2158203125,2.3183961375858546,15.884101996840354,18.600010105977983,37.66657106230433,36.9326171875,215.41796875,257.7705078125,564.8955078125,21.3505859375,118.216796875,161.45703125,352.2314453125,1988-09-23,350.45
25,38.5,265355.0,8609225.0,19.260330578512402,29.98760330578515,49.52479338842976,9.132231404958675,28353.0,28.201643383750483,52.26071668628366,18.257472228809768,10,1988,283,0.7401768531960371,0.6999606990471843,28.69407044297956,50.068155595633094,19.947629915194845,1.1012396694214992,-0.48140495867767186,-0.6818181818181746,12.303547053762905,0.18568825476361184,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,5.98046875,38.283447265625,24.6822509765625,27.626953125,19.06341552734375,28.503536849906258,1455.8170301649307,2.574792883431871,0.0849609375,0.0,1.70703125,942.5625,1247.7119140625,1203.689453125,1659.3359375,2.741127407625222,15.523238990207343,17.838065719732853,41.20637122591868,38.69140625,231.1171875,264.779296875,583.3671875,24.248046875,142.80859375,163.6357421875,348.74609375,1988-10-09,350.45
26,40.0,265355.0,8609225.0,18.2148760330579,30.4793388429752,49.8842975206612,10.6115702479339,28353.0,33.78609185740714,49.00750911825273,16.171535829985512,10,1988,299,0.7401768531960371,0.7305848530682543,28.201643383750483,52.26071668628366,18.257472228809768,0.26859504132232637,0.25206611570250104,-0.6363636363635994,12.483927019514912,0.18037996575200665,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,83.484375,38.112060546875,25.0960693359375,29.1553955078125,21.540283203125,28.503536849906258,1455.8170301649307,2.3822485308439596,6.0654296875,0.0,0.6630859375,943.6064453125,1208.833984375,1242.306640625,1653.181640625,2.9616063525172804,15.454923763957161,17.59703822668748,41.3331170039674,39.19140625,230.6845703125,266.107421875,611.1396484375,25.267578125,148.70703125,173.03515625,378.5986328125,1988-10-25,350.45
27,41.0,265355.0,8609225.0,13.8347107438017,41.2892561983471,43.5206611570248,9.78512396694215,28353.0,40.23636001217668,45.23838130210738,13.680159652273279,11,1988,315,0.793577803248942,0.7598053683187144,33.78609185740714,49.00750911825273,16.171535829985512,5.650826446280973,-3.0020661157024797,-2.712809917355351,12.647244380743583,0.16331736122867113,10950,0,4.2,5.6,18.4,-1.4921717982298657,-3.169308275513785,-1.5464648786345718,22.89476,43.9306640625,36.08294677734375,25.2362060546875,30.15301513671875,25.973388671875,28.503536849906258,1455.8170301649307,1.7752773311790069,89.46484375,0.0849609375,0.6630859375,917.4404296875,1199.8828125,1243.6494140625,1640.875,1.8615008554438162,12.5380381277736,17.50174780541102,42.35319846892093,37.5263671875,224.0458984375,268.978515625,615.2255859375,26.1279296875,153.2880859375,173.2255859375,395.9052734375,1988-11-10,350.45
