"","X","site_location_name","latitude","longitude","mga","SW_easting","SW_northing"
"306",306,"QDAGUP0014",-18.2388388888889,140.787038888889,54,477485.881901509,7983376.82891246
"307",307,"QDAGUP0015",-18.2570472222222,140.732569444444,54,471730.319631351,7981354.7044475
"308",308,"QDAGUP0016",-18.2488555555556,140.748266666667,54,473388.410984718,7982263.38466476
"316",316,"QDAGUP0026",-17.4704861111111,140.847705555556,54,483830.262397019,8068389.78146614
"317",317,"QDAGUP0027",-17.3757277777778,141.175841666667,54,518679.484043357,8078870.75227799
"318",318,"QDAGUP0028",-17.2950416666667,141.178916666667,54,519014.444514539,8087796.68259322
"319",319,"QDAGUP0029",-16.8471638888889,143.158461111111,54,729984.56665548,8136096.4001615
"320",320,"QDAGUP0030",-16.8480416666667,143.158466666667,54,729984.097482135,8135999.23323958
"321",321,"QDAGUP0031",-16.8480583333333,143.157519444444,54,729883.111062453,8135998.49113501
"322",322,"QDAMGD0001",-23.5207694444444,144.225891666667,55,216731.510430242,7396091.12971488
"323",323,"QDAMGD0002",-23.5094777777778,144.226038888889,55,216722.365377058,7397342.49269904
"324",324,"QDAMGD0003",-23.5308277777778,144.303463888889,55,224677.551678945,7395127.8619223
"325",325,"QDAMGD0004",-23.5140738333333,144.341707355556,55,228549.83687914,7397056.95110609
"326",326,"QDAMGD0005",-23.5177361111111,144.333286111111,55,227697.020776424,7396635.24712114
"327",327,"QDAMGD0006",-23.6647083333333,144.041794444444,55,198251.836684543,7379765.56614295
"328",328,"QDAMGD0007",-23.6581722222222,144.094941666667,55,203661.504487107,7380601.3103991
"329",329,"QDAMGD0008",-23.6460138888889,144.074980555556,55,201596.495752849,7381906.91292585
"330",330,"QDAMGD0009",-24.0941638888889,143.3365,54,737518.879843852,7333370.32507099
"331",331,"QDAMGD0010",-24.0912138888889,143.353413888889,54,739244.404987717,7333668.36530155
"332",332,"QDAMGD0011",-24.0806305555556,143.315183333333,54,735375.857818526,7334905.43586772
"333",333,"QDAMGD0012",-24.8218222222222,144.823608333333,55,280030.794382087,7253026.99737202
"334",334,"QDAMGD0013",-22.5161777777778,143.050230555556,54,710884.145056216,7508592.29526391
"335",335,"QDAMGD0014",-22.50515,143.025197222222,54,708325.01335857,7509848.62906699
"336",336,"QDAMGD0015",-22.5629305555556,143.058172222222,54,711629.939875016,7503403.47641936
"337",337,"QDAMGD0016",-22.5089638888889,143.139880555556,54,720119.84917589,7509261.99616346
"338",338,"QDAMGD0017",-22.1149666666667,143.299425,54,737202.744999725,7552655.19851532
"339",339,"QDAMGD0018",-22.1181777777778,143.337166666667,54,741092.158659528,7552240.19329065
"340",340,"QDAMGD0019",-22.0701222222222,142.231813888889,54,627093.340292037,7558898.06931212
"341",341,"QDAMGD0020",-22.0636027777778,142.223008333333,54,626190.50897252,7559627.11997491
"342",342,"QDAMGD0021",-22.3808,141.299880555556,54,530870.703855953,7524992.07775998
"343",343,"QDAMGD0022",-22.3687444444444,141.287280555556,54,529576.156937446,7526329.06275017
"344",344,"QDAMGD0023",-23.6872416666667,140.986636111111,54,498637.479722573,7380399.39389004
"345",345,"QDAMGD0024",-23.6464194444444,141.003738888889,54,500381.318194331,7384918.84551644
"346",346,"QDAMGD0025",-20.3379472222222,143.872438888889,54,799921.619163346,7748506.25066992
"347",347,"QDAMGD0026",-20.3961916666667,143.860777777778,54,798591.057964604,7742075.72183941
"348",348,"QDAMGD0027",-20.0695166666667,138.174561111111,54,204482.091246895,7778324.10227486
"349",349,"QDAMGD0028",-19.9491388888889,138.098630555556,54,196303.970715708,7791521.8971561
"350",350,"QDAMII0001",-19.50785,140.221358333333,54,418297.904372318,7842793.11805259
"351",351,"QDAMII0002",-20.0078944444444,138.160591666667,54,202904.080664112,7785124.88003031
"352",352,"QDAMUL0001",-24.7336472222222,144.683438888889,55,265693.286992992,7262562.02793686
"353",353,"QDAMUL0002",-24.7381527777778,144.701591666667,55,267538.365087763,7262093.8549988
"354",354,"QDAMUL0003",-24.7551222222222,144.708322222222,55,268250.825988157,7260225.35384487
"355",355,"QDASEQ0001",-27.388974,152.880106,56,488145.890818373,6970475.40973436
"356",356,"QDASEQ0002",-26.9026219444444,151.632718888889,56,364220.629673166,7023617.05649426
"357",357,"QDASEQ0003",-27.391123,152.876739,56,487813.22549898,6970237.04968784
"358",358,"QDASEQ0004",-27.390056,152.875777,56,487717.994904557,6970355.14199684
"359",359,"QDASSD0001",-23.7640694444444,138.476516666667,54,242811.511351225,7369610.55214699
"360",360,"QDASSD0002",-23.8277194444444,138.389702777778,54,234089.23063677,7362398.91331633
"361",361,"QDASSD0003",-23.8315722222222,138.407416666667,54,235902.390124679,7362005.20821944
"362",362,"QDASSD0004",-23.680125,138.433775,54,238285.715399087,7378832.32984631
"363",363,"QDASSD0005",-23.6944388888889,138.440997222222,54,239051.074903695,7377259.81521501
"364",364,"QDASSD0006",-23.8795416666667,138.098419444444,54,204517.579164978,7356079.2199167
