"","X","site_location_name","latitude","longitude","mga","SW_easting","SW_northing"
"61",61,"NSAMDD0021",-33.2008361111111,145.717186111111,55,380433.074525298,6325714.97647889
"62",62,"NSAMDD0022",-33.2252222222222,145.760172222222,55,384471.980183383,6323059.49036508
"63",63,"NSAMDD0023",-32.6900916666667,144.649777777778,55,279661.766031372,6380627.12556421
"64",64,"NSAMDD0024",-32.6822083333333,144.627461111111,55,277549.471718142,6381454.73374144
"65",65,"NSAMDD0025",-31.6085916666667,144.246994444444,55,238819.704630639,6499657.39305955
"66",66,"NSAMDD0026",-31.6280111111111,144.201152777778,55,234524.299651055,6497393.29694087
"67",67,"NSAMDD0027",-31.4869194444444,144.189633333333,55,233029.284772042,6513011.64566447
"68",68,"NSAMDD0028",-31.4914388888889,144.182816666667,55,232394.379467315,6512493.83304102
"69",69,"NSAMDD0029",-31.3325166666667,144.366963888889,55,249470.068995822,6530551.16751561
"70",70,"NSAMDD0030",-31.3179277777778,144.363766666667,55,249127.034100551,6532161.57509143
"71",71,"NSAMDD0031",-32.5862694444444,145.492225,55,358489.332756961,6393574.80467972
"72",72,"NSAMDD0032",-32.7432472222222,145.420908333333,55,352054.235507219,6376073.24537484
"73",73,"NSAMUL0001",-29.2461944444444,145.009269444444,55,306543.732548192,6763095.26376457
"74",74,"NSAMUL0002",-29.21015,145.042447222222,55,309701.896040889,6767144.35095415
"75",75,"NSAMUL0003",-29.1858916666667,145.057058333333,55,311078.070901888,6769856.469762
"76",76,"NSAMUL0004",-29.1699861111111,145.066908333333,55,312007.021987557,6771635.05298584
"77",77,"NSANAN0001",-30.2837416666667,150.152725,56,226115.699378339,6646339.54551448
"78",78,"NSANAN0002",-30.2822805555556,150.152063888889,56,226048.015861328,6646499.95865143
"79",79,"NSANET0001",-29.2564805555556,151.707944444444,56,374460.200259942,6762906.13486581
"80",80,"NSANSS0001",-32.7498555555556,148.347694444444,55,626254.921933106,6375640.17589389
"81",81,"NSANSS0002",-32.8352299647222,148.323979966389,55,623914.649997222,6366202.85017942
"82",82,"NSTNSS0001",-33.0839138888889,150.228138888889,56,241268.581812081,6335992.38420316
"83",83,"NSTSYB0001",-33.6733444444444,151.134961111111,56,327099.384438266,6272501.37860052
"84",84,"NSTSYB0002",-33.5947055555556,150.625916666667,56,279698.178696753,6280254.49599935
"85",85,"NSTSYB0003",-33.5266944444444,150.565833333333,56,273944.217859123,6287668.0106885
"86",86,"NSTSYB0004",-33.7050222222222,150.456416666667,56,264266.803027194,6267645.00345085
"87",87,"NSTSYB0005",-33.6479138888889,150.319194444444,56,251381.412273723,6273657.36070817
"88",88,"NSTSYB0006",-33.3110111111111,150.251194444444,56,244083.474692991,6310860.53185265
"89",89,"NSTSYB0007",-33.3293666666667,150.139719444444,56,233757.542435203,6308545.20903867
"90",90,"NSTSYB0008",-33.22035,150.027222222222,56,222937.772714811,6320344.62950279
"91",91,"NSTSYB0009",-33.5788305555556,150.364622222222,56,255400.313772033,6281428.26872968
