date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,31,38.05565047595802,9.246398046398046,51.37200781631656,28,35,39,42,46,2,4,10,14,17,40,43,50,59,65,
1988-02,72,,,,,,,,,,,,,,,,,,,
1988-03,69,,,,,,,,,,,,,,,,,,,
1988-04,26,27.873046875,3.319469716662334,67.524658203125,22,25,28,31,32,0,1,3,5,7,62,63,67,72,75,
1988-05,101,,,,,,,,,,,,,,,,,,,
1988-06,3,,,,,,,,,,,,,,,,,,,
1988-07,1,28.628355295265983,5.167655786350148,64.76256710590532,20,27,29,31,34,0,2,4,9,12,57,59,65,69,76,
1988-08,6,,,,,,,,,,,,,,,,,,,
1988-09,0,,,,,,,,,,,,,,,,,,,
1988-10,0,43.033186920449,5.83251953125,50.00487804878049,34,40,44,47,49,1,3,5,9,12,43,45,48,56,63,
1988-11,2,,,,,,,,,,,,,,,,,,,
1988-12,116,,,,,,,,,,,,,,,,,,,
1989-01,48,32.99804782820888,8.838662435928729,56.593162393162395,25,29,33,37,40,3,5,9,12,14,48,51,54,64,67,
1989-02,79,,,,,,,,,,,,,,,,,,,
1989-03,29,,,,,,,,,,,,,,,,,,,
1989-04,66,28.30380673499268,8.727716727716727,61.37439024390244,20,24,27,34,37,2,5,8,13,17,48,56,62,67,72,
1989-05,6,,,,,,,,,,,,,,,,,,,
1989-06,136,,,,,,,,,,,,,,,,,,,
1989-07,2,32.1776476329917,8.050744083922908,58.25085490962384,26,29,33,35,37,3,5,8,11,15,50,54,58,62,67,
1989-08,0,,,,,,,,,,,,,,,,,,,
1989-09,0,,,,,,,,,,,,,,,,,,,
1989-10,0,37.81476050830889,7.970646766169154,52.75347815474738,27,36,39,41,44,1,4,8,12,14,43,46,51,59,68,
1989-11,2,,,,,,,,,,,,,,,,,,,
1989-12,4,,,,,,,,,,,,,,,,,,,
1990-01,164,50.080546741518184,7.119094977623073,41.763125763125764,39,47,51,54,57,2,4,7,10,12,36,38,41,44,56,
