date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,15,,,,,,,,,,,,,,,,,,,
1988-02,6,,,,,,,,,,,,,,,,,,,
1988-03,21,,,,,,,,,,,,,,,,,,,
1988-04,16,,,,,,,,,,,,,,,,,,,
1988-05,51,,,,,,,,,,,,,,,,,,,
1988-06,40,,,,,,,,,,,,,,,,,,,
1988-07,23,,,,,,,,,,,,,,,,,,,
1988-08,6,,,,,,,,,,,,,,,,,,,
1988-09,16,,,,,,,,,,,,,,,,,,,
1988-10,3,,,,,,,,,,,,,,,,,,,
1988-11,27,,,,,,,,,,,,,,,,,,,
1988-12,51,,,,,,,,,,,,,,,,,,,
1989-01,8,,,,,,,,,,,,,,,,,,,
1989-02,2,,,,,,,,,,,,,,,,,,,
1989-03,125,,,,,,,,,,,,,,,,,,,
1989-04,38,,,,,,,,,,,,,,,,,,,
1989-05,52,,,,,,,,,,,,,,,,,,,
1989-06,26,,,,,,,,,,,,,,,,,,,
1989-07,41,,,,,,,,,,,,,,,,,,,
1989-08,12,,,,,,,,,,,,,,,,,,,
1989-09,9,,,,,,,,,,,,,,,,,,,
1989-10,7,,,,,,,,,,,,,,,,,,,
1989-11,14,,,,,,,,,,,,,,,,,,,
1989-12,6,,,,,,,,,,,,,,,,,,,
1990-01,12,,,,,,,,,,,,,,,,,,,
1990-02,15,,,,,,,,,,,,,,,,,,,
1990-03,2,,,,,,,,,,,,,,,,,,,
1990-04,17,24.81656082071324,10.831340004881621,62.969978032706855,19,22,25,28,30,5,8,11,14,16,57,59,63,66,69,
1990-05,49,,,,,,,,,,,,,,,,,,,
1990-06,16,,,,,,,,,,,,,,,,,,,
1990-07,29,15.69050524774225,6.6015625,76.2607421875,11,13,15,19,23,2,4,7,9,12,70,73,76,79,82,
1990-08,23,,,,,,,,,,,,,,,,,,,
1990-09,20,,,,,,,,,,,,,,,,,,,
1990-10,7,34.265380859375,3.6444103351240726,60.976812301684156,28,31,34,38,40,0,1,3,6,8,54,58,61,64,67,
1990-11,4,,,,,,,,,,,,,,,,,,,
1990-12,7,,,,,,,,,,,,,,,,,,,
1991-01,91,35.44126984126984,5.413504189255791,57.515625,31,33,35,38,40,1,3,5,8,9,53,55,57,60,63,
1991-02,0,,,,,,,,,,,,,,,,,,,
