date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,18,27.901831501831502,4.650793650793651,66.17460317460318,21,24,26,30,43,1,2,4,7,9,52,65,67,70,72,
1988-02,13,,,,,,,,,,,,,,,,,,,
1988-03,70,,,,,,,,,,,,,,,,,,,
1988-04,6,11.270151441133367,28.81844802342606,58.189208984375,2,5,9,19,25,8,20,31,38,42,51,53,58,62,68,
1988-05,93,,,,,,,,,,,,,,,,,,,
1988-06,1,,,,,,,,,,,,,,,,,,,
1988-07,1,10.284493284493285,46.396143519648525,41.73693209574988,1,3,10,17,21,35,40,48,52,54,35,37,42,46,49,
1988-08,10,,,,,,,,,,,,,,,,,,,
1988-09,0,,,,,,,,,,,,,,,,,,,
1988-10,0,17.367097876494995,10.982905982905983,70.146728515625,8,14,17,20,29,6,8,11,14,16,60,65,69,75,82,
1988-11,10,,,,,,,,,,,,,,,,,,,
1988-12,106,,,,,,,,,,,,,,,,,,,
1989-01,36,26.901539213290985,6.240234375,65.36239316239316,18,20,25,32,44,3,4,6,9,12,51,58,67,73,75,
1989-02,16,,,,,,,,,,,,,,,,,,,
1989-03,10,,,,,,,,,,,,,,,,,,,
1989-04,10,36.321768873686786,3.7763578274760383,58.59047619047619,23,26,32,47,63,1,2,4,5,6,34,48,63,69,72,
1989-05,15,,,,,,,,,,,,,,,,,,,
1989-06,63,,,,,,,,,,,,,,,,,,,
1989-07,0,28.543478260869566,7.885225885225886,62.17984382625671,16,19,26,40,47,2,4,8,11,14,45,48,63,73,76,
1989-08,0,,,,,,,,,,,,,,,,,,,
1989-09,0,,,,,,,,,,,,,,,,,,,
1989-10,0,47.24175824175824,6.0075702075702075,45.22300928187592,36,39,45,56,64,3,4,6,8,10,31,36,46,54,57,
1989-11,3,,,,,,,,,,,,,,,,,,,
1989-12,5,,,,,,,,,,,,,,,,,,,
1990-01,108,26.508416686996828,37.46985599218941,34.21826171875,8,15,29,36,46,27,34,38,42,46,24,26,30,42,53,
1990-02,32,,,,,,,,,,,,,,,,,,,
1990-03,5,,,,,,,,,,,,,,,,,,,
1990-04,0,24.665282189103348,16.96802538442763,56.83882783882784,11,17,23,33,44,7,14,17,21,23,45,50,57,62,71,
1990-05,0,,,,,,,,,,,,,,,,,,,
1990-06,3,,,,,,,,,,,,,,,,,,,
1990-07,1,,,,,,,,,,,,,,,,,,,
1990-08,3,,,,,,,,,,,,,,,,,,,
1990-09,0,,,,,,,,,,,,,,,,,,,
1990-10,2,51.91670737664875,4.640911342248638,41.92106549364614,37,42,52,60,70,1,3,4,7,9,28,34,40,53,56,
1990-11,0,,,,,,,,,,,,,,,,,,,
1990-12,3,,,,,,,,,,,,,,,,,,,
1991-01,37,56.844482421875,5.141336633663366,36.39267399267399,44,49,57,64,70,1,2,5,8,10,27,31,34,43,47,
1991-02,4,,,,,,,,,,,,,,,,,,,
1991-03,4,,,,,,,,,,,,,,,,,,,
1991-04,4,67.37420615534928,2.684424012979989,28.90625,57,61,68,71,81,0,1,2,4,7,17,26,29,33,37,
1991-05,25,,,,,,,,,,,,,,,,,,,
1991-06,67,,,,,,,,,,,,,,,,,,,
1991-07,6,36.012460298069875,22.433699633699632,39.95146341463415,23,28,35,45,53,9,13,24,29,35,32,34,37,42,64,
1991-08,0,,,,,,,,,,,,,,,,,,,
1991-09,0,,,,,,,,,,,,,,,,,,,
1991-10,0,37.81483288606977,10.105738705738705,50.86168132942326,17,21,39,53,61,4,7,10,13,17,32,35,49,70,75,
1991-11,0,,,,,,,,,,,,,,,,,,,
1991-12,10,,,,,,,,,,,,,,,,,,,
1992-01,93,42.30224609375,4.366024518388792,51.855433455433456,20,24,43,61,69,1,2,4,6,9,28,34,48,69,76,
1992-02,1,,,,,,,,,,,,,,,,,,,
1992-03,41,,,,,,,,,,,,,,,,,,,
1992-04,86,,,,,,,,,,,,,,,,,,,
1992-05,11,,,,,,,,,,,,,,,,,,,
1992-06,21,,,,,,,,,,,,,,,,,,,
1992-07,0,,,,,,,,,,,,,,,,,,,
1992-08,30,,,,,,,,,,,,,,,,,,,
1992-09,7,,,,,,,,,,,,,,,,,,,
1992-10,19,49.653235653235654,3.926162933792764,44.670904645476774,23,31,51,64,72,0,2,4,6,8,25,31,41,64,68,
1992-11,0,,,,,,,,,,,,,,,,,,,
1992-12,7,,,,,,,,,,,,,,,,,,,
1993-01,12,55.058565153733525,3.113574097135741,40.5806294218102,32,44,58,64,70,0,1,3,5,6,26,31,38,52,63,
1993-02,65,,,,,,,,,,,,,,,,,,,
1993-03,0,,,,,,,,,,,,,,,,,,,
1993-04,3,27.1158357771261,24.945774303859306,46.4609756097561,8,15,20,42,51,7,17,26,30,42,32,36,44,53,71,
1993-05,59,,,,,,,,,,,,,,,,,,,
1993-06,43,,,,,,,,,,,,,,,,,,,
1993-07,1,11.510593956234803,42.861975642760484,44.665764546684706,1,3,12,19,26,26,36,43,51,56,37,40,44,49,54,
1993-08,38,,,,,,,,,,,,,,,,,,,
1993-09,0,,,,,,,,,,,,,,,,,,,
1993-10,0,13.423058133854422,18.25384427629973,66.62881562881563,3,4,10,26,33,10,14,18,23,26,51,56,69,75,80,
