date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,43,,,,,,,,,,,,,,,,,,,
1988-02,31,,,,,,,,,,,,,,,,,,,
1988-03,12,,,,,,,,,,,,,,,,,,,
1988-04,62,,,,,,,,,,,,,,,,,,,
1988-05,118,,,,,,,,,,,,,,,,,,,
1988-06,133,,,,,,,,,,,,,,,,,,,
1988-07,181,,,,,,,,,,,,,,,,,,,
1988-08,98,,,,,,,,,,,,,,,,,,,
1988-09,126,,,,,,,,,,,,,,,,,,,
1988-10,264,,,,,,,,,,,,,,,,,,,
1988-11,107,,,,,,,,,,,,,,,,,,,
1988-12,44,,,,,,,,,,,,,,,,,,,
1989-01,70,,,,,,,,,,,,,,,,,,,
1989-02,22,,,,,,,,,,,,,,,,,,,
1989-03,68,,,,,,,,,,,,,,,,,,,
1989-04,150,,,,,,,,,,,,,,,,,,,
1989-05,85,,,,,,,,,,,,,,,,,,,
1989-06,100,,,,,,,,,,,,,,,,,,,
1989-07,136,,,,,,,,,,,,,,,,,,,
1989-08,68,,,,,,,,,,,,,,,,,,,
1989-09,116,,,,,,,,,,,,,,,,,,,
1989-10,177,,,,,,,,,,,,,,,,,,,
1989-11,30,,,,,,,,,,,,,,,,,,,
1989-12,54,,,,,,,,,,,,,,,,,,,
1990-01,52,,,,,,,,,,,,,,,,,,,
1990-02,83,,,,,,,,,,,,,,,,,,,
1990-03,38,,,,,,,,,,,,,,,,,,,
1990-04,66,1.8068297655453618,13.768298368298368,82.35427135678393,0,0,2,3,4,2,9,13,18,29,66,76,85,88,91,
1990-05,78,,,,,,,,,,,,,,,,,,,
1990-06,101,,,,,,,,,,,,,,,,,,,
1990-07,219,,,,,,,,,,,,,,,,,,,
1990-08,79,,,,,,,,,,,,,,,,,,,
1990-09,75,,,,,,,,,,,,,,,,,,,
1990-10,82,7.570805236017454,26.246031746031747,64.46230158730158,2,5,8,10,11,16,20,27,31,38,51,59,65,68,80,
1990-11,72,,,,,,,,,,,,,,,,,,,
1990-12,73,,,,,,,,,,,,,,,,,,,
1991-01,77,6.7377838953888505,25.960453920220083,65.77976600137646,3,5,7,9,10,18,24,27,29,31,61,63,65,69,73,
1991-02,4,,,,,,,,,,,,,,,,,,,
1991-03,59,,,,,,,,,,,,,,,,,,,
1991-04,58,,,,,,,,,,,,,,,,,,,
1991-05,29,,,,,,,,,,,,,,,,,,,
1991-06,131,,,,,,,,,,,,,,,,,,,
1991-07,147,,,,,,,,,,,,,,,,,,,
1991-08,199,,,,,,,,,,,,,,,,,,,
1991-09,81,,,,,,,,,,,,,,,,,,,
1991-10,82,13.175627240143369,20.580645161290324,64.75627240143369,7,9,14,17,20,5,8,23,27,32,50,56,62,81,84,
1991-11,99,,,,,,,,,,,,,,,,,,,
1991-12,76,,,,,,,,,,,,,,,,,,,
1992-01,79,11.624952453404337,36.47356409281095,50.74857360213009,7,9,11,14,17,28,31,36,40,52,34,44,51,58,61,
1992-02,47,,,,,,,,,,,,,,,,,,,
1992-03,28,,,,,,,,,,,,,,,,,,,
1992-04,109,8.333091436865022,21.098765432098766,68.98545454545454,3,6,9,11,12,15,18,21,24,28,59,66,69,73,75,
1992-05,110,,,,,,,,,,,,,,,,,,,
1992-06,124,,,,,,,,,,,,,,,,,,,
1992-07,170,,,,,,,,,,,,,,,,,,,
1992-08,134,,,,,,,,,,,,,,,,,,,
1992-09,110,,,,,,,,,,,,,,,,,,,
1992-10,76,,,,,,,,,,,,,,,,,,,
1992-11,126,,,,,,,,,,,,,,,,,,,
1992-12,73,,,,,,,,,,,,,,,,,,,
1993-01,68,12.167766258246937,35.68520263901979,50.74658502119642,6,9,12,15,18,30,32,35,40,44,42,47,51,56,59,
1993-02,101,,,,,,,,,,,,,,,,,,,
1993-03,49,,,,,,,,,,,,,,,,,,,
1993-04,34,,,,,,,,,,,,,,,,,,,
1993-05,83,,,,,,,,,,,,,,,,,,,
