"","site_unique","green","brown","bare","other","error"
"118","NTADAC0001-53518",58.4,41.2,0.4,NA,4
"119","NTADAC0002-58039",66,24.6,9.2,0.2,0
"120","NTADMR0001-58868",24,30.7,45.2,0.1,0
"121","NTADMR0002-58869",22.7,15.6,61,0.7,0
"122","NTAFIN0001-53519",7.4,53.3,39.3,0,0
"123","NTAFIN0001-58009",12.2,43.4,44.4,0.1,0
"124","NTAFIN0001-58735",17,24.9,57.6,0.5,0
"125","NTAFIN0002-53622",75.1,19.2,5.6,0,0
"126","NTAFIN0002-58018",44.9,40.5,14.7,0,0
"127","NTAFIN0002-58787",43.5,42.5,14,0.1,0
"128","NTAFIN0003-53623",21.3,10.1,68.6,0,0
"129","NTAFIN0003-58017",22.2,22.4,55.4,0,0
"130","NTAFIN0003-58788",29.5,22.1,48.3,0.1,0
"131","NTAFIN0004-53624",63,17.3,19.7,0,0
"132","NTAFIN0004-58010",38.4,36,25.5,0,0
"133","NTAFIN0004-58789",39.3,35.8,24.8,0.1,0
"134","NTAFIN0005-53625",39.7,31.8,28.5,0,0
"135","NTAFIN0005-58011",14.7,28.1,57.2,0,0
"136","NTAFIN0005-58736",16.8,20.9,62,0.3,0
"137","NTAFIN0006-53626",2.4,43.4,54.3,0,0
"138","NTAFIN0006-58012",12.3,27,60.7,0,0
"139","NTAFIN0006-58737",26,14.3,59.2,0.5,0
"140","NTAFIN0007-53627",9.1,50.2,40.7,NA,4
"141","NTAFIN0007-58013",16.4,40.5,43.1,NA,4
"142","NTAFIN0007-58715",14,38,48,NA,4
"143","NTAFIN0008-53628",12,35.5,52.5,0,0
"144","NTAFIN0008-58014",41.8,34.8,23.5,0,0
"145","NTAFIN0008-58790",43.9,17.8,38.2,0.1,0
"146","NTAFIN0009-53629",26.9,25.5,47.5,0,0
"147","NTAFIN0009-58015",25.6,25.4,48.9,0,0
"148","NTAFIN0009-58738",29.7,23.5,44.8,2.1,0
"149","NTAFIN0010-53630",15.8,24.9,59.3,0,0
"150","NTAFIN0010-58016",28.2,20,51.8,0,0
"151","NTAFIN0010-58786",27.2,19.9,52.6,0.3,0
"152","NTAFIN0011-53631",60.7,20.9,18.4,0,0
"153","NTAFIN0011-58019",32.3,30.2,37.4,0,0
"154","NTAFIN0011-58739",26,29.5,44.1,0.4,0
"155","NTAFIN0012-53632",45.6,26.5,27.8,NA,4
"156","NTAFIN0013-53633",38.5,28.7,32.8,NA,4
"157","NTAFIN0014-53634",43.4,39,17.6,NA,4
"158","NTAFIN0015-53635",39.5,28.7,31.8,NA,4
"159","NTAFIN0016-53636",29.6,27.8,42.6,NA,4
"160","NTAFIN0017-53637",32.1,31.5,36.4,NA,4
"161","NTAFIN0018-53638",32.1,25,42.9,NA,4
"162","NTAFIN0019-53639",50.9,34.9,14.3,NA,4
"163","NTAFIN0020-53640",49.6,38.4,12,NA,4
"164","NTAFIN0021-53641",12.2,12.2,75.6,NA,4
"165","NTAFIN0022-53642",25.1,13.6,61.3,NA,4
"166","NTAFIN0023-53643",39.9,20.2,39.9,NA,4
"167","NTAFIN0024-53644",23.8,48.7,27.5,NA,4
"168","NTAFIN0025-53645",32.4,34.7,33,NA,4
"169","NTAFIN0026-53646",41.8,45,13.3,NA,4
"170","NTAFIN0027-53647",27,54,19,NA,4
"171","NTAFIN0028-53746",14.8,22.3,63,NA,4
"172","NTAFIN0029-53747",23.1,28.3,48.6,NA,4
"173","NTAFIN0030-53748",45,36.9,18.1,NA,4
"174","NTAFIN0031-53749",16.6,22,61.4,NA,4
"175","NTAFIN0032-53750",38.1,45.7,16.1,NA,4
"176","NTAFIN0033-53751",37.5,36.8,25.6,NA,4
"177","NTAGFU0001-53648",52.1,32.4,15.5,NA,4
"178","NTAGFU0002-53649",47.4,19.6,33,NA,4
"179","NTAGFU0003-53650",45.8,26.5,27.6,NA,4
"180","NTAGFU0004-53651",28.9,19.8,51.3,NA,4
"181","NTAGFU0005-53652",57.9,25.3,16.7,NA,4
"182","NTAGFU0006-53653",73.6,15.3,11.1,NA,4
"183","NTAGFU0007-53654",44.2,7,48.8,NA,4
"184","NTAGFU0008-53655",36.6,18.6,44.8,NA,4
"185","NTAGFU0009-53656",47.6,30.8,21.5,0.1,0
"186","NTAGFU0010-53657",52.6,16.3,31.1,NA,4
"187","NTAGFU0011-53658",61.4,36.4,2.2,NA,4
"188","NTAGFU0012-53659",48.6,47.1,4.3,NA,4
"189","NTAGFU0013-53660",63.3,35.4,1.3,NA,4
"190","NTAGFU0014-53661",34.6,51.5,14,NA,4
"191","NTAGFU0015-53662",59.1,33.8,7.1,NA,4
"192","NTAGFU0016-53663",55,36.8,8.2,NA,4
"193","NTAGFU0017-53664",71,26.7,2.3,NA,4
"194","NTAGFU0018-53665",58.7,21.5,19.8,NA,4
"195","NTAGFU0019-53666",60.2,32.9,6.9,NA,4
"196","NTAGFU0020-53667",75.9,21.8,2.3,NA,4
"197","NTAGFU0021-53668",55.4,20.7,23.9,NA,4
"198","NTAGFU0022-53669",45.9,29.1,25,NA,4
"199","NTAGFU0023-53670",63.7,20.9,15.4,NA,4
"200","NTAGFU0024-53671",47.5,30.5,22,NA,4
"201","NTAGFU0025-53672",77.4,18.2,4.4,NA,4
"202","NTAGFU0026-53673",66.4,26.8,6.7,NA,4
"203","NTAGFU0027-53674",51.7,37.4,10.9,NA,4
"204","NTAGFU0028-53675",51,25.1,23.9,NA,4
"205","NTAGFU0029-53676",68.4,25,6.6,NA,4
"206","NTAGFU0030-53677",66.2,23.1,10.7,NA,4
"207","NTAGFU0031-53678",51.6,33.5,15,NA,4
"208","NTAGFU0032-53679",45.7,25.9,28.3,NA,4
"209","NTAGFU0033-53680",69.8,25,5.2,NA,4
"210","NTAGFU0034-53681",42.8,35.3,21.9,NA,4
"211","NTAGFU0035-53682",41.5,35.6,22.9,NA,4
"212","NTAGFU0036-53683",54.9,32.7,12.5,NA,4
"213","NTAGFU0037-53684",66.1,21.5,12.4,NA,4
"214","NTAGFU0038-53685",62.7,31.9,5.4,NA,4
"215","NTAGFU0039-53686",72.9,24.8,2.4,NA,4
"216","NTAGFU0040-53687",74.6,24,1.5,NA,4
"217","NTAGFU0041-58425",72,19.5,8.4,0.1,0
"218","NTAMAC0001-53574",29.7,36,34.3,0,0
"219","NTAMAC0001-58791",38.7,18.3,42.9,0.1,0
"220","NTAMAC0002-53575",27.6,21.3,50.8,0.3,0
"221","NTAMAC0002-58734",23.9,27.5,48.5,0.1,0
"222","NTAMAC0003-53576",44.1,36.2,19.7,0,0
"223","NTAMAC0003-58740",39.7,28.4,31.8,0.1,0
"224","NTAMGD0001-53520",45.3,13.7,41,NA,4
"225","NTAMGD0002-53466",34.2,1.5,64.4,NA,4
"226","NTAMGD0003-58431",38.3,33.6,28.1,NA,4
"227","NTAMGD0004-58432",47.8,29.8,22.4,NA,4
"228","NTAMGD0005-58495",49.4,28.5,22.1,NA,4
"229","NTAPCK0001-58037",72.8,23.1,4.2,NA,4
"230","NTAPCK0002-58038",60.4,26,13.6,NA,4
"231","NTAPCK0003-58923",75.8,22.8,1.4,NA,4
"232","NTAPCK0003-58931",87.1,11.7,1.2,NA,4
"233","NTAPCK0004-58920",74.8,18,7,0.2,0
"234","NTAPCK0004-58934",87.4,6.4,6.1,0,0
"235","NTAPCK0005-58921",25.7,16.4,39.9,17.9,0
"236","NTAPCK0006-58922",72.9,9.1,18,NA,4
"237","NTAPCK0006-58935",82.8,7.4,9.8,NA,4
"238","NTAPCK0007-58924",77.9,12.7,9.1,0.3,0
"239","NTAPCK0007-58936",86.6,7.4,5.9,0,0
"240","NTAPCK1007-58837",NA,NA,NA,NA,1
"241","NTAPCK1009-58937",83.7,4.6,11.8,NA,4
"242","NTAPCK1010-58938",73.9,22.2,4,NA,4
"243","NTAPCK1011-58940",71.4,20.6,8,NA,4
"244","NTAPCK1012-58942",74.6,20.9,4.6,NA,4
"245","NTAPCK2013-58939",81.7,11.4,6.9,NA,4
"246","NTAPCK2014-58941",82.8,9.2,8,NA,4
"247","NTASSD0001-53690",33.8,39.9,26.3,NA,4
"248","NTASSD0002-57073",NA,NA,NA,NA,1
"249","NTASSD0003-53691",32.7,30,37.3,NA,4
"250","NTASSD0004-53692",32,49,19,NA,4
"251","NTASSD0005-53693",19.1,19.4,61.5,NA,4
"252","NTASSD0006-53694",16.2,35.1,48.4,0.2,0
"253","NTASSD0007-53695",19.8,22.8,57.4,NA,4
"254","NTASSD0008-57074",21.6,29,49.4,NA,4
"255","NTASSD0009-53696",20.6,40,39.4,NA,4
"256","NTASSD0010-53697",20.5,17.9,61.5,NA,4
"257","NTASSD0011-53559",1.3,9.9,88.8,NA,4
"258","NTASSD0012-53560",0.1,20.4,79.5,NA,4
"259","NTASSD0013-53563",2.1,3.8,94.1,0.1,0
"260","NTASSD0014-53564",6.3,26.7,66.9,NA,4
"261","NTASSD0015-53565",13.3,25.6,61.1,NA,4
"262","NTASSD0016-53566",2.5,19.3,78,0.2,0
"263","NTASSD0017-53561",8.5,22.2,69.3,NA,4
"264","NTASSD0018-53562",4.8,12.2,82.8,0.3,0
"265","NTASSD0019-53567",7,15.4,77.5,NA,4
"266","NTASTU0001-58428",30.3,43.5,26,0.2,0
"267","NTASTU0002-58429",48.6,42.3,9,0.1,0
"268","NTASTU0003-58430",67.1,20.7,12.1,0.1,0
"269","NTASTU0004-58426",74,22.3,3.6,0.2,0
"270","NTASTU0005-58427",55.1,43.1,1.8,NA,4
"271","NTATAN0001-58874",40.3,35.3,24.3,0.1,0
"272","NTATAN0002-58870",45,27.7,27.1,0.2,0
"273","NTATAN0003-58871",31.9,20.2,47.8,0.1,0
"274","NTATAN0004-58875",26,13.5,58.5,2,0
"275","NTTDAB0001-53580",59.3,35.8,4.9,NA,4
"276","NTTDAC0001-53755",77.8,15.6,6.5,NA,4
"277","NTTDMR0001-53582",49.9,25,25.1,NA,4
"278","NTTDMR0002-53581",49,21.6,29.4,NA,4
"279","NTTDMR0003-53583",51.9,33.8,14.4,NA,4
"280","NTTMGD0001-53521",49.8,22,28.2,NA,4
"281","NTTPCK0001-53584",84,10.4,5.6,NA,4
"282","NTTSTU0001-53585",74.1,16.8,9.1,NA,4
"283","QDABBN0001-58730",66.5,21.6,11.8,0.1,0
