,site_location_name,lag,window,R2
1,NSABHC0023,1,1,0.04431667588271804
2,NSABHC0023,2,1,0.07800272767575167
3,NSABHC0023,3,1,0.10968381575191166
4,NSABHC0023,4,1,0.12431290605739309
5,NSABHC0023,5,1,0.1173544527680479
6,NSABHC0023,6,1,0.09686314994793643
7,NSABHC0023,7,1,0.07586212548260485
8,NSABHC0023,8,1,0.06374815448164017
9,NSABHC0023,9,1,0.056640533257229064
10,NSABHC0023,10,1,0.05183291635262688
11,NSABHC0023,11,1,0.044331141456862455
12,NSABHC0023,12,1,0.03688142592759547
13,NSABHC0023,13,1,0.028051283226571355
14,NSABHC0023,14,1,0.02045241761614125
15,NSABHC0023,15,1,0.013363588961347483
16,NSABHC0023,16,1,0.007306350054584909
17,NSABHC0023,17,1,0.004763581530153216
18,NSABHC0023,18,1,0.003216021537434388
19,NSABHC0023,19,1,0.00272509202230109
20,NSABHC0023,20,1,0.0026209020531365868
21,NSABHC0023,21,1,0.003355959074685777
22,NSABHC0023,22,1,0.003553883161041105
23,NSABHC0023,23,1,0.0048075399571192445
24,NSABHC0023,24,1,0.006625519503519195
25,NSABHC0023,25,1,0.008400971840071714
26,NSABHC0023,26,1,0.01029051580762752
27,NSABHC0023,27,1,0.012001985757322697
28,NSABHC0023,28,1,0.013437407349459751
29,NSABHC0023,29,1,0.01590589580711632
30,NSABHC0023,30,1,0.015997563888127897
31,NSABHC0023,31,1,0.014636686527844223
32,NSABHC0023,32,1,0.011297698926925337
33,NSABHC0023,33,1,0.007689358533244928
34,NSABHC0023,34,1,0.003668119336550091
35,NSABHC0023,35,1,0.0013786087420493143
36,NSABHC0023,36,1,0.00029632859220019014
37,NSABHC0023,37,1,5.671187351619089e-06
38,NSABHC0023,38,1,5.101810251950667e-05
39,NSABHC0023,39,1,0.00013942485005535854
40,NSABHC0023,40,1,0.00025522558083246327
41,NSABHC0023,41,1,0.0006061419341123475
42,NSABHC0023,42,1,0.0010546066343071203
43,NSABHC0023,43,1,0.001424904654690251
44,NSABHC0023,44,1,0.0017110709351032538
45,NSABHC0023,45,1,0.0014708261887745877
46,NSABHC0023,46,1,0.0009239890725594169
47,NSABHC0023,47,1,0.0001302207952291745
48,NSABHC0023,48,1,0.0001687810157503522
49,NSABHC0023,49,1,0.0008068323373577879
50,NSABHC0023,1,2,0.11601301171075118
51,NSABHC0023,2,2,0.1799548204517083
52,NSABHC0023,3,2,0.2251523288743591
53,NSABHC0023,4,2,0.23443940572315192
54,NSABHC0023,5,2,0.2085293199061814
55,NSABHC0023,6,2,0.16788618459747906
56,NSABHC0023,7,2,0.13597697415862697
57,NSABHC0023,8,2,0.11739208643318122
58,NSABHC0023,9,2,0.10582943873359629
59,NSABHC0023,10,2,0.09388843698777849
60,NSABHC0023,11,2,0.07931268734174513
61,NSABHC0023,12,2,0.06332101738667295
62,NSABHC0023,13,2,0.04729189552310009
63,NSABHC0023,14,2,0.03293728341166968
64,NSABHC0023,15,2,0.020100178609748
65,NSABHC0023,16,2,0.011898108587652834
66,NSABHC0023,17,2,0.007909544235913502
67,NSABHC0023,18,2,0.005941637707070013
68,NSABHC0023,19,2,0.0053467622589279395
69,NSABHC0023,20,2,0.0059242118720092
70,NSABHC0023,21,2,0.006839939981834742
71,NSABHC0023,22,2,0.008193047709891932
72,NSABHC0023,23,2,0.011131903594549186
73,NSABHC0023,24,2,0.014658198961357338
74,NSABHC0023,25,2,0.018219867666339873
75,NSABHC0023,26,2,0.02176873522160172
76,NSABHC0023,27,2,0.024863565196730164
77,NSABHC0023,28,2,0.02865550893213986
78,NSABHC0023,29,2,0.031204102314622895
79,NSABHC0023,30,2,0.0299428836788328
80,NSABHC0023,31,2,0.025266317531403293
81,NSABHC0023,32,2,0.018423837598921744
82,NSABHC0023,33,2,0.010790207012008834
83,NSABHC0023,34,2,0.004713191585324572
84,NSABHC0023,35,2,0.0014848429688091302
85,NSABHC0023,36,2,0.00020950983777645593
86,NSABHC0023,37,2,5.477198342096479e-06
87,NSABHC0023,38,2,0.00014624721226019766
88,NSABHC0023,39,2,0.0003298249810156362
89,NSABHC0023,40,2,0.0007334615962586444
90,NSABHC0023,41,2,0.0014969662154477037
91,NSABHC0023,42,2,0.0023051892994550016
92,NSABHC0023,43,2,0.002962775364660497
93,NSABHC0023,44,2,0.0030408906112767697
94,NSABHC0023,45,2,0.002280372486020976
95,NSABHC0023,46,2,0.0008487618132301256
96,NSABHC0023,47,2,1.1467444925861159e-06
97,NSABHC0023,48,2,0.0008308279333051338
98,NSABHC0023,49,2,0.0024731714784548275
99,NSABHC0023,1,3,0.1953663530463522
100,NSABHC0023,2,3,0.2676501316465696
101,NSABHC0023,3,3,0.3044359009602349
102,NSABHC0023,4,3,0.2960706957422692
103,NSABHC0023,5,3,0.25317329782172704
104,NSABHC0023,6,3,0.20674373172810845
105,NSABHC0023,7,3,0.17230898871109512
106,NSABHC0023,8,3,0.1514616490596098
107,NSABHC0023,9,3,0.13456813522587785
108,NSABHC0023,10,3,0.11715709822552334
109,NSABHC0023,11,3,0.09602127998370036
110,NSABHC0023,12,3,0.07478385969660128
111,NSABHC0023,13,3,0.05403354264020788
112,NSABHC0023,14,3,0.03561901486796182
113,NSABHC0023,15,3,0.022157056811763054
114,NSABHC0023,16,3,0.013603172616925008
115,NSABHC0023,17,3,0.009691521653640733
116,NSABHC0023,18,3,0.007844620701826677
117,NSABHC0023,19,3,0.00790920357259639
118,NSABHC0023,20,3,0.008561681837726764
119,NSABHC0023,21,3,0.010403450290588645
120,NSABHC0023,22,3,0.01303867813037074
121,NSABHC0023,23,3,0.01723062795834851
122,NSABHC0023,24,3,0.022034277097615962
123,NSABHC0023,25,3,0.026765039403653712
124,NSABHC0023,26,3,0.03124511784863837
125,NSABHC0023,27,3,0.03614546668115226
126,NSABHC0023,28,3,0.03970102281458676
127,NSABHC0023,29,3,0.04078659624290604
128,NSABHC0023,30,3,0.03658919870384503
129,NSABHC0023,31,3,0.029043827857338056
130,NSABHC0023,32,3,0.019037167712041225
131,NSABHC0023,33,3,0.010172741387056816
132,NSABHC0023,34,3,0.003985724268080748
133,NSABHC0023,35,3,0.0010343560927759121
134,NSABHC0023,36,3,7.586710894180726e-05
135,NSABHC0023,37,3,4.3408926305943396e-05
136,NSABHC0023,38,3,0.00026394607633095646
137,NSABHC0023,39,3,0.0006535011102631882
138,NSABHC0023,40,3,0.0013536394895609094
139,NSABHC0023,41,3,0.0023824167127610707
140,NSABHC0023,42,3,0.0033936137840008263
141,NSABHC0023,43,3,0.0038425420757951523
142,NSABHC0023,44,3,0.003437924472743492
143,NSABHC0023,45,3,0.001845482667193421
144,NSABHC0023,46,3,0.0002416695625107046
145,NSABHC0023,47,3,0.0002561848678722667
146,NSABHC0023,48,3,0.002049384735301918
147,NSABHC0023,49,3,0.004573859230198929
148,NSABHC0023,1,4,0.2804796527759902
149,NSABHC0023,2,4,0.34667923572175985
150,NSABHC0023,3,4,0.3659161110986584
151,NSABHC0023,4,4,0.3387208628079599
152,NSABHC0023,5,4,0.28908985189776115
153,NSABHC0023,6,4,0.24039048119468287
154,NSABHC0023,7,4,0.2045697093537885
155,NSABHC0023,8,4,0.1789817883625172
156,NSABHC0023,9,4,0.15683514761078998
157,NSABHC0023,10,4,0.13276982105018276
158,NSABHC0023,11,4,0.10637506870873281
159,NSABHC0023,12,4,0.08035411451222063
160,NSABHC0023,13,4,0.05557753709752955
161,NSABHC0023,14,4,0.03666635105092564
162,NSABHC0023,15,4,0.023157453754910184
163,NSABHC0023,16,4,0.01510864689224345
164,NSABHC0023,17,4,0.01145629766590861
165,NSABHC0023,18,4,0.010315185388097725
166,NSABHC0023,19,4,0.010469362420084338
167,NSABHC0023,20,4,0.011991977710987478
168,NSABHC0023,21,4,0.015013149144204485
169,NSABHC0023,22,4,0.01885072719418812
170,NSABHC0023,23,4,0.02430215881822495
171,NSABHC0023,24,4,0.030261240155601166
172,NSABHC0023,25,4,0.03593450108973073
173,NSABHC0023,26,4,0.04210533732424526
174,NSABHC0023,27,4,0.046872730487869996
175,NSABHC0023,28,4,0.04912544168702948
176,NSABHC0023,29,4,0.04722858115479356
177,NSABHC0023,30,4,0.0400189550613097
178,NSABHC0023,31,4,0.029059746237958373
179,NSABHC0023,32,4,0.017657276383868492
180,NSABHC0023,33,4,0.008662462796852122
181,NSABHC0023,34,4,0.0030374932682583067
182,NSABHC0023,35,4,0.0006338493744280083
183,NSABHC0023,36,4,1.3282540103687346e-05
184,NSABHC0023,37,4,0.00011960963696289184
185,NSABHC0023,38,4,0.0005250530160647582
186,NSABHC0023,39,4,0.0011809636710464755
187,NSABHC0023,40,4,0.002149296564514347
188,NSABHC0023,41,4,0.003407132508836397
189,NSABHC0023,42,4,0.0042678653679343315
190,NSABHC0023,43,4,0.004256886312561381
191,NSABHC0023,44,4,0.0029320426151084877
192,NSABHC0023,45,4,0.0009092836182061914
