,Unnamed: 0,x,y,bs,pv,npv,ue,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,pv_lag,npv_lag,bs_lag,pv_change,npv_change,bs_change,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,Bryophyte,Chenopod,Cycad,Epiphyte,Fern,Forb,Fungus,Grass.tree,Heath.shrub,Hummock.grass,Rush,Sedge,Shrub,Shrub.Mallee,Tree.fern,Tree.Mallee,Tree.Palm,Tussock.grass,Vine,CLY_000_005,CLY_005_015,CLY_015_030,CLY_030_060,CLY_060_100,DER_000_999,NTO_000_005,NTO_005_015,NTO_015_030,NTO_030_060,NTO_060_100,PTO_000_005,PTO_005_015,PTO_015_030,PTO_030_060,PTO_060_100,SLT_000_005,SLT_005_015,SLT_030_060,SLT_060_100,pHc_000_005,pHc_005_015,pHc_015_030,pHc_030_060,pHc_060_100,precip,tmax,tmin,vapourpres_h09,vapourpres_h15,MAT,MAP,VPD,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30,time,CO2
0,1.5,600635.0,7805435.0,31.47520661157025,4.03305785123967,63.0206611570248,7.5,28354.0,3.579439021512608,61.807893528587336,33.149099708028814,9,1987,254,0.6816387600233341,0.6410690690149683,,,,,,,11.883120392785102,,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,0.0,33.04998779296875,16.80926513671875,11.69537353515625,9.09637451171875,26.39161155833204,538.3345269097222,2.432653899180255,0.1630859375,6.572265625,8.822265625,467.6201171875,240.7314453125,283.6669921875,619.5185546875,1.4155734275266538,12.110842463209556,13.71084798519646,30.3137360795778,28.4267578125,187.47265625,208.6865234375,494.904296875,11.6884765625,102.068359375,83.6220703125,217.1513671875,1987-09-11,348.25
1,3.5,600635.0,7805435.0,38.6818181818182,4.43388429752066,55.61570247933885,7.210743801652891,28354.0,4.650497806052972,59.32803320690319,34.70419551755748,9,1987,270,0.6816387600233341,0.6740855661712415,3.579439021512608,61.807893528587336,33.149099708028814,,,,12.180957126592896,0.2978367338077934,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,0.251953125,36.64373779296875,18.528076171875,13.4310302734375,10.85723876953125,26.39161155833204,538.3345269097222,2.9220517978527774,0.1494140625,2.509765625,6.5263671875,473.9912109375,240.732421875,280.7763671875,622.4091796875,2.4449982455722945,15.063069588303506,17.40225007005808,31.375884770639814,34.046875,199.6708984375,230.7080078125,488.9599609375,17.2978515625,107.0791015625,112.8154296875,229.134765625,1987-09-27,348.25
2,5.5,600635.0,7805435.0,35.09504132231405,4.446280991735534,59.173553719008254,7.417355371900825,28354.0,5.825555222367777,56.421789307730776,36.501191782855166,10,1987,286,0.7401768531960371,0.7058069740145997,4.650497806052972,59.32803320690319,34.70419551755748,0.20661157024793209,-1.9235537190082717,1.8099173553719012,12.48054709414984,0.299589967556944,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,1.6162109375,38.7008056640625,21.09088134765625,11.93914794921875,10.228515625,26.39161155833204,538.3345269097222,3.5745464598211782,0.251953125,0.1630859375,9.0224609375,467.06640625,247.6572265625,280.7236328125,622.4521484375,3.702366215965103,20.412364513900755,18.277500431782578,40.01073088092888,40.2666015625,234.4423828125,242.5068359375,533.509765625,24.4091796875,112.6533203125,121.0810546875,275.498046875,1987-10-13,348.25
3,7.0,600635.0,7805435.0,34.3471074380165,6.57851239669422,57.7603305785124,7.0,28354.0,7.07578345912148,53.29792453223358,38.3869173872692,10,1987,302,0.7401768531960371,0.7361723476763936,5.825555222367777,56.421789307730776,36.501191782855166,1.07231404958678,1.072314049586776,-2.1673553719008503,12.768249653274127,0.28770255912428766,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,66.390625,37.03009033203125,23.22222900390625,19.935302734375,17.7113037109375,26.39161155833204,538.3345269097222,2.675679083939701,1.8681640625,0.1630859375,8.12109375,423.3076171875,284.57421875,275.1748046875,634.443359375,3.5850888938253926,21.352212317357033,25.04634017747664,50.05412497678931,40.1865234375,232.1416015625,265.1806640625,598.919921875,17.638671875,127.4541015625,144.513671875,305.9912109375,1987-10-29,348.25
4,8.5,600635.0,7805435.0,44.466942148760296,11.40495867768594,42.9504132231405,7.115702479338845,28354.0,8.360769780551069,50.15053595781471,40.230274374208435,11,1987,318,0.793577803248942,0.7651233475735113,7.07578345912148,53.29792453223358,38.3869173872692,3.479338842975203,-8.111570247933876,4.685950413223122,13.0239258094005,0.2556761561263734,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,25.994140625,39.58843994140625,24.36676025390625,22.2508544921875,18.65509033203125,26.39161155833204,538.3345269097222,3.0795604524365183,67.87890625,0.53125,7.958984375,401.5244140625,258.30078125,319.376953125,615.3779296875,3.090504185385583,15.556819546662494,18.151432752815357,56.39497999590471,36.7236328125,226.0634765625,252.5,614.703125,20.8564453125,134.326171875,167.1748046875,338.8046875,1987-11-14,348.25
5,10.0,600635.0,7805435.0,46.2561983471074,10.0661157024793,42.3223140495868,7.0,28354.0,9.628516526466065,47.159055038116925,41.92223794714328,11,1987,334,0.793577803248942,0.7926043514935122,8.360769780551069,50.15053595781471,40.230274374208435,1.74380165289254,-7.719008264462801,5.95454545454545,13.219061364567315,0.19513555516681436,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,11.9697265625,38.26434326171875,25.04119873046875,19.64874267578125,17.40887451171875,26.39161155833204,538.3345269097222,3.086514153492997,87.818359375,6.583984375,7.9609375,397.6708984375,252.3515625,328.447265625,560.5205078125,3.241464009841499,19.71299964764844,19.952780508100155,43.63012160552539,41.82421875,233.564453125,278.328125,594.9853515625,26.3564453125,146.9267578125,175.79296875,363.1494140625,1987-11-30,348.25
6,11.0,600635.0,7805435.0,34.8842975206612,8.21487603305785,55.5950413223141,6.52892561983471,28354.0,10.815441112248525,44.488247603022586,43.37585646960567,12,1987,350,0.8414709848078965,0.818562561459001,9.628516526466065,47.159055038116925,41.92223794714328,-1.595041322314045,6.322314049586801,-4.791322314049548,13.321821431758211,0.10276006719089636,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,44.609375,37.2135009765625,25.33892822265625,25.796142578125,23.606201171875,26.39161155833204,538.3345269097222,2.311461261787395,37.9638671875,68.2587890625,5.869140625,349.3017578125,231.8740234375,386.080078125,537.611328125,2.992791996706762,22.67778783910429,22.323369131111523,45.359510237979435,39.279296875,244.2841796875,265.0126953125,617.3701171875,25.048828125,163.2822265625,160.5234375,400.880859375,1987-12-16,348.25
7,12.0,600635.0,7805435.0,42.6694214876033,13.595041322314,42.5206611570248,7.55371900826446,28354.0,11.846376028851278,42.28821385864738,44.52625146518245,1,1988,1,0.08323691620031025,0.0027397225999562153,10.815441112248525,44.488247603022586,43.37585646960567,1.76446280991735,0.09917355371899816,-1.7933884297520493,13.309334750805162,-0.0124866809530495,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,8.568359375,39.48760986328125,25.344970703125,25.2509765625,19.89501953125,26.39161155833204,538.3345269097222,2.9395490557659505,49.0732421875,101.7451171875,2.6728515625,325.6591796875,249.0908203125,387.734375,527.958984375,2.7143079257266263,9.719061052096103,20.394775838554423,52.650198346058126,38.279296875,210.3544921875,275.1044921875,620.25390625,24.6689453125,144.673828125,185.65234375,399.2822265625,1988-01-01,350.45
8,13.5,600635.0,7805435.0,49.9380165289256,11.8305785123967,36.9380165289256,7.512396694214875,28354.0,12.640602239914623,39.961461970206614,46.06163903644217,1,1988,17,0.08323691620031025,0.04655850526789941,11.846376028851278,42.28821385864738,44.52625146518245,1.807851239669425,-9.32851239669425,7.526859504132201,13.184149804001775,-0.12518494680338677,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,15.6298828125,41.251220703125,26.4017333984375,24.5587158203125,20.16168212890625,26.39161155833204,538.3345269097222,3.418225198883515,51.6748046875,106.41796875,1.470703125,287.68359375,283.7109375,386.9296875,323.5419921875,2.852057380594508,19.378060815793734,19.513510876263275,38.22576447046993,40.0419921875,242.1318359375,272.43359375,600.9326171875,25.181640625,155.720703125,174.4833984375,405.12890625,1988-01-17,350.45
9,15.0,600635.0,7805435.0,49.6859504132231,9.60330578512397,39.2479338842975,7.55371900826446,28354.0,12.936070652217685,39.78427576312251,45.95426346546352,2,1988,33,0.16589613269341502,0.09028783724052472,12.640602239914623,39.961461970206614,46.06163903644217,-1.9958677685950148,-1.6363636363636473,3.5082644628098976,12.971462030530232,-0.21268777347154355,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,40.2099609375,36.8487548828125,24.69305419921875,21.72943115234375,20.6944580078125,26.39161155833204,538.3345269097222,2.53704767725919,18.7412109375,128.5859375,27.8662109375,183.1748046875,380.501953125,377.6943359375,302.865234375,3.6490167421685253,18.22479132174104,26.15423158479353,48.61322008371164,42.0595703125,238.8525390625,294.0341796875,639.6806640625,26.1279296875,153.8720703125,189.2734375,408.5400390625,1988-02-02,350.45
10,16.5,600635.0,7805435.0,41.50826446280995,16.59504132231405,40.5,7.582644628099175,28354.0,12.966832511191301,40.053090616360215,45.67697274707312,2,1988,49,0.16589613269341502,0.1338437033818601,12.936070652217685,39.78427576312251,45.95426346546352,2.3822314049586746,1.7809917355371994,-4.214876033057827,12.703449567053049,-0.26801246347718255,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,0.3505859375,38.61572265625,24.60723876953125,23.37890625,16.9700927734375,26.39161155833204,538.3345269097222,2.9457787012160015,53.4716796875,86.259765625,75.658203125,126.90625,389.55859375,398.4501953125,181.791015625,3.1591854228330796,13.441151657939447,17.629668660519805,54.95632218767953,37.5703125,214.1103515625,255.08984375,657.755859375,23.1279296875,143.328125,174.6572265625,423.2490234375,1988-02-18,350.45
11,18.5,600635.0,7805435.0,47.25619834710745,13.98760330578515,37.5619834710744,7.363636363636365,28354.0,12.611540590768815,40.7770193754704,45.360069810182004,3,1988,65,0.24740395925452294,0.17714242182778436,12.966832511191301,40.053090616360215,45.67697274707312,2.19214876033059,-0.8429752066115519,-1.2148760330578234,12.407593859502343,-0.29585570755070556,10950,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,47.0,0.0,45.5,46.5,49.5,50.0,53.5,39.592052,0.048436105,0.044725552,0.038368754,0.029536987,0.026749676,0.023679392,0.02264933,0.021741599,0.021357419,0.02212329,12.0,12.0,12.0,13.0,6.8073707,6.8678956,7.07164,7.2324014,7.3905973,0.267578125,37.48248291015625,24.53948974609375,20.13946533203125,15.87066650390625,26.39161155833204,538.3345269097222,2.9528030533779885,40.55859375,73.20703125,101.974609375,17.9912109375,479.7646484375,359.9765625,222.98828125,2.827076010650493,19.278693291485308,20.124476817333974,39.28774291656872,37.2548828125,235.1552734375,270.62109375,581.5908203125,26.8271484375,150.095703125,168.0966796875,389.8095703125,1988-03-05,350.45
