,SLGA_1,SLGA_2,SLGA_3
NSABHC0015,0.7828087227509626,3.857306584390651,0.3748817469254037
NSABHC0018,0.8920289241499735,3.232330507453898,1.2695039386305138
NSABHC0019,0.3422770608698839,3.2254566505726787,0.042502551153193395
NSABHC0020,-0.3910663862876239,3.2943042542616987,0.39739211978302214
NSABHC0021,1.0063757292067752,4.634100876674388,0.5681241814844201
NSABHC0022,1.0291620281221623,4.151949460097119,0.28045804479567354
NSABHC0023,-2.238715566315371,1.3978067639585903,-0.022203746577612864
NSABHC0024,-1.1362309911300514,2.3482869614888724,-0.22238936062886114
NSABHC0025,0.5615511123148493,4.014604627351626,0.6565151460976585
NSABHC0026,-0.12022366704537818,3.163232149785041,-0.407493022255487
NSABBS0001,3.9194737971692137,-0.586322385199217,1.7764446755767418
NSABBS0002,4.079485884631403,-0.504352180436405,0.5730106916238076
NSABBS0003,0.0016675560925645825,-1.041500440203709,0.7178896442558726
NSABBS0004,-0.27985929387167724,-1.028505373578731,1.1297070325917682
NSABBS0005,-0.3835709700013725,-1.1789023490353854,1.1112732529764882
NSABBS0006,-0.22552825277472896,-1.1279776115288476,1.4506301818168885
NSABBS0007,11.711797785220584,7.560226201935598,1.0005752489030915
NSABBS0008,11.515861321807268,7.250240184365411,0.5415503012224574
NSABBS0009,9.403448671890754,3.2313291806734465,2.5341593121634824
NSABBS0010,7.324568552229161,2.1385777716500107,2.6616301094052175
NSABBS0011,10.51440836952897,6.633530820646659,-0.5301842577858031
NSABBS0012,2.1508794006273124,0.44889703230125416,-0.9472127617392793
NSABHC0001,-1.0331172190337876,1.3993198799355226,-1.2191332755988895
NSABHC0002,-1.1002726924591724,2.2841420647318187,-0.7105488091951986
NSABHC0003,-1.4193519400222994,1.9621461903473278,-1.1328521253979975
NSABHC0004,0.977135733043815,4.102853941221598,0.5173605331503662
NSABHC0005,0.8711945595748822,4.477140380335618,0.3456166968876808
NSABHC0006,-0.39732457149276484,3.6356359743299684,0.23216178375759924
NSABHC0007,-0.26560199533062395,3.9010220496265857,0.40198746472874974
NSABHC0008,-0.5510908813331782,1.922789294293598,-0.6933635959553112
NSABHC0009,1.0635165882399684,4.115212281428297,0.3867328186390608
NSABHC0010,0.5999649934461541,3.7110108639303134,0.8365253982785146
NSABHC0011,-0.05577494120031693,3.3373218556004374,0.19061571736097058
NSABHC0012,1.4509198587616916,4.8074760012108015,0.68370941338834
NSABHC0013,-0.18958456535317603,3.4834027825905247,0.6344909954664388
NSABHC0014,-0.6433612626156704,2.6732536705296144,-0.425545355314538
NSABHC0016,0.24243431234796084,3.562677732953054,0.6286490574940865
NSABHC0017,0.5245513555032999,3.094956951302225,1.082424852758267
NSABHC0028,1.1203363557778383,3.8200610900569103,0.08090470999421301
NSABHC0029,0.06331410381747156,3.3006916614200144,0.09302723042920952
NSACHC0001,-0.5042160428249433,2.682937942225913,1.1412585501290688
NSACHC0002,3.225631633126133,5.026243763857343,0.16273859724957362
NSACHC0003,3.3558699919676447,5.574024287339941,0.07433394177984927
NSACHC0004,-0.6733181107137685,1.8280233302830906,0.2206404062083896
NSACOP0001,0.42799778237654146,1.2416558285672559,0.3207748110579018
NSACOP0002,-0.6472958662757485,0.03843678699159981,-1.0932726278692568
NSAMDD0001,-2.170513481892704,2.097832870846603,2.647223910232463
NSAMDD0002,-2.1622056889308907,1.3942720046193502,2.507042544542414
NSAMDD0003,-1.9069438282130984,1.8196401663526527,2.3236489424004305
NSAMDD0004,-1.8222375053736,1.6223052811729335,2.1295241754444265
NSAMDD0005,-3.115404763600157,0.5983739031084002,2.5048408215959674
NSAMDD0006,-0.2254815068725829,2.5645576964237793,1.9566694895553363
NSAMDD0007,-3.9843811492242107,-0.18513359582459166,1.689059496298154
NSAMDD0008,-3.4312139869624456,0.3244348171105475,2.0819132285450634
NSAMDD0009,-2.8488934648502626,0.5941291354034884,1.842210573062951
