,Gini_importance
tmax_lag,0.002112095868097854
tmin_7,0.0022753689875629752
tmin_lag,0.0023101549740936114
tmax_30,0.0024754462759051933
tmin_14,0.0025541013034601
tmax_14,0.002733099510129555
tmin_30,0.002819352786833434
VPD_lag,0.0028261708641957595
tmax_7,0.0045267608601170985
precip_30,0.005892263290754073
DER_000_999,0.006243347301337706
VPD_7,0.00699353156989501
fire_severity,0.00731139037843512
photoperiod_gradient,0.008760463282901637
SLGA_1,0.009457547235914358
precip_1095,0.010323882166379536
VPD_14,0.010870805941427863
VPD_30,0.010945618464829216
precip_365,0.012282976828513498
precip_1460,0.012360158670501959
precip_180,0.012564314675614464
photoperiod,0.012821199495684037
precip_730,0.014744748828114235
SLGA_3,0.01704384322578532
days_since_fire,0.0174337800478971
grass,0.02244951594238636
precip_90,0.029624148484922473
CO2,0.03873540935823307
shrub,0.03945882293001228
SLGA_2,0.04035125498730697
MAT,0.09541427302189948
MAP,0.12866899540945023
tree,0.4046151570314085
