,importances_mean,importances_std
tmin_7,-0.04398530037342681,0.01770705532853387
tmin_14,-0.026797273659941823,0.02116656285211338
tmax_14,-0.013050105147106307,0.02178315996521538
VPD_lag,0.0161827552111815,0.02546479271908731
tmin_lag,0.05020839807307624,0.018401073768843815
tmax_30,0.05616612717590755,0.024558229751396127
tmin_30,0.06568673735250372,0.02320583911828614
tmax_lag,0.13416639794718604,0.017141356520914017
VPD_7,0.19437035946460327,0.09572959388843454
fire_severity,0.37068993235141534,0.04354355834838759
SLGA_1,0.3770234906387849,0.10548686180596246
tmax_7,0.48352969149995945,0.08173905751580308
days_since_fire,0.9355159347809706,0.36531107003669305
VPD_14,1.1018930224005312,0.14500502953046604
precip_1095,1.1841537941720204,0.1156925687430228
precip_30,1.2048093786531655,0.10330638442079101
DER_000_999,1.3482312022090917,0.1397575855087958
photoperiod_gradient,1.3820886224706226,0.1066522933786014
VPD_30,1.400037663909033,0.15328958737324763
photoperiod,2.1237623602030675,0.1823675108462251
precip_180,2.301207643754409,0.22162008108191028
precip_365,2.3821786755944334,0.23860121726040076
SLGA_3,3.0779832344725615,0.16075505614721633
precip_1460,3.7912679656110213,0.29758656574299797
precip_730,4.159435018412639,0.3813849045351705
grass,7.108831317059888,0.5270370829715839
shrub,8.585210237249028,0.43206639959327975
CO2,9.203248060488958,0.4112040792647123
precip_90,9.514821100162862,0.3626659026488971
SLGA_2,10.07718796159254,0.5164427375108412
MAT,43.88059929756881,1.268616196679476
MAP,75.72739114508619,1.6558409206656797
tree,157.77028389534686,3.2936914631715064
