,site_location_name,M1_Negatives,M2_Negatives
350,QDASSD0007,8,9
351,QDASSD0008,8,9
352,QDASSD0009,8,9
353,QDASSD0010,6,8
354,QDASSD0011,6,9
355,QDASSD0012,6,9
356,QDASSD0013,6,9
357,QDASSD0014,7,9
358,QDASSD0015,8,9
359,SAABHC0001,2,3
360,SAABHC0002,3,3
361,SAABHC0003,4,6
362,SAABHC0004,2,4
363,SAABHC0005,3,7
364,SAABHC0006,4,6
365,SAAEYB0001,4,11
366,SAAEYB0002,3,9
367,SAAEYB0003,4,9
368,SAAEYB0004,6,15
369,SAAEYB0005,3,5
370,SAAEYB0006,6,15
371,SAAEYB0007,3,7
372,SAAEYB0008,5,15
373,SAAEYB0009,3,7
374,SAAEYB0010,3,6
375,SAAEYB0011,4,10
376,SAAEYB0012,3,6
377,SAAEYB0013,4,10
378,SAAEYB0021,3,10
379,SAAEYB0022,6,13
380,SAAEYB0023,3,9
381,SAAEYB0024,4,10
382,SAAEYB0025,42,85
383,SAAEYB0026,39,79
384,SAAEYB0027,34,66
385,SAAEYB0028,34,66
386,SAAEYB0029,8,10
387,SAAEYB0030,6,10
388,SAAEYB0031,5,9
389,SAAEYB0032,5,9
390,SAAEYB0033,5,9
391,SAAFLB0003,0,4
392,SAAFLB0004,4,5
393,SAAFLB0005,2,3
394,SAAFLB0007,3,7
395,SAAFLB0008,17,31
396,SAAFLB0030,11,12
397,SAAFLB0031,11,12
398,SAAGAW0001,6,11
399,SAAGAW0002,5,9
400,SAAGAW0003,5,8
401,SAAGAW0005,0,0
402,SAAGAW0006,0,0
403,SAAGAW0007,0,0
404,SAAGAW0008,0,0
405,SAAGVD0001,0,0
406,SAAGVD0002,0,0
407,SAAGVD0003,0,0
408,SAAGVD0004,0,0
409,SAAKAN0001,54,149
410,SAAKAN0002,23,70
411,SAAKAN0003,21,89
412,SAAKAN0004,7,11
413,SAAKAN0005,169,300
414,SAAKAN0006,15,31
415,SAAKAN0007,15,21
416,SAAKAN0008,10,48
417,SAAKAN0009,23,80
418,SAAKAN0010,11,32
419,SAAKAN0011,5,12
420,SAAKAN0012,5,11
421,SAAMDD0007,0,4
422,SAAMDD0008,0,4
423,SAAMDD0009,0,4
424,SAAMDD0010,0,3
425,SAAMDD0011,0,3
426,SAANUL0001,0,0
427,SAANUL0002,30,66
428,SAANUL0003,40,73
429,SAANUL0004,39,72
430,SAASTP0001,7,9
431,SAASTP0002,7,8
432,SAASTP0003,7,9
433,SAASTP0004,5,6
434,SAASTP0005,5,6
435,SAASTP0006,5,6
436,SAASTP0007,5,7
437,SAASTP0008,5,7
438,SAASTP0009,6,7
439,SAASTP0010,7,8
440,SAASTP0011,8,11
441,SAASTP0012,10,11
442,SAASTP0013,9,11
443,SAASTP0014,5,5
444,SAASTP0015,4,5
445,SAASTP0016,5,5
446,SAASTP0017,5,5
447,SAASTP0018,7,7
448,SAASTP0019,7,8
449,SAASTP0020,7,7
450,SAASTP0021,7,8
451,SAASTP0022,4,6
452,SAASTP0023,4,8
453,SAASTP0024,4,5
454,SAASTP0025,6,7
455,SAASTP0026,5,5
456,SAASTP0027,5,5
457,SAASTP0028,5,7
458,SAASTP0029,5,6
459,SAASTP0030,7,8
460,SAASTP0031,7,8
461,SAASTP0032,7,8
462,SAASTP0033,0,0
463,SAASTP0034,0,0
464,SASMDD0001,8,13
465,SASMDD0002,8,13
466,SASMDD0003,8,13
467,SASMDD0004,8,14
468,SASMDD0005,9,14
469,SASMDD0006,9,14
470,SASMDD0008,8,12
471,SASMDD0009,8,12
472,SASMDD0010,8,13
473,SASMDD0011,8,14
474,SASMDD0012,8,12
475,SASMDD0013,8,12
476,SASMDD0014,8,12
477,SASMDD0016,10,14
478,SASMDD0017,10,14
479,SASMDD0018,8,13
480,SASRIV0001,8,12
481,SASRIV0002,8,13
482,SATEYB0001,7,15
483,SATEYB0002,4,19
484,SATFLB0001,22,70
485,SATFLB0002,108,238
486,SATFLB0003,125,251
487,SATFLB0004,11,13
488,SATFLB0005,4,5
489,SATFLB0006,24,27
490,SATFLB0007,123,167
