,importances_mean,importances_std
shrub,-0.7414963639015086,0.11569645901020387
days_since_fire,-0.30729547393439105,0.18439076109360902
tmax_30,-0.27888383318048454,0.04994280098759619
tmax_14,-0.22588611161465252,0.029289429749581906
tmax_lag,-0.22353446558053136,0.025210602707901836
tmax_7,-0.17897274771602256,0.030234853574995627
tmin_lag,-0.07304593849477868,0.0361272283982154
fire_severity,-5.4001247917767615e-15,6.12222357532858e-15
tmin_7,0.062224028467506826,0.03938052837135576
VPD_lag,0.14861590021710938,0.028588988105040965
tmin_30,0.2075763504874969,0.04599375766955308
tmin_14,0.22091846652969538,0.0458054483793454
VPD_14,0.24561228441683725,0.07828575423180036
photoperiod_gradient,0.7709332676801361,0.08622398359991894
VPD_7,0.8594192092728047,0.10155922413339245
tree,0.8934351576562833,0.14634307444308314
precip_1460,1.3007043706644417,0.13976081137584148
DER_000_999,1.3614087992952417,0.1672672156164617
photoperiod,1.8776335022404016,0.15411408341645538
SLGA_3,2.1337283795316337,0.16812286163967705
VPD_30,2.4838753253673587,0.21524790894290713
precip_1095,3.6109233357599213,0.28399528389397216
precip_30,4.70201892530957,0.3046253831906145
precip_180,4.853512602994872,0.312455130021918
CO2,8.159754153911079,0.5297804946744298
precip_365,8.629988220369274,0.4353948595323275
MAT,11.3803379191477,0.4311284569329938
precip_730,14.615614755435427,0.586865735217991
SLGA_1,18.73834765518065,0.8310428139727764
SLGA_2,30.863650932927975,0.8454057836591222
grass,32.20491164247417,0.8466125147544273
precip_90,32.78079654231032,1.0775649998691177
MAP,177.48350098537585,3.3363304813743486
