,Gini_importance
DER_000_999,0.0
SLGA_3,0.0
MAT,0.0
days_since_fire,0.0
fire_severity,0.0
grass,0.0
MAP,0.0
tree,0.0
SLGA_1,0.0
SLGA_2,0.0
shrub,0.0
tmax_7,0.004597463694918703
VPD_7,0.00476789184697344
VPD_14,0.006906156947541373
tmax_14,0.007049994782950474
tmax_lag,0.00720918305364383
VPD_lag,0.008143204414820244
tmax_30,0.008186203186127802
photoperiod_gradient,0.008821468543888357
VPD_30,0.010278867357829347
tmin_14,0.01051969527050709
tmin_7,0.014218421620284334
tmin_30,0.015718477179157368
precip_365,0.01783635718334148
tmin_lag,0.01834227448787419
photoperiod,0.024704434384666393
precip_1095,0.027550998067550233
precip_180,0.030867093008352803
precip_30,0.03593512761522955
precip_730,0.04347649331025867
precip_1460,0.04585472361595556
precip_90,0.08538643821381033
CO2,0.5636290322143185
