time,Unnamed: 0,x,y,bs,pv,npv,ue,spatial_ref,pv_filter,npv_filter,bs_filter,month,year,dayofyear,month_cir,dayofyear_cir,pv_lag,npv_lag,bs_lag,pv_change,npv_change,bs_change,photoperiod,photoperiod_gradient,days_since_fire,fire_severity,precip,precip_cv,precip_sum,precip_rolling,tmax,tmax_cv,tmax_sum,tmax_rolling,tmin,tmin_cv,tmin_sum,tmin_rolling,vapourpres_h09,vapourpres_h09_cv,vapourpres_h09_sum,vapourpres_h09_rolling,vapourpres_h15,vapourpres_h15_cv,vapourpres_h15_sum,vapourpres_h15_rolling,VPD,precip_30,precip_90,precip_180,precip_365,precip_730,precip_1095,precip_1460,VPD_lag,VPD_7,VPD_14,VPD_30,tmax_lag,tmax_7,tmax_14,tmax_30,tmin_lag,tmin_7,tmin_14,tmin_30
1987-09-11,1.0,315380.0,6613255.0,39.8863636363636,15.7272727272727,42.9318181818182,7.93181818181818,28354.0,18.12716285012138,39.76518616151939,40.74730207407263,9,1987,254,0.6816387600233341,0.6410690690149683,,,,,,,11.743754381528978,,10950,0,0.0,0.8623480302326659,35.076171875,,24.63458251953125,0.13733020526621026,200.746337890625,,7.5128173828125,0.35030297607283056,95.327880859375,,7.7166748046875,0.11773288135924327,64.0731201171875,,6.41888427734375,0.22586495773137602,60.3878173828125,,1.357413987849474,42.08203125,48.431640625,5.03125,268.6142578125,167.6220703125,146.1982421875,261.759765625,0.6771289470736728,3.2362394194941984,4.2463505412483125,11.189359443776967,17.244140625,99.9033203125,117.1298828125,283.0712890625,1.5859375,46.1953125,46.0771484375,69.3193359375
1987-09-27,2.0,315380.0,6613255.0,47.5909090909091,15.9204545454545,35.4204545454545,7.21590909090909,28354.0,12.994476591806272,39.96546383040189,45.823568804847845,9,1987,270,0.6816387600233341,0.6740855661712415,18.12716285012138,39.76518616151939,40.74730207407263,,,,12.232031650053374,0.4882772685243957,10950,0,8.6435546875,0.8623480302326659,35.076171875,,23.52362060546875,0.13733020526621026,200.746337890625,,8.89068603515625,0.35030297607283056,95.327880859375,,8.23980712890625,0.11773288135924327,64.0731201171875,,7.30108642578125,0.22586495773137602,60.3878173828125,,1.238220273540751,16.1474609375,41.0615234375,38.3310546875,255.994140625,180.08984375,127.0908203125,276.6669921875,2.466700934863489,10.375007640715733,8.241877978293385,9.882082247922813,31.673828125,162.0732421875,160.7080078125,273.9755859375,14.166015625,55.6357421875,45.53125,98.73046875
1987-10-13,2.3333333333333335,315380.0,6613255.0,47.93939393939393,11.780303030303,39.08712121212116,7.03030303030303,28354.0,9.67139319408086,40.99399102538611,48.11939925900839,10,1987,286,0.7401768531960371,0.7058069740145997,12.994476591806272,39.96546383040189,45.823568804847845,-1.9734848484848504,-1.92234848484852,4.0265151515151665,12.722932942836682,0.49090129278330785,10950,0,2.8310546875,0.8623480302326659,35.076171875,,25.83489990234375,0.13733020526621026,200.746337890625,,9.65228271484375,0.35030297607283056,95.327880859375,,8.63885498046875,0.11773288135924327,64.0731201171875,,7.51068115234375,0.22586495773137602,60.3878173828125,,1.451800090791609,8.6435546875,56.943359375,38.517578125,208.5234375,226.349609375,108.4091796875,293.6044921875,0.440617514645836,9.221694849414048,7.116484895229258,25.018025633008193,14.2646484375,157.5908203125,148.404296875,410.5732421875,5.4931640625,58.109375,48.166015625,145.8154296875
1987-10-29,2.6666666666666665,315380.0,6613255.0,48.28787878787877,7.6401515151515,42.75378787878783,6.84469696969697,28354.0,7.50925139460354,42.36644410299592,48.82815113736165,10,1987,302,0.7401768531960371,0.7361723476763936,9.67139319408086,40.99399102538611,48.11939925900839,-4.1401515151515005,3.666666666666668,0.3484848484848335,13.195337192811369,0.4724042499746872,10950,0,6.443359375,0.8623480302326659,35.076171875,,29.79412841796875,0.13733020526621026,200.746337890625,,16.28875732421875,0.35030297607283056,95.327880859375,,9.30108642578125,0.11773288135924327,64.0731201171875,,9.84381103515625,0.22586495773137602,60.3878173828125,,2.0586795245656746,9.21875,50.3017578125,47.11328125,186.6015625,232.4189453125,114.126953125,296.541015625,1.4942785704374124,10.240594489258296,9.290928038794235,19.991680935329704,27.625,166.23828125,169.1748046875,370.580078125,13.623046875,60.2880859375,61.119140625,131.1748046875
1987-11-14,3.0,315380.0,6613255.0,48.6363636363636,3.5,46.4204545454545,6.65909090909091,28354.0,5.999680921705423,43.713734636621076,48.87664958623037,11,1987,318,0.793577803248942,0.7651233475735113,7.50925139460354,42.36644410299592,48.82815113736165,-4.1401515151515,3.666666666666668,0.3484848484848335,13.616964764065225,0.42162757125385575,10950,0,0.37890625,0.8623480302326659,35.076171875,,31.50689697265625,0.13733020526621026,200.746337890625,,16.2696533203125,0.35030297607283056,95.327880859375,,9.61651611328125,0.11773288135924327,64.0731201171875,,8.60589599609375,0.22586495773137602,60.3878173828125,,2.31883062793019,6.841796875,52.07421875,50.1513671875,175.37109375,202.171875,157.4267578125,297.029296875,1.9565281956174758,10.87566487983178,16.14707411302718,26.865144920788744,28.3134765625,169.6875,209.0048828125,432.73828125,13.4541015625,93.3037109375,118.8759765625,170.0166015625
1987-11-30,3.5,315380.0,6613255.0,48.2897727272727,3.079545454545455,47.07954545454545,6.176136363636365,28354.0,4.774602494390331,44.78200941651722,48.925187197452686,11,1987,334,0.793577803248942,0.7926043514935122,5.999680921705423,43.713734636621076,48.87664958623037,-2.2803030303030223,2.1628787878788103,0.000946969696965283,13.940499035891289,0.3235342718260643,10950,0,5.025390625,0.8623480302326659,35.076171875,,32.58221435546875,0.13733020526621026,200.746337890625,,17.3267822265625,0.35030297607283056,95.327880859375,,9.562744140625,0.11773288135924327,64.0731201171875,,8.4229736328125,0.22586495773137602,60.3878173828125,,2.539364937403593,6.822265625,15.6796875,86.9384765625,174.1796875,195.3359375,163.6171875,286.8916015625,2.995864690895001,12.293299855557331,18.212886210797752,34.120524289221265,34.29296875,174.4091796875,231.5615234375,470.8525390625,23.9140625,82.8544921875,121.517578125,257.662109375
1987-12-16,4.0,315380.0,6613255.0,47.9431818181818,2.65909090909091,47.7386363636364,5.69318181818182,28354.0,3.6062278223347857,45.43265044980585,49.36752400838206,12,1987,350,0.8414709848078965,0.818562561459001,4.774602494390331,44.78200941651722,48.925187197452686,-0.42045454545454497,0.6590909090909527,-0.3465909090908994,14.11164804461037,0.17114900871908034,10950,0,11.75390625,0.8623480302326659,35.076171875,,32.8699951171875,0.13733020526621026,200.746337890625,,19.38690185546875,0.35030297607283056,95.327880859375,,10.9974365234375,0.11773288135924327,64.0731201171875,,12.28448486328125,0.22586495773137602,60.3878173828125,,2.4505666245263544,5.404296875,17.91796875,72.451171875,166.6552734375,217.197265625,167.2177734375,259.515625,3.9033162518159763,20.709058408476693,14.470394634936797,37.37002913167032,39.4052734375,221.8291015625,203.283203125,497.0615234375,20.5849609375,131.9296875,92.96484375,260.03515625
1988-01-01,4.5,315380.0,6613255.0,51.681818181818144,2.482954545454545,44.2102272727273,6.017045454545455,28354.0,2.407059605887703,45.64227496046756,50.3308875018798,1,1988,1,0.08323691620031025,0.0027397225999562153,3.6062278223347857,45.43265044980585,49.36752400838206,-0.29829545454545503,-1.4346590909090757,1.696022727272723,14.090819418481846,-0.020828626128523098,10950,0,0.650390625,1.722521677740808,291.3984375,,37.05767822265625,0.26282309670953624,581.0264892578125,,22.4368896484375,0.4680815096685278,276.84539794921875,,12.58709716796875,0.20936051494283003,224.211181640625,,11.1636962890625,0.24384600618704805,207.49578857421875,,3.3092273032545716,12.1181640625,17.4794921875,62.5625,181.1865234375,218.033203125,164.4560546875,259.216796875,2.6047727496117794,14.234056694306432,17.0961230166151,45.52020572371468,37.775390625,191.37890625,223.28515625,537.998046875,23.46484375,102.1708984375,140.224609375,289.8095703125
1988-01-17,5.0,315380.0,6613255.0,55.4204545454545,2.30681818181818,40.6818181818182,6.34090909090909,28354.0,2.240450139971335,43.87830900921297,52.3400142052259,1,1988,17,0.08323691620031025,0.04655850526789941,2.407059605887703,45.64227496046756,50.3308875018798,-0.1761363636363651,-3.5284090909091006,3.738636363636349,13.882482371709626,-0.2083370467722201,10950,0,0.0,1.722521677740808,291.3984375,,33.5,0.26282309670953624,581.0264892578125,,18.56982421875,0.4680815096685278,276.84539794921875,,9.09661865234375,0.20936051494283003,224.211181640625,,8.238525390625,0.24384600618704805,207.49578857421875,,2.781794606117446,12.404296875,11.8544921875,61.1396484375,183.79296875,222.8388671875,163.1083984375,188.421875,2.3860265783355024,27.268619309952253,21.453415086682945,38.28398859273671,32.4521484375,249.2431640625,249.263671875,514.4033203125,17.2900390625,162.619140625,141.4306640625,303.5107421875
1988-02-02,5.5,315380.0,6613255.0,52.33522727272725,1.801136363636365,44.426136363636346,6.357954545454545,28354.0,0.0,43.22784590045765,55.74654247969977,2,1988,33,0.16589613269341502,0.09028783724052472,2.240450139971335,43.87830900921297,52.3400142052259,-0.34090909090908994,0.10795454545452188,0.32670454545455385,13.530262380520963,-0.35221999118866343,10950,0,5.01953125,1.722521677740808,291.3984375,18.296875,30.19390869140625,0.26282309670953624,581.0264892578125,135.29412841796875,17.0009765625,0.4680815096685278,276.84539794921875,58.61419677734375,9.637451171875,0.20936051494283003,224.211181640625,43.512939453125,9.2657470703125,0.24384600618704805,207.49578857421875,39.68035888671875,2.162085820443277,0.603515625,21.1357421875,58.4931640625,166.6455078125,245.005859375,162.388671875,157.486328125,2.41873066923567,19.223026986575572,19.29230316832865,55.73698341709262,29.0986328125,215.052734375,229.1142578125,593.693359375,18.3564453125,116.4599609375,127.291015625,356.349609375
1988-02-18,6.0,315380.0,6613255.0,49.25,1.29545454545455,48.1704545454545,6.375,28354.0,0.0,45.12712800848912,53.81369845675612,2,1988,49,0.16589613269341502,0.1338437033818601,0.0,43.22784590045765,55.74654247969977,-0.5056818181818149,3.744318181818148,-3.0852272727272485,13.088788856948975,-0.44147352357198777,10950,0,0.0,1.722521677740808,291.3984375,23.322265625,33.65380859375,0.26282309670953624,581.0264892578125,143.24176025390625,17.7254638671875,0.4680815096685278,276.84539794921875,68.42816162109375,10.63653564453125,0.20936051494283003,224.211181640625,45.3590087890625,9.66265869140625,0.24384600618704805,207.49578857421875,41.6844482421875,2.600836979656261,5.01953125,17.72265625,59.001953125,153.2275390625,260.5595703125,157.1123046875,164.0986328125,3.0670685537881073,13.00242768470587,14.13865432022671,46.247713862373104,33.5390625,185.853515625,201.341796875,535.6337890625,20.6259765625,96.24609375,115.5419921875,301.708984375
1988-03-05,7.0,315380.0,6613255.0,53.1818181818182,1.72727272727273,43.8068181818182,6.17045454545455,28354.0,1.9106981886672298,47.24421253176175,49.51709349965364,3,1988,65,0.24740395925452294,0.17714242182778436,0.0,45.12712800848912,53.81369845675612,-0.036931818181817566,-0.3096590909090722,0.42329545454547457,12.603346830090423,-0.48544202685855176,10950,0,0.0009765625,1.722521677740808,291.3984375,26.4326171875,29.18536376953125,0.26282309670953624,581.0264892578125,152.588134765625,14.8521728515625,0.4680815096685278,276.84539794921875,78.92437744140625,9.55975341796875,0.20936051494283003,224.211181640625,48.11663818359375,8.18768310546875,0.24384600618704805,207.49578857421875,46.6678466796875,1.9752389452079586,5.01953125,12.40625,24.0078125,94.857421875,357.857421875,158.486328125,163.9990234375,1.5428785030868033,14.721428149080875,21.878816064384367,34.737023441375925,26.021484375,201.37890625,248.302734375,483.4921875,13.75390625,110.3994140625,128.322265625,263.5458984375
