,Gini_importance
tmax_lag,0.0017238498265816195
tmax_7,0.0018260959975061307
tmin_lag,0.0018328502647783132
tmax_14,0.001856115990556069
tmax_30,0.001982588467751346
VPD_lag,0.0020799008734758715
tmin_7,0.002145914713546149
tmin_14,0.0022846063340159033
fire_severity,0.0030732269851580308
precip_30,0.0044009554777745125
VPD_14,0.004731389669444023
DER_000_999,0.005278276754968615
photoperiod_gradient,0.00563798479285023
tmin_30,0.005804325380234448
VPD_30,0.006287807557482099
SLGA_2,0.006541683005622049
VPD_7,0.0069949336213962696
precip_180,0.008674669117373187
precip_1460,0.0091783862277669
precip_365,0.011437404883579267
photoperiod,0.013159544952281136
precip_1095,0.01350285704679029
precip_730,0.014950884490852002
MAT,0.020901688223091495
precip_90,0.023411609879962627
grass,0.02746972921530788
CO2,0.04302984920678702
SLGA_3,0.04880524802466287
days_since_fire,0.053417077585170475
MAP,0.06391960709775495
shrub,0.1319572549571365
SLGA_1,0.15554949424150236
tree,0.2961521891368395
