"","precip","time"
"1",0,1980-01-01
"2",0,1980-01-02
"3",0.005859375,1980-01-03
"4",0,1980-01-04
"5",0,1980-01-05
"6",0,1980-01-06
"7",0,1980-01-07
"8",0,1980-01-08
"9",0.0283203125,1980-01-09
"10",0.7431640625,1980-01-10
"11",2.3955078125,1980-01-11
"12",3.3896484375,1980-01-12
"13",0.19921875,1980-01-13
"14",0.140625,1980-01-14
"15",0.1904296875,1980-01-15
"16",0,1980-01-16
"17",0,1980-01-17
"18",0.9599609375,1980-01-18
"19",0.0771484375,1980-01-19
"20",1.3837890625,1980-01-20
"21",0,1980-01-21
"22",0.052734375,1980-01-22
"23",0.1572265625,1980-01-23
"24",0,1980-01-24
"25",0.015625,1980-01-25
"26",0,1980-01-26
"27",0.2861328125,1980-01-27
"28",0,1980-01-28
"29",2.0625,1980-01-29
"30",0.8046875,1980-01-30
"31",0,1980-01-31
"32",0.0693359375,1980-02-01
"33",0.5849609375,1980-02-02
"34",0,1980-02-03
"35",0.099609375,1980-02-04
"36",0.138671875,1980-02-05
"37",0.2607421875,1980-02-06
"38",0,1980-02-07
"39",0,1980-02-08
"40",0,1980-02-09
"41",0,1980-02-10
"42",0,1980-02-11
"43",0,1980-02-12
"44",0,1980-02-13
"45",0,1980-02-14
"46",0,1980-02-15
"47",0,1980-02-16
"48",0.0068359375,1980-02-17
"49",0.056640625,1980-02-18
"50",0,1980-02-19
"51",0,1980-02-20
"52",0,1980-02-21
"53",3.4658203125,1980-02-22
"54",0.1025390625,1980-02-23
"55",0.0693359375,1980-02-24
"56",0,1980-02-25
"57",0,1980-02-26
"58",0.0673828125,1980-02-27
"59",0.5498046875,1980-02-28
"60",0,1980-02-29
"61",0,1980-03-01
"62",1.171875,1980-03-02
"63",0.103515625,1980-03-03
"64",0.1337890625,1980-03-04
"65",0,1980-03-05
"66",0,1980-03-06
"67",0,1980-03-07
"68",0.0126953125,1980-03-08
"69",0,1980-03-09
"70",0,1980-03-10
"71",0,1980-03-11
"72",0,1980-03-12
"73",0,1980-03-13
"74",0.0078125,1980-03-14
"75",0.9658203125,1980-03-15
"76",0.0888671875,1980-03-16
"77",0.0078125,1980-03-17
"78",0,1980-03-18
"79",0,1980-03-19
"80",0.015625,1980-03-20
"81",0,1980-03-21
"82",0,1980-03-22
"83",0,1980-03-23
"84",0,1980-03-24
"85",0,1980-03-25
"86",0,1980-03-26
"87",0.5712890625,1980-03-27
"88",0.125,1980-03-28
"89",0.0302734375,1980-03-29
"90",0.154296875,1980-03-30
"91",0,1980-03-31
"92",0.0078125,1980-04-01
"93",0.0078125,1980-04-02
"94",0.0048828125,1980-04-03
"95",0,1980-04-04
"96",0,1980-04-05
"97",0,1980-04-06
"98",0.0078125,1980-04-07
"99",0.015625,1980-04-08
"100",0,1980-04-09
"101",0,1980-04-10
"102",0,1980-04-11
"103",0.3916015625,1980-04-12
"104",0,1980-04-13
"105",0.0302734375,1980-04-14
"106",0.0947265625,1980-04-15
"107",3.482421875,1980-04-16
"108",0.4765625,1980-04-17
"109",10.7431640625,1980-04-18
"110",9.470703125,1980-04-19
"111",7.9658203125,1980-04-20
"112",14.224609375,1980-04-21
"113",7.93359375,1980-04-22
"114",5.0048828125,1980-04-23
"115",1.5654296875,1980-04-24
"116",2.3642578125,1980-04-25
"117",2.0693359375,1980-04-26
"118",0.07421875,1980-04-27
"119",0,1980-04-28
"120",0.03125,1980-04-29
"121",0.1572265625,1980-04-30
"122",0.0478515625,1980-05-01
"123",0.001953125,1980-05-02
"124",0.08203125,1980-05-03
"125",0.037109375,1980-05-04
"126",0.046875,1980-05-05
"127",0.638671875,1980-05-06
"128",6.0576171875,1980-05-07
"129",0.208984375,1980-05-08
"130",0.044921875,1980-05-09
"131",0.0205078125,1980-05-10
"132",6.541015625,1980-05-11
"133",5.69140625,1980-05-12
"134",1.1953125,1980-05-13
"135",0.0595703125,1980-05-14
"136",0.0458984375,1980-05-15
"137",0.0673828125,1980-05-16
"138",0.072265625,1980-05-17
"139",0.7138671875,1980-05-18
"140",1.66796875,1980-05-19
"141",11.115234375,1980-05-20
"142",0.3720703125,1980-05-21
"143",0.033203125,1980-05-22
"144",0.0546875,1980-05-23
"145",3.66796875,1980-05-24
"146",0.033203125,1980-05-25
"147",0,1980-05-26
"148",0.796875,1980-05-27
"149",5.4677734375,1980-05-28
"150",0.904296875,1980-05-29
"151",3.5322265625,1980-05-30
"152",2.4228515625,1980-05-31
"153",1.69140625,1980-06-01
"154",0.12109375,1980-06-02
"155",17.951171875,1980-06-03
"156",9.0234375,1980-06-04
"157",0.318359375,1980-06-05
"158",1.0654296875,1980-06-06
"159",3.267578125,1980-06-07
"160",1.4775390625,1980-06-08
"161",5.994140625,1980-06-09
"162",5.4638671875,1980-06-10
"163",6.7802734375,1980-06-11
"164",1.943359375,1980-06-12
"165",0.0791015625,1980-06-13
"166",0,1980-06-14
"167",24.20703125,1980-06-15
"168",13.171875,1980-06-16
"169",23.8310546875,1980-06-17
"170",0.9462890625,1980-06-18
"171",0.8271484375,1980-06-19
"172",1.1318359375,1980-06-20
"173",0.0537109375,1980-06-21
"174",0.056640625,1980-06-22
"175",0.091796875,1980-06-23
"176",0.5107421875,1980-06-24
"177",0.1640625,1980-06-25
"178",2.3740234375,1980-06-26
"179",10.03125,1980-06-27
"180",14.984375,1980-06-28
"181",4.021484375,1980-06-29
"182",0.5625,1980-06-30
"183",0.55859375,1980-07-01
"184",8.1787109375,1980-07-02
"185",2.103515625,1980-07-03
"186",7.2275390625,1980-07-04
"187",4.0205078125,1980-07-05
"188",1.3818359375,1980-07-06
"189",7.4658203125,1980-07-07
"190",2.58984375,1980-07-08
"191",1.138671875,1980-07-09
"192",0.11328125,1980-07-10
"193",4.4765625,1980-07-11
"194",3.1904296875,1980-07-12
"195",12.970703125,1980-07-13
"196",13.6357421875,1980-07-14
"197",2.6533203125,1980-07-15
"198",1.826171875,1980-07-16
"199",5.7998046875,1980-07-17
"200",2.7236328125,1980-07-18
"201",0.123046875,1980-07-19
"202",2.794921875,1980-07-20
"203",4.1015625,1980-07-21
"204",1.47265625,1980-07-22
"205",1.1669921875,1980-07-23
"206",0.388671875,1980-07-24
"207",0.013671875,1980-07-25
"208",0.013671875,1980-07-26
"209",7.0498046875,1980-07-27
"210",18.04296875,1980-07-28
"211",3.6396484375,1980-07-29
"212",2.240234375,1980-07-30
"213",0.4599609375,1980-07-31
"214",0,1980-08-01
"215",9.087890625,1980-08-02
"216",0.12890625,1980-08-03
"217",0.099609375,1980-08-04
"218",0.7265625,1980-08-05
"219",0.009765625,1980-08-06
"220",13.177734375,1980-08-07
"221",0.3251953125,1980-08-08
"222",0.11328125,1980-08-09
"223",0,1980-08-10
"224",5.5810546875,1980-08-11
"225",1.0205078125,1980-08-12
"226",0.853515625,1980-08-13
"227",3.65625,1980-08-14
"228",7.8330078125,1980-08-15
"229",0.0595703125,1980-08-16
"230",0.01171875,1980-08-17
"231",0.501953125,1980-08-18
"232",0.078125,1980-08-19
"233",15.95703125,1980-08-20
"234",2.3056640625,1980-08-21
"235",0.2060546875,1980-08-22
"236",0.6318359375,1980-08-23
"237",3.2734375,1980-08-24
"238",3.4052734375,1980-08-25
"239",0.30078125,1980-08-26
"240",0.2724609375,1980-08-27
"241",0.2890625,1980-08-28
"242",0.041015625,1980-08-29
"243",0.0751953125,1980-08-30
"244",4.9892578125,1980-08-31
"245",1.423828125,1980-09-01
"246",0.4658203125,1980-09-02
"247",0,1980-09-03
"248",0,1980-09-04
