"","time","bs","pv","npv","ue","spatial_ref","sfg_id","point_id","x","y"
"312",2004-04-29 00:00:27.362463,52.6521739130435,1.1304347826087,45.0869565217391,6.82608695652174,3577,16620.1739130435,16620.1739130435,916308.913043478,-3509441.08695652
"313",2004-05-30 00:15:43.490671,54.7142857142857,6.17857142857143,37.5357142857143,8,3577,16730.5,16730.5,916310.357142857,-3509431.07142857
"314",2004-05-31 00:01:24.070012,57.8571428571429,3.14285714285714,37.4642857142857,7.21428571428571,3577,16758.5,16758.5,916310.357142857,-3509431.07142857
"315",2004-06-16 00:01:51.819269,43.5,12.4090909090909,42.8181818181818,8.54545454545454,3577,16840.0454545455,16840.0454545455,916315.909090909,-3509415
"316",2004-07-18 00:02:47.163117,49.9642857142857,5.42857142857143,43.1785714285714,7.78571428571429,3577,16954.5,16954.5,916310.357142857,-3509431.07142857
"317",2004-08-02 00:15:23.938031,57.6785714285714,6.35714285714286,34.5,6.71428571428571,3577,16982.5,16982.5,916310.357142857,-3509431.07142857
"318",2004-08-18 00:15:22.679007,73.8214285714286,0.25,25,5.28571428571429,3577,17094.5,17094.5,916310.357142857,-3509431.07142857
"319",2004-09-03 00:15:18.367991,62.9166666666667,0.0833333333333333,35.75,18.4166666666667,3577,17171.5833333333,17171.5833333333,916325,-3509387.5
"320",2004-09-04 00:03:56.115234,55.5714285714286,0.428571428571429,42.5714285714286,7.42857142857143,3577,17198.2857142857,17198.2857142857,916339.285714286,-3509376.42857143
"321",2004-09-19 00:15:12.221515,51.6428571428571,9.89285714285714,37.0714285714286,7.96428571428571,3577,17290.5,17290.5,916310.357142857,-3509431.07142857
"322",2004-09-20 00:04:21.073175,58.8571428571429,6.47619047619048,33.2857142857143,7.47619047619048,3577,17315.2857142857,17315.2857142857,916313.571428571,-3509410.71428571
"323",2004-09-27 00:10:41.350006,68.8571428571429,4.96428571428571,24.6428571428571,5.03571428571429,3577,17346.5,17346.5,916310.357142857,-3509431.07142857
"324",2004-10-05 00:15:08.023027,42.8571428571429,18.8928571428571,36.8571428571429,8.21428571428571,3577,17402.5,17402.5,916310.357142857,-3509431.07142857
"325",2004-10-21 00:15:17.174623,47,3.78571428571429,47.4642857142857,10.8214285714286,3577,17486.5,17486.5,916310.357142857,-3509431.07142857
"326",2004-10-22 00:05:02.792229,56.75,8.25,33.5625,7.3125,3577,17509.25,17509.25,916318.125,-3509398.125
"327",2004-10-29 00:11:21.786552,56.9642857142857,6.28571428571429,35.3214285714286,7.42857142857143,3577,17542.5,17542.5,916310.357142857,-3509431.07142857
"328",2004-11-06 00:15:29.165402,34.4761904761905,1.80952380952381,62.4761904761905,8.66666666666667,3577,17595.6666666667,17595.6666666667,916299.285714286,-3509416.42857143
"329",2004-11-14 00:11:36.818689,59,3.64285714285714,35.6785714285714,7.67857142857143,3577,17654.5,17654.5,916310.357142857,-3509431.07142857
"330",2004-11-22 00:15:35.647686,58.6785714285714,3.89285714285714,35.75,7.5,3577,17710.5,17710.5,916310.357142857,-3509431.07142857
"331",2004-12-16 00:12:16.766717,64.6428571428571,0.428571428571429,33.5357142857143,7.60714285714286,3577,17850.5,17850.5,916310.357142857,-3509431.07142857
"332",2004-12-25 00:06:14.494295,63.6153846153846,0.769230769230769,34.3846153846154,6.84615384615385,3577,17941.6923076923,17941.6923076923,916305,-3509475
"333",2005-01-09 00:15:58.104572,59.8571428571429,1.39285714285714,37.25,7.57142857142857,3577,17990.5,17990.5,916310.357142857,-3509431.07142857
"334",2005-01-17 00:12:43.184929,57.1428571428571,0.142857142857143,41.7142857142857,7.46428571428571,3577,18046.5,18046.5,916310.357142857,-3509431.07142857
"335",2005-01-25 00:15:58.138596,57.5,0,41.5,7,3577,18093.5,18093.5,916350,-3509370
"336",2005-02-02 00:12:54.955397,53.6071428571429,0,45.5357142857143,7,3577,18130.5,18130.5,916310.357142857,-3509431.07142857
"337",2005-02-10 00:16:08.455697,54.4545454545455,0,44.6363636363636,13.3636363636364,3577,18178.2727272727,18178.2727272727,916313.181818182,-3509382.27272727
"338",2005-02-18 00:13:11.884117,56.0714285714286,0,43.2142857142857,6.89285714285714,3577,18242.5,18242.5,916310.357142857,-3509431.07142857
"339",2005-02-26 00:16:14.692727,59.75,0.5,38.75,7.25,3577,18307,18307,916275,-3509490
"340",2005-02-27 00:07:09.491973,59.7142857142857,0.428571428571429,38.8571428571429,6.85714285714286,3577,18336.1428571429,18336.1428571429,916300.714285714,-3509492.14285714
"341",2005-03-06 00:13:25.867827,57.5714285714286,0.142857142857143,41.2857142857143,7.10714285714286,3577,18354.5,18354.5,916310.357142857,-3509431.07142857
"342",2005-03-14 00:16:17.030256,59.75,1.60714285714286,37.25,7.17857142857143,3577,18410.5,18410.5,916310.357142857,-3509431.07142857
"343",2005-03-15 00:07:21.127455,59.6111111111111,0,39.3888888888889,6.55555555555556,3577,18435.5,18435.5,916326.666666667,-3509410
"344",2005-03-22 00:13:35.454156,56.5357142857143,0.142857142857143,42.2142857142857,7.39285714285714,3577,18466.5,18466.5,916310.357142857,-3509431.07142857
"345",2005-03-30 00:16:14.836744,59.48,0.56,38.56,7.4,3577,18521.4,18521.4,916314.6,-3509423.4
"346",2005-04-07 00:13:40.214007,37.8214285714286,0,61.3928571428571,4,3577,18578.5,18578.5,916310.357142857,-3509431.07142857
"347",2005-04-15 00:16:08.724189,54.2857142857143,0.75,43.5714285714286,7.60714285714286,3577,18634.5,18634.5,916310.357142857,-3509431.07142857
"348",2005-04-23 00:13:43.675092,56.3928571428571,0.714285714285714,41.6071428571429,7.42857142857143,3577,18690.5,18690.5,916310.357142857,-3509431.07142857
"349",2005-05-01 00:16:10.013636,57.4285714285714,1.96428571428571,39.1428571428571,7.39285714285714,3577,18746.5,18746.5,916310.357142857,-3509431.07142857
"350",2005-05-09 00:13:50.037797,53.1428571428571,0.285714285714286,45.5,7.42857142857143,3577,18802.5,18802.5,916310.357142857,-3509431.07142857
"351",2005-06-02 00:16:07.654704,30.7142857142857,0.857142857142857,67.1428571428571,6,3577,18978.5714285714,18978.5714285714,916292.142857143,-3509483.57142857
"352",2005-07-20 00:16:00.151541,41.5714285714286,14.1071428571429,43.1071428571429,9.75,3577,19194.5,19194.5,916310.357142857,-3509431.07142857
"353",2005-07-21 00:08:12.879725,45.7727272727273,11.4090909090909,41.2272727272727,9.04545454545454,3577,19220.0454545455,19220.0454545455,916315.909090909,-3509415
"354",2005-07-28 00:14:27.851028,50.5357142857143,11.5357142857143,36.4642857142857,16.1785714285714,3577,19250.5,19250.5,916310.357142857,-3509431.07142857
"355",2005-08-05 00:15:57.798751,29.8571428571429,27.4285714285714,41.2142857142857,9.57142857142857,3577,19306.5,19306.5,916310.357142857,-3509431.07142857
"356",2005-08-06 00:08:21.853163,38.8928571428571,24.8214285714286,34.8214285714286,9.07142857142857,3577,19334.5,19334.5,916310.357142857,-3509431.07142857
"357",2005-08-13 00:14:35.652579,34.0357142857143,29.6428571428571,34.9285714285714,9.39285714285714,3577,19362.5,19362.5,916310.357142857,-3509431.07142857
"358",2005-08-21 00:15:52.37674,23.1785714285714,33.1428571428571,42.1785714285714,10.2857142857143,3577,19418.5,19418.5,916310.357142857,-3509431.07142857
"359",2005-08-22 00:08:28.225998,37.3214285714286,29.0357142857143,32.2142857142857,9.07142857142857,3577,19446.5,19446.5,916310.357142857,-3509431.07142857
"360",2005-08-29 00:14:40.990166,36.3214285714286,29.1071428571429,33.0357142857143,9.14285714285714,3577,19474.5,19474.5,916310.357142857,-3509431.07142857
"361",2005-09-06 00:15:43.671518,20.2857142857143,35.4285714285714,42.75,11.75,3577,19530.5,19530.5,916310.357142857,-3509431.07142857
"362",2005-09-14 00:14:42.964688,31.2142857142857,32.6785714285714,34.6428571428571,9.75,3577,19586.5,19586.5,916310.357142857,-3509431.07142857
"363",2005-09-23 00:08:31.591558,37.5357142857143,28.0714285714286,33.1785714285714,9.03571428571429,3577,19670.5,19670.5,916310.357142857,-3509431.07142857
"364",2005-09-30 00:14:40.870441,45.9285714285714,21,31.8214285714286,8.71428571428571,3577,19698.5,19698.5,916310.357142857,-3509431.07142857
"365",2005-10-09 00:08:27.406938,50.2142857142857,12.6071428571429,35.7857142857143,7.60714285714286,3577,19754.5,19754.5,916310.357142857,-3509431.07142857
"366",2005-10-16 00:14:37.548244,50,10.0714285714286,38.4642857142857,8.32142857142857,3577,19782.5,19782.5,916310.357142857,-3509431.07142857
"367",2005-10-24 00:15:49.541764,49.5,8.42857142857143,40.7142857142857,7.96428571428571,3577,19838.5,19838.5,916310.357142857,-3509431.07142857
"368",2005-11-01 00:14:38.460425,51.25,4.64285714285714,42.5,8.14285714285714,3577,19894.5,19894.5,916310.357142857,-3509431.07142857
"369",2005-11-09 00:16:00.658423,54.6785714285714,3.42857142857143,40.3214285714286,7.96428571428571,3577,19950.5,19950.5,916310.357142857,-3509431.07142857
"370",2005-11-10 00:08:39.426003,56.2272727272727,3,39.1818181818182,7.5,3577,19976.0454545455,19976.0454545455,916315.909090909,-3509415
"371",2005-11-25 00:16:08.154406,49.6818181818182,4.40909090909091,44.5454545454545,7.86363636363636,3577,20064.7727272727,20064.7727272727,916302.272727273,-3509446.36363636
"372",2005-12-11 00:16:11.714723,53.9285714285714,2.82142857142857,41.75,7.64285714285714,3577,20146.5,20146.5,916310.357142857,-3509431.07142857
