"","time","bs","pv","npv"
"1",1987-09-12 23:50:11.212123,24,16.5454545454545,58.3223140495868
"2",1987-09-28 23:50:32.632319,28.0495867768595,17.2314049586777,53.495867768595
"3",1987-10-14 23:50:51.037147,27.2644628099174,15.1239669421488,56.2066115702479
"4",1987-12-01 23:51:44.453719,38.6198347107438,11.801652892562,48.3140495867769
"5",1987-12-17 23:51:58.216874,23.0165289256198,16.4214876033058,59.2148760330578
"6",1988-01-02 23:52:13.89572,19.1074380165289,14.8099173553719,64.6446280991736
"7",1988-01-18 23:52:31.233561,26.4628099173554,14.8595041322314,57.3471074380165
"8",1988-03-06 23:53:14.206065,28.099173553719,13.7933884297521,56.6528925619835
"9",1988-04-07 23:53:28.431172,24.2561983471074,14.3471074380165,60
"10",1988-04-23 23:53:33.220025,31.2066115702479,9.67768595041322,58
"11",1988-05-09 23:53:43.432529,39.1239669421488,10.7603305785124,48.7520661157025
"12",1988-05-25 23:53:50.385531,28.1157024793388,10.495867768595,59.9586776859504
"13",1988-06-10 23:53:55.592643,36.0826446280992,9.28099173553719,53.2644628099174
"14",1988-07-12 23:54:04.818089,32.0743801652893,7.88429752066116,58.9586776859504
"15",1988-07-28 23:54:07.17116,31.9917355371901,8.33884297520661,58.4297520661157
"16",1988-08-13 23:54:06.149588,31.6859504132231,7.12396694214876,59.8347107438017
"17",1988-08-29 23:54:10.97597,34.5619834710744,9.12396694214876,54.8595041322314
"18",1988-09-14 23:54:08.112561,35.3801652892562,9.7603305785124,53.3057851239669
"19",1988-09-30 23:54:01.735546,32.4876033057851,8.22314049586777,57.8677685950413
"20",1988-10-16 23:53:57.083546,29.2148760330579,8.57851239669422,60.801652892562
"21",1988-11-01 23:53:59.97121,29.1074380165289,11.2561983471074,58.2892561983471
"22",1988-11-17 23:53:57.842206,28.6694214876033,8.36363636363636,61.5950413223141
"23",1988-12-19 23:53:42.909167,28.5,10.5,59.5
"24",1989-01-04 23:53:42.289997,26.1818181818182,38.9917355371901,33.7768595041322
"25",1989-01-20 23:53:22.334595,22.1322314049587,24.3553719008264,52.5289256198347
"26",1989-02-21 23:53:18.070099,26.6776859504132,41.1652892561983,31.0578512396694
"27",1989-03-25 23:52:19.511499,21.5619834710744,40.2148760330578,37.1239669421488
"28",1989-04-10 23:52:31.917199,19.6611570247934,42.8595041322314,36.1322314049587
"29",1989-04-26 23:52:12.268971,17.4793388429752,42.4049586776859,38.8347107438017
"30",1989-05-28 23:51:43.941528,15.7190082644628,33.0743801652893,49.9173553719008
"31",1989-06-13 23:51:19.466331,19.396694214876,30.0909090909091,49.1157024793388
"32",1989-06-29 23:51:05.173629,20.7768595041322,29.4545454545455,48.5702479338843
"33",1989-07-31 23:50:25.977105,17.7272727272727,30.504132231405,50.4876033057851
"34",1989-08-16 23:50:01.687145,21.8181818181818,23.5867768595041,53.0165289256198
"35",1989-09-01 23:49:44.023488,21.6942148760331,21.595041322314,55.5785123966942
"36",1989-09-17 23:49:11.227706,22.9090909090909,17.6859504132231,58.1735537190083
"37",1989-10-03 23:49:02.44123,24.0495867768595,16.6694214876033,58.0165289256198
"38",1989-11-04 23:48:02.461389,15.404958677686,17.6942148760331,65.6942148760331
"39",1989-12-22 23:46:37.803032,16.603305785124,44.7768595041322,37.3553719008264
"40",1990-02-24 23:44:35.505787,15.2314049586777,29.4876033057851,53.9421487603306
"41",1990-03-12 23:44:01.255653,18.595041322314,28.801652892562,51.6363636363636
"42",1990-04-13 23:43:35.935749,14.1322314049587,32.1404958677686,52.4214876033058
"43",1990-04-29 23:43:28.850159,22.7272727272727,33.9421487603306,42.2066115702479
"44",1990-05-15 23:43:39.540352,19.0495867768595,36.2314049586777,43.5123966942149
"45",1990-06-16 23:43:32.63467,17.8842975206612,33.801652892562,47.0826446280992
"46",1990-07-02 23:43:32.329671,19.9421487603306,32.0661157024793,46.6942148760331
"47",1990-07-18 23:43:27.416153,18.5289256198347,28.1570247933884,51.9586776859504
"48",1990-08-03 23:43:23.35258,22.2561983471074,25.4132231404959,51.2066115702479
"49",1990-08-19 23:43:20.210319,28.0909090909091,21.1404958677686,49.3801652892562
"50",1990-09-20 23:43:10.192307,24.0743801652893,21.198347107438,53.3884297520661
"51",1990-10-06 23:42:57.751458,23.702479338843,19.1570247933884,55.7355371900826
"52",1990-10-22 23:42:55.517354,26.2644628099174,19.4462809917355,52.9090909090909
"53",1990-11-07 23:42:52.626116,25.9917355371901,20.0082644628099,52.8347107438017
"54",1990-11-23 23:42:45.329985,20.4628099173554,18.7851239669421,59.4710743801653
"55",1990-12-25 23:43:02.291881,21.3719008264463,27.8512396694215,49.6611570247934
"56",1991-01-26 23:43:55.89852,0.0991735537190083,48.099173553719,50.9338842975207
"57",1991-02-27 23:44:25.545257,18.7768595041322,43.8842975206612,36.297520661157
"58",1991-03-15 23:44:45.059574,14.6859504132231,39.3471074380165,44.5619834710744
"59",1991-05-02 23:45:37.56283,18.7851239669421,22.4876033057851,57.5537190082645
"60",1991-05-18 23:45:52.171707,19.6528925619835,24.5206611570248,54.4628099173554
"61",1991-06-03 23:46:08.796566,18.3553719008264,22.5206611570248,57.6694214876033
"62",1991-07-05 23:46:35.974339,16.9090909090909,21.8264462809917,59.8429752066116
"63",1991-07-21 23:46:48.356947,18.5123966942149,20.5206611570248,59.4380165289256
"64",1991-08-06 23:46:54.266724,25.2644628099174,18.9256198347107,54.198347107438
"65",1991-08-22 23:46:58.613951,28.9504132231405,20.9834710743802,48.9090909090909
