"","time","bs","pv","npv"
"1",1987-09-16 00:20:21.720959,33.3884297520661,22.4545454545455,42.8677685950413
"2",1987-10-02 00:20:42.699399,36,19.3471074380165,43.1818181818182
"3",1987-10-18 00:21:00.105717,33.3719008264463,19.801652892562,45.4710743801653
"4",1987-11-03 00:21:17.909618,30.1404958677686,19.396694214876,49.3388429752066
"5",1987-11-19 00:21:38.482615,32.0413223140496,22.6859504132231,43.9256198347107
"6",1987-12-05 00:21:53.050062,40.0082644628099,25.702479338843,32.8842975206612
"7",1987-12-21 00:22:07.165603,23.7851239669421,27.9256198347107,47.0247933884297
"8",1988-01-22 00:22:40.453556,32.5454545454545,32.3719008264463,33.7190082644628
"9",1988-02-23 00:23:12.778543,32.6115702479339,27.2314049586777,38.8347107438017
"10",1988-03-26 00:23:30.372643,34.7520661157025,24.9256198347107,39.0578512396694
"11",1988-04-11 00:23:35.150752,30.4297520661157,21.5206611570248,46.6611570247934
"12",1988-04-27 00:23:40.027384,35.504132231405,17.1074380165289,45.9586776859504
"13",1988-05-13 00:23:51.283775,33.1735537190083,17.7603305785124,47.6446280991736
"14",1988-05-29 00:23:58.05481,38.8925619834711,14.0826446280992,45.6363636363636
"15",1988-06-14 00:24:03.677777,42.0413223140496,12.6446280991736,43.801652892562
"16",1988-06-30 00:24:08.761228,34.4545454545455,12.0661157024793,51.9173553719008
"17",1988-08-01 00:24:13.680594,39.3801652892562,12.7851239669421,46.5123966942149
"18",1988-09-18 00:24:13.498946,46.3801652892562,10.9586776859504,41.2396694214876
"19",1988-10-04 00:24:08.199312,35.7933884297521,12.1487603305785,50.6115702479339
"20",1988-10-20 00:24:02.206011,37.9421487603306,12.5454545454545,48
"21",1988-12-07 00:23:58.104493,37.3223140495868,12.504132231405,48.8347107438017
"22",1989-01-08 00:23:46.62446,37.7107438016529,21.6611570247934,39.2892561983471
"23",1989-01-24 00:23:26.576098,30.8181818181818,17.0330578512397,50.801652892562
"24",1989-02-09 00:23:29.186403,29.8512396694215,18.2231404958678,50.6528925619835
"25",1989-02-25 00:23:20.568238,40.5206611570248,19.3223140495868,38.7933884297521
"26",1989-04-14 00:22:35.753687,38.5619834710744,21.2561983471074,38.5454545454545
"27",1989-04-30 00:22:17.167022,38.0743801652893,18.2809917355372,42.3305785123967
"28",1989-05-16 00:21:59.884725,36.6198347107438,16.7685950413223,45.3719008264463
"29",1989-06-01 00:21:47.333173,38.5371900826446,15.0743801652893,45.1735537190083
"30",1989-06-17 00:21:19.979748,41.7933884297521,14.5206611570248,42.3884297520661
"31",1989-07-19 00:20:47.078113,45.9256198347107,11.396694214876,41.2479338842975
"32",1989-08-04 00:20:27.625146,45.9504132231405,10.900826446281,41.8429752066116
"33",1989-08-20 00:20:04.947672,47.3471074380165,10.2396694214876,40.900826446281
"34",1989-09-05 00:19:46.059914,46.1157024793388,10.9669421487603,41.2066115702479
"35",1989-09-21 00:19:14.342799,43.9834710743802,11.5371900826446,42.9669421487603
"36",1989-10-07 00:19:03.496933,44.1818181818182,11.8677685950413,42.5537190082645
"37",1989-11-08 00:18:02.226936,20.1487603305785,4.04132231404959,74.3884297520661
"38",1989-11-24 00:17:27.716262,28.3553719008264,15.198347107438,55.1818181818182
"39",1989-12-26 00:16:39.121263,37.7107438016529,13.3636363636364,47.3636363636364
"40",1990-02-12 00:15:05.735734,38.7438016528926,14.1735537190083,45.7851239669422
"41",1990-02-28 00:14:34.439572,35.9504132231405,20.9752066115702,41.900826446281
"42",1990-03-16 00:14:01.315394,44.7107438016529,18.4710743801653,35.4049586776859
"43",1990-04-01 00:13:33.38339,29.0661157024793,20.6363636363636,48.8099173553719
"44",1990-04-17 00:13:43.815557,37.3140495867769,20.2561983471074,41.3471074380165
"45",1990-05-03 00:13:35.746264,43.1487603305785,17.0165289256198,38.5619834710744
"46",1990-06-04 00:13:40.454722,40.7438016528926,17.5371900826446,40.3140495867769
"47",1990-07-06 00:13:37.160017,50.2396694214876,15.6280991735537,32.6198347107438
"48",1990-07-22 00:13:33.157245,48.8099173553719,14.1074380165289,35.6942148760331
"49",1990-08-07 00:13:29.23392,50.9504132231405,14.0330578512397,33.5785123966942
"50",1990-08-23 00:13:24.245028,50.8429752066116,12.4462809917355,35.2066115702479
"51",1990-09-08 00:13:19.062242,49.7107438016529,13.2561983471074,35.6942148760331
"52",1990-09-24 00:13:15.291577,46.2892561983471,12.1322314049587,40.1570247933884
"53",1990-10-10 00:13:05.670069,44,12.5206611570248,42.3057851239669
"54",1990-10-26 00:13:00.514426,50.702479338843,12.8264462809917,35.1322314049587
"55",1990-11-11 00:12:59.957212,47.4876033057851,10.5785123966942,40.1735537190083
"56",1990-11-27 00:12:47.641224,47.0413223140496,11.7438016528926,39.7851239669422
"57",1990-12-13 00:12:49.976563,40.3471074380165,10.297520661157,48.0413223140496
"58",1990-12-29 00:13:13.132238,38.1074380165289,9.99173553719008,50.5867768595041
"59",1991-01-30 00:14:03.861637,22.3388429752066,23.5289256198347,52.9173553719008
"60",1991-03-03 00:14:35.809106,21.5785123966942,36.4214876033058,40.8099173553719
"61",1991-03-19 00:14:58.096534,23.4297520661157,39.1404958677686,36.2892561983471
"62",1991-04-04 00:15:09.026696,21.1900826446281,35.801652892562,41.5867768595041
"63",1991-04-20 00:15:27.042098,24.2066115702479,36.4793388429752,38
"64",1991-05-06 00:15:47.306367,26.595041322314,32.7768595041322,39.4793388429752
"65",1991-05-22 00:16:02.604767,26.8429752066116,30.1900826446281,41.603305785124
