"","time","bs","pv","npv"
"1",1987-09-19 23:56:31.722402,51.4876033057851,14.1652892561983,33.0082644628099
"2",1987-10-05 23:56:51.997531,58.5371900826446,12.6363636363636,27.2479338842975
"3",1987-10-21 23:57:08.198535,50.4380165289256,12.6694214876033,35.4793388429752
"4",1987-11-06 23:57:28.178858,47.4628099173554,14.2231404958678,36.9173553719008
"5",1987-11-22 23:57:47.314063,48.1404958677686,24.495867768595,25.9173553719008
"6",1987-12-08 23:58:00.297248,49.3388429752066,23.2727272727273,25.7768595041322
"7",1988-01-09 23:58:32.160734,45.9586776859504,21.1239669421488,31.5702479338843
"8",1988-01-25 23:58:49.956157,49.4462809917355,23.8842975206612,25.2644628099174
"9",1988-02-26 23:59:19.685549,49.8429752066116,23.5289256198347,25.4876033057851
"10",1988-03-13 23:59:28.902412,54.1735537190083,23.7520661157025,20.9090909090909
"11",1988-04-14 23:59:39.766873,46.3305785123967,21.8595041322314,30.5289256198347
"12",1988-05-16 23:59:58.05433,35.0743801652893,17.4710743801653,46.2148760330578
"13",1988-06-01 00:00:04.421257,49.6859504132231,18.4710743801653,30.504132231405
"14",1988-06-17 00:00:09.683436,54.0495867768595,19.3057851239669,25.1404958677686
"15",1988-07-20 00:00:16.408359,52.3801652892562,15.6694214876033,30.4462809917355
"16",1988-08-05 00:00:17.71638,52.4876033057851,14.2727272727273,31.7603305785124
"17",1988-08-21 00:00:19.261979,54.5702479338843,13.595041322314,30.3057851239669
"18",1988-09-06 00:00:21.836206,53.7603305785124,13.4876033057851,31.2231404958678
"19",1988-09-22 00:00:16.774721,61.603305785124,12.1404958677686,24.7190082644628
"20",1988-10-07 00:00:11.795592,57.603305785124,12.5123966942149,28.5619834710744
"21",1988-11-08 00:00:09.963056,56.198347107438,11.7107438016529,30.4297520661157
"22",1988-11-24 00:00:10.388672,0,5.31034482758621,92.2586206896552
"23",1989-01-11 23:59:46.297776,50.9586776859504,23.7685950413223,23.9586776859504
"24",1989-01-27 23:59:33.110603,48.1074380165289,23,27.6198347107438
"25",1989-02-12 23:59:34.594353,42.5619834710744,28.0413223140496,28.2066115702479
"26",1989-02-28 23:59:20.902185,45.2479338842975,27.504132231405,25.8347107438017
"27",1989-03-16 23:58:42.758157,38.6859504132231,29.900826446281,29.9090909090909
"28",1989-04-01 23:58:36.593458,38.0247933884297,29.801652892562,30.900826446281
"29",1989-04-17 23:58:34.063276,43.2396694214876,26.7851239669421,28.4628099173554
"30",1989-05-03 23:58:20.166465,57.4380165289256,25.8181818181818,15.4462809917355
"31",1989-05-19 23:57:59.396242,37.3406593406593,19.6153846153846,41.8131868131868
"32",1989-06-20 23:57:21.843771,46.4793388429752,23.1157024793388,29.0165289256198
"33",1989-07-06 23:57:05.858881,51.297520661157,23.2892561983471,23.9256198347107
"34",1989-08-07 23:56:27.243036,48.1239669421488,15.7933884297521,34.7107438016529
"35",1989-08-23 23:56:05.940265,52.2561983471074,16.0165289256198,30.5371900826446
"36",1989-09-24 23:55:18.192184,50.1570247933884,13.801652892562,34.5289256198347
"37",1989-10-10 23:54:56.885886,56.0247933884297,12.3057851239669,30.2644628099174
"38",1989-12-13 23:53:05.036173,26.7768595041322,29.5206611570248,42.5619834710744
"39",1989-12-29 23:52:35.062497,42.1900826446281,24.2231404958678,32.2066115702479
"40",1990-02-15 23:51:02.022366,42.3884297520661,24.6528925619835,31.4793388429752
"41",1990-04-04 23:49:36.232547,34.7107438016529,29.6363636363636,34.3140495867769
"42",1990-04-20 23:49:48.648143,37.7107438016529,26.9504132231405,34.198347107438
"43",1990-05-06 23:49:45.08372,38.5619834710744,27.6942148760331,32.4793388429752
"44",1990-06-07 23:49:44.818763,33.702479338843,29.4297520661157,35.6198347107438
"45",1990-06-23 23:49:43.925814,38.8512396694215,28.6694214876033,31.3636363636364
"46",1990-07-09 23:49:42.196691,35.9090909090909,28.1900826446281,34.4462809917355
"47",1990-07-25 23:49:37.885197,36.5454545454545,28.0413223140496,34.0495867768595
"48",1990-08-26 23:49:27.858728,45.0909090909091,21.3636363636364,32.4462809917355
"49",1990-09-11 23:49:25.283401,44.504132231405,19.9917355371901,34.2561983471074
"50",1990-09-27 23:49:16.204675,46.4793388429752,16.9504132231405,34.9586776859504
"51",1990-10-13 23:49:09.998805,44.8347107438017,16.0082644628099,37.8264462809917
"52",1990-10-29 23:49:01.161469,47.4462809917355,17.0413223140496,34.2396694214876
"53",1990-11-14 23:49:03.496091,42.1322314049587,20.297520661157,36.1239669421488
"54",1990-12-16 23:49:00.945764,39.3057851239669,26.2066115702479,33.2231404958678
"55",1991-03-06 23:50:44.826721,25.3636363636364,36.9504132231405,36.504132231405
"56",1991-03-22 23:51:08.026968,27.0909090909091,34.9256198347107,36.6611570247934
"57",1991-04-07 23:51:20.731146,26.0826446280992,31,41.6198347107438
"58",1991-05-09 23:51:54.906393,28.8264462809917,31.198347107438,38.6776859504132
"59",1991-05-25 23:52:11.518418,28.0082644628099,30.4380165289256,40.1818181818182
"60",1991-06-10 23:52:21.957239,30.8512396694215,30.9586776859504,36.7768595041322
"61",1991-07-12 23:52:48.152903,31.0082644628099,29.198347107438,38.4297520661157
"62",1991-07-28 23:53:02.670656,35.5537190082645,25.3636363636364,37.6528925619835
"63",1991-08-13 23:53:04.75019,37.7603305785124,23.4462809917355,37.3471074380165
"64",1991-08-29 23:53:13.766495,40.6611570247934,22.0247933884298,36.0495867768595
"65",1991-09-14 23:53:28.076486,37.0909090909091,21.0082644628099,40.4132231404959
