"","vapourpres_h15","time"
"1",10.7255859375,1980-01-01
"2",11.7958984375,1980-01-02
"3",11.5263671875,1980-01-03
"4",16.7255859375,1980-01-04
"5",7.166015625,1980-01-05
"6",14.9755859375,1980-01-06
"7",13.185546875,1980-01-07
"8",13.7060546875,1980-01-08
"9",19.8662109375,1980-01-09
"10",20.1162109375,1980-01-10
"11",19.9462890625,1980-01-11
"12",16.6962890625,1980-01-12
"13",14.2763671875,1980-01-13
"14",17.916015625,1980-01-14
"15",16.0361328125,1980-01-15
"16",17.1259765625,1980-01-16
"17",22.56640625,1980-01-17
"18",18.265625,1980-01-18
"19",23.486328125,1980-01-19
"20",19.3359375,1980-01-20
"21",22.5556640625,1980-01-21
"22",14.916015625,1980-01-22
"23",11.845703125,1980-01-23
"24",16.5361328125,1980-01-24
"25",13.1357421875,1980-01-25
"26",18.8759765625,1980-01-26
"27",19.015625,1980-01-27
"28",22.3857421875,1980-01-28
"29",16.666015625,1980-01-29
"30",15.185546875,1980-01-30
"31",25.3564453125,1980-01-31
"32",27.486328125,1980-02-01
"33",22.4560546875,1980-02-02
"34",18.666015625,1980-02-03
"35",18.765625,1980-02-04
"36",20.666015625,1980-02-05
"37",16.736328125,1980-02-06
"38",27.2158203125,1980-02-07
"39",23.326171875,1980-02-08
"40",26.755859375,1980-02-09
"41",23.40625,1980-02-10
"42",13.1962890625,1980-02-11
"43",15.8857421875,1980-02-12
"44",14.576171875,1980-02-13
"45",17.3359375,1980-02-14
"46",16.3359375,1980-02-15
"47",15.326171875,1980-02-16
"48",23.0859375,1980-02-17
"49",25.7060546875,1980-02-18
"50",26.0556640625,1980-02-19
"51",22.6162109375,1980-02-20
"52",13.1962890625,1980-02-21
"53",17.6064453125,1980-02-22
"54",18.3662109375,1980-02-23
"55",16.06640625,1980-02-24
"56",13.1962890625,1980-02-25
"57",13.2060546875,1980-02-26
"58",14.416015625,1980-02-27
"59",16.505859375,1980-02-28
"60",14.81640625,1980-02-29
"61",15.6279296875,1980-03-01
"62",12.2880859375,1980-03-02
"63",15.4677734375,1980-03-03
"64",14.517578125,1980-03-04
"65",15.0078125,1980-03-05
"66",12.6484375,1980-03-06
"67",12.73828125,1980-03-07
"68",14.7880859375,1980-03-08
"69",17.6884765625,1980-03-09
"70",15.0478515625,1980-03-10
"71",23.3779296875,1980-03-11
"72",21.658203125,1980-03-12
"73",16.66796875,1980-03-13
"74",6.767578125,1980-03-14
"75",6.2880859375,1980-03-15
"76",7.3681640625,1980-03-16
"77",6.6083984375,1980-03-17
"78",4.2783203125,1980-03-18
"79",4.517578125,1980-03-19
"80",6.658203125,1980-03-20
"81",15.8984375,1980-03-21
"82",14.5576171875,1980-03-22
"83",13.9384765625,1980-03-23
"84",14.4482421875,1980-03-24
"85",9.7783203125,1980-03-25
"86",9.5576171875,1980-03-26
"87",11.7880859375,1980-03-27
"88",9.73828125,1980-03-28
"89",12.48828125,1980-03-29
"90",8.2578125,1980-03-30
