,SLGA_1,SLGA_2,SLGA_3,DER_000_999
NSABBS0001,4.833956699725261,1.6983145311611947,1.9656731623067172,1.218544
NSABBS0002,4.868379570450237,1.5125101947068194,0.6284391437329966,2.5273805
NSABBS0003,0.4303466584049732,1.5072229052201227,0.9991270646848588,44.21376
NSABBS0004,0.14458151764723562,1.4773045909243387,1.4031145329370307,44.146587
NSABBS0005,0.04031014133546593,1.6382591655824075,1.431048144708447,40.557777
NSABBS0006,0.24193175491028768,1.6394226067846747,1.775964680001475,41.669144
NSABHC0001,-0.7859063814400418,-1.5145458937936989,-1.044988016059631,3.36494
NSABHC0002,-0.7422825597792387,-2.425224324205546,-0.4280730748119922,4.433163
NSABHC0003,-1.1797967241093639,-2.1814238515667483,-0.9453775821593529,7.081241
NSABHC0004,1.6524391123608593,-3.9858067268210067,0.7007404291970677,47.128254
NSABHC0005,1.567728715801409,-4.419423193976144,0.5907098490403715,48.13492
NSABHC0006,0.14342567274869317,-3.684073763077887,0.5234573805967959,6.716973
NSABHC0007,0.35707266635040424,-3.943923215630891,0.7709141429320451,7.9337096
NSABHC0008,-0.1922317864067762,-1.956641950380697,-0.4400411440966111,12.919435
NSABHC0009,1.7468849675700693,-3.9929363200071086,0.5910973953887217,4.2481527
NSABHC0010,1.2541344117284707,-3.594177923135463,1.059217186843654,3.8319137
NSABHC0011,0.48818679814052723,-3.3313289672587043,0.4365445394236555,9.227689
NSABHC0012,2.252896691353695,-4.679925408319907,0.9536109317151558,16.03684
NSABHC0013,0.36872263945921246,-3.473651118633753,0.8739446097024842,12.050462
NSABHC0014,-0.26964352062582675,-2.773718434652912,-0.2673975610919339,7.891452
NSABHC0015,1.4193716869466446,-3.768893011790632,0.5539966798557928,49.353374
NSABHC0016,0.837479182094073,-3.5077417623858054,0.8269702926751683,49.185253
NSABHC0017,1.1071743192313372,-2.901802024921014,1.1926482371233154,6.2516837
NSABHC0018,1.5701473956659981,-2.9961154037447377,1.4508752796937379,36.07513
NSABHC0019,0.9197981860922292,-3.218566730390682,0.2718812230697319,48.53252
NSABHC0020,0.15048332118854965,-3.3065743593929953,0.6999595969703066,30.916204
NSABHC0021,1.7388892242957672,-4.539886482814799,0.8105279516982865,37.56787
NSABHC0022,1.7000032705572337,-4.0627487495454115,0.4708580903981673,7.89821
NSABHC0023,-2.0443039082115595,-1.6047626550233678,0.19533704071809355,59.728725
NSABHC0024,-0.8056380264121316,-2.481610569096433,-0.02399007963303528,57.8619
NSABHC0025,1.2088142689114982,-3.985437148124483,0.8225091946656867,35.70712
NSABHC0026,0.24374026883116645,-3.1182332935404027,-0.20254624890486927,56.733704
NSABHC0028,1.7498169543823676,-3.7076231658132843,0.22623514592436833,2.0127988
NSABHC0029,0.6014900738614335,-3.301088571780622,0.3285558632624549,8.661336
NSACHC0001,-0.055069768813183574,-2.6149398342839927,1.2503731617732117,12.288816
NSACHC0002,4.051959067841818,-4.724214869205758,0.16988464354391858,25.689768
NSACHC0003,4.231730608340357,-5.308646493792236,0.12476412161829355,17.956934
NSACHC0004,-0.37494531620188765,-1.806324743043823,0.24038601284621192,15.335673
NSACOP0001,0.9438449409802714,-0.9698069508551479,0.5648541020648391,24.059591
NSACOP0002,-0.45053181310574947,0.01905362692695332,-1.010260436125643,7.4856343
NSAMDD0001,-1.612590326780686,-2.042008684987981,3.1828886077420977,153.19438
NSAMDD0002,-1.646971606556341,-1.2942685177175628,3.021932554155814,166.24928
NSAMDD0003,-1.3560819703996072,-1.732947739215701,2.8412399956194294,166.71342
NSAMDD0004,-1.2983260624932391,-1.5228539927496045,2.620214712211784,148.53015
NSAMDD0005,-2.719513311496716,-0.5745712257015436,3.0733153689633643,62.064896
NSAMDD0006,0.45069881085795904,-2.3306044927026517,2.3210921957967527,78.14122
NSAMDD0007,-3.8184816755515647,0.044457758420231884,2.119799706869265,82.29065
NSAMDD0008,-3.1538377184489272,-0.375936270593037,2.5440089995377213,92.44784
