date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,18,,,,,,,,,,,,,,,,,,,
1988-02,13,,,,,,,,,,,,,,,,,,,
1988-03,70,,,,,,,,,,,,,,,,,,,
1988-04,6,,,,,,,,,,,,,,,,,,,
1988-05,93,,,,,,,,,,,,,,,,,,,
1988-06,1,,,,,,,,,,,,,,,,,,,
1988-07,1,,,,,,,,,,,,,,,,,,,
1988-08,10,,,,,,,,,,,,,,,,,,,
1988-09,0,,,,,,,,,,,,,,,,,,,
1988-10,0,,,,,,,,,,,,,,,,,,,
1988-11,10,,,,,,,,,,,,,,,,,,,
1988-12,106,,,,,,,,,,,,,,,,,,,
1989-01,36,,,,,,,,,,,,,,,,,,,
1989-02,16,,,,,,,,,,,,,,,,,,,
1989-03,10,,,,,,,,,,,,,,,,,,,
1989-04,10,,,,,,,,,,,,,,,,,,,
1989-05,15,,,,,,,,,,,,,,,,,,,
1989-06,63,,,,,,,,,,,,,,,,,,,
1989-07,0,,,,,,,,,,,,,,,,,,,
1989-08,0,,,,,,,,,,,,,,,,,,,
1989-09,0,,,,,,,,,,,,,,,,,,,
1989-10,0,,,,,,,,,,,,,,,,,,,
1989-11,3,,,,,,,,,,,,,,,,,,,
1989-12,5,,,,,,,,,,,,,,,,,,,
1990-01,108,27.43522810441571,36.47693434220161,34.59912109375,8,16,30,37,47,27,33,37,40,45,24,26,30,42,54,
1990-02,32,,,,,,,,,,,,,,,,,,,
1990-03,5,,,,,,,,,,,,,,,,,,,
1990-04,0,25.355484974346446,14.934310134310135,58.04884004884005,11,18,23,34,44,7,12,15,19,21,46,51,58,64,73,
1990-05,0,,,,,,,,,,,,,,,,,,,
1990-06,3,,,,,,,,,,,,,,,,,,,
1990-07,1,38.502319902319904,3.0677462887989204,57.62945774303859,27,30,35,46,59,0,1,3,5,7,37,48,61,65,67,
1990-08,3,,,,,,,,,,,,,,,,,,,
1990-09,0,,,,,,,,,,,,,,,,,,,
1990-10,2,53.901002199951115,2.8017994858611823,42.36094819159335,40,44,55,62,70,0,1,3,4,6,28,34,40,54,58,
1990-11,0,,,,,,,,,,,,,,,,,,,
1990-12,3,,,,,,,,,,,,,,,,,,,
1991-01,37,58.566544566544565,3.4688681623392994,36.731558378114315,45,50,61,65,70,0,1,3,6,7,27,31,34,44,48,
1991-02,4,,,,,,,,,,,,,,,,,,,
1991-03,4,,,,,,,,,,,,,,,,,,,
1991-04,4,69.43467643467643,1.5272244355909694,28.858642578125,60,65,69,73,82,0,0,1,3,4,17,26,29,33,37,
1991-05,25,,,,,,,,,,,,,,,,,,,
1991-06,67,,,,,,,,,,,,,,,,,,,
1991-07,6,36.99095796676442,21.27392578125,40.30104903635033,24,29,37,45,54,7,12,23,29,34,32,34,37,42,67,
1991-08,0,,,,,,,,,,,,,,,,,,,
1991-09,0,,,,,,,,,,,,,,,,,,,
1991-10,0,38.84773060029283,8.589561382014212,51.339359882726605,18,21,39,55,62,3,6,9,11,14,32,35,49,71,76,
1991-11,0,,,,,,,,,,,,,,,,,,,
1991-12,10,,,,,,,,,,,,,,,,,,,
1992-01,93,43.381591796875,3.078184110970996,52.40327308255984,19,25,45,63,71,0,1,3,5,6,28,34,48,70,77,
1992-02,1,,,,,,,,,,,,,,,,,,,
1992-03,41,,,,,,,,,,,,,,,,,,,
1992-04,86,,,,,,,,,,,,,,,,,,,
1992-05,11,,,,,,,,,,,,,,,,,,,
1992-06,21,,,,,,,,,,,,,,,,,,,
1992-07,0,,,,,,,,,,,,,,,,,,,
1992-08,30,,,,,,,,,,,,,,,,,,,
1992-09,7,,,,,,,,,,,,,,,,,,,
