date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,2,,,,,,,,,,,,,,,,,,,
1988-02,4,,,,,,,,,,,,,,,,,,,
1988-03,28,,,,,,,,,,,,,,,,,,,
1988-04,2,,,,,,,,,,,,,,,,,,,
1988-05,47,,,,,,,,,,,,,,,,,,,
1988-06,10,,,,,,,,,,,,,,,,,,,
1988-07,15,,,,,,,,,,,,,,,,,,,
1988-08,19,,,,,,,,,,,,,,,,,,,
1988-09,1,,,,,,,,,,,,,,,,,,,
1988-10,1,,,,,,,,,,,,,,,,,,,
1988-11,1,,,,,,,,,,,,,,,,,,,
1988-12,29,,,,,,,,,,,,,,,,,,,
1989-01,0,,,,,,,,,,,,,,,,,,,
1989-02,1,,,,,,,,,,,,,,,,,,,
1989-03,72,,,,,,,,,,,,,,,,,,,
1989-04,10,,,,,,,,,,,,,,,,,,,
1989-05,27,,,,,,,,,,,,,,,,,,,
1989-06,20,,,,,,,,,,,,,,,,,,,
1989-07,18,,,,,,,,,,,,,,,,,,,
1989-08,1,,,,,,,,,,,,,,,,,,,
1989-09,1,,,,,,,,,,,,,,,,,,,
1989-10,11,,,,,,,,,,,,,,,,,,,
1989-11,14,,,,,,,,,,,,,,,,,,,
1989-12,12,,,,,,,,,,,,,,,,,,,
1990-01,59,85.98206164729662,1.6782324058919804,12.023749368367863,77,80,88,90,94,0,0,1,3,4,5,8,11,17,20,
1990-02,4,,,,,,,,,,,,,,,,,,,
1990-03,2,,,,,,,,,,,,,,,,,,,
1990-04,7,86.4705585039171,1.6254631188952509,11.613751263902932,76,81,88,92,96,0,0,1,3,3,3,6,10,18,22,
1990-05,35,,,,,,,,,,,,,,,,,,,
1990-06,4,,,,,,,,,,,,,,,,,,,
1990-07,13,81.99368208238565,1.9199591280653951,15.960576194086428,64,68,86,92,94,0,0,2,3,6,5,7,12,29,33,
1990-08,9,,,,,,,,,,,,,,,,,,,
1990-09,1,,,,,,,,,,,,,,,,,,,
1990-10,3,84.60525650745514,1.7685305591677503,13.261814505938842,72,77,87,91,93,0,0,2,3,5,6,8,11,20,25,
1990-11,0,,,,,,,,,,,,,,,,,,,
1990-12,7,,,,,,,,,,,,,,,,,,,
1991-01,22,87.05003790750568,1.5342789598108748,11.017690169320192,77,83,88,91,93,0,0,1,3,4,6,8,10,14,19,
1991-02,2,,,,,,,,,,,,,,,,,,,
1991-03,1,,,,,,,,,,,,,,,,,,,
1991-04,1,,,,,,,,,,,,,,,,,,,
1991-05,1,,,,,,,,,,,,,,,,,,,
1991-06,31,,,,,,,,,,,,,,,,,,,
1991-07,6,,,,,,,,,,,,,,,,,,,
1991-08,2,,,,,,,,,,,,,,,,,,,
1991-09,2,,,,,,,,,,,,,,,,,,,
1991-10,0,86.07254802831143,1.3386752136752136,12.430990899898887,77,80,88,91,93,0,0,1,2,3,6,8,11,18,21,
1991-11,5,,,,,,,,,,,,,,,,,,,
1991-12,6,,,,,,,,,,,,,,,,,,,
1992-01,1,88.94619853498358,1.3080260303687636,9.609552691432905,81,86,90,92,94,0,0,1,2,3,4,6,9,13,17,
1992-02,51,,,,,,,,,,,,,,,,,,,
1992-03,5,,,,,,,,,,,,,,,,,,,
1992-04,12,85.25808897876644,1.6765717860494214,12.352792519585545,79,81,84,90,94,0,0,2,3,4,4,7,13,17,19,
1992-05,29,,,,,,,,,,,,,,,,,,,
1992-06,3,,,,,,,,,,,,,,,,,,,
1992-07,1,77.59019706922689,1.5775351014040562,20.27654196157735,63,68,78,87,92,0,0,2,3,4,6,11,20,30,35,
1992-08,56,,,,,,,,,,,,,,,,,,,
1992-09,13,,,,,,,,,,,,,,,,,,,
1992-10,27,83.37022997220116,1.8927473878303627,14.259540055597675,71,76,85,90,93,0,1,2,3,4,5,8,12,22,25,
1992-11,6,,,,,,,,,,,,,,,,,,,
1992-12,32,,,,,,,,,,,,,,,,,,,
1993-01,46,86.00025278058645,1.4684065934065933,12.197218710493047,79,82,86,90,94,0,0,1,2,3,4,8,12,17,19,
1993-02,4,,,,,,,,,,,,,,,,,,,
1993-03,6,,,,,,,,,,,,,,,,,,,
1993-04,0,86.28870927001768,1.4929818555289285,11.969160768452983,74,83,88,91,93,0,0,1,3,4,6,8,11,16,23,
1993-05,39,,,,,,,,,,,,,,,,,,,
1993-06,2,,,,,,,,,,,,,,,,,,,
1993-07,41,81.06092012133468,3.5336413514293965,14.805864509605662,66,70,83,89,91,0,1,3,6,9,7,9,13,22,25,
1993-08,4,,,,,,,,,,,,,,,,,,,
1993-09,6,,,,,,,,,,,,,,,,,,,
1993-10,66,80.89315483708008,2.5227670753064797,16.096537781147333,72,74,82,86,91,0,1,2,4,6,8,12,16,21,23,
1993-11,3,,,,,,,,,,,,,,,,,,,
1993-12,44,,,,,,,,,,,,,,,,,,,
1994-01,5,79.19858514401213,3.0307348421346747,16.99797877716018,67,70,81,88,90,0,1,3,5,7,8,10,16,24,28,
1994-02,38,,,,,,,,,,,,,,,,,,,
1994-03,0,,,,,,,,,,,,,,,,,,,
1994-04,0,81.02275025278058,2.2703800406150276,15.960556257901391,67,76,83,86,91,0,1,2,4,6,8,11,14,22,28,
1994-05,1,,,,,,,,,,,,,,,,,,,
1994-06,14,,,,,,,,,,,,,,,,,,,
1994-07,1,80.06092012133468,1.610878661087866,17.911734951947395,68,71,80,88,91,0,0,2,3,3,8,10,18,26,30,
1994-08,0,,,,,,,,,,,,,,,,,,,
1994-09,1,,,,,,,,,,,,,,,,,,,
1994-10,1,83.52034369471822,1.526281208935611,14.56937073540561,73,76,86,90,93,0,0,1,3,3,6,8,12,22,24,
1994-11,2,,,,,,,,,,,,,,,,,,,
1994-12,1,,,,,,,,,,,,,,,,,,,
1995-01,107,85.97725549658833,1.5341909275558565,12.15448798988622,72,84,88,90,92,0,0,1,3,3,7,8,10,15,25,
1995-02,8,,,,,,,,,,,,,,,,,,,
1995-03,1,,,,,,,,,,,,,,,,,,,
1995-04,10,83.97471554993679,1.4489389920424403,14.228260869565217,72,75,87,90,93,0,0,1,3,3,6,8,11,22,26,
1995-05,21,,,,,,,,,,,,,,,,,,,
1995-06,16,,,,,,,,,,,,,,,,,,,
1995-07,5,,,,,,,,,,,,,,,,,,,
1995-08,1,,,,,,,,,,,,,,,,,,,
1995-09,6,,,,,,,,,,,,,,,,,,,
1995-10,26,79.98735457764289,2.423583460949464,17.151630022744502,62,74,81,87,92,0,1,2,4,6,7,11,16,22,32,
1995-11,41,,,,,,,,,,,,,,,,,,,
1995-12,27,,,,,,,,,,,,,,,,,,,
1996-01,15,,,,,,,,,,,,,,,,,,,
