date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1988-01,12,,,,,,,,,,,,,,,,,,,
1988-02,0,,,,,,,,,,,,,,,,,,,
1988-03,134,,,,,,,,,,,,,,,,,,,
1988-04,27,,,,,,,,,,,,,,,,,,,
1988-05,28,,,,,,,,,,,,,,,,,,,
1988-06,2,,,,,,,,,,,,,,,,,,,
1988-07,8,,,,,,,,,,,,,,,,,,,
1988-08,5,,,,,,,,,,,,,,,,,,,
1988-09,3,,,,,,,,,,,,,,,,,,,
1988-10,2,,,,,,,,,,,,,,,,,,,
1988-11,24,,,,,,,,,,,,,,,,,,,
1988-12,90,,,,,,,,,,,,,,,,,,,
1989-01,3,,,,,,,,,,,,,,,,,,,
1989-02,1,,,,,,,,,,,,,,,,,,,
1989-03,162,,,,,,,,,,,,,,,,,,,
1989-04,19,,,,,,,,,,,,,,,,,,,
1989-05,9,,,,,,,,,,,,,,,,,,,
1989-06,0,,,,,,,,,,,,,,,,,,,
1989-07,6,,,,,,,,,,,,,,,,,,,
1989-08,3,,,,,,,,,,,,,,,,,,,
1989-09,0,,,,,,,,,,,,,,,,,,,
1989-10,1,,,,,,,,,,,,,,,,,,,
1989-11,24,,,,,,,,,,,,,,,,,,,
1989-12,24,,,,,,,,,,,,,,,,,,,
1990-01,41,,,,,,,,,,,,,,,,,,,
1990-02,2,,,,,,,,,,,,,,,,,,,
1990-03,6,,,,,,,,,,,,,,,,,,,
1990-04,14,54.44154259214059,3.817138671875,40.07395655357579,43,47,56,60,63,1,2,4,5,7,32,35,39,47,51,
1990-05,92,,,,,,,,,,,,,,,,,,,
1990-06,0,,,,,,,,,,,,,,,,,,,
1990-07,0,45.810302734375,13.41796875,39.26648754274548,38,41,47,50,53,9,11,13,16,18,34,36,39,42,47,
1990-08,21,,,,,,,,,,,,,,,,,,,
1990-09,2,,,,,,,,,,,,,,,,,,,
1990-10,11,,,,,,,,,,,,,,,,,,,
1990-11,5,,,,,,,,,,,,,,,,,,,
1990-12,14,,,,,,,,,,,,,,,,,,,
1991-01,48,57.60776177690993,7.627044178667318,33.544677734375,50,54,58,62,64,5,6,8,9,11,28,30,33,37,39,
1991-02,32,,,,,,,,,,,,,,,,,,,
1991-03,1,,,,,,,,,,,,,,,,,,,
1991-04,0,56.77080790822553,5.4217720283134,35.999023675860386,49,52,58,60,62,2,4,6,7,9,30,33,36,40,43,
1991-05,1,,,,,,,,,,,,,,,,,,,
1991-06,27,,,,,,,,,,,,,,,,,,,
1991-07,4,62.626159102000976,2.5111289890050954,34.01806640625,56,60,63,66,68,0,1,2,4,5,30,31,33,37,42,
1991-08,0,,,,,,,,,,,,,,,,,,,
1991-09,9,,,,,,,,,,,,,,,,,,,
1991-10,0,64.72527472527473,2.644871794871795,31.358642578125,59,61,65,68,70,0,1,3,4,5,27,29,31,34,37,
1991-11,23,,,,,,,,,,,,,,,,,,,
1991-12,6,,,,,,,,,,,,,,,,,,,
1992-01,6,70.36996336996337,1.9839908519153802,26.956521739130434,65,67,70,74,76,0,1,2,3,5,22,24,27,30,31,
1992-02,8,,,,,,,,,,,,,,,,,,,
1992-03,0,,,,,,,,,,,,,,,,,,,
1992-04,17,63.61294261294261,2.2144249512670564,33.41025641025641,57,60,64,67,71,0,1,2,4,5,28,30,33,37,40,
1992-05,68,,,,,,,,,,,,,,,,,,,
1992-06,3,,,,,,,,,,,,,,,,,,,
1992-07,0,52.896046852122986,4.883444691907943,40.957540263543194,43,46,53,59,63,1,2,5,7,10,32,34,40,48,50,
1992-08,12,,,,,,,,,,,,,,,,,,,
1992-09,13,,,,,,,,,,,,,,,,,,,
1992-10,24,67.5030525030525,2.0355145413870246,29.64013671875,63,65,67,70,72,0,1,2,3,5,26,28,29,32,34,
1992-11,8,,,,,,,,,,,,,,,,,,,
1992-12,34,,,,,,,,,,,,,,,,,,,
1993-01,37,67.33781143136297,3.4875244618395302,28.06031746031746,60,64,68,70,72,0,2,3,5,7,24,26,28,31,34,
1993-02,12,,,,,,,,,,,,,,,,,,,
1993-03,18,,,,,,,,,,,,,,,,,,,
1993-04,5,,,,,,,,,,,,,,,,,,,
1993-05,104,,,,,,,,,,,,,,,,,,,
1993-06,30,,,,,,,,,,,,,,,,,,,
1993-07,6,45.20947265625,29.10989010989011,24.31494140625,39,42,45,48,51,21,26,29,33,36,18,20,24,29,31,
1993-08,13,,,,,,,,,,,,,,,,,,,
1993-09,35,,,,,,,,,,,,,,,,,,,
1993-10,51,,,,,,,,,,,,,,,,,,,
1993-11,51,,,,,,,,,,,,,,,,,,,
1993-12,39,,,,,,,,,,,,,,,,,,,
1994-01,1,49.38339438339438,12.171226184660478,36.947509765625,43,46,49,53,55,9,10,12,14,16,32,34,37,40,42,
1994-02,42,,,,,,,,,,,,,,,,,,,
1994-03,0,,,,,,,,,,,,,,,,,,,
1994-04,3,,,,,,,,,,,,,,,,,,,
1994-05,0,,,,,,,,,,,,,,,,,,,
1994-06,12,,,,,,,,,,,,,,,,,,,
1994-07,0,49.40224828934506,10.259404005862237,38.860039081582805,39,47,50,53,56,5,8,10,13,15,33,35,39,43,45,
1994-08,0,,,,,,,,,,,,,,,,,,,
1994-09,0,,,,,,,,,,,,,,,,,,,
1994-10,0,53.01587301587302,7.989501953125,37.30019540791402,46,50,53,56,58,5,6,8,10,11,33,35,37,40,43,
1994-11,51,,,,,,,,,,,,,,,,,,,
1994-12,19,,,,,,,,,,,,,,,,,,,
1995-01,185,58.361083984375,11.522216796875,28.633634366609716,50,53,57,65,68,4,7,11,16,19,24,26,28,31,34,
1995-02,4,,,,,,,,,,,,,,,,,,,
1995-03,63,,,,,,,,,,,,,,,,,,,
1995-04,1,33.410888671875,17.7997557997558,47.92532942898975,28,30,34,36,38,12,14,18,22,24,40,45,48,51,53,
1995-05,31,,,,,,,,,,,,,,,,,,,
1995-06,37,,,,,,,,,,,,,,,,,,,
1995-07,3,34.40737124725409,20.04151404151404,43.751220703125,30,32,34,37,41,17,18,20,22,24,38,41,44,46,49,
1995-08,0,,,,,,,,,,,,,,,,,,,
1995-09,4,,,,,,,,,,,,,,,,,,,
1995-10,10,,,,,,,,,,,,,,,,,,,
1995-11,27,,,,,,,,,,,,,,,,,,,
1995-12,35,,,,,,,,,,,,,,,,,,,
1996-01,4,45.43833943833944,8.015873015873016,45.06419331217965,38,42,46,49,51,4,6,8,10,13,39,41,45,48,51,
1996-02,5,,,,,,,,,,,,,,,,,,,
1996-03,6,,,,,,,,,,,,,,,,,,,
1996-04,3,,,,,,,,,,,,,,,,,,,
1996-05,0,,,,,,,,,,,,,,,,,,,
1996-06,10,,,,,,,,,,,,,,,,,,,
1996-07,22,46.43708771072563,4.637839208724322,47.71180640430212,37,43,47,50,53,0,2,4,7,10,41,44,48,52,54,
1996-08,13,,,,,,,,,,,,,,,,,,,
1996-09,0,,,,,,,,,,,,,,,,,,,
1996-10,9,,,,,,,,,,,,,,,,,,,
1996-11,0,,,,,,,,,,,,,,,,,,,
1996-12,33,,,,,,,,,,,,,,,,,,,
1997-01,70,49.717948717948715,7.666748046875,40.910356619443085,45,47,50,53,55,4,6,8,10,11,36,38,41,44,47,
1997-02,147,,,,,,,,,,,,,,,,,,,
1997-03,0,,,,,,,,,,,,,,,,,,,
1997-04,0,48.36892255069631,10.5751953125,39.3197461557237,41,43,46,54,58,6,8,11,13,15,28,35,41,44,47,
1997-05,27,,,,,,,,,,,,,,,,,,,
1997-06,0,,,,,,,,,,,,,,,,,,,
1997-07,4,46.3876953125,1.250810810810811,52.248291015625,38,43,47,50,54,0,0,1,2,3,44,48,52,56,60,
1997-08,0,,,,,,,,,,,,,,,,,,,
1997-09,24,,,,,,,,,,,,,,,,,,,
1997-10,70,52.591552734375,5.3028542561252845,40.80351476690261,47,50,52,55,59,1,2,5,8,11,34,36,40,46,49,
1997-11,19,,,,,,,,,,,,,,,,,,,
1997-12,37,,,,,,,,,,,,,,,,,,,
1998-01,19,56.04782820888238,10.34619140625,31.989992677568953,50,53,56,59,61,6,8,10,13,15,27,29,32,35,37,
1998-02,24,,,,,,,,,,,,,,,,,,,
1998-03,2,,,,,,,,,,,,,,,,,,,
1998-04,69,,,,,,,,,,,,,,,,,,,
1998-05,0,,,,,,,,,,,,,,,,,,,
