"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"17","NSABHC0011",0,0,18.6,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,15.4,18.6,0,"shrub"
"18","NSABHC0012",0,0,15,0,0,0,16.65,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0.05,23.5,15.05,0,"grass"
"19","NSABHC0013",0,0,7.1,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14.9,7.1,0,"grass"
"20","NSABHC0014",0,0,8.8,0,0,0,3.9,0,0,0,0,0,0,0,0.2,0,0,0,0,12.8,0,16.7,9,0,"grass"
"21","NSABHC0015",0,0,16.4,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,28.9,16.4,0,"grass"
"22","NSABHC0016",0,0,8.2,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,3.1,8.2,0,"shrub"
"23","NSABHC0017",0,0,3.8,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,18.4,3.8,0,"grass"
"24","NSABHC0018",0,0,8.9,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,16.9,8.9,0,"grass"
"25","NSABHC0019",0,0,10.9,0,0,0,0.6,0,0,0,0,0,0,0,0.1,0,0,0,0,24.4,0,25,11,0,"grass"
"26","NSABHC0020",0,0,5.3,0,0,0,0.8,0,0,0,0,0,0,0,0.1,0,0,0,0,24.9,0,25.7,5.4,0,"grass"
"27","NSABHC0021",0,0,1.6,0,0,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,20.5,1.6,0,"grass"
"28","NSABHC0022",0,0,10.9,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.6,10.9,0,"shrub"
"29","NSABHC0023",0,0,1.8,0,0,0.1,8.5,0,0,0,0,0,0,0.5,3.2,0,0,0,0,4.1,0,13.1,5,0,"grass"
"30","NSABHC0024",0,0,1.9,0,0,0,10.2,0,0,0,0,0,0,0,0.8,0,0,0,0,9,0.3,19.2,3,0,"grass"
"31","NSABHC0025",0,0,1.8,0,0,0,5.9,0,0,0,0.1,0,0,0,0,0,0,0,0,15.5,0,21.5,1.8,0,"grass"
"32","NSABHC0026",0,0,5.2,0,0,0,19,0,0,0,0,0,0,0,1.9,0,0,0,0,3.5,0.1,22.5,7.2,0,"grass"
"33","NSABHC0028",0,0,5.8,0,0,0,1.7,0,0,0,0,0,0,0,0.1,0,0,9.6,0.3,1.4,0,3.1,5.9,9.9,"tree"
"34","NSABHC0029",0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,2,0,0,0,68,1.2,0.1,8.7,2.1,68,"tree"
"35","NSACHC0001",0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0.3,5,0,0,0,0,0.3,0,1,5.4,0,"shrub"
"36","NSACHC0002",0,0,7.7,0,0,0,0.6,0,0,0,0,0,0,0.7,2.5,0,0,0,15,1,0,2.3,10.2,15,"tree"
"37","NSACHC0003",0,0,5.7,0,0,0,0.9,0,0,0,0,0,0,0,0.6,0,0,0,15.7,0.2,0,1.1,6.3,15.7,"tree"
