"","X","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter","pv_filter_percentile","npv_filter_percentile","bs_filter_percentile"
"17",17,"NSABHC0010-53605",14.8,9.9,75.3,NA,4,"NSABHC0010","2012-09-04","2012-09-09",3.34142851670785,30.6794410638137,64.5426448600917,0.870264064293915,0.469575200918484,0.347876004592423
"18",18,"NSABHC0011-53606",34,29.8,36.2,NA,4,"NSABHC0011","2012-09-18","2012-09-25",12.8422852795216,48.7813468415823,37.0229421689962,0.803854875283447,0.917233560090703,0.0986394557823129
"19",19,"NSABHC0012-53607",32.9,47.5,19.5,NA,4,"NSABHC0012","2012-09-19","2012-09-25",11.9062948731521,52.006803181331,34.6704669872715,0.76409666283084,0.962025316455696,0.0701956271576525
"20",20,"NSABHC0012-58022",38.6,32.7,28.7,NA,4,"NSABHC0012","2016-09-15","2016-09-12",25.4641394350054,35.3642829166278,37.5425750719812,0.959723820483314,0.537399309551208,0.0897583429228999
"21",21,"NSABHC0013-53608",21.8,36,42.2,NA,4,"NSABHC0013","2012-09-20","2012-09-25",10.2460808260117,39.8504808659248,48.4593935839158,0.824009324009324,0.945221445221445,0.0221445221445221
"22",22,"NSABHC0014-53609",25.8,19.2,55,NA,4,"NSABHC0014","2012-09-21","2012-09-25",6.86162481932049,38.4038512916008,53.283274359099,0.766006984866123,0.764842840512224,0.176949941792782
"23",23,"NSABHC0015-57104",45.3,46.2,8.3,0.1,0,"NSABHC0015","2013-02-05","2013-01-31",5.6557037944979,46.7371457073459,46.0357697553628,0.35924617196702,0.858657243816254,0.306242638398115
"24",24,"NSABHC0016-57105",11.3,38.8,49.7,0.2,0,"NSABHC0016","2013-12-06","2013-12-17",4.82091180233523,38.1597762402659,55.483959796645,0.201183431952663,0.73491124260355,0.410650887573965
"25",25,"NSABHC0017-57106",22.2,33.2,44.7,NA,4,"NSABHC0017","2013-02-07","2013-01-31",0.638770136745749,50.6871815209764,47.4404468747748,0.145238095238095,0.876190476190476,0.344047619047619
"26",26,"NSABHC0018-57077",25.8,37.6,36.5,NA,4,"NSABHC0018","2013-03-13","2013-03-13",2.11762076932324,57.7749556944517,38.6075053042875,0.0944123314065511,0.898522800256904,0.339113680154143
