"","X","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter","pv_filter_percentile","npv_filter_percentile","bs_filter_percentile"
"238",242,"NTAPCK1010-58938",73.9,22.2,4,NA,4,"NTAPCK1010","2019-03-04","2019-02-25",60.9399429260019,27.5675939746487,10.3270698805823,0.907928388746803,0.0396419437340153,0.68925831202046
"239",243,"NTAPCK1011-58940",71.4,20.6,8,NA,4,"NTAPCK1011","2021-03-08","2021-03-10",59.2150077090889,35.6178208167599,3.53628369034796,0.963144963144963,0.0810810810810811,0.154791154791155
"240",244,"NTAPCK1012-58942",74.6,20.9,4.6,NA,4,"NTAPCK1012","2021-03-08","2021-02-22",54.955644682107,30.5699314531312,13.0699542459585,0.750915750915751,0.061050061050061,0.819291819291819
"241",245,"NTAPCK2013-58939",81.7,11.4,6.9,NA,4,"NTAPCK2013","2019-03-11","2019-03-13",69.8325158944309,25.9364790484542,2.58471322675857,0.991484184914842,0.0194647201946472,0.148418491484185
"242",246,"NTAPCK2014-58941",82.8,9.2,8,NA,4,"NTAPCK2014","2019-03-11","2019-03-13",61.8388247610974,30.8678647956371,5.84746616942921,0.95527950310559,0.0422360248447205,0.339130434782609
"243",247,"NTASSD0001-53690",33.8,39.9,26.3,NA,4,"NTASSD0001","2012-08-18","2012-08-20",13.2966375729514,32.8577736619483,52.2214293847343,0.579274611398964,0.929533678756477,0.0663212435233161
"244",249,"NTASSD0003-53691",32.7,30,37.3,NA,4,"NTASSD0003","2012-08-20","2012-08-20",18.459432426109,31.0790990987799,48.9986678259015,0.877281947261663,0.914807302231237,0.0669371196754564
"245",250,"NTASSD0004-53692",32,49,19,NA,4,"NTASSD0004","2012-08-21","2012-08-20",18.0686580992713,39.5035465040034,41.0609068347267,0.902485659655832,0.888145315487572,0.0487571701720841
"246",251,"NTASSD0005-53693",19.1,19.4,61.5,NA,4,"NTASSD0005","2012-09-18","2012-09-21",17.4547800252516,6.52241367751699,74.6288278285071,0.772442588726514,0.391440501043841,0.549060542797495
"247",252,"NTASSD0006-53694",16.2,35.1,48.4,0.2,0,"NTASSD0006","2012-09-18","2012-09-21",12.4790569543471,13.5563798006544,72.3663978204515,0.698329853862213,0.494780793319415,0.480167014613779
"248",253,"NTASSD0007-53695",19.8,22.8,57.4,NA,4,"NTASSD0007","2012-09-19","2012-09-21",17.2274390119882,11.3012942360878,70.0257199188672,0.70281543274244,0.580813347236705,0.322210636079249
"249",254,"NTASSD0008-57074",21.6,29,49.4,NA,4,"NTASSD0008","2012-09-19","2012-09-21",15.3574705995736,6.83557294098988,76.4218458012461,0.741901776384535,0.383490073145246,0.572622779519331
"250",255,"NTASSD0009-53696",20.6,40,39.4,NA,4,"NTASSD0009","2012-09-22","2012-09-21",11.0568820135057,18.3562508128491,69.174987050674,0.586618876941458,0.548984468339307,0.418757467144564
"251",256,"NTASSD0010-53697",20.5,17.9,61.5,NA,4,"NTASSD0010","2012-09-23","2012-09-21",15.9250554712908,11.7147264276066,71.0438207639609,0.70264064293915,0.382319173363949,0.526980482204363
"252",257,"NTASSD0011-53559",1.3,9.9,88.8,NA,4,"NTASSD0011","2013-03-19","2013-03-07",0.45352031869053,40.1562503226649,58.3371761008611,0.430703624733475,0.9136460554371,0.116204690831557
"253",258,"NTASSD0012-53560",0.1,20.4,79.5,NA,4,"NTASSD0012","2013-03-20","2013-03-07",0.423724624188957,31.3564552707308,67.2055147509769,0.4375,0.466101694915254,0.54978813559322
"254",259,"NTASSD0013-53563",2.1,3.8,94.1,0.1,0,"NTASSD0013","2013-03-20","2013-03-07",0.342277949089044,38.9324437172676,59.7621730694397,0.459086078639745,0.824654622741764,0.193411264612115
"255",260,"NTASSD0014-53564",6.3,26.7,66.9,NA,4,"NTASSD0014","2013-03-23","2013-03-23",1.13109271234967,22.5222704540008,74.8776650810921,0.237068965517241,0.662715517241379,0.420258620689655
"256",261,"NTASSD0015-53565",13.3,25.6,61.1,NA,4,"NTASSD0015","2013-03-24","2013-03-23",10.4261617123831,26.826446893316,61.2295189330702,0.645266594124048,0.639825897714907,0.351468988030468
"257",262,"NTASSD0016-53566",2.5,19.3,78,0.2,0,"NTASSD0016","2013-03-22","2013-03-23",0.761934907197951,38.5189273503291,59.5804397745533,0.149512459371614,0.715059588299025,0.364030335861322
"258",263,"NTASSD0017-53561",8.5,22.2,69.3,NA,4,"NTASSD0017","2013-03-21","2013-03-07",0.774257477502952,40.7266761216069,57.4002468292679,0.0956429330499469,0.858660998937301,0.259298618490967
"259",264,"NTASSD0018-53562",4.8,12.2,82.8,0.3,0,"NTASSD0018","2013-03-22","2013-03-23",0.738214517544698,37.9668021132035,60.1537793991265,0.227765726681128,0.712581344902386,0.350325379609544
"260",265,"NTASSD0019-53567",7,15.4,77.5,NA,4,"NTASSD0019","2013-03-25","2013-03-23",9.43513168977424,10.7851213611748,78.0503221318242,0.40499457111835,0.423452768729642,0.58957654723127
"261",266,"NTASTU0001-58428",30.3,43.5,26,0.2,0,"NTASTU0001","2016-04-30","2016-04-29",33.7540034784567,45.6788594812487,19.090674076672,0.588505747126437,0.211494252873563,0.902298850574713
"262",267,"NTASTU0002-58429",48.6,42.3,9,0.1,0,"NTASTU0002","2016-05-01","2016-04-29",46.7800942352347,43.2923762891761,8.63156120561727,0.801832760595647,0.171821305841924,0.548682703321879
"263",268,"NTASTU0003-58430",67.1,20.7,12.1,0.1,0,"NTASTU0003","2016-05-01","2016-04-29",46.868759011879,33.2626984470588,18.1821532028316,0.781920903954802,0.0994350282485876,0.775141242937853
"264",269,"NTASTU0004-58426",74,22.3,3.6,0.2,0,"NTASTU0004","2016-05-03","2016-04-29",45.0144931033646,47.2803360817899,6.35965698476672,0.736312849162011,0.548603351955307,0.156424581005587
"265",270,"NTASTU0005-58427",55.1,43.1,1.8,NA,4,"NTASTU0005","2016-05-03","2016-04-29",49.1124772956588,44.4369583392118,5.24536194799275,0.782222222222222,0.352222222222222,0.115555555555556
"266",271,"NTATAN0001-58874",40.3,35.3,24.3,0.1,0,"NTATAN0001","2020-08-05","2020-08-07",17.6149454260883,45.4463086449087,35.4320291163891,0.558701082431307,0.699417152373022,0.354704412989176
"267",272,"NTATAN0002-58870",45,27.7,27.1,0.2,0,"NTATAN0002","2020-08-05","2020-08-07",19.6975440761479,43.1907023317175,35.5878307244818,0.611745513866232,0.614192495921697,0.359706362153344
"268",273,"NTATAN0003-58871",31.9,20.2,47.8,0.1,0,"NTATAN0003","2020-08-06","2020-08-07",16.5802052436703,28.7865530754033,52.9429961679108,0.725465041693393,0.357921744708146,0.421423989737011
"269",274,"NTATAN0004-58875",26,13.5,58.5,2,0,"NTATAN0004","2020-08-06","2020-08-07",17.517439217127,2.01850007577532,78.9145261858766,0.753279200499688,0.0299812617114304,0.917551530293567
"270",275,"NTTDAB0001-53580",59.3,35.8,4.9,NA,4,"NTTDAB0001","2014-03-17","2014-03-14",58.2361547121522,36.1947898850322,3.99238779795995,0.954491017964072,0.122155688622754,0.122155688622754
"271",276,"NTTDAC0001-53755",77.8,15.6,6.5,NA,4,"NTTDAC0001","2014-03-18","2014-03-29",56.6469550229528,35.1494907878447,6.71872684934505,0.836195508586526,0.162483487450462,0.442536327608983
"272",277,"NTTDMR0001-53582",49.9,25,25.1,NA,4,"NTTDMR0001","2014-03-13","2014-03-16",39.8220469735389,43.4108736752771,15.4073893917023,0.967032967032967,0.127472527472527,0.191208791208791
"273",278,"NTTDMR0002-53581",49,21.6,29.4,NA,4,"NTTDMR0002","2014-03-14","2014-03-16",40.8585585853714,34.159641364822,23.5737169564147,0.977173913043478,0.105434782608696,0.140217391304348
"274",279,"NTTDMR0003-53583",51.9,33.8,14.4,NA,4,"NTTDMR0003","2014-03-14","2014-03-16",46.7181948082807,36.6760356001013,15.3123878701255,0.980477223427332,0.253796095444685,0.105206073752712
"275",280,"NTTMGD0001-53521",49.8,22,28.2,NA,4,"NTTMGD0001","2014-03-15","2014-03-15",44.7638221582272,41.0529504860403,12.9166816052865,0.990438247011952,0.0278884462151394,0.145816733067729
"276",281,"NTTPCK0001-53584",84,10.4,5.6,NA,4,"NTTPCK0001","2014-03-19","2014-03-22",73.5475270446678,24.2946204724032,0.383072412623438,0.980821917808219,0.107534246575342,0.0342465753424658
"277",282,"NTTSTU0001-53585",74.1,16.8,9.1,NA,4,"NTTSTU0001","2014-03-15","2014-03-15",50.9610059702863,39.9714439327383,7.56448505055202,0.982777179763186,0.0193756727664155,0.182992465016146
"278",283,"QDABBN0001-58730",66.5,21.6,11.8,0.1,0,"QDABBN0001","2019-04-07","2019-04-09",40.0273710002416,52.7778941343945,5.98640651312523,0.417177914110429,0.617177914110429,0.531288343558282
"279",284,"QDABBN0002-58741",55.1,37.7,5.1,2,0,"QDABBN0002","2019-04-08","2019-04-09",45.9179803413074,49.2574268922574,3.61229781027674,0.735894357743097,0.376950780312125,0.141656662665066
"280",285,"QDABBS0001-58708",83.5,5.8,10.7,NA,4,"QDABBS0001","2019-04-04","2019-03-31",19.253439355463,70.0684042010985,9.4335440335989,0.412661195779601,0.722157092614302,0.338804220398593
"281",286,"QDABBS0002-58703",59.3,16.6,24.1,NA,4,"QDABBS0002","2019-04-04","2019-03-31",23.2697707564877,46.549495082036,28.6638191284117,0.495381062355658,0.491916859122402,0.690531177829099
"282",287,"QDABBS0003-58709",74.3,24.1,1.7,NA,4,"QDABBS0003","2019-04-05","2019-03-31",41.9973435445691,48.2585662955924,8.41543190616093,0.171497584541063,0.823671497584541,0.608695652173913
"283",288,"QDABBS0004-58726",65.7,31.6,2.7,NA,4,"QDABBS0004","2019-04-05","2019-03-31",33.704056521389,55.9621392539266,9.31360009958942,0.350710900473934,0.780805687203792,0.45260663507109
"284",289,"QDABBS0005-58747",61.5,34.3,4.3,NA,4,"QDABBS0005","2019-04-06","2019-03-31",41.3066616078349,51.9673935778764,5.49879775529561,0.345111896348645,0.736160188457008,0.439340400471143
"285",290,"QDABBS0006-58727",67.5,20.7,11.8,NA,4,"QDABBS0006","2019-04-10","2019-04-10",36.7200678334158,41.118259815785,20.7944600616885,0.678725236864772,0.186046511627907,0.683893195521103
"286",291,"QDABBS0007-58711",45.4,42.1,12.5,NA,4,"QDABBS0007","2019-04-10","2019-04-11",35.7936579766064,41.4220167900625,21.5073415077821,0.561091340450771,0.231316725978648,0.871886120996441
"287",292,"QDABBS0008-58728",76,15.3,8.6,NA,4,"QDABBS0008","2019-04-11","2019-04-11",44.1010673279183,34.3918035782535,20.0133372045881,0.692124105011933,0.171837708830549,0.780429594272076
"288",293,"QDABBS0009-58729",67.2,26.1,6.6,NA,4,"QDABBS0009","2019-04-13","2019-04-11",50.3784187275833,37.6686289884511,10.4288758757716,0.93609022556391,0.167919799498747,0.102756892230576
"289",294,"QDABBS0010-58963",85.8,9.2,4.7,0.3,0,"QDABBS0010","2021-03-28","2021-03-31",52.8184591392254,36.9874089211658,8.79929604468411,0.797709923664122,0.323155216284987,0.329516539440204
"290",295,"QDACHC0001-53592",10.8,38.6,50.6,NA,4,"QDACHC0001","2013-04-22","2013-04-21",9.59747212281898,35.1691585633097,53.5048422294859,0.534102833158447,0.603357817418678,0.431269674711438
"291",296,"QDACHC0002-53593",17.9,31.9,50.2,NA,4,"QDACHC0002","2013-04-24","2013-04-21",15.1408564283026,33.5148884041747,49.8618144066741,0.685714285714286,0.466666666666667,0.464550264550265
"292",297,"QDACHC0003-53467",12.9,44,43.2,NA,4,"QDACHC0003","2013-04-23","2013-04-21",14.6067775104131,52.3367232612511,31.6209855675753,0.435381355932203,0.901483050847458,0.185381355932203
"293",298,"QDACHC0004-53468",17.7,30.4,51.9,NA,4,"QDACHC0004","2013-05-19","2013-05-29",11.0307825817097,44.937830023427,42.7331275535546,0.36011396011396,0.479202279202279,0.690598290598291
"294",299,"QDACHC0005-53522",8.2,29.6,62.2,NA,4,"QDACHC0005","2013-05-19","2013-05-29",4.91585363351073,51.0063555128333,42.8197011710799,0.214084507042254,0.792676056338028,0.461971830985915
"295",300,"QDACHC0006-53469",11.2,35,53.9,NA,4,"QDACHC0006","2013-05-20","2013-05-14",5.57128346066526,69.275324211382,23.9620797796231,0.478082992402104,0.799532437171245,0.392168322618352
"296",301,"QDACHC0007-53517",10.2,15.2,74.6,NA,4,"QDACHC0007","2013-05-20","2013-05-21",4.07793611716559,49.9336870478315,44.8914717846857,0.299081515499426,0.721010332950631,0.466704936854191
"297",302,"QDACYP0001-58585",64.4,19.5,16.1,NA,4,"QDACYP0001","2018-06-07","2018-06-22",55.73720423023,31.3364930563026,11.4478093715693,0.875420875420875,0.158249158249158,0.55050505050505
"298",303,"QDACYP0002-58586",66.8,28.9,4.3,NA,4,"QDACYP0002","2018-06-07","2018-06-06",51.6152611492318,32.0668450830168,15.0964704456168,0.746588693957115,0.0721247563352826,0.803118908382066
"299",304,"QDACYP0003-58587",85.3,10,4.7,NA,4,"QDACYP0003","2018-06-08","2018-06-06",64.3933173006626,25.4847083114826,8.56515774228902,0.965678627145086,0.215288611544462,0.257410296411856
"300",305,"QDACYP0004-58588",61.8,29.2,8.4,0.6,0,"QDACYP0004","2018-06-09","2018-06-12",51.7995783026665,37.9494618728308,8.66216102438884,0.770992366412214,0.189312977099237,0.653435114503817
"301",306,"QDACYP0005-58589",71.1,17.3,5.2,6.3,0,"QDACYP0005","2018-06-10","2018-06-12",49.1651087560457,42.8638691030268,6.60091598288094,0.734234234234234,0.3003003003003,0.483483483483483
"302",307,"QDACYP0006-58591",71.8,20.4,7.7,0.1,0,"QDACYP0006","2018-06-11","2018-06-12",48.2199975619947,44.1214543521652,6.23244370718702,0.587078651685393,0.426966292134831,0.403089887640449
"303",308,"QDACYP0007-58592",81.5,13.1,2.8,2.7,0,"QDACYP0007","2018-06-11","2018-06-12",54.5100706938693,36.8404407825708,7.18531313887243,0.610526315789474,0.320300751879699,0.696240601503759
"304",309,"QDACYP0008-58593",62.4,33.5,4.2,NA,4,"QDACYP0008","2018-06-12","2018-06-12",51.8326210066609,37.0358631770243,9.93626397505396,0.675870348139256,0.130852340936375,0.764705882352941
"305",310,"QDACYP0009-58594",76.3,20,3.7,NA,4,"QDACYP0009","2018-06-12","2018-06-12",51.9368906377343,35.9034970447455,10.6669860067677,0.786516853932584,0.174589455488332,0.71305099394987
"306",311,"QDACYP0010-58595",89.5,5.9,4.4,0.2,0,"QDACYP0010","2018-06-14","2018-06-12",57.1703142906524,30.2367531896788,10.8921415657431,0.810344827586207,0.131034482758621,0.696551724137931
"307",312,"QDACYP0011-58596",76.8,21.5,1.7,NA,4,"QDACYP0011","2018-06-14","2018-06-12",55.1997373369582,30.4691830151227,13.0604634684182,0.833333333333333,0.0442176870748299,0.743197278911565
"308",313,"QDACYP0012-58597",93.7,5.3,0.7,0.3,0,"QDACYP0012","2018-06-15","2018-06-12",85.869715281145,10.3719684463852,1.7530847385643,0.861788617886179,0.201626016260163,0.308943089430894
"309",314,"QDACYP0013-58598",74.4,21.6,3.2,0.9,0,"QDACYP0013","2018-07-04","2018-06-28",48.3836836151392,28.6958561562234,21.1636964428729,0.43956043956044,0.205128205128205,0.981684981684982
"310",315,"QDACYP0014-58599",79.8,17,3.2,NA,4,"QDACYP0014","2018-07-04","2018-06-28",55.7604148451291,37.7298063409762,4.89541497293788,0.696798493408663,0.338983050847458,0.369114877589454
"311",316,"QDACYP0015-58600",67.3,22.3,9.9,0.5,0,"QDACYP0015","2018-07-05","2018-07-14",31.0965231534845,41.4859570769726,26.2588898889169,0.393213572854291,0.167664670658683,0.910179640718563
"312",317,"QDACYP0016-58601",78.9,19.4,0.8,0.9,0,"QDACYP0016","2018-07-06","2018-07-22",35.1228244407759,35.8540742539141,27.9041393590887,0.0233918128654971,0.214424951267057,0.996101364522417
"313",318,"QDACYP0017-58602",74.5,18.1,3,4.5,0,"QDACYP0017","2018-07-07","2018-07-29",64.9297985910368,31.3172203403604,2.08250204615362,0.809815950920245,0.417177914110429,0.110429447852761
"314",319,"QDACYP0018-58603",73.6,24.2,2.3,NA,4,"QDACYP0018","2018-07-08","2018-07-21",58.7872224246659,27.7395968021496,11.8790788573597,0.847852760736196,0.0699386503067485,0.791411042944785
"315",320,"QDACYP0019-58604",64.3,29.8,5.9,NA,4,"QDACYP0019","2018-07-09","2018-07-14",52.6296513400218,40.3562767174185,5.52809124923639,0.928257686676427,0.13909224011713,0.475841874084919
"316",321,"QDACYP0020-58615",66.6,29.3,3.6,0.5,0,"QDACYP0020","2018-07-10","2018-07-21",58.0656091905366,35.4381999125685,5.01945920199877,0.902266288951841,0.0934844192634561,0.440509915014164
"317",322,"QDACYP0021-58606",73.7,24.2,2.2,NA,4,"QDACYP0021","2018-07-10","2018-07-21",68.5267529168356,28.6040057079101,1.15504355036072,0.842105263157895,0.467994310099573,0.113798008534851
"318",323,"QDACYP0022-58607",71.7,21.1,6.7,0.5,0,"QDACYP0022","2018-07-11","2018-07-13",49.3336318522535,38.472116274077,10.774617453698,0.696029776674938,0.327543424317618,0.452853598014888
"319",324,"QDACYP0023-58608",74.2,21.6,1.7,2.6,0,"QDACYP0023","2018-07-12","2018-07-14",47.7791728910853,26.1717862117204,24.6107316316258,0.233902759526938,0.250985545335085,0.994743758212878
"320",325,"QDACYP0024-58609",70.6,17.1,0.1,12.2,0,"QDACYP0024","2018-07-13","2018-07-14",52.8793417624608,33.9444804187225,11.5496575909766,0.273913043478261,0.522826086956522,0.780434782608696
"321",326,"QDADEU0001-58888",70.7,15,13.1,1.2,0,"QDADEU0001","2021-04-30","2021-04-28",42.9845641078753,40.9776809090582,14.7173362838324,0.879746835443038,0.158227848101266,0.362025316455696
"322",332,"QDAEIU0001-53470",56.6,42.5,0.9,NA,4,"QDAEIU0001","2013-06-12","2013-06-08",24.5874489990693,61.3926430544689,12.9541723170328,0.544578313253012,0.614457831325301,0.437349397590361
"323",333,"QDAEIU0002-53523",53.6,41.8,4.7,NA,4,"QDAEIU0002","2013-06-12","2013-06-16",32.4602795939822,58.6315712795888,7.88337230364976,0.650909090909091,0.551515151515152,0.247272727272727
"324",334,"QDAEIU0003-53471",52.5,40.1,7.5,NA,4,"QDAEIU0003","2013-06-13","2013-06-16",30.6532677848421,60.124535423288,8.29718372442706,0.517879161528977,0.569667077681874,0.453760789149199
"325",335,"QDAEIU0003-59149",93.3,5,1.8,NA,4,"QDAEIU0003","2022-06-03","2022-06-09",44.3802843183582,50.3682602227419,4.1921267586896,0.819975339087546,0.236744759556104,0.171393341553637
"326",336,"QDAEIU0004-53524",79.5,15.9,4.6,NA,4,"QDAEIU0004","2013-06-13","2013-06-16",37.1857514599841,54.8336189637232,7.11246043077451,0.673965936739659,0.497566909975669,0.300486618004866
"327",337,"QDAEIU0005-53472",6.5,37.1,56.3,NA,4,"QDAEIU0005","2013-09-30","2013-09-28",13.4376814799126,56.5638454290275,28.6640524302684,0.139487870619946,0.535714285714286,0.928571428571429
"328",338,"QDAEIU0006-53473",55,39.6,5.4,0,0,"QDAEIU0006","2013-10-01","2013-09-27",41.5824528928182,49.5257610036948,7.54500169592936,0.0506245890861275,0.925049309664694,0.754109138724523
"329",339,"QDAEIU0006-58966",69,26.1,4.1,0.8,0,"QDAEIU0006","2021-05-08","2021-05-05",61.8673908650597,32.8713740464852,3.55308713474295,0.911242603550296,0.0959894806048652,0.323471400394477
"330",340,"QDAEIU0007-53474",55.7,38.3,5.9,0,0,"QDAEIU0007","2013-10-01","2013-09-27",41.9376644117066,50.328446094055,6.36193527834299,0.0443250503693754,0.946272666218939,0.721289456010745
"331",341,"QDAEIU0007-58902",62.6,34.1,2.6,0.7,0,"QDAEIU0007","2021-05-08","2021-05-05",64.7564722656595,30.6454663529832,2.87620028851091,0.916722632639355,0.102081934184016,0.300201477501679
"332",342,"QDAEIU0008-58882",67.4,21.3,11.3,NA,4,"QDAEIU0008","2021-05-05","2021-05-05",43.52221065609,37.072136775719,18.0947746264614,0.923366834170854,0.108040201005025,0.248743718592965
"333",343,"QDAEIU0009-58881",79.3,9.4,10.6,0.7,0,"QDAEIU0009","2021-05-05","2021-05-05",51.2017350851344,38.478496593733,8.82963082911047,0.912768647281922,0.132743362831858,0.163084702907712
"334",344,"QDAEIU0010-58883",64.2,27.3,8.5,NA,4,"QDAEIU0010","2021-05-06","2021-05-05",49.4028806030348,37.769658124882,11.4875600910043,0.91969887076537,0.105395232120452,0.324968632371393
"335",345,"QDAGUP0001-53526",34.8,60.7,4.6,NA,4,"QDAGUP0001","2013-06-16","2013-06-16",22.2623827528101,64.6017528770036,11.9096423325226,0.398463227222832,0.930845225027442,0.178924259055982
"336",346,"QDAGUP0002-53475",30.6,59.8,9.6,NA,4,"QDAGUP0002","2013-06-15","2013-06-16",38.915173187191,48.5833458532513,11.2167960100676,0.756152125279642,0.495525727069351,0.246085011185682
"337",347,"QDAGUP0003-53527",32,32.7,35.3,NA,4,"QDAGUP0003","2013-06-17","2013-06-16",16.6246965968304,44.3515230899066,37.5192674542464,0.360529217199559,0.622932745314223,0.512679162072767
"338",348,"QDAGUP0004-53476",19.7,36.8,43.5,NA,4,"QDAGUP0004","2013-07-26","2013-07-25",23.915756743708,50.3144459528741,24.4281150464869,0.415154749199573,0.768409818569904,0.388473852721451
"339",349,"QDAGUP0005-53528",41,43.3,15.5,0.2,0,"QDAGUP0005","2013-06-18","2013-06-15",27.2260791188565,48.7725702139838,22.67382603817,0.405609492988134,0.614886731391586,0.546925566343042
"340",350,"QDAGUP0006-53477",22.5,32.4,45.1,NA,4,"QDAGUP0006","2013-06-19","2013-06-23",29.7561731314604,46.7660546883387,22.1123046279717,0.664502164502164,0.678571428571429,0.268398268398268
"341",351,"QDAGUP0007-53478",41.9,20.7,37.4,NA,4,"QDAGUP0007","2013-06-19","2013-06-15",1.54622494446489,66.9172336001305,30.1975986101735,0.124700239808153,0.73621103117506,0.615107913669065
"342",352,"QDAGUP0008-53529",42.7,46.5,10.7,0.1,0,"QDAGUP0008","2013-06-20","2013-06-23",29.6058180725319,56.986858342887,12.0524158504017,0.610979929161747,0.75383707201889,0.126918536009445
"343",353,"QDAGUP0009-53530",47.7,41.2,11.1,NA,4,"QDAGUP0009","2013-06-20","2013-06-23",2.25332698261457,80.102413417324,16.5416293922771,0.124854819976771,0.843786295005807,0.396051103368177
"344",354,"QDAGUP0010-53479",26.5,37.1,36.3,NA,4,"QDAGUP0010","2013-06-21","2013-06-22",26.5527103126753,45.0283305935306,26.9658961705719,0.556238475722188,0.569760295021512,0.468346650276583
"345",355,"QDAGUP0011-53531",49,27.2,23.8,NA,4,"QDAGUP0011","2013-06-21","2013-06-22",25.2916387018516,46.6797527264909,26.6660612688559,0.680327868852459,0.878310214375788,0.0863808322824716
"346",356,"QDAGUP0012-53525",25,37.2,37.7,NA,4,"QDAGUP0012","2013-07-10","2013-07-07",3.96546985118739,56.7594194740428,37.9544536766179,0.0533596837944664,0.742094861660079,0.608695652173913
"347",357,"QDAGUP0013-53532",24.2,54.9,21,NA,4,"QDAGUP0013","2013-07-11","2013-07-07",1.44463400376691,74.1682673363677,23.1917209725225,0.0419426048565121,0.782560706401766,0.588300220750552
"348",358,"QDAGUP0014-53480",38.6,45.4,15.9,NA,4,"QDAGUP0014","2013-07-11","2013-07-08",11.03187014224,72.4586146051982,15.2897987976913,0.440813810110974,0.696054254007398,0.539457459926017
"349",359,"QDAGUP0015-53533",62.1,31,6.9,NA,4,"QDAGUP0015","2013-07-12","2013-07-15",16.5000950596887,75.1427875352784,7.20429748294137,0.570491803278689,0.578360655737705,0.515409836065574
"350",360,"QDAGUP0016-53481",47.3,39.9,12.8,NA,4,"QDAGUP0016","2013-07-12","2013-07-16",19.2601267463158,62.7375291787582,16.6984024850254,0.464923469387755,0.644770408163265,0.522321428571429
"351",361,"QDAGUP0017-53568",44.1,20.2,35.7,NA,4,"QDAGUP0017","2013-07-12","2013-07-15",15.5556534520033,43.753475758019,39.376351052062,0.487512487512487,0.365634365634366,0.767232767232767
"352",362,"QDAGUP0018-53482",32.2,61.3,6.5,NA,4,"QDAGUP0018","2013-07-13","2013-07-16",36.9434745703429,53.8038195848935,7.96041232001273,0.508436445444319,0.586051743532058,0.547806524184477
"353",363,"QDAGUP0019-53534",29.2,5.2,65.4,0.1,0,"QDAGUP0019","2013-07-14","2013-07-15",12.369957230834,32.8065871307466,53.442025934475,0.795793163891323,0.0227870289219982,0.947414548641543
"354",365,"QDAGUP0021-53535",34.9,51.2,14,NA,4,"QDAGUP0021","2013-07-16","2013-07-16",40.42098713165,46.1946763111351,12.1111475022163,0.373393316195373,0.49293059125964,0.894601542416452
"355",366,"QDAGUP0022-53484",35,18.5,46.5,NA,4,"QDAGUP0022","2013-07-16","2013-07-16",9.24475179591874,50.9740440820306,38.4307141101739,0.454778704297627,0.2674791533034,0.831943553559974
"356",367,"QDAGUP0023-53536",58.2,30.6,11.2,NA,4,"QDAGUP0023","2013-07-17","2013-07-16",19.0916679295908,63.4070698651099,16.3013401459198,0.465834428383706,0.472404730617608,0.83442838370565
"357",368,"QDAGUP0024-53485",18.1,3.8,78,0.1,0,"QDAGUP0024","2013-07-17","2013-07-07",2.95868900308766,60.1125584800699,35.8606885936976,0.373333333333333,0.246274509803922,0.781176470588235
"358",370,"QDAGUP0026-53486",47,33,20,NA,4,"QDAGUP0026","2013-07-18","2013-07-15",22.577783924652,60.1322772921591,16.0129623151434,0.458083832335329,0.514221556886228,0.754491017964072
"359",371,"QDAGUP0027-53538",55.2,28.1,16.6,NA,4,"QDAGUP0027","2013-07-19","2013-07-16",25.7531938930718,55.8672632602327,16.9420193513188,0.112,0.726857142857143,0.916571428571429
"360",372,"QDAGUP0028-53487",49.4,26.7,23.9,NA,4,"QDAGUP0028","2013-07-19","2013-07-16",26.4438394422875,57.0246721802364,15.2742292537161,0.091005291005291,0.794708994708995,0.848677248677249
"361",373,"QDAGUP0029-53488",13.8,53,33.3,NA,4,"QDAGUP0029","2013-09-24","2013-09-27",17.2197478717799,59.8468826698121,21.5455922882246,0.356401384083045,0.635524798154556,0.677047289504037
"362",374,"QDAGUP0029-59025",95.9,3.3,0.8,NA,4,"QDAGUP0029","2022-05-31","2022-05-31",36.4929105513064,56.4109744744335,5.95376555614294,0.810841983852365,0.515570934256055,0.041522491349481
"363",375,"QDAGUP0030-53489",14.7,64.7,20.7,NA,4,"QDAGUP0030","2013-09-25","2013-09-27",20.7395932241102,63.5753075613662,14.3493426078544,0.288551401869159,0.740654205607477,0.65303738317757
"364",376,"QDAGUP0031-53490",13,56.4,30.6,NA,4,"QDAGUP0031","2013-09-24","2013-09-27",18.7003770223556,58.7007254870944,21.2719746713523,0.384526558891455,0.527713625866051,0.719399538106236
"365",377,"QDAGUP0031-59142",93.2,5.3,1.5,NA,4,"QDAGUP0031","2022-06-01","2022-05-31",34.5426956943933,57.4366727183979,6.8218324503144,0.827944572748268,0.472286374133949,0.0669745958429561
"366",379,"QDAMGD0001-53586",32.5,27.5,40,NA,4,"QDAMGD0001","2013-04-17","2013-04-14",10.0571126555934,63.0420298169901,25.4787590197264,0.650462962962963,0.806712962962963,0.228009259259259
"367",380,"QDAMGD0002-53587",37.2,25.8,36.9,NA,4,"QDAMGD0002","2013-04-18","2013-04-14",27.9340872405846,39.4821241709728,31.0194298305707,0.731465265615879,0.560420315236427,0.199065966141273
"368",381,"QDAMGD0003-53491",40.8,37.5,21.7,NA,4,"QDAMGD0003","2013-04-20","2013-04-21",16.0262447178732,65.0670400781483,17.5268706300254,0.740321620011912,0.729600952948183,0.232876712328767
"369",382,"QDAMGD0004-53588",26.5,27.3,46.1,NA,4,"QDAMGD0004","2013-04-19","2013-04-21",10.6702211589041,40.1628716299793,47.7991217205794,0.611506140917906,0.851971557853911,0.200387847446671
