site_location_name,super_code,super_group
NTAFIN0008,6.0,Desert Tussock.grass
NTAFIN0009,4.0,Desert Shrub
NTAFIN0010,3.0,Desert Hummock.grass
NTAFIN0011,4.0,Desert Shrub
NTAFIN0012,6.0,Desert Tussock.grass
NTAFIN0013,5.0,Desert Tree.Palm
NTAFIN0014,3.0,Desert Hummock.grass
NTAFIN0015,5.0,Desert Tree.Palm
NTAFIN0016,6.0,Desert Tussock.grass
NTAFIN0017,6.0,Desert Tussock.grass
NTAFIN0018,4.0,Desert Shrub
NTAFIN0019,6.0,Desert Tussock.grass
NTAFIN0020,6.0,Desert Tussock.grass
NTAFIN0021,6.0,Desert Tussock.grass
NTAFIN0022,4.0,Desert Shrub
NTAFIN0023,3.0,Desert Hummock.grass
NTAFIN0024,5.0,Desert Tree.Palm
NTAFIN0025,6.0,Desert Tussock.grass
NTAFIN0026,6.0,Desert Tussock.grass
NTAFIN0027,6.0,Desert Tussock.grass
NTAFIN0028,1.0,Desert Chenopod
NTAFIN0029,6.0,Desert Tussock.grass
NTAFIN0030,4.0,Desert Shrub
NTAFIN0031,4.0,Desert Shrub
NTAFIN0032,4.0,Desert Shrub
NTAFIN0033,6.0,Desert Tussock.grass
NTAGFU0001,11.0,Tropical/Savanna Tussock.grass
NTAGFU0002,3.0,Desert Hummock.grass
NTAGFU0003,10.0,Tropical/Savanna Tree.Palm
NTAGFU0004,3.0,Desert Hummock.grass
NTAGFU0005,3.0,Desert Hummock.grass
NTAGFU0006,11.0,Tropical/Savanna Tussock.grass
NTAGFU0007,3.0,Desert Hummock.grass
NTAGFU0008,3.0,Desert Hummock.grass
NTAGFU0009,3.0,Desert Hummock.grass
NTAGFU0010,3.0,Desert Hummock.grass
NTAGFU0011,11.0,Tropical/Savanna Tussock.grass
NTAGFU0012,3.0,Desert Hummock.grass
NTAGFU0013,11.0,Tropical/Savanna Tussock.grass
NTAGFU0014,11.0,Tropical/Savanna Tussock.grass
NTAGFU0015,3.0,Desert Hummock.grass
NTAGFU0016,11.0,Tropical/Savanna Tussock.grass
NTAGFU0017,11.0,Tropical/Savanna Tussock.grass
NTAGFU0018,10.0,Tropical/Savanna Tree.Palm
NTAGFU0019,11.0,Tropical/Savanna Tussock.grass
NTAGFU0020,11.0,Tropical/Savanna Tussock.grass
NTAGFU0021,4.0,Desert Shrub
NTAGFU0022,3.0,Desert Hummock.grass
NTAGFU0023,4.0,Desert Shrub
NTAGFU0024,3.0,Desert Hummock.grass
NTAGFU0025,4.0,Desert Shrub
NTAGFU0026,11.0,Tropical/Savanna Tussock.grass
NTAGFU0027,11.0,Tropical/Savanna Tussock.grass
NTAGFU0028,3.0,Desert Hummock.grass
NTAGFU0029,11.0,Tropical/Savanna Tussock.grass
NTAGFU0030,10.0,Tropical/Savanna Tree.Palm
NTAGFU0031,4.0,Desert Shrub
NTAGFU0032,11.0,Tropical/Savanna Tussock.grass
NTAGFU0033,10.0,Tropical/Savanna Tree.Palm
NTAGFU0034,10.0,Tropical/Savanna Tree.Palm
NTAGFU0035,11.0,Tropical/Savanna Tussock.grass
NTAGFU0036,10.0,Tropical/Savanna Tree.Palm
NTAGFU0037,11.0,Tropical/Savanna Tussock.grass
NTAGFU0038,10.0,Tropical/Savanna Tree.Palm
NTAGFU0039,11.0,Tropical/Savanna Tussock.grass
NTAGFU0040,4.0,Desert Shrub
NTAGFU0041,11.0,Tropical/Savanna Tussock.grass
NTAMAC0001,6.0,Desert Tussock.grass
NTAMAC0002,5.0,Desert Tree.Palm
NTAMAC0003,6.0,Desert Tussock.grass
NTAMGD0001,10.0,Tropical/Savanna Tree.Palm
NTAMGD0002,11.0,Tropical/Savanna Tussock.grass
NTAMGD0003,3.0,Desert Hummock.grass
NTAMGD0004,11.0,Tropical/Savanna Tussock.grass
NTAMGD0005,4.0,Desert Shrub
NTAPCK0001,11.0,Tropical/Savanna Tussock.grass
NTAPCK0002,11.0,Tropical/Savanna Tussock.grass
NTAPCK0003,10.0,Tropical/Savanna Tree.Palm
NTAPCK0004,11.0,Tropical/Savanna Tussock.grass
NTAPCK0005,10.0,Tropical/Savanna Tree.Palm
NTAPCK0006,11.0,Tropical/Savanna Tussock.grass
NTAPCK0007,11.0,Tropical/Savanna Tussock.grass
NTAPCK1009,11.0,Tropical/Savanna Tussock.grass
NTAPCK1010,10.0,Tropical/Savanna Tree.Palm
NTAPCK1011,11.0,Tropical/Savanna Tussock.grass
NTAPCK1012,10.0,Tropical/Savanna Tree.Palm
NTAPCK2013,10.0,Tropical/Savanna Tree.Palm
NTAPCK2014,11.0,Tropical/Savanna Tussock.grass
NTASSD0001,3.0,Desert Hummock.grass
NTASSD0003,2.0,Desert Forb
NTASSD0004,4.0,Desert Shrub
NTASSD0005,2.0,Desert Forb
NTASSD0006,6.0,Desert Tussock.grass
NTASSD0007,2.0,Desert Forb
NTASSD0008,6.0,Desert Tussock.grass
NTASSD0009,6.0,Desert Tussock.grass
NTASSD0010,2.0,Desert Forb
NTASSD0011,6.0,Desert Tussock.grass
NTASSD0012,6.0,Desert Tussock.grass
NTASSD0013,1.0,Desert Chenopod
NTASSD0014,2.0,Desert Forb
NTASSD0015,2.0,Desert Forb
NTASSD0016,1.0,Desert Chenopod
NTASSD0017,4.0,Desert Shrub
NTASSD0018,6.0,Desert Tussock.grass
NTASSD0019,4.0,Desert Shrub
NTASTU0001,11.0,Tropical/Savanna Tussock.grass
NTASTU0002,11.0,Tropical/Savanna Tussock.grass
NTASTU0003,11.0,Tropical/Savanna Tussock.grass
NTASTU0004,11.0,Tropical/Savanna Tussock.grass
NTASTU0005,11.0,Tropical/Savanna Tussock.grass
NTATAN0001,4.0,Desert Shrub
NTATAN0002,4.0,Desert Shrub
NTATAN0003,3.0,Desert Hummock.grass
NTATAN0004,3.0,Desert Hummock.grass
NTTDAB0001,10.0,Tropical/Savanna Tree.Palm
NTTDAC0001,11.0,Tropical/Savanna Tussock.grass
NTTDMR0001,11.0,Tropical/Savanna Tussock.grass
NTTDMR0002,11.0,Tropical/Savanna Tussock.grass
NTTDMR0003,11.0,Tropical/Savanna Tussock.grass
NTTMGD0001,11.0,Tropical/Savanna Tussock.grass
NTTPCK0001,10.0,Tropical/Savanna Tree.Palm
NTTSTU0001,10.0,Tropical/Savanna Tree.Palm
QDABBN0001,4.0,Desert Shrub
QDABBN0002,10.0,Tropical/Savanna Tree.Palm
QDABBS0001,11.0,Tropical/Savanna Tussock.grass
QDABBS0002,11.0,Tropical/Savanna Tussock.grass
QDABBS0003,10.0,Tropical/Savanna Tree.Palm
QDABBS0004,11.0,Tropical/Savanna Tussock.grass
QDABBS0005,10.0,Tropical/Savanna Tree.Palm
QDABBS0006,11.0,Tropical/Savanna Tussock.grass
QDABBS0007,11.0,Tropical/Savanna Tussock.grass
QDABBS0008,11.0,Tropical/Savanna Tussock.grass
QDABBS0009,10.0,Tropical/Savanna Tree.Palm
QDABBS0010,4.0,Desert Shrub
QDACHC0001,5.0,Desert Tree.Palm
QDACHC0002,5.0,Desert Tree.Palm
QDACHC0003,5.0,Desert Tree.Palm
QDACHC0004,6.0,Desert Tussock.grass
QDACHC0005,6.0,Desert Tussock.grass
QDACHC0006,6.0,Desert Tussock.grass
QDACHC0007,6.0,Desert Tussock.grass
QDACYP0001,4.0,Desert Shrub
QDACYP0002,4.0,Desert Shrub
QDACYP0003,4.0,Desert Shrub
QDACYP0004,11.0,Tropical/Savanna Tussock.grass
QDACYP0005,11.0,Tropical/Savanna Tussock.grass
QDACYP0006,11.0,Tropical/Savanna Tussock.grass
QDACYP0007,11.0,Tropical/Savanna Tussock.grass
QDACYP0008,10.0,Tropical/Savanna Tree.Palm
QDACYP0009,11.0,Tropical/Savanna Tussock.grass
QDACYP0010,11.0,Tropical/Savanna Tussock.grass
QDACYP0011,11.0,Tropical/Savanna Tussock.grass
QDACYP0012,10.0,Tropical/Savanna Tree.Palm
QDACYP0013,11.0,Tropical/Savanna Tussock.grass
QDACYP0014,11.0,Tropical/Savanna Tussock.grass
QDACYP0015,11.0,Tropical/Savanna Tussock.grass
QDACYP0016,10.0,Tropical/Savanna Tree.Palm
QDACYP0017,4.0,Desert Shrub
QDACYP0018,4.0,Desert Shrub
QDACYP0019,11.0,Tropical/Savanna Tussock.grass
QDACYP0020,10.0,Tropical/Savanna Tree.Palm
QDACYP0021,10.0,Tropical/Savanna Tree.Palm
QDACYP0022,11.0,Tropical/Savanna Tussock.grass
QDACYP0023,11.0,Tropical/Savanna Tussock.grass
QDACYP0024,10.0,Tropical/Savanna Tree.Palm
QDADEU0001,11.0,Tropical/Savanna Tussock.grass
QDAEIU0001,11.0,Tropical/Savanna Tussock.grass
QDAEIU0002,11.0,Tropical/Savanna Tussock.grass
QDAEIU0003,11.0,Tropical/Savanna Tussock.grass
QDAEIU0004,11.0,Tropical/Savanna Tussock.grass
QDAEIU0005,11.0,Tropical/Savanna Tussock.grass
QDAEIU0006,10.0,Tropical/Savanna Tree.Palm
QDAEIU0007,10.0,Tropical/Savanna Tree.Palm
QDAEIU0008,11.0,Tropical/Savanna Tussock.grass
QDAEIU0009,11.0,Tropical/Savanna Tussock.grass
QDAEIU0010,11.0,Tropical/Savanna Tussock.grass
QDAGUP0001,4.0,Desert Shrub
QDAGUP0002,10.0,Tropical/Savanna Tree.Palm
QDAGUP0003,10.0,Tropical/Savanna Tree.Palm
QDAGUP0004,10.0,Tropical/Savanna Tree.Palm
QDAGUP0005,10.0,Tropical/Savanna Tree.Palm
QDAGUP0006,10.0,Tropical/Savanna Tree.Palm
QDAGUP0007,11.0,Tropical/Savanna Tussock.grass
QDAGUP0008,11.0,Tropical/Savanna Tussock.grass
QDAGUP0009,11.0,Tropical/Savanna Tussock.grass
QDAGUP0010,4.0,Desert Shrub
QDAGUP0011,11.0,Tropical/Savanna Tussock.grass
QDAGUP0012,11.0,Tropical/Savanna Tussock.grass
QDAGUP0013,11.0,Tropical/Savanna Tussock.grass
QDAGUP0014,11.0,Tropical/Savanna Tussock.grass
QDAGUP0015,11.0,Tropical/Savanna Tussock.grass
QDAGUP0016,11.0,Tropical/Savanna Tussock.grass
QDAGUP0017,11.0,Tropical/Savanna Tussock.grass
QDAGUP0018,11.0,Tropical/Savanna Tussock.grass
QDAGUP0019,11.0,Tropical/Savanna Tussock.grass
QDAGUP0021,10.0,Tropical/Savanna Tree.Palm
QDAGUP0022,11.0,Tropical/Savanna Tussock.grass
QDAGUP0023,11.0,Tropical/Savanna Tussock.grass
QDAGUP0024,11.0,Tropical/Savanna Tussock.grass
QDAGUP0026,11.0,Tropical/Savanna Tussock.grass
QDAGUP0027,10.0,Tropical/Savanna Tree.Palm
QDAGUP0028,10.0,Tropical/Savanna Tree.Palm
QDAGUP0029,11.0,Tropical/Savanna Tussock.grass
QDAGUP0030,11.0,Tropical/Savanna Tussock.grass
QDAGUP0031,11.0,Tropical/Savanna Tussock.grass
QDAMGD0001,6.0,Desert Tussock.grass
QDAMGD0002,6.0,Desert Tussock.grass
QDAMGD0003,6.0,Desert Tussock.grass
QDAMGD0004,6.0,Desert Tussock.grass
QDAMGD0005,6.0,Desert Tussock.grass
QDAMGD0006,6.0,Desert Tussock.grass
QDAMGD0007,6.0,Desert Tussock.grass
QDAMGD0008,6.0,Desert Tussock.grass
QDAMGD0009,2.0,Desert Forb
QDAMGD0010,4.0,Desert Shrub
QDAMGD0011,6.0,Desert Tussock.grass
QDAMGD0012,4.0,Desert Shrub
QDAMGD0013,6.0,Desert Tussock.grass
QDAMGD0014,6.0,Desert Tussock.grass
QDAMGD0015,5.0,Desert Tree.Palm
QDAMGD0016,5.0,Desert Tree.Palm
QDAMGD0017,6.0,Desert Tussock.grass
QDAMGD0018,6.0,Desert Tussock.grass
QDAMGD0019,6.0,Desert Tussock.grass
QDAMGD0020,5.0,Desert Tree.Palm
QDAMGD0021,6.0,Desert Tussock.grass
QDAMGD0022,6.0,Desert Tussock.grass
QDAMGD0023,6.0,Desert Tussock.grass
QDAMGD0024,6.0,Desert Tussock.grass
QDAMGD0025,10.0,Tropical/Savanna Tree.Palm
QDAMGD0026,10.0,Tropical/Savanna Tree.Palm
QDAMGD0027,11.0,Tropical/Savanna Tussock.grass
QDAMGD0028,11.0,Tropical/Savanna Tussock.grass
QDAMII0001,11.0,Tropical/Savanna Tussock.grass
QDAMII0002,11.0,Tropical/Savanna Tussock.grass
QDAMUL0001,5.0,Desert Tree.Palm
QDAMUL0002,5.0,Desert Tree.Palm
QDAMUL0003,5.0,Desert Tree.Palm
QDASEQ0002,9.0,Temp/Med Tussock.grass
QDASEQ0003,8.0,Temp/Med Tree.Palm
QDASEQ0004,8.0,Temp/Med Tree.Palm
QDASSD0001,3.0,Desert Hummock.grass
QDASSD0002,3.0,Desert Hummock.grass
QDASSD0003,6.0,Desert Tussock.grass
QDASSD0004,3.0,Desert Hummock.grass
QDASSD0005,5.0,Desert Tree.Palm
QDASSD0006,6.0,Desert Tussock.grass
QDASSD0007,6.0,Desert Tussock.grass
QDASSD0008,3.0,Desert Hummock.grass
QDASSD0009,6.0,Desert Tussock.grass
QDASSD0010,6.0,Desert Tussock.grass
QDASSD0011,5.0,Desert Tree.Palm
QDASSD0012,2.0,Desert Forb
QDASSD0013,6.0,Desert Tussock.grass
QDASSD0014,6.0,Desert Tussock.grass
QDASSD0015,6.0,Desert Tussock.grass
SAABHC0001,4.0,Desert Shrub
SAABHC0002,1.0,Desert Chenopod
SAABHC0003,4.0,Desert Shrub
SAABHC0004,5.0,Desert Tree.Palm
SAABHC0005,1.0,Desert Chenopod
SAABHC0006,1.0,Desert Chenopod
SAAEYB0002,7.0,Temp/Med Shrub
SAAEYB0003,8.0,Temp/Med Tree.Palm
SAAEYB0004,7.0,Temp/Med Shrub
SAAEYB0005,8.0,Temp/Med Tree.Palm
SAAEYB0006,7.0,Temp/Med Shrub
SAAEYB0007,7.0,Temp/Med Shrub
SAAEYB0008,7.0,Temp/Med Shrub
SAAEYB0009,7.0,Temp/Med Shrub
SAAEYB0010,7.0,Temp/Med Shrub
SAAEYB0011,7.0,Temp/Med Shrub
SAAEYB0012,7.0,Temp/Med Shrub
SAAEYB0013,7.0,Temp/Med Shrub
SAAEYB0021,7.0,Temp/Med Shrub
SAAEYB0022,7.0,Temp/Med Shrub
SAAEYB0023,7.0,Temp/Med Shrub
SAAEYB0024,8.0,Temp/Med Tree.Palm
SAAEYB0025,7.0,Temp/Med Shrub
SAAEYB0026,7.0,Temp/Med Shrub
SAAEYB0027,7.0,Temp/Med Shrub
SAAEYB0028,7.0,Temp/Med Shrub
SAAEYB0029,9.0,Temp/Med Tussock.grass
SAAEYB0030,7.0,Temp/Med Shrub
SAAEYB0031,7.0,Temp/Med Shrub
SAAEYB0032,9.0,Temp/Med Tussock.grass
SAAEYB0033,8.0,Temp/Med Tree.Palm
SAAFLB0003,8.0,Temp/Med Tree.Palm
SAAFLB0004,8.0,Temp/Med Tree.Palm
SAAFLB0005,4.0,Desert Shrub
SAAFLB0006,4.0,Desert Shrub
SAAFLB0007,2.0,Desert Forb
SAAFLB0008,5.0,Desert Tree.Palm
SAAFLB0030,6.0,Desert Tussock.grass
SAAFLB0031,1.0,Desert Chenopod
SAAGAW0001,5.0,Desert Tree.Palm
SAAGAW0002,1.0,Desert Chenopod
SAAGAW0003,4.0,Desert Shrub
SAAGAW0004,5.0,Desert Tree.Palm
SAAGAW0005,4.0,Desert Shrub
SAAGAW0006,1.0,Desert Chenopod
SAAGAW0007,1.0,Desert Chenopod
SAAGAW0008,1.0,Desert Chenopod
SAAGVD0001,1.0,Desert Chenopod
SAAGVD0002,6.0,Desert Tussock.grass
SAAGVD0003,6.0,Desert Tussock.grass
SAAGVD0004,1.0,Desert Chenopod
SAAKAN0001,8.0,Temp/Med Tree.Palm
SAAKAN0002,7.0,Temp/Med Shrub
SAAKAN0003,8.0,Temp/Med Tree.Palm
SAAKAN0004,7.0,Temp/Med Shrub
SAAKAN0005,7.0,Temp/Med Shrub
SAAKAN0006,7.0,Temp/Med Shrub
SAAKAN0007,7.0,Temp/Med Shrub
SAAKAN0008,7.0,Temp/Med Shrub
SAAKAN0009,7.0,Temp/Med Shrub
SAAKAN0010,7.0,Temp/Med Shrub
SAAKAN0012,7.0,Temp/Med Shrub
SAAMDD0007,9.0,Temp/Med Tussock.grass
SAAMDD0008,8.0,Temp/Med Tree.Palm
SAAMDD0009,9.0,Temp/Med Tussock.grass
SAAMDD0010,8.0,Temp/Med Tree.Palm
SAAMDD0011,7.0,Temp/Med Shrub
SAANUL0001,1.0,Desert Chenopod
SAANUL0002,1.0,Desert Chenopod
SAANUL0003,6.0,Desert Tussock.grass
SAANUL0004,1.0,Desert Chenopod
SAARIV0001,5.0,Desert Tree.Palm
SAARIV0002,5.0,Desert Tree.Palm
SAARIV0003,5.0,Desert Tree.Palm
SAARIV0004,2.0,Desert Forb
SAARIV0005,2.0,Desert Forb
SAARIV0006,2.0,Desert Forb
SAARIV0007,4.0,Desert Shrub
SAARIV0008,1.0,Desert Chenopod
SAARIV0009,1.0,Desert Chenopod
SAASTP0001,1.0,Desert Chenopod
SAASTP0002,6.0,Desert Tussock.grass
SAASTP0003,1.0,Desert Chenopod
SAASTP0004,2.0,Desert Forb
SAASTP0005,2.0,Desert Forb
SAASTP0006,2.0,Desert Forb
SAASTP0007,1.0,Desert Chenopod
SAASTP0008,1.0,Desert Chenopod
SAASTP0009,4.0,Desert Shrub
SAASTP0010,1.0,Desert Chenopod
SAASTP0011,6.0,Desert Tussock.grass
SAASTP0012,6.0,Desert Tussock.grass
SAASTP0013,6.0,Desert Tussock.grass
SAASTP0014,1.0,Desert Chenopod
SAASTP0015,6.0,Desert Tussock.grass
SAASTP0016,1.0,Desert Chenopod
SAASTP0017,1.0,Desert Chenopod
SAASTP0018,6.0,Desert Tussock.grass
SAASTP0019,1.0,Desert Chenopod
SAASTP0020,6.0,Desert Tussock.grass
SAASTP0021,1.0,Desert Chenopod
SAASTP0022,1.0,Desert Chenopod
SAASTP0023,1.0,Desert Chenopod
SAASTP0024,1.0,Desert Chenopod
SAASTP0025,1.0,Desert Chenopod
SAASTP0026,1.0,Desert Chenopod
SAASTP0027,1.0,Desert Chenopod
SAASTP0028,1.0,Desert Chenopod
SAASTP0029,1.0,Desert Chenopod
SAASTP0030,6.0,Desert Tussock.grass
SAASTP0031,6.0,Desert Tussock.grass
SAASTP0032,6.0,Desert Tussock.grass
SAASTP0033,1.0,Desert Chenopod
SAASTP0034,1.0,Desert Chenopod
SASMDD0001,5.0,Desert Tree.Palm
SASMDD0002,5.0,Desert Tree.Palm
SASMDD0003,6.0,Desert Tussock.grass
SASMDD0004,1.0,Desert Chenopod
SASMDD0005,2.0,Desert Forb
SASMDD0006,5.0,Desert Tree.Palm
SASMDD0008,5.0,Desert Tree.Palm
SASMDD0009,4.0,Desert Shrub
SASMDD0011,1.0,Desert Chenopod
SASMDD0012,5.0,Desert Tree.Palm
SASMDD0014,4.0,Desert Shrub
SASMDD0016,5.0,Desert Tree.Palm
SASMDD0017,5.0,Desert Tree.Palm
SASMDD0018,5.0,Desert Tree.Palm
SASRIV0001,1.0,Desert Chenopod
SASRIV0002,1.0,Desert Chenopod
SATEYB0001,9.0,Temp/Med Tussock.grass
SATEYB0002,8.0,Temp/Med Tree.Palm
SATFLB0001,8.0,Temp/Med Tree.Palm
SATFLB0002,7.0,Temp/Med Shrub
SATFLB0003,8.0,Temp/Med Tree.Palm
SATFLB0004,5.0,Desert Tree.Palm
SATFLB0005,4.0,Desert Shrub
SATFLB0006,4.0,Desert Shrub
SATFLB0008,3.0,Desert Hummock.grass
SATFLB0009,4.0,Desert Shrub
SATFLB0010,5.0,Desert Tree.Palm
SATFLB0011,5.0,Desert Tree.Palm
SATFLB0013,8.0,Temp/Med Tree.Palm
SATFLB0015,8.0,Temp/Med Tree.Palm
SATFLB0016,5.0,Desert Tree.Palm
SATFLB0017,4.0,Desert Shrub
SATFLB0018,3.0,Desert Hummock.grass
SATFLB0019,3.0,Desert Hummock.grass
SATFLB0020,5.0,Desert Tree.Palm
SATFLB0021,3.0,Desert Hummock.grass
SATFLB0022,5.0,Desert Tree.Palm
SATFLB0023,4.0,Desert Shrub
SATFLB0024,1.0,Desert Chenopod
SATFLB0025,5.0,Desert Tree.Palm
SATFLB0026,8.0,Temp/Med Tree.Palm
SATFLB0027,8.0,Temp/Med Tree.Palm
SATFLB0028,9.0,Temp/Med Tussock.grass
SATKAN0001,8.0,Temp/Med Tree.Palm
SATKAN0002,8.0,Temp/Med Tree.Palm
SATKAN0003,8.0,Temp/Med Tree.Palm
SATKAN0004,8.0,Temp/Med Tree.Palm
SATSTP0001,6.0,Desert Tussock.grass
SATSTP0002,1.0,Desert Chenopod
SATSTP0003,6.0,Desert Tussock.grass
SATSTP0004,4.0,Desert Shrub
SATSTP0005,4.0,Desert Shrub
SATSTP0006,4.0,Desert Shrub
SATSTP0007,2.0,Desert Forb
SATSTP0008,6.0,Desert Tussock.grass
TCABEL0001,9.0,Temp/Med Tussock.grass
TCABEL0002,7.0,Temp/Med Shrub
TCABEL0003,9.0,Temp/Med Tussock.grass
TCATCH0001,7.0,Temp/Med Shrub
TCATCH0002,9.0,Temp/Med Tussock.grass
TCATCH0003,9.0,Temp/Med Tussock.grass
TCATCH0004,8.0,Temp/Med Tree.Palm
TCATCH0005,9.0,Temp/Med Tussock.grass
TCATCH0006,9.0,Temp/Med Tussock.grass
TCATCH0007,7.0,Temp/Med Shrub
TCATCH0008,9.0,Temp/Med Tussock.grass
TCATCH0009,9.0,Temp/Med Tussock.grass
TCATCH0010,9.0,Temp/Med Tussock.grass
TCATCH0011,8.0,Temp/Med Tree.Palm
TCATCH0012,9.0,Temp/Med Tussock.grass
TCATNM0001,9.0,Temp/Med Tussock.grass
TCATNM0002,9.0,Temp/Med Tussock.grass
TCATNM0003,9.0,Temp/Med Tussock.grass
TCATNM0004,9.0,Temp/Med Tussock.grass
TCATNM0005,9.0,Temp/Med Tussock.grass
TCATNM0006,9.0,Temp/Med Tussock.grass
VCAAUA0001,9.0,Temp/Med Tussock.grass
VCAAUA0002,9.0,Temp/Med Tussock.grass
VCAAUA0003,9.0,Temp/Med Tussock.grass
VCAAUA0004,7.0,Temp/Med Shrub
