site_location_name,super_code,super_group
VCAAUA0005,9.0,Temp/Med Tussock.grass
VCAAUA0006,9.0,Temp/Med Tussock.grass
VCAAUA0007,9.0,Temp/Med Tussock.grass
VCAAUA0008,7.0,Temp/Med Shrub
VCAAUA0009,7.0,Temp/Med Shrub
VCAAUA0010,9.0,Temp/Med Tussock.grass
VCAAUA0011,9.0,Temp/Med Tussock.grass
VCAAUA0012,9.0,Temp/Med Tussock.grass
VCAAUA0013,9.0,Temp/Med Tussock.grass
VCAAUA0014,9.0,Temp/Med Tussock.grass
VCAAUA0015,9.0,Temp/Med Tussock.grass
VCAMDD0001,1.0,Desert Chenopod
VCAMDD0002,1.0,Desert Chenopod
VCAMDD0003,8.0,Temp/Med Tree.Palm
