"","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter"
"51","NSAMDD0009-56971",32.6,47.3,20.1,NA,4,"NSAMDD0009",2014-06-01,2014-05-10,25.9149514056596,48.5207372606681,24.3898785682805
"52","NSAMDD0010-56956",52.3,25.5,22.1,0.1,0,"NSAMDD0010",2014-06-02,2014-06-03,47.6095108283757,37.9931690492786,13.0808604250757
"53","NSAMDD0011-56981",27.1,17.8,55,NA,4,"NSAMDD0011",2014-06-02,2014-05-10,21.7260798025471,35.8567916985529,40.7147779264928
"54","NSAMDD0012-56957",3.7,6.6,89.7,NA,4,"NSAMDD0012",2014-06-03,2014-06-03,2.07133082778862,85.4118183382425,11.8080543603354
"55","NSAMDD0013-56982",26.8,33.2,40,NA,4,"NSAMDD0013",2014-06-04,2014-06-03,19.7154556673244,34.7831117874258,43.8991465894018
"56","NSAMDD0014-56963",50.4,24.2,25.3,0.1,0,"NSAMDD0014",2014-06-04,2014-06-03,18.1948157855814,44.4165869312158,35.8860657589847
"57","NSAMDD0015-57636",28.4,54.7,16.9,NA,4,"NSAMDD0015",2014-06-05,2014-05-10,29.0863192534976,50.7898588294471,19.0611241455273
"58","NSAMDD0016-56973",34.7,44.8,20.6,NA,4,"NSAMDD0016",2014-06-05,2014-06-27,31.9137899594518,45.2465082501224,21.6383372400519
"59","NSAMDD0017-57080",29.8,49.7,20.4,0.1,0,"NSAMDD0017",2014-08-06,2014-08-09,34.6933078101757,52.0096036574287,12.1908649486031
"60","NSAMDD0018-56976",46.5,38.5,14.8,0.2,0,"NSAMDD0018",2014-08-06,2014-08-09,39.8947746439947,52.5698071708055,6.43576719118418
"61","NSAMDD0019-57081",31.4,60,8.6,NA,4,"NSAMDD0019",2014-08-07,2014-08-01,25.7058180685673,53.0308636588386,20.1085575653181
"62","NSAMDD0020-56984",33.3,52.7,14.1,NA,4,"NSAMDD0020",2014-08-07,2014-08-09,31.3088057889978,53.4784440909584,14.1340498947398
"63","NSAMDD0021-57082",25.9,60.9,13.2,NA,4,"NSAMDD0021",2014-08-08,2014-08-01,31.7886908335074,53.2165391602407,13.9487220491281
"64","NSAMDD0022-56985",59.2,33.2,7.4,0.1,0,"NSAMDD0022",2014-08-09,2014-08-01,38.9426556559188,48.9136358386477,10.996741815418
