"","soil.subsites.site_unique","soil.subsites.site_location_name","soil.subsites.site_location_visit_id","soil.subsites.subsite_id","soil.subsites.zone","soil.subsites.easting","soil.subsites.northing","soil.subsites.ten_to_twenty_barcode","soil.subsites.zero_to_ten_barcode","soil.subsites.twenty_to_thirty_barcode","soil.subsites.comments","soil.subsites.metagenomic_barcode"
"3957","NSTSYB0002-58008","NSTSYB0002",58008,"7",56,279781,6280310,"not collected","NST004050","not collected","Base of small tree","AUG007257"
"3958","NSTSYB0002-58008","NSTSYB0002",58008,"8",56,279750,6280321,"not collected","NST004051","not collected","Under litter","AUG007258"
"3959","NSTSYB0002-58008","NSTSYB0002",58008,"9",56,279717,6280311,"not collected","not collected","not collected","Base of burnt stump","AUG007259"
"3960","NTAFIN0011-58019","NTAFIN0011",58019,"1",53,330053,7326933,"not collected","not collected","not collected","Bare patch between Eragrostis and Triodia basedowii","NTA017179"
"3961","NTAFIN0011-58019","NTAFIN0011",58019,"2",53,330063,7326929,"not collected","not collected","not collected","Under Acacia meliodora","NTA017180"
"3962","NTAFIN0011-58019","NTAFIN0011",58019,"3",53,330066,7326927,"not collected","not collected","not collected","Bare between Triodia basedowii","NTA017181"
"3963","NTAFIN0011-58019","NTAFIN0011",58019,"4",53,330069,7326912,"not collected","not collected","not collected","Centre of Triodia basedowii","NTA017182"
"3964","NTAFIN0011-58019","NTAFIN0011",58019,"5",53,330073,7326908,"not collected","not collected","not collected","Base of young Acacia aneura","NTA017183"
"3965","NTAFIN0011-58019","NTAFIN0011",58019,"6",53,330092,7326885,"not collected","not collected","not collected","Litter under Acacia astrophiolata","NTA017184"
"3966","NSTSYB0009-57649","NSTSYB0009",57649,"1",56,255404,6281429,"NST004214","NST004213","not collected","under small Eucalypt","AUG007314"
"3967","NSTSYB0009-57649","NSTSYB0009",57649,"2",56,255406,6281435,"NST004216","NST004215","NST004217","in small shrub clump","AUG007315"
"3968","NSTSYB0009-57649","NSTSYB0009",57649,"4",56,255410,6281432,"NST004221","NST004220","NST004222","base of dead log","AUG007317"
"3969","NSTSYB0009-57649","NSTSYB0009",57649,"3",56,255410,6281435,"NST004219","NST004218","not collected","base of Snow gum","AUG007316"
"3970","NSTSYB0009-57649","NSTSYB0009",57649,"5",56,255410,6281439,"NST004224","NST004223","not collected","under Banksia sp.","AUG007318"
"3971","NSTSYB0009-57649","NSTSYB0009",57649,"6",56,255406,6281506,"NST004226","NST004225","NST004227","bottom of water course","AUG007319"
"3972","NSTSYB0009-57649","NSTSYB0009",57649,"7",56,255438,6281488,"NST004229","NST004228","not collected","bare area","AUG007320"
"3973","NSTSYB0009-57649","NSTSYB0009",57649,"8",56,255495,6281505,"NST004231","NST004230","not collected","base of burnt tree","AUG007321"
"3974","NSTSYB0009-57649","NSTSYB0009",57649,"9",56,255497,6281452,"NST004233","NST004232","not collected","base of Snow gum","AUG007322"
"3975","SASMDD0014-56980","SASMDD0014",56980,"1",54,NA,NA,"SAS050467","SAS050466","SAS050468",NA,"AUG007073"
"3976","SASMDD0014-56980","SASMDD0014",56980,"2",54,NA,NA,"SAS050470","SAS050469","SAS050471",NA,"AUG007074"
"3977","SASMDD0014-56980","SASMDD0014",56980,"3",54,NA,NA,"SAS050473","SAS050472","SAS050474",NA,"AUG007075"
"3978","NTAPCK0004-58920","NTAPCK0004",58920,"8",53,NA,8603516,"NTA055107","NTA055106","NTA055108","leaf litter","AUG014337"
"3979","NTAFIN0011-58019","NTAFIN0011",58019,"8",53,330119,7326880,"not collected","not collected","not collected","Bare patch amongst Triodia basedowii","NTA017186"
"3980","NTAFIN0011-58019","NTAFIN0011",58019,"9",53,330116,7326903,"not collected","not collected","not collected","Litter in grove of recruiting Acacia estrophiolata","NTA017187"
"3981","NSABHC0023-57099","NSABHC0023",57099,"4",54,608170,6531748,"NSA051247","NSA051246","NSA051248","Shrub and litter","NSA053022"
"3982","WAAPIL0023-58036","WAAPIL0023",58036,"1",50,674721,7537975,"WAA053713","WAA053712","WAA053714","Bare ground","AUG011039"
"3983","WAAPIL0023-58036","WAAPIL0023",58036,"2",50,674725,7537974,"WAA053716","WAA053715","WAA053717","Among grasses","AUG011040"
"3984","WAAPIL0023-58036","WAAPIL0023",58036,"3",50,674725,7537986,"WAA053719","WAA053718","WAA053720","Among grasses","AUG011041"
"3985","WAAPIL0023-58036","WAAPIL0023",58036,"4",50,674721,7537989,"WAA053722","WAA053721","WAA053723","Bare ground","AUG011042"
"3986","WAAPIL0023-58036","WAAPIL0023",58036,"5",50,674734,7537989,"WAA053725","WAA053724","WAA053726","Among Aristida contorta","AUG011043"
"3987","WAASWA0003-58031","WAASWA0003",58031,"1",50,397750,6421662,"WAA054170","WAA054169","WAA054171","Among Pteridium sp. Under Eucalyptus rudis","AUG011408"
"3988","WAAPIL0023-58036","WAAPIL0023",58036,"6",50,674764,7538016,"WAA053728","WAA053727","WAA053729","Base of Acacia aptaneura","AUG011044"
"3989","WAAPIL0023-58036","WAAPIL0023",58036,"7",50,674764,7538065,"WAA053731","WAA053730","WAA053732","Among Aristida contorta","AUG011045"
"3990","WAAPIL0023-58036","WAAPIL0023",58036,"8",50,674808,7538064,"WAA053734","WAA053733","WAA053735","Cryptogam","AUG011046"
"3991","WAAPIL0023-58036","WAAPIL0023",58036,"9",50,674796,7537987,"WAA053737","WAA053736","WAA053738","Base of dead log","AUG011047"
"3992","WAAPIL0029-58045","WAAPIL0029",58045,"1",50,799849,7490960,"WAA053883","WAA053882","WAA053884","Litter","AUG011093"
"3993","WAAPIL0029-58045","WAAPIL0029",58045,"2",50,799853,7490961,"WAA053886","WAA053885","WAA053887","Between Acacia aneura","AUG011094"
"3994","WAAPIL0029-58045","WAAPIL0029",58045,"3",50,799857,7490965,"WAA053889","WAA053888","WAA053890","Bare ground","AUG011095"
"3995","WAAPIL0029-58045","WAAPIL0029",58045,"4",50,799860,7490965,"WAA053892","WAA053891","WAA053893","Litter of Eucalyptus vitrix","AUG011096"
"3996","WAAPIL0029-58045","WAAPIL0029",58045,"5",50,799860,7490974,"WAA053895","WAA053894","WAA053896","Litter of Acacia aneura","AUG011097"
"3997","WAASWA0003-58031","WAASWA0003",58031,"2",50,397757,6421665,"WAA054173","WAA054172","WAA054174","Among Pteridium sp.","AUG011409"
"3998","WAAPIL0029-58045","WAAPIL0029",58045,"7",50,799889,7491009,"WAA053900","WAA053899","WAA053901","Bare ground","AUG011099"
"3999","WAAPIL0029-58045","WAAPIL0029",58045,"8",50,799869,7491050,"WAA053903","WAA053902","WAA053904","Litter of Acacia aneura","AUG011100"
"4000","WAASWA0003-58031","WAASWA0003",58031,"3",50,397768,6421669,"WAA054176","WAA054175","WAA054177","Cryptogam","AUG011410"
"4001","WAAPIL0029-58045","WAAPIL0029",58045,"6",50,799936,7490967,"WAA053898","WAA053897","not collected","Under Triodia longiceps litter","AUG011098"
"4002","WAAPIL0029-58045","WAAPIL0029",58045,"9",50,799946,7491060,"WAA053906","WAA053905","WAA053907","Under Triodia longiceps litter","AUG011101"
"4003","WAAPIL0030-58057","WAAPIL0030",58057,"7",50,769223,7419283,"WAA053930","WAA053929","WAA053931","Cryptogam","AUG011108"
"4004","WAAPIL0030-58057","WAAPIL0030",58057,"8",50,769271,7419239,"WAA053933","WAA053932","WAA053934","Bare ground between grasses","AUG011109"
"4005","WAAPIL0030-58057","WAAPIL0030",58057,"9",50,769314,7419197,"WAA053936","WAA053935","WAA053937","Bare ground between grasses","AUG011110"
"4006","WAASWA0003-58031","WAASWA0003",58031,"4",50,397772,6421661,"WAA054179","WAA054178","WAA054180","Among Pteridium sp.","AUG011411"
"4007","WAASWA0003-58031","WAASWA0003",58031,"5",50,397775,6421657,"WAA054182","WAA054181","WAA054183","Among Pteridium sp.","AUG011412"
"4008","WAASWA0003-58031","WAASWA0003",58031,"6",50,397831,6421664,"WAA054185","WAA054184","WAA054186","Among Pteridium sp. Under Eucalyptus rudis","AUG011413"
"4009","WAASWA0003-58031","WAASWA0003",58031,"7",50,397813,6421704,"WAA054188","WAA054187","WAA054189","Among Pteridium sp. Under Eucalyptus rudis","AUG011414"
"4010","NSTSYB0007-58496","NSTSYB0007",58496,"4",56,233777,6308548,"NST004172","NST004171","not collected","bare ground","AUG007299"
"4011","NSTSYB0007-58496","NSTSYB0007",58496,"5",56,233786,6308559,"NST004174","NST004173","not collected","near burnt out Eucalypt","AUG007300"
"4012","NSTSYB0007-58496","NSTSYB0007",58496,"6",56,233769,6308638,"NST004176","NST004175","NST004177","near dead log","AUG007301"
"4013","NSTSYB0007-58496","NSTSYB0007",58496,"7",56,233848,6308633,"NST004179","NST004178","NST004180","base of Stringybark","AUG007302"
"4014","NSTSYB0007-58496","NSTSYB0007",58496,"8",56,233852,6308558,"NST004182","NST004181","NST004183","bare ground","AUG007303"
"4015","NSTSYB0007-58496","NSTSYB0007",58496,"9",56,233813,6308597,"NST004185","NST004184","NST004186","near dead log","AUG007304"
"4016","WAASWA0003-58031","WAASWA0003",58031,"8",50,397829,6421748,"WAA054191","WAA054190","WAA054192","Among Pteridium sp. Under Eucalyptus rudis","AUG011415"
"4017","NSABHC0024-57100","NSABHC0024",57100,"1",54,609259,6531399,"NSA051265","NSA051264","NSA051266","Shrubs","NSA053028"
"4018","NSABHC0024-57100","NSABHC0024",57100,"2",54,609259,6531412,"NSA051268","NSA051267","NSA051269","Bare","NSA053029"
"4019","NSABHC0024-57100","NSABHC0024",57100,"3",54,609272,6531416,"NSA051271","NSA051270","NSA051272","Perennial grass","NSA053030"
"4020","NSABHC0024-57100","NSABHC0024",57100,"4",54,609285,6531412,"NSA051274","NSA051273","NSA051275","Shrub","NSA053031"
"4021","NSABHC0024-57100","NSABHC0024",57100,"5",54,609292,6531419,"NSA051277","NSA051276","NSA051278","Cryptogam","NSA053032"
"4022","NSABHC0024-57100","NSABHC0024",57100,"6",54,609299,6531437,"NSA051280","NSA051279","NSA051281","Perennial grass","NSA053033"
"4023","NSABHC0024-57100","NSABHC0024",57100,"7",54,609316,6531450,"NSA051283","NSA051282","NSA051284","Bare","NSA053034"
"4024","NSABHC0024-57100","NSABHC0024",57100,"8",54,609337,6531443,"NSA051286","NSA051285","NSA051287","Shrub","NSA053035"
"4025","NSABHC0024-57100","NSABHC0024",57100,"9",54,609323,6531483,"NSA051289","NSA051288","NSA051290","Cryptogam","NSA053036"
"4026","WAAPIL0024-58040","WAAPIL0024",58040,"1",50,714566,7513986,"WAA053742","WAA053741","WAA053743","Cryptogam","AUG011048"
"4027","WAAPIL0024-58040","WAAPIL0024",58040,"2",50,714572,7513987,"WAA053745","WAA053744","WAA053746","Among grasses","AUG011049"
"4028","WAAPIL0024-58040","WAAPIL0024",58040,"3",50,714577,7513985,"WAA053748","WAA053747","WAA053749","Among grasses","AUG011050"
"4029","WAAPIL0024-58040","WAAPIL0024",58040,"4",50,714577,7513992,"WAA053751","WAA053750","WAA053752","Under Acacia aneura","AUG011051"
"4030","WAAPIL0024-58040","WAAPIL0024",58040,"5",50,714579,7514000,"WAA053754","WAA053753","WAA053755","Cryptogam","AUG011052"
"4031","WAAPIL0024-58040","WAAPIL0024",58040,"6",50,714611,7514018,"WAA053757","WAA053756","WAA053758","Under Acacia pruinocarpa","AUG011053"
"4032","WAAPIL0024-58040","WAAPIL0024",58040,"7",50,714585,7514061,"WAA053760","WAA053759","WAA053761","Bare ground","AUG011054"
"4033","WAAPIL0024-58040","WAAPIL0024",58040,"8",50,714651,7514062,"WAA053763","WAA053762","WAA053764","Under shrubs","AUG011055"
"4034","WAAPIL0024-58040","WAAPIL0024",58040,"9",50,714659,7514006,"WAA053766","WAA053765","WAA053767","Under litter","AUG011056"
"4035","NSTSYB0007-58496","NSTSYB0007",58496,"1",56,233765,6308547,"NST004163","NST004162","NST004164","base of Stringybark","AUG007296"
"4036","NSTSYB0007-58496","NSTSYB0007",58496,"2",56,233761,6308561,"NST004166","NST004165","NST004167","bare ground","AUG007297"
"4037","NSTSYB0007-58496","NSTSYB0007",58496,"3",56,233776,6308552,"NST004169","NST004168","NST004170","base of log","AUG007298"
"4038","WAASWA0003-58031","WAASWA0003",58031,"9",50,397773,6421746,"WAA054194","WAA054193","WAA054195","Grassy under Eucalyptus rudis.","AUG011416"
"4039","QDAGUP0001-53526","QDAGUP0001",53526,"1",54,784874,7774152,"QDA   051742","QDA   051741","QDA   051743","under litter","QDA 053199"
"4040","NTASSD0009-53696","NTASSD0009",53696,"8",53,602174,7259005,"NTA050985","NTA050984","NTA050986","under Atalaya hemiglauca","NTA053458"
"4041","NSABHC0026-57102","NSABHC0026",57102,"1",54,620072,6483469,"NSA051347","NSA051346","NSA051348","shrub","AUG007010"
"4042","NSABHC0026-57102","NSABHC0026",57102,"2",54,620079,6483476,"NSA051350","NSA051349","NSA051351","annuals","AUG007011"
"4043","NSABHC0026-57102","NSABHC0026",57102,"3",54,620084,6483469,"NSA051353","NSA051352","NSA051354","perennials","AUG007012"
"4044","NSABHC0026-57102","NSABHC0026",57102,"4",54,620105,6483474,"NSA051356","NSA051355","NSA051357","bare","AUG007013"
"4045","NSABHC0026-57102","NSABHC0026",57102,"5",54,620098,6483483,"NSA051359","NSA051358","NSA051360","shrub","AUG007014"
"4046","NSABHC0026-57102","NSABHC0026",57102,"6",54,620120,6483502,"NSA051362","NSA051361","NSA051363","bare","AUG007015"
"4047","NSABHC0026-57102","NSABHC0026",57102,"7",54,620144,6483501,"NSA051365","NSA051364","NSA051366","annuals","AUG007016"
"4048","NSABHC0026-57102","NSABHC0026",57102,"8",54,620121,6483523,"NSA051368","NSA051367","NSA051369","perennials","AUG007017"
"4049","NSABHC0026-57102","NSABHC0026",57102,"9",54,620109,6483545,"NSA051371","NSA051370","NSA051372","shrub","AUG007018"
"4050","SAAEYB0033-58859","SAAEYB0033",58859,"3",53,NA,6322305,"SAA052578","SAA052577","SAA052579","clearing no cover","AUG014881"
"4051","SASMDD0011-57068","SASMDD0011",57068,"5",54,473191,6235747,"SAS050375","SAS050374","SAS050376","Dead tree","SAS050612"
"4052","SASMDD0011-57068","SASMDD0011",57068,"1",54,473188,6235717,"SAS050363","SAS050362","SAS050364","cryptogam","SAS050608"
"4053","SASMDD0011-57068","SASMDD0011",57068,"2",54,473206,6235715,"SAS050366","SAS050365","SAS050367","between grasses","SAS050609"
"4054","SASMDD0011-57068","SASMDD0011",57068,"3",54,473198,6235733,"SAS050369","SAS050368","SAS050370","open ground","SAS050610"
"4055","SASMDD0011-57068","SASMDD0011",57068,"4",54,473187,6235731,"SAS050372","SAS050371","SAS050373","Mound","SAS050611"
"4056","SASMDD0011-57068","SASMDD0011",57068,"6",54,473189,6235801,"SAS050378","SAS050377","SAS050379","Between grasses","SAS050613"
"4057","SASMDD0011-57068","SASMDD0011",57068,"7",54,473254,6235779,"SAS050381","SAS050380","SAS050382","Cryptogam","SAS050614"
"4058","SASMDD0011-57068","SASMDD0011",57068,"8",54,473241,6235767,"SAS050384","SAS050383","SAS050385","Between grasses","SAS050615"
"4059","SASMDD0011-57068","SASMDD0011",57068,"9",54,473268,6235728,"SAS050387","SAS050386","SAS050388","Cryptogam","SAS050616"
"4060","SASMDD0018-57010","SASMDD0018",57010,"2",54,460861,6237430,"SAS 000129","SAS 000128","SAS 000130","Bare Cryptogam","AUG007083"
"4061","SASMDD0018-57010","SASMDD0018",57010,"9",54,460949,6237428,"SAS 000150","SAS 000149","SAS 000151","Bare under Codonocarpus cotinifolius","AUG007090"
"4062","SASMDD0018-57010","SASMDD0018",57010,"1",54,460860,6237425,"SAS 000126","SAS 000125","SAS 000127","Bare Cryptogam","AUG007082"
"4063","SASMDD0018-57010","SASMDD0018",57010,"3",54,460866,6237436,"SAS 000132","SAS 000131","SAS 000133","Bare Cryptogam","AUG007084"
"4064","SASMDD0018-57010","SASMDD0018",57010,"4",54,460872,6237432,"SAS 000135","SAS 000134","SAS 000136","Ash adjacent to Eucalyptus socialis","AUG007085"
"4065","SASMDD0018-57010","SASMDD0018",57010,"5",54,460879,6237431,"SAS 000138","SAS 000137","SAS 000139","Bare ground","AUG007086"
"4066","SASMDD0018-57010","SASMDD0018",57010,"6",54,460860,6237514,"SAS 000141","SAS 000140","SAS 000142","Leaf litter","AUG007087"
"4067","SASMDD0018-57010","SASMDD0018",57010,"7",54,460944,6237514,"SAS 000144","SAS 000143","SAS 000145","Middle of Triodia scariosa","AUG007088"
"4068","WAAPIL0019-57614","WAAPIL0019",57614,"1",50,707368,7532355,"WAA053324","WAA053323","not collected","under Acacia sp.","AUG007234"
"4069","WAAPIL0019-57614","WAAPIL0019",57614,"2",50,707370,7532352,"WAA053326","WAA053325","WAA053327","bare ground","AUG007235"
"4070","WAAPIL0019-57614","WAAPIL0019",57614,"3",50,707378,7532353,"WAA053329","WAA053328","not collected","under Senna sp.","AUG007236"
"4071","WAAPIL0019-57614","WAAPIL0019",57614,"4",50,707378,7532334,"WAA053331","WAA053330","WAA053332","in Rill","AUG007237"
"4072","SASMDD0010-57064","SASMDD0010",57064,"3",54,460756,6237322,"SAS050338","SAS050337","SAS050339",NA,NA
"4073","SASMDD0010-57064","SASMDD0010",57064,"5",54,460756,6237322,"SAS050344","SAS050343","SAS050345",NA,NA
"4074","SASMDD0010-57064","SASMDD0010",57064,"2",54,460756,6237322,"SAS050335","SAS050334","SAS050336",NA,NA
"4075","SASMDD0010-57064","SASMDD0010",57064,"4",54,460756,6237322,"SAS050341","SAS050340","SAS050342",NA,NA
"4076","SASMDD0010-57064","SASMDD0010",57064,"6",54,460756,6237322,"SAS050347","SAS050346","SAS050348",NA,NA
"4077","SASMDD0010-57064","SASMDD0010",57064,"8",54,460756,6237322,"SAS050353","SAS050352","SAS050354",NA,NA
"4078","SASMDD0010-57064","SASMDD0010",57064,"7",54,460756,6237322,"SAS050350","SAS050349","SAS050351",NA,NA
"4079","SASMDD0010-57064","SASMDD0010",57064,"9",54,460756,6237322,"SAS050356","SAS050355","SAS050357",NA,NA
"4080","WAAPIL0019-57614","WAAPIL0019",57614,"5",50,707371,7532345,"WAA053334","WAA053333","not collected","under Acacia sp.","AUG007238"
"4081","WAAPIL0019-57614","WAAPIL0019",57614,"6",50,707373,7532264,"not collected","WAA053335","not collected","gravelly area","AUG007239"
"4082","WAAPIL0019-57614","WAAPIL0019",57614,"8",50,707456,7532268,"not collected","WAA053339","not collected","under Acacia sp.","AUG007241"
"4083","WAAPIL0025-58043","WAAPIL0025",58043,"3",50,778265,7486329,"WAA053777","WAA053776","WAA053778","Litter","AUG011059"
"4084","SASMDD0018-57010","SASMDD0018",57010,"8",54,460912,6237494,"SAS 000147","SAS 000146","SAS 000148","Cryptogam under Myoporum","AUG007089"
"4085","SATKAN0001-53688","SATKAN0001",53688,"5",54,251919,6056045,"Not collected","SAT 005191","Not collected","Under Eucalypt","SAT005035"
"4086","NSABHC0028-58027","NSABHC0028",58027,"3",54,568454,6562887,"AUG011435","AUG011434","AUG011436","Open area on north east facing slope","AUG011356"
"4087","NSABHC0028-58027","NSABHC0028",58027,"6",54,568525,6562896,"AUG011444","AUG011443","AUG011445","In litter beneath trees","AUG011359"
"4088","NSABHC0028-58027","NSABHC0028",58027,"7",54,568527,6562957,"AUG011447","AUG011446","AUG011448","Open flat area on top of hill","AUG011360"
"4089","NSABHC0028-58027","NSABHC0028",58027,"8",54,568449,6562954,"AUG011450","AUG011449","AUG011451","in slate bottomed intermittent stream","AUG011361"
"4090","WAAPIL0019-57614","WAAPIL0019",57614,"7",50,707424,7532299,"WAA053337","WAA053336","WAA053338","in Melonhole gilgai","AUG007240"
"4091","WAAPIL0019-57614","WAAPIL0019",57614,"9",50,707448,7532325,"WAA053341","WAA053340","WAA053342","under Acacia sp.","AUG007242"
"4092","WAAPIL0001-57619","WAAPIL0001",57619,"3",50,631738,7500113,"WAA053061","WAA053060","WAA053062","Bare ground","AUG007030"
"4093","WAAPIL0001-57619","WAAPIL0001",57619,"4",50,631728,7500114,"WAA053064","WAA053063","WAA053065","Under burnt log","AUG007031"
"4094","WAAPIL0001-57619","WAAPIL0001",57619,"5",50,631725,7500120,"WAA053067","WAA053066","WAA053068","Under grass","AUG007032"
"4095","WAAPIL0001-57619","WAAPIL0001",57619,"6",50,631779,7500135,"WAA053070","WAA053069","not collected","Bare ground","AUG007033"
"4096","WAAPIL0001-57619","WAAPIL0001",57619,"7",50,631800,7500110,"WAA053072","WAA053071","not collected","Base of ant mound","AUG007034"
"4097","WAAPIL0001-57619","WAAPIL0001",57619,"8",50,631813,7500182,"WAA053074","WAA053073","WAA053075","Near Acacia aneura","AUG007035"
"4098","WAAPIL0001-57619","WAAPIL0001",57619,"9",50,631748,7500192,"WAA053077","WAA053076","WAA053078","Under Triodia sp.","AUG007036"
"4099","WAAPIL0002-57620","WAAPIL0002",57620,"1",50,506874,7612422,"not collected","not collected","not collected","Under dead shrub","AUG007037"
"4100","WAAPIL0002-57620","WAAPIL0002",57620,"2",50,506872,7612432,"not collected","not collected","not collected","Under Acacia sp.","AUG007038"
"4101","WAAPIL0002-57620","WAAPIL0002",57620,"3",50,506877,7612435,"not collected","not collected","not collected","under Corymbia sp.","AUG007039"
"4102","WAAPIL0002-57620","WAAPIL0002",57620,"8",50,506922,7612516,"not collected","not collected","not collected","On kangaroo run","AUG007044"
"4103","WAAPIL0002-57620","WAAPIL0002",57620,"4",50,506881,7612435,"not collected","not collected","not collected","Cryptogam","AUG007040"
