"","soil.bulk.site_unique","soil.bulk.site_location_name","soil.bulk.site_location_visit_id","soil.bulk.sample_id","soil.bulk.paper_bag_weight","soil.bulk.oven_dried_weight_in_bag","soil.bulk.ring_weight","soil.bulk.gravel_weight","soil.bulk.ring_volume","soil.bulk.gravel_volume","soil.bulk.fine_earth_weight_in_bag","soil.bulk.fine_earth_weight","soil.bulk.fine_earth_volume","soil.bulk.fine_earth_bulk_density","soil.bulk.gravel_bulk_density"
"1","NTTMGD0001-53521","NTTMGD0001",53521,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NTTMGD0001-53521","NTTMGD0001",53521,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NTTMGD0001-53521","NTTMGD0001",53521,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","QDACHC0003-53467","QDACHC0003",53467,"0",NA,NA,154.26,NA,209.35,NA,NA,393.05,209.35,1.877477908,NA
"5","QDACHC0003-53467","QDACHC0003",53467,"1",NA,NA,152.27,NA,209.35,NA,NA,386.61,209.35,1.846716026,NA
"6","QDACHC0003-53467","QDACHC0003",53467,"2",NA,NA,152.36,NA,209.35,NA,NA,376.92,209.35,1.800429902,NA
"7","QDACHC0004-53468","QDACHC0004",53468,"0",NA,NA,154.53,NA,209.35,NA,NA,318.57,209.35,1.52,NA
"8","QDACHC0004-53468","QDACHC0004",53468,"1",NA,NA,162.15,NA,209.35,NA,NA,352.28,209.35,1.68,NA
"9","QDACHC0005-53522","QDACHC0005",53522,"0",NA,NA,151.8,NA,209.35,NA,NA,345.5,209.35,1.65,NA
"10","QDACHC0005-53522","QDACHC0005",53522,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","QDACHC0005-53522","QDACHC0005",53522,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","QDACHC0006-53469","QDACHC0006",53469,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","QDACHC0006-53469","QDACHC0006",53469,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","QDACHC0006-53469","QDACHC0006",53469,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","QDAEIU0001-53470","QDAEIU0001",53470,"0",NA,NA,153.7,NA,209.35,NA,NA,279.92,209.35,1.34,NA
"16","QDAEIU0001-53470","QDAEIU0001",53470,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","QDAEIU0001-53470","QDAEIU0001",53470,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","QDAEIU0002-53523","QDAEIU0002",53523,"0",NA,NA,162.97,NA,209.35,NA,NA,233.01,209.35,1.11,NA
"19","QDAEIU0002-53523","QDAEIU0002",53523,"1",NA,NA,151.76,NA,209.35,NA,NA,287.35,209.35,1.37,NA
"20","QDAEIU0002-53523","QDAEIU0002",53523,"2",NA,NA,163.01,NA,209.35,NA,NA,273.88,209.35,1.31,NA
"21","QDAEIU0003-53471","QDAEIU0003",53471,"0",NA,NA,154.06,NA,209.35,NA,NA,332.85,209.35,1.59,NA
"22","QDAEIU0003-53471","QDAEIU0003",53471,"1",NA,NA,162.42,NA,209.35,NA,NA,348.43,209.35,1.66,NA
"23","QDAEIU0003-53471","QDAEIU0003",53471,"2",NA,NA,154.02,NA,209.35,NA,NA,348.42,209.35,1.66,NA
"24","QDAEIU0004-53524","QDAEIU0004",53524,"0",NA,NA,155.34,NA,209.35,NA,NA,362.36,209.35,1.73,NA
"25","QDAEIU0004-53524","QDAEIU0004",53524,"1",NA,NA,155.02,NA,209.35,NA,NA,349.25,209.35,1.67,NA
"26","QDAEIU0004-53524","QDAEIU0004",53524,"2",NA,NA,151.52,NA,209.35,NA,NA,354.72,209.35,1.69,NA
"27","QDAEIU0005-53472","QDAEIU0005",53472,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","QDAEIU0005-53472","QDAEIU0005",53472,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","QDAEIU0005-53472","QDAEIU0005",53472,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","QDAEIU0006-53473","QDAEIU0006",53473,"0",NA,NA,154.44,NA,209.35,NA,NA,300.29,209.35,1.43,NA
"31","QDAEIU0006-53473","QDAEIU0006",53473,"1",NA,NA,155.09,NA,209.35,NA,NA,285.23,209.35,1.36,NA
"32","QDAEIU0006-53473","QDAEIU0006",53473,"2",NA,NA,151.71,NA,209.35,NA,NA,297.34,209.35,1.42,NA
"33","QDAEIU0007-53474","QDAEIU0007",53474,"0",NA,NA,155.59,NA,209.35,NA,NA,340.78,209.35,1.63,NA
"34","QDAEIU0007-53474","QDAEIU0007",53474,"1",NA,NA,152.21,NA,209.35,NA,NA,330.67,209.35,1.58,NA
"35","QDAEIU0007-53474","QDAEIU0007",53474,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","QDAGUP0001-53526","QDAGUP0001",53526,"0",NA,NA,NA,NA,NA,NA,NA,387.57,209.35,1.85,NA
"37","QDAGUP0001-53526","QDAGUP0001",53526,"1",NA,NA,NA,NA,NA,NA,NA,355.11,209.35,1.7,NA
"38","QDAGUP0001-53526","QDAGUP0001",53526,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","QDAGUP0002-53475","QDAGUP0002",53475,"0",NA,NA,NA,NA,NA,NA,NA,383.37,209.35,1.83,NA
"40","QDAGUP0002-53475","QDAGUP0002",53475,"1",NA,NA,NA,NA,NA,NA,NA,342.37,209.35,1.64,NA
