"","soil.bulk.site_unique","soil.bulk.site_location_name","soil.bulk.site_location_visit_id","soil.bulk.sample_id","soil.bulk.paper_bag_weight","soil.bulk.oven_dried_weight_in_bag","soil.bulk.ring_weight","soil.bulk.gravel_weight","soil.bulk.ring_volume","soil.bulk.gravel_volume","soil.bulk.fine_earth_weight_in_bag","soil.bulk.fine_earth_weight","soil.bulk.fine_earth_volume","soil.bulk.fine_earth_bulk_density","soil.bulk.gravel_bulk_density"
"41","QDAGUP0002-53475","QDAGUP0002",53475,"2",NA,NA,NA,NA,NA,NA,NA,371.36,209.35,1.77,NA
"42","QDAGUP0003-53527","QDAGUP0003",53527,"0",NA,NA,NA,NA,NA,NA,NA,390.95,209.35,1.87,NA
"43","QDAGUP0003-53527","QDAGUP0003",53527,"1",NA,NA,NA,NA,NA,NA,NA,382.38,209.35,1.83,NA
"44","QDAGUP0003-53527","QDAGUP0003",53527,"2",NA,NA,NA,NA,NA,NA,NA,372.73,209.35,1.78,NA
"45","QDAGUP0004-53476","QDAGUP0004",53476,"0",NA,NA,NA,NA,NA,NA,NA,382.65,209.35,1.83,NA
"46","QDAGUP0004-53476","QDAGUP0004",53476,"1",NA,NA,NA,NA,NA,NA,NA,368.97,209.35,1.76,NA
"47","QDAGUP0004-53476","QDAGUP0004",53476,"2",NA,NA,NA,NA,NA,NA,NA,360.34,209.35,1.72,NA
"48","QDAGUP0005-53528","QDAGUP0005",53528,"0",NA,NA,NA,NA,NA,NA,NA,401.21,209.35,1.92,NA
"49","QDAGUP0005-53528","QDAGUP0005",53528,"1",NA,NA,NA,NA,NA,NA,NA,370.76,209.35,1.77,NA
"50","QDAGUP0005-53528","QDAGUP0005",53528,"2",NA,NA,NA,NA,NA,NA,NA,347.32,209.35,1.66,NA
"51","QDAGUP0006-53477","QDAGUP0006",53477,"0",NA,NA,NA,NA,NA,NA,NA,367.95,209.35,1.76,NA
"52","QDAGUP0006-53477","QDAGUP0006",53477,"1",NA,NA,NA,NA,NA,NA,NA,361.91,209.35,1.73,NA
"53","QDAGUP0006-53477","QDAGUP0006",53477,"2",NA,NA,NA,NA,NA,NA,NA,357.26,209.35,1.71,NA
"54","QDAGUP0007-53478","QDAGUP0007",53478,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","QDAGUP0007-53478","QDAGUP0007",53478,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","QDAGUP0007-53478","QDAGUP0007",53478,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","QDAGUP0008-53529","QDAGUP0008",53529,"0",NA,NA,NA,NA,NA,NA,NA,392.88,209.35,1.88,NA
"58","QDAGUP0008-53529","QDAGUP0008",53529,"1",NA,NA,NA,NA,NA,NA,NA,372.22,209.35,1.78,NA
"59","QDAGUP0008-53529","QDAGUP0008",53529,"2",NA,NA,NA,NA,NA,NA,NA,369.42,209.35,1.76,NA
"60","QDAGUP0009-53530","QDAGUP0009",53530,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","QDAGUP0009-53530","QDAGUP0009",53530,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","QDAGUP0009-53530","QDAGUP0009",53530,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","QDAGUP0010-53479","QDAGUP0010",53479,"0",NA,NA,NA,NA,NA,NA,NA,413.8,209.35,1.98,NA
"64","QDAGUP0010-53479","QDAGUP0010",53479,"1",NA,NA,NA,NA,NA,NA,NA,358.54,209.35,1.71,NA
"65","QDAGUP0010-53479","QDAGUP0010",53479,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","QDAGUP0011-53531","QDAGUP0011",53531,"0",NA,NA,NA,NA,NA,NA,NA,381.98,209.35,1.82,NA
"67","QDAGUP0011-53531","QDAGUP0011",53531,"1",NA,NA,NA,NA,NA,NA,NA,385.58,209.35,1.84,NA
"68","QDAGUP0011-53531","QDAGUP0011",53531,"2",NA,NA,NA,NA,NA,NA,NA,368.95,209.35,1.76,NA
"69","QDAGUP0013-53532","QDAGUP0013",53532,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","QDAGUP0013-53532","QDAGUP0013",53532,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","QDAGUP0013-53532","QDAGUP0013",53532,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","QDAGUP0014-53480","QDAGUP0014",53480,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","QDAGUP0014-53480","QDAGUP0014",53480,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","QDAGUP0014-53480","QDAGUP0014",53480,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","QDAGUP0015-53533","QDAGUP0015",53533,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","QDAGUP0015-53533","QDAGUP0015",53533,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","QDAGUP0015-53533","QDAGUP0015",53533,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","QDAGUP0016-53481","QDAGUP0016",53481,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","QDAGUP0016-53481","QDAGUP0016",53481,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","QDAGUP0016-53481","QDAGUP0016",53481,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","QDAGUP0018-53482","QDAGUP0018",53482,"0",NA,NA,NA,NA,NA,NA,NA,329.9,209.35,1.58,NA
"82","QDAGUP0018-53482","QDAGUP0018",53482,"1",NA,NA,NA,NA,NA,NA,NA,358.72,209.35,1.71,NA
"83","QDAGUP0018-53482","QDAGUP0018",53482,"2",NA,NA,NA,NA,NA,NA,NA,342.05,209.35,1.63,NA
"84","QDAGUP0019-53534","QDAGUP0019",53534,"0",NA,NA,NA,NA,NA,NA,NA,346.17,209.35,1.65,NA
"85","QDAGUP0019-53534","QDAGUP0019",53534,"1",NA,NA,NA,NA,NA,NA,NA,345.26,209.35,1.65,NA
"86","QDAGUP0019-53534","QDAGUP0019",53534,"2",NA,NA,NA,NA,NA,NA,NA,331.27,209.35,1.58,NA
"87","QDAGUP0020-53483","QDAGUP0020",53483,"0",NA,NA,NA,NA,NA,NA,NA,345.84,209.35,1.65,NA
"88","QDAGUP0020-53483","QDAGUP0020",53483,"1",NA,NA,NA,NA,NA,NA,NA,363.99,209.35,1.74,NA
"89","QDAGUP0020-53483","QDAGUP0020",53483,"2",NA,NA,NA,NA,NA,NA,NA,385.7,209.35,1.84,NA
"90","QDAGUP0021-53535","QDAGUP0021",53535,"0",NA,NA,NA,NA,NA,NA,NA,337.62,209.35,1.61,NA
"91","QDAGUP0021-53535","QDAGUP0021",53535,"1",NA,NA,NA,NA,NA,NA,NA,349.81,209.35,1.67,NA
"92","QDAGUP0021-53535","QDAGUP0021",53535,"2",NA,NA,NA,NA,NA,NA,NA,344.3,209.35,1.64,NA
"93","QDAGUP0022-53484","QDAGUP0022",53484,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","QDAGUP0022-53484","QDAGUP0022",53484,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","QDAGUP0022-53484","QDAGUP0022",53484,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","QDAGUP0023-53536","QDAGUP0023",53536,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","QDAGUP0023-53536","QDAGUP0023",53536,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","QDAGUP0023-53536","QDAGUP0023",53536,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","QDAGUP0024-53485","QDAGUP0024",53485,"0",NA,NA,NA,NA,NA,NA,NA,315.36,209.35,1.51,NA
"100","QDAGUP0024-53485","QDAGUP0024",53485,"1",NA,NA,NA,NA,NA,NA,NA,305.78,209.35,1.46,NA
"101","QDAGUP0024-53485","QDAGUP0024",53485,"2",NA,NA,NA,NA,NA,NA,NA,302.76,209.35,1.45,NA
"102","QDAGUP0025-53537","QDAGUP0025",53537,"0",NA,NA,NA,NA,NA,NA,NA,322.13,209.35,1.54,NA
"103","QDAGUP0025-53537","QDAGUP0025",53537,"1",NA,NA,NA,NA,NA,NA,NA,372.82,209.35,1.78,NA
"104","QDAGUP0025-53537","QDAGUP0025",53537,"2",NA,NA,NA,NA,NA,NA,NA,305.63,209.35,1.46,NA
"105","QDAGUP0026-53486","QDAGUP0026",53486,"0",NA,NA,NA,NA,NA,NA,NA,336.28,209.35,1.61,NA
"106","QDAGUP0026-53486","QDAGUP0026",53486,"1",NA,NA,NA,NA,NA,NA,NA,348.35,209.35,1.66,NA
"107","QDAGUP0026-53486","QDAGUP0026",53486,"2",NA,NA,NA,NA,NA,NA,NA,376.21,209.35,1.8,NA
"108","QDAGUP0027-53538","QDAGUP0027",53538,"0",NA,NA,NA,NA,NA,NA,NA,375.93,209.35,1.8,NA
"109","QDAGUP0027-53538","QDAGUP0027",53538,"1",NA,NA,NA,NA,NA,NA,NA,369.77,209.35,1.77,NA
"110","QDAGUP0027-53538","QDAGUP0027",53538,"2",NA,NA,NA,NA,NA,NA,NA,378.83,209.35,1.81,NA
"111","QDAGUP0028-53487","QDAGUP0028",53487,"0",NA,NA,NA,NA,NA,NA,NA,376.62,209.35,1.8,NA
"112","QDAGUP0028-53487","QDAGUP0028",53487,"1",NA,NA,NA,NA,NA,NA,NA,386.68,209.35,1.85,NA
"113","QDAGUP0028-53487","QDAGUP0028",53487,"2",NA,NA,NA,NA,NA,NA,NA,379.9,209.35,1.81,NA
"114","QDAGUP0029-53488","QDAGUP0029",53488,"0",NA,NA,NA,NA,NA,NA,NA,389.3,209.35,1.86,NA
"115","QDAGUP0029-53488","QDAGUP0029",53488,"1",NA,NA,NA,NA,NA,NA,NA,415.55,209.35,1.98,NA
"116","QDAGUP0029-53488","QDAGUP0029",53488,"2",NA,NA,NA,NA,NA,NA,NA,425.91,209.35,2.03,NA
"117","QDAGUP0030-53489","QDAGUP0030",53489,"0",NA,NA,NA,NA,NA,NA,NA,358.7,209.35,1.71,NA
"118","QDAGUP0030-53489","QDAGUP0030",53489,"1",NA,NA,NA,NA,NA,NA,NA,354.93,209.35,1.7,NA
"119","QDAGUP0030-53489","QDAGUP0030",53489,"2",NA,NA,NA,NA,NA,NA,NA,336.61,209.35,1.61,NA
"120","QDAGUP0031-53490","QDAGUP0031",53490,"0",NA,NA,NA,NA,NA,NA,NA,405.19,209.35,1.94,NA
"121","QDAGUP0031-53490","QDAGUP0031",53490,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","QDAGUP0031-53490","QDAGUP0031",53490,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","QDAMGD0003-53491","QDAMGD0003",53491,"0",NA,NA,NA,NA,NA,NA,NA,331.83,209.35,1.59,NA
"124","QDAMGD0003-53491","QDAMGD0003",53491,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","QDAMGD0003-53491","QDAMGD0003",53491,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","QDAMGD0006-53492","QDAMGD0006",53492,"0",NA,NA,NA,NA,NA,NA,NA,316.21,209.35,1.51,NA
"127","QDAMGD0006-53492","QDAMGD0006",53492,"1",NA,NA,NA,NA,NA,NA,NA,356.15,209.35,1.7,NA
"128","QDAMGD0006-53492","QDAMGD0006",53492,"2",NA,NA,NA,NA,NA,NA,NA,382.39,209.35,1.83,NA
"129","QDAMGD0008-53493","QDAMGD0008",53493,"0",NA,NA,NA,NA,NA,NA,NA,326.01,209.35,1.56,NA
"130","QDAMGD0008-53493","QDAMGD0008",53493,"1",NA,NA,NA,NA,NA,NA,NA,346.48,209.35,1.66,NA
"131","QDAMGD0008-53493","QDAMGD0008",53493,"2",NA,NA,NA,NA,NA,NA,NA,366.06,209.35,1.75,NA
"132","QDAMGD0009-53494","QDAMGD0009",53494,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","QDAMGD0009-53494","QDAMGD0009",53494,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","QDAMGD0009-53494","QDAMGD0009",53494,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","QDAMGD0011-53495","QDAMGD0011",53495,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","QDAMGD0011-53495","QDAMGD0011",53495,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","QDAMGD0011-53495","QDAMGD0011",53495,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","QDAMGD0012-53496","QDAMGD0012",53496,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","QDAMGD0012-53496","QDAMGD0012",53496,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","QDAMGD0012-53496","QDAMGD0012",53496,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","QDAMGD0013-53539","QDAMGD0013",53539,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","QDAMGD0013-53539","QDAMGD0013",53539,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","QDAMGD0013-53539","QDAMGD0013",53539,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","QDAMGD0014-53497","QDAMGD0014",53497,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","QDAMGD0014-53497","QDAMGD0014",53497,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","QDAMGD0014-53497","QDAMGD0014",53497,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","QDAMGD0015-53540","QDAMGD0015",53540,"0",NA,NA,NA,NA,NA,NA,NA,364.21,209.35,1.74,NA
"148","QDAMGD0015-53540","QDAMGD0015",53540,"1",NA,NA,NA,NA,NA,NA,NA,384.21,209.35,1.84,NA
"149","QDAMGD0015-53540","QDAMGD0015",53540,"2",NA,NA,NA,NA,NA,NA,NA,322.98,209.35,1.54,NA
"150","QDAMGD0016-53498","QDAMGD0016",53498,"0",NA,NA,NA,NA,NA,NA,NA,340.04,209.35,1.62,NA
"151","QDAMGD0016-53498","QDAMGD0016",53498,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","QDAMGD0016-53498","QDAMGD0016",53498,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","QDAMGD0017-53499","QDAMGD0017",53499,"0",NA,NA,NA,NA,NA,NA,NA,312.58,209.35,1.49,NA
"154","QDAMGD0017-53499","QDAMGD0017",53499,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","QDAMGD0017-53499","QDAMGD0017",53499,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","QDAMGD0018-53541","QDAMGD0018",53541,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","QDAMGD0018-53541","QDAMGD0018",53541,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","QDAMGD0018-53541","QDAMGD0018",53541,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","QDAMGD0019-53542","QDAMGD0019",53542,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","QDAMGD0019-53542","QDAMGD0019",53542,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","QDAMGD0019-53542","QDAMGD0019",53542,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","QDAMGD0020-53500","QDAMGD0020",53500,"0",NA,NA,NA,NA,NA,NA,NA,365.52,209.35,1.75,NA
"163","QDAMGD0020-53500","QDAMGD0020",53500,"1",NA,NA,NA,NA,NA,NA,NA,348.55,209.35,1.66,NA
"164","QDAMGD0020-53500","QDAMGD0020",53500,"2",NA,NA,NA,NA,NA,NA,NA,310.19,209.35,1.48,NA
"165","QDAMGD0021-53543","QDAMGD0021",53543,"0",NA,NA,NA,NA,NA,NA,NA,334.67,209.35,1.6,NA
"166","QDAMGD0021-53543","QDAMGD0021",53543,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","QDAMGD0021-53543","QDAMGD0021",53543,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","QDAMGD0022-53501","QDAMGD0022",53501,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","QDAMGD0022-53501","QDAMGD0022",53501,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","QDAMGD0022-53501","QDAMGD0022",53501,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","QDAMGD0023-53544","QDAMGD0023",53544,"0",NA,NA,NA,NA,NA,NA,NA,268.41,209.35,1.28,NA
"172","QDAMGD0023-53544","QDAMGD0023",53544,"1",NA,NA,NA,NA,NA,NA,NA,335.29,209.35,1.6,NA
"173","QDAMGD0023-53544","QDAMGD0023",53544,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","QDAMGD0024-53502","QDAMGD0024",53502,"0",NA,NA,NA,NA,NA,NA,NA,310.85,209.35,1.48,NA
"175","QDAMGD0024-53502","QDAMGD0024",53502,"1",NA,NA,NA,NA,NA,NA,NA,316.67,209.35,1.51,NA
"176","QDAMGD0024-53502","QDAMGD0024",53502,"2",NA,NA,NA,NA,NA,NA,NA,322.78,209.35,1.54,NA
"177","QDAMGD0025-53545","QDAMGD0025",53545,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","QDAMGD0025-53545","QDAMGD0025",53545,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","QDAMGD0025-53545","QDAMGD0025",53545,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","QDAMGD0026-53503","QDAMGD0026",53503,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","QDAMGD0026-53503","QDAMGD0026",53503,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","QDAMGD0026-53503","QDAMGD0026",53503,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","QDAMUL0002-53505","QDAMUL0002",53505,"0",NA,NA,NA,NA,NA,NA,NA,325.94,209.35,1.56,NA
"184","QDAMUL0002-53505","QDAMUL0002",53505,"1",NA,NA,NA,NA,NA,NA,NA,316.57,209.35,1.51,NA
"185","QDAMUL0002-53505","QDAMUL0002",53505,"2",NA,NA,NA,NA,NA,NA,NA,329.49,209.35,1.57,NA
"186","SATFLB0017-53548","SATFLB0017",53548,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","SATFLB0017-53548","SATFLB0017",53548,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","SATFLB0017-53548","SATFLB0017",53548,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","SATFLB0018-53549","SATFLB0018",53549,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","SATFLB0018-53549","SATFLB0018",53549,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","SATFLB0018-53549","SATFLB0018",53549,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","SATFLB0019-53550","SATFLB0019",53550,"0",NA,NA,NA,NA,NA,NA,NA,264.24,209.35,1.262192501,NA
"193","SATFLB0019-53550","SATFLB0019",53550,"1",NA,NA,NA,NA,NA,NA,NA,222.49,209.35,1.062765703,NA
"194","SATFLB0019-53550","SATFLB0019",53550,"2",NA,NA,NA,NA,NA,NA,NA,285.55,209.35,1.363983759,NA
"195","SATFLB0020-53551","SATFLB0020",53551,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","SATFLB0020-53551","SATFLB0020",53551,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","SATFLB0020-53551","SATFLB0020",53551,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","SATFLB0021-53552","SATFLB0021",53552,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","SATFLB0021-53552","SATFLB0021",53552,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","SATFLB0021-53552","SATFLB0021",53552,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","SATFLB0022-53553","SATFLB0022",53553,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","SATFLB0022-53553","SATFLB0022",53553,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","SATFLB0022-53553","SATFLB0022",53553,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","SATFLB0023-53554","SATFLB0023",53554,"0",NA,NA,NA,NA,NA,NA,NA,303.37,209.35,1.449104371,NA
"205","SATFLB0023-53554","SATFLB0023",53554,"1",NA,NA,NA,NA,NA,NA,NA,283.52,209.35,1.354287079,NA
"206","SATFLB0023-53554","SATFLB0023",53554,"2",NA,NA,NA,NA,NA,NA,NA,319.27,209.35,1.525053738,NA
"207","SATFLB0024-53555","SATFLB0024",53555,"0",NA,NA,NA,NA,NA,NA,NA,367.32,209.35,1.75457368,NA
"208","SATFLB0024-53555","SATFLB0024",53555,"1",NA,NA,NA,NA,NA,NA,NA,319.56,209.35,1.526438978,NA
"209","SATFLB0024-53555","SATFLB0024",53555,"2",NA,NA,NA,NA,NA,NA,NA,317.96,209.35,1.518796274,NA
