Aquatic,NA
Bryophyte,NA
Chenopod,Shrub
Cycad,Shrub
Epiphyte,NA
Fern,NA
Forb,Grass
Fungus,NA
Grass.tree,Shrub
Heath.shrub,Shrub
Hummock.grass,Grass
Rush,Grass
Sedge,Grass
Shrub,Shrub
Shrub.Mallee,Shrub
Tree.fern,Shrub
Tree.Mallee,Tree
Tree.Palm,Tree
Tussock.grass,Grass
Vine,Shrub
