"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","vegetation_type","relative_dominance","scaled_dom"
"34","NSABHC0029",0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,2,0,0,0,68,1.2,0.1,"Tree.Palm",0.862944162436548,58.6802056
"35","NSACHC0001",0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0.3,5,0,0,0,0,0.3,0,"Shrub",0.78125,3.90625
"36","NSACHC0002",0,0,7.7,0,0,0,0.6,0,0,0,0,0,0,0.7,2.5,0,0,0,15,1,0,"Tree.Palm",0.545454545454545,8.1818175
"37","NSACHC0003",0,0,5.7,0,0,0,0.9,0,0,0,0,0,0,0,0.6,0,0,0,15.7,0.2,0,"Tree.Palm",0.67965367965368,10.67056309
"38","NSACHC0004",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,22.8,0,0,0,0.9,0.6,0,"Shrub",0.919354838709677,20.96128944
"39","NSACOP0001",0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,12.2,0.1,0,"Tree.Palm",0.91044776119403,11.10746316
"40","NSACOP0002",0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,30.1,0.2,0,"Tree.Palm",0.977272727272727,29.41590827
"41","NSAMDD0001",0,0,9.1,0,0,0,36.7,0.2,0,0,0,1.3,0,0,0,0,0,0,0,0.9,0,"Forb",0.761410788381743,27.94377636
"42","NSAMDD0002",0,0,1.7,0,0,0,0.1,0,0,0,17.3,0,0,0,0.9,0.3,0,42.7,0,0.2,0,"Tree.Mallee",0.675632911392405,28.84952483
"43","NSAMDD0003",0,0,13.4,0,0,0,5,0,0,0,0,0,0,0,44.2,0,0,0.2,0.6,0,0,"Shrub",0.697160883280757,30.81451178
"44","NSAMDD0004",0,0,17,0,0,0,12,0,0,0,0,0,0,0,1.8,0,0,0,10.6,0.4,0,"Chenopod",0.406698564593301,6.9138762
"45","NSAMDD0005",0,0,4.2,0,0,0,3.9,0,0,0,0,0.3,0,0,1.3,0,0,24.7,0,0.1,0,"Tree.Mallee",0.715942028985507,17.6837674
"46","NSAMDD0006",0,0,28.9,0,0.1,0,1.2,0,0,0,0,0,0,0,0.3,0,0,0,11.8,0.2,0,"Chenopod",0.68,19.652
"47","NSAMDD0007",0,0,0.9,0,0,0,0,0,0,0,8.8,0,0,0,18.1,3.5,0,12.5,1.4,0,0,"Shrub",0.400442477876106,7.24800925
"48","NSAMDD0008",0,0,5.6,0,0,0,0.4,0,0,0,0,0,0,0,24.9,0,0,0,2.9,0.4,0.1,"Shrub",0.725947521865889,18.07609275
"49","NSAMDD0009",0,0,1.8,0,0.7,0,0,0,0,0,0,0,0,0,1.9,0,0,0,29.9,0,0.1,"Tree.Palm",0.869186046511628,25.9886614
"50","NSAMDD0010",0,0,22.3,0,0,0,33.2,0,0,0,0,0,0,0,0.5,0,0,0.3,0,0.4,0,"Forb",0.585537918871252,19.43985828
"51","NSAMDD0011",0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,1.3,0.1,0,15,0,0,0,"Tree.Mallee",0.533807829181495,8.007117
"52","NSAMDD0012",0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chenopod",1,7.5
"53","NSAMDD0013",0,0,6.7,0,0,0,5.2,0,0,0,4.8,0,0,0,4.4,0.3,0,11.4,0.1,0,1.3,"Tree.Mallee",0.333333333333333,3.79999962
"54","NSAMDD0014",0,0,0.2,0,0,0,0,0,0,0,32.5,0,0,0,1.8,0.5,0,22.1,1.8,0,0,"Hummock.grass",0.551782682512733,17.93293775
"55","NSAMDD0015",0,0,1.3,0,0,0,0,0,0,0,0,0.1,0,0,5.7,0,0,0,24.7,0.1,0,"Tree.Palm",0.774294670846395,19.12507909
"56","NSAMDD0016",0,0,7.9,0,0,0,25.8,0,0,0,0,0,0,0,3.1,0,0,0,0,1.7,0,"Forb",0.67012987012987,17.28935142
"57","NSAMDD0017",0,0,1.5,0,0.1,0,2.9,0,0,0,0,0,0,0,6.9,0,0,0,22.7,0.1,0,"Tree.Palm",0.663742690058479,15.06695929
