"","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine"
"NSTSYB0006-58502",0,0,0,0,0,4.3,4.7,0,0,0,0,0,0,0,38.4,0,0,0,60.9,2.2,0
"NSTSYB0007-58496",0,0,0,0,0.3,0,3.8,0,0,0,0,0,0,1.3,22.3,0,0,0,64.1,41.3,0
"NSTSYB0008-58503",0,0,0,0,0,0,2.8,0,0,0,0,0,3.9,0,3,0,0,0,64.9,22.3,0
"NSTSYB0009-57649",0,0,0,0,0,0.4,19.7,0,0,0,0,0,0,25.7,58.8,0.7,0,0,27,0.4,0
"NTAARP0001-58422",0,0,0,0,0,0,4.9,0,0,0,8.5,0,0,0.4,7.3,0,0,0,52.3,23.8,0
"NTAARP0002-58423",0,0,0,0,0,0,4.7,0,0,0,4.3,0,0.5,3.6,6.4,0,0,0,24.2,20.5,0.2
"NTAARP0003-58424",0,0,0,0,0.1,0,0.6,0,0,0.1,0.9,0,0,0,3.7,0,0,0,20.2,6.9,0.3
"NTAARP0004-58918",0,0,0,0,0,0,1.8,0,0,0,0,0,2.3,0,16.4,0,0,0,28.6,17.7,0.5
"NTAARP0004-58932",0,0,0,0,0,0,1.8,0,0,0,0,0,0,0.1,16.8,0,0,0,28.4,55.2,6
"NTAARP0005-58919",0,0,0,0,0,0,12,0,0,0,26.6,0,0.8,1.6,32,0,0,0,35.2,3.4,0.4
"NTAARP0005-58933",0,0,0,0,0,0,1.5,0,0,0,20.1,0,0,0.1,21.2,0,0,0,49.8,11.7,0.1
"NTABRT0001-53616",0,0,0.3,0,0,0.1,1,0,0,0,1,0,0,0,43.1,0,0,0,0,16.4,1
"NTABRT0001-58861",0,0,0.1,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,16.8,26.5,0
"NTABRT0002-53617",0,0,0.7,0,0,0.7,3.5,0,0,0,0,0,0,0,61.9,0,0,0,0.2,8.8,0
"NTABRT0002-58862",0,0,0.1,0,0,0,4.1,0,0,0,0,0,0,0,12.5,0,0,0,23.8,28.5,0
"NTABRT0003-53618",0,0,0,0,0,0.2,1.4,0,0,0,18.6,0,0,0,40.2,0,0,0,0.3,4.2,0
"NTABRT0003-58872",0,0,0.1,0,0,0,8.5,0,0,0,2.4,0,0,0,1.5,0,0,0,22.5,32.4,0
"NTABRT0004-53619",0,0,1,0,0,0,1.6,0,0,0,3.9,0,0,0,31,0,0,0,0,16.4,0
"NTABRT0004-58873",0,0,0.4,0,0,0,11.2,0,0,0,0.1,0,0,0,28.5,0,0,0,0,14.1,0
"NTABRT0005-53620",0,0,0,0,0,0,5,0,0,0,22.2,0,0,0,3.2,0,0,0,0.4,15.5,0
"NTABRT0005-58863",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.3,0,0,0,1.9,24.5,0
"NTABRT0006-53621",0,0,0,0,0,0,2.1,0,0,0,1.5,0,0,0,32.5,0,0,0,0.6,11.8,0
"NTABRT0006-58864",0,0,0,0,0,0,22.2,0,0,0,0,0,0,0,33.7,0,0,0,1.5,21.9,0.6
"NTABRT0007-58865",0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,1,0,0,0,0.3,34,0
"NTABRT0008-58866",0,0,0,0,0,0,4.5,0,0,0,6.3,0,0,0,17.5,0.1,0,0,0,0.1,0
"NTADAC0001-53518",0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,22.4,0,0,0,30.4,97.4,2
"NTADAC0002-58039",0,0,0,0,0,0,15.9,0,0,0,0,0,0,0.1,25.4,0,0,0.1,28.3,24.7,0
"NTADMR0001-58868",0,0,0,0,0,0,0.1,0,0,0.1,19,0,0,1.9,4.5,0,0,0,0.1,1.2,0.3
"NTADMR0002-58869",0,0,0,0,0,0,0.7,0,0,0,24,0,0,0.2,1.4,1.5,0,0.4,0,0.6,0
"NTAFIN0001-53519",0,0,0.3,0,0,0,12.7,0,0,0,0,0,0,1.7,1.1,0,0,0,0.3,6.5,0
"NTAFIN0001-58009",0,0,0.1,0,0,0,0.9,0,0,0,0.1,0,0,1.7,1.1,0,0,0,0.2,8.1,1
"NTAFIN0001-58735",0,0,0.4,0,0,0,3.2,0,0,0,0.8,0,0,2.8,1.6,0,0,0,0,9.1,0
