"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"1","NSABBS0001",0,0,0.1,0,0,0.8,5.1,0,0,0,0,0,0,0,3.8,0,0,0,35.1,0.9,0,6,3.9,35.1,"tree"
"2","NSABBS0002",0,0,0,0,0,2,7,0,0,0,0,0,0,0,24.6,0,0,3.1,24.9,1.7,0,8.7,24.6,28,"tree"
"3","NSABBS0003",0,0,0,0,0,0,0,0,0,5,0,0,0,0,13.9,0,0,0,47.4,0.1,0,0.1,18.9,47.4,"tree"
"4","NSABBS0004",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,4.5,0,0.4,0,77.4,0.3,0,0.8,4.9,77.4,"tree"
"5","NSABBS0005",0,0,0,0,0.2,0,0.1,0,0,1.3,0,0,0,0,15.8,0,0,0,62.9,0.1,0,0.2,17.1,62.9,"tree"
"6","NSABBS0006",0,0,0,0,0.1,0,0.4,0,0,0,0,0,0,0,11.3,0,0,0,74.5,0.4,0,0.8,11.3,74.5,"tree"
"7","NSABHC0001",0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,16.3,0,0,0,0,3.4,0,10.5,16.3,0,"shrub"
"8","NSABHC0002",0,0,12.2,0,0,0,12.1,0,0,0,0,0,0,0,0.2,0,0,0,0,6.5,0,18.6,12.4,0,"grass"
"9","NSABHC0003",0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,23.4,0,0,0,0,0.7,0,1.9,23.4,0,"shrub"
"10","NSABHC0004",0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,14,0,0,0,0,11.9,0,22.8,14,0,"grass"
"11","NSABHC0005",0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,6.9,0,0,0,0,38.4,0,40.9,6.9,0,"grass"
"12","NSABHC0006",0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,17.7,0,0,0,0,29.5,0,33.2,17.7,0,"grass"
"13","NSABHC0007",0,0,0.1,0,0,0,5,0,0,0,0,0,0,0,20.9,0,0,0,0,15.8,0,20.8,21,0,"shrub"
"14","NSABHC0008",0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,17.9,0,0,0,0,6.6,0,14.4,17.9,0,"shrub"
"15","NSABHC0009",0,0,10.2,0,0,0,18.9,0,0,0,0,0,0,0,9.4,0,0,0,0.2,13.65,0,32.55,19.6,0.2,"grass"
"16","NSABHC0010",0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,9,0,0,0,0,3.8,0,6,9,0,"shrub"
"17","NSABHC0011",0,0,18.6,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,15.4,18.6,0,"shrub"
"18","NSABHC0012",0,0,15.25,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0.05,24.1,15.3,0,"grass"
"19","NSABHC0013",0,0,7.1,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14.9,7.1,0,"grass"
"20","NSABHC0014",0,0,8.8,0,0,0,3.9,0,0,0,0,0,0,0,0.2,0,0,0,0,12.8,0,16.7,9,0,"grass"
"21","NSABHC0016",0,0,8.2,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,3.1,8.2,0,"shrub"
"22","NSABHC0018",0,0,8.9,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,16.9,8.9,0,"grass"
"23","NSABHC0019",0,0,10.9,0,0,0,0.6,0,0,0,0,0,0,0,0.1,0,0,0,0,24.4,0,25,11,0,"grass"
"24","NSABHC0020",0,0,5.3,0,0,0,0.8,0,0,0,0,0,0,0,0.1,0,0,0,0,25,0,25.8,5.4,0,"grass"
"25","NSABHC0021",0,0,1.6,0,0,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,20.5,1.6,0,"grass"
"26","NSABHC0022",0,0,10.9,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2.6,10.9,0,"shrub"
"27","NSABHC0023",0,0,1.8,0,0,0.1,8.5,0,0,0,0,0,0,0.5,3.2,0,0,0,0,4.1,0,13.1,5,0,"grass"
"28","NSABHC0024",0,0,1.9,0,0,0,10.2,0,0,0,0,0,0,0,0.8,0,0,0,0,9,0.3,19.2,3,0,"grass"
"29","NSABHC0026",0,0,5.2,0,0,0,19,0,0,0,0,0,0,0,1.9,0,0,0,0,3.5,0.1,22.5,7.2,0,"grass"
"30","NSABHC0028",0,0,5.9,0,0,0,1.8,0,0,0,0,0,0,0,0.1,0,0,9.6,0.3,1.4,0,3.2,6,9.9,"tree"
"31","NSABHC0029",0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,69.7,1.2,0.1,9.2,2.1,69.7,"tree"
"32","NSACHC0001",0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0.3,5,0,0,0,0,0.3,0,1,5.4,0,"shrub"
