"","site_location_name","time","pv","npv","bs","spatial_ref"
"2","NSABHC0009",2012-09-03,11.1905080213904,48.8412736995625,38.6471803597472,28354
"3","NSABHC0009",2016-09-13,21.198347107438,43.2661157024793,34.1206611570248,28354
"21","NSABHC0012",2012-09-19,15.6804407713499,50.5509641873278,32.4793388429752,28354
"31","NSABHC0012",2016-09-15,27.1621999212908,34.3545651318379,36.8557654466745,28354
"22","NTAARP0005",2021-06-04,60.6555007773505,35.6738298829883,2.04065747483839,28353
"32","NTAARP0005",2018-03-23,61.0830234419638,32.6681831314672,4.71844196262162,28353
"23","NTABRT0001",2012-03-19,20.2727272727273,52.2148760330578,26.4628099173554,28353
"33","NTABRT0001",2020-08-01,14.7086776859504,46.1311983471074,37.8574380165289,28353
"24","NTABRT0002",2012-03-21,18.1074380165289,52.297520661157,28.4462809917355,28353
"34","NTABRT0002",2020-07-31,14.6346814111919,46.5471705031276,37.502186012745,28353
"25","NTABRT0003",2012-03-22,16.3553719008264,54.7520661157025,27.8181818181818,28353
"35","NTABRT0003",2020-08-01,13.4457732175375,48.4618118784143,36.8245377503852,28353
"26","NTABRT0004",2012-03-23,17.9752066115703,52.3415977961433,28.6005509641873,28353
"36","NTABRT0004",2020-08-08,14.8188413858868,50.2030435473617,33.6013509218055,28353
"27","NTABRT0005",2012-03-24,16.6846854444257,43.7194299207286,38.1625484904706,28353
"37","NTABRT0005",2020-08-02,18.0946995588144,23.236251786491,56.9129745852234,28353
"28","NTABRT0006",2012-03-24,15.7465564738292,51.2203856749311,31.702479338843,28353
"38","NTABRT0006",2020-08-08,11.3572322993811,46.9065149726307,40.349325605524,28353
"29","NTAFIN0001",2011-10-20,0.867768595041322,64.8409090909091,33.0247933884297,28353
"39","NTAFIN0001",2016-03-04,9.98691460055096,26.5402892561983,61.8240358126722,28353
"4","NTAFIN0001",2019-05-26,7.43413026367572,16.3029811097993,74.5423061786698,28353
"210","NTAFIN0002",2011-09-23,12.0517344127734,67.1574380165289,19.5205908809805,28353
"310","NTAFIN0002",2016-03-05,22.4344008264463,46.3974173553719,29.6715909090909,28353
"41","NTAFIN0002",2019-05-28,16.8898071625344,50.3829201101928,31.4187327823691,28353
"211","NTAFIN0003",2011-09-24,20.5144015040376,36.7127665945337,41.68342650393,28353
"311","NTAFIN0003",2016-03-04,13.5123966942149,38.4931129476584,46.4820936639118,28353
"42","NTAFIN0003",2019-05-25,10.6021251475797,44.2222222222222,43.827626918536,28353
"212","NTAFIN0004",2011-10-06,10.1053719008264,58.3161157024793,30.2644628099174,28353
"312","NTAFIN0004",2016-03-02,15.4391184573003,52.0410468319559,31.2101928374656,28353
"43","NTAFIN0004",2019-05-26,12.9203069657615,52.5572609208973,33.2461629279811,28353
"213","NTAFIN0005",2011-10-05,3.62516762825511,57.8195852175269,37.1933260564478,28353
"313","NTAFIN0005",2016-03-06,11.4925619834711,33.899173553719,52.9586776859504,28353
"44","NTAFIN0005",2019-05-25,7.9815638906548,31.7666878575969,58.5208200890019,28353
"214","NTAFIN0006",2011-10-07,9.36602302222905,24.0296026689638,65.0279193568104,28353
"314","NTAFIN0006",2016-03-06,16.8691460055096,27.8980716253444,53.4889807162534,28353
"45","NTAFIN0006",2019-05-26,14.389701207883,22.865861411316,61.0311506675143,28353
"215","NTAFIN0007",2011-10-12,7.64503200149133,29.9583669918598,60.8020567948798,28353
"315","NTAFIN0007",2016-03-02,12.5478035222353,27.3526293781976,58.2984061393152,28353
"46","NTAFIN0007",2019-05-28,7.38842975206612,23.0888429752066,67.7768595041322,28353
"216","NTAFIN0008",2011-10-13,10.6060911183178,33.4058217386756,54.4198530180981,28353
"316","NTAFIN0008",2016-03-03,14.966391184573,35.9917355371901,47.563085399449,28353
"47","NTAFIN0008",2019-05-30,1.23553719008264,40.1756198347107,57.1818181818182,28353
"217","NTAFIN0009",2011-10-17,9.92840032168095,27.5377376246941,60.980887360334,28353
"317","NTAFIN0009",2016-03-06,15.8743801652893,28.4347107438017,53.9801652892562,28353
"48","NTAFIN0009",2019-05-27,13.7194590533433,28.7956123215627,55.7505634861007,28353
"218","NTAFIN0010",2011-10-18,12.2561983471074,16.8909090909091,69.1917355371901,28353
"318","NTAFIN0010",2016-03-07,17.6349472425802,23.7610192837466,56.8368938094496,28353
"49","NTAFIN0010",2019-05-27,10.9257896524397,19.5337276878373,67.7495377184045,28353
"219","NTAFIN0011",2011-10-20,6.9534435261708,53.5658402203857,38.0666666666667,28353
"319","NTAFIN0011",2016-03-06,17.9449035812672,42.8044077134986,37.736914600551,28353
"410","NTAFIN0011",2019-05-27,12.2463076036015,38.615650734044,47.5740475169651,28353
"220","NTAMAC0001",2014-10-06,14.6795798898072,28.2216023875115,55.5733758034894,28353
"320","NTAMAC0001",2019-05-29,13.0137741046832,22.8264462809917,62.2506887052342,28353
"221","NTAMAC0002",2014-10-07,17.6741440377804,42.9090909090909,37.9893742621015,28353
"321","NTAMAC0002",2019-05-29,13.7052341597796,52.1625344352617,32.5950413223141,28353
"222","NTAMAC0003",2014-10-06,7.13102023368481,43.349173553719,47.96271492353,28353
"322","NTAMAC0003",2019-05-29,2.25723140495868,48.5764812999019,47.7343290376803,28353
"223","NTAPCK0004",2021-06-03,44.5868555686737,45.6858717040535,8.38622589531681,28353
"323","NTAPCK0004",2018-03-19,56.1361896037068,31.6086861787441,10.7880042074135,28353
"224","NTAPCK0006",2021-06-06,36.5657926814403,53.9825873375753,8.09942343791901,28353
"324","NTAPCK0006",2018-04-09,45.0497528040142,43.6648188459268,9.72339876033058,28353
"225","NTAPCK0007",2021-06-07,43.783004873914,49.0137741046832,5.96122059758423,28353
"325","NTAPCK0007",2018-03-05,59.0136864803253,34.9677320177737,4.60755383065642,28353
"226","QDASEQ0001",2015-01-01,65.5165289256198,31.4297520661157,1.57851239669421,28356
"326","QDASEQ0001",2021-03-24,74.315844970077,18.069293245939,6.19462809917355,28356
"227","QDASSD0001",2014-04-30,4.00614250614251,37.7678770860589,56.5862503589776,28354
"327","QDASSD0001",2015-04-25,3.32162534435262,33.8650137741047,61.2775482093664,28354
"411","QDASSD0001",2018-06-11,4.1370523415978,36.9490358126722,57.2754820936639,28354
"228","QDASSD0002",2014-05-01,7.86157024793388,21.8378099173554,68.4907024793389,28354
"328","QDASSD0002",2015-04-16,9.24854473589651,17.6788481975919,71.4157716797505,28354
"412","QDASSD0002",2018-06-21,12.9235537190083,15.107782369146,70.316976584022,28354
"229","QDASSD0003",2014-05-01,5.81818181818182,30.3022237929535,62.2214277946933,28354
"329","QDASSD0003",2015-04-16,8.33249704840614,25.6267119244392,64.2365407319953,28354
"413","QDASSD0003",2018-06-21,12.5507674144038,19.5761511216057,66.159681227863,28354
"230","QDASSD0004",2014-05-02,3.55690159642729,39.14244648632,55.7424670191469,28354
"330","QDASSD0004",2015-04-16,1.94421487603306,35.2101698806244,61.2143021120294,28354
"414","QDASSD0004",2018-06-29,2.8853305785124,43.6859504132231,51.8863636363636,28354
"231","QDASSD0005",2014-05-02,4.46517119244392,35.6410861865407,58.2077922077922,28354
"331","QDASSD0005",2015-04-26,4.55728628615702,34.2279022469008,59.5814017303719,28354
"415","QDASSD0005",2018-06-22,4.67079889807163,38.5096418732782,55.137741046832,28354
"232","QDASSD0006",2014-05-03,9.34961685500646,35.5332076797661,53.6684328442121,28354
"332","QDASSD0006",2015-04-18,8.94691723447067,33.0651131783577,56.5067014134341,28354
"416","QDASSD0006",2018-06-17,18.4614209320092,12.2960448642267,67.678310993819,28354
"233","QDASSD0007",2014-05-05,9.99509445100354,35.6887682014955,52.8695041322314,28354
"333","QDASSD0007",2015-04-20,9.1151091997202,34.5329024067981,54.8569237545014,28354
"417","QDASSD0007",2018-06-19,16.5699818152249,22.9761675956179,58.9214210736409,28354
"234","QDASSD0008",2014-05-04,15.6610044822434,43.3222638986114,39.6940006895759,28354
