"","site_location_name","visit_start_date_a","visit_start_date_b","pv","npv","bs"
"3","NSABHC0009",2012-09-03,2016-09-13,10.0078390860476,-5.57515799708313,-4.52651920272241
"31","NSABHC0012",2012-09-19,2016-09-15,11.481759149941,-16.19639905549,4.37642660369933
"22","NTAARP0005",2018-03-23,2021-06-04,-0.427522664613356,3.00564675152112,-2.67778448778323
"33","NTABRT0001",2012-03-19,2020-08-01,-5.56404958677686,-6.08367768595041,11.3946280991736
"34","NTABRT0002",2012-03-21,2020-07-31,-3.47275660533707,-5.75035015802943,9.05590502100948
"35","NTABRT0003",2012-03-22,2020-08-01,-2.90959868328898,-6.29025423728813,9.00635593220339
"36","NTABRT0004",2012-03-23,2020-08-08,-3.15636522568341,-2.13855424878152,5.00079995761814
"37","NTABRT0005",2012-03-24,2020-08-02,1.41001411438869,-20.4831781342376,18.7504260947528
"38","NTABRT0006",2012-03-24,2020-08-08,-4.38932417444814,-4.31387070230046,8.64684626668098
"4","NTAFIN0001",2016-03-04,2019-05-26,-2.55278433687525,-10.2373081463991,12.7182703659976
"39","NTAFIN0001",2011-10-20,2016-03-04,9.11914600550964,-38.3006198347107,28.7992424242424
"41","NTAFIN0001",2011-10-20,2019-05-26,6.5663616686344,-48.5379279811098,41.5175127902401
"412","NTAFIN0002",2016-03-05,2019-05-28,-5.54459366391185,3.98550275482093,1.74714187327824
"310","NTAFIN0002",2011-09-23,2016-03-05,10.3826664136729,-20.760020661157,10.1510000281104
"411","NTAFIN0002",2011-09-23,2019-05-28,4.83807274976106,-16.7745179063361,11.8981419013887
"42","NTAFIN0003",2016-03-04,2019-05-25,-2.91027154663518,5.72910927456382,-2.65446674537584
"311","NTAFIN0003",2011-09-24,2016-03-04,-7.00200480982271,1.78034635312473,4.79866715998182
"421","NTAFIN0003",2011-09-24,2019-05-25,-9.91227635645789,7.50945562768855,2.14420041460598
"43","NTAFIN0004",2016-03-02,2019-05-26,-2.51881149153876,0.516214088941361,2.03597009051554
"312","NTAFIN0004",2011-10-06,2016-03-02,5.33374655647383,-6.27506887052341,0.945730027548212
"431","NTAFIN0004",2011-10-06,2019-05-26,2.81493506493507,-5.75885478158205,2.98170011806376
"44","NTAFIN0005",2016-03-06,2019-05-25,-3.51099809281627,-2.13248569612206,5.5621424030515
"313","NTAFIN0005",2011-10-05,2016-03-06,7.86739435521597,-23.9204116638079,15.7653516295026
"441","NTAFIN0005",2011-10-05,2019-05-25,4.35639626239969,-26.05289735993,21.3274940325541
"45","NTAFIN0006",2016-03-06,2019-05-26,-2.47944479762662,-5.0322102140284,7.54216995126086
"314","NTAFIN0006",2011-10-07,2016-03-06,7.5031229832806,3.86846895638058,-11.538938640557
"451","NTAFIN0006",2011-10-07,2019-05-26,5.02367818565398,-1.16374125764781,-3.99676868929613
"46","NTAFIN0007",2016-03-02,2019-05-28,-5.15937377016923,-4.26378640299095,9.478453364817
"315","NTAFIN0007",2011-10-12,2016-03-02,4.90277152074401,-2.60573761366226,-2.50365065556453
"461","NTAFIN0007",2011-10-12,2019-05-28,-0.256602249425216,-6.86952401665321,6.97480270925247
"47","NTAFIN0008",2016-03-03,2019-05-30,-13.7308539944904,4.18388429752066,9.61873278236915
"316","NTAFIN0008",2011-10-13,2016-03-03,4.36030006625519,2.58591379851449,-6.85676761864909
"471","NTAFIN0008",2011-10-13,2019-05-30,-9.37055392823517,6.76979809603515,2.76196516372006
"48","NTAFIN0009",2016-03-06,2019-05-27,-2.15492111194591,0.360901577761084,1.77039819684448
"317","NTAFIN0009",2011-10-17,2016-03-06,5.9459798436083,0.896973119107507,-7.0007220710778
"481","NTAFIN0009",2011-10-17,2019-05-27,3.7910587316624,1.25787469686859,-5.23032387423333
"49","NTAFIN0010",2016-03-07,2019-05-27,-6.70915759014046,-4.22729159590928,10.9126439089549
"318","NTAFIN0010",2011-10-18,2016-03-07,5.37874889547274,6.87011019283747,-12.3548417277405
"491","NTAFIN0010",2011-10-18,2019-05-27,-1.33040869466772,2.64281859692819,-1.44219781878562
"410","NTAFIN0011",2016-03-06,2019-05-27,-5.69859597766575,-4.18875697945465,9.83713291641411
"319","NTAFIN0011",2011-10-20,2016-03-06,10.9914600550964,-10.7614325068871,-0.329752066115702
"4101","NTAFIN0011",2011-10-20,2019-05-27,5.29286407743067,-14.9501894863417,9.5073808502984
"320","NTAMAC0001",2014-10-06,2019-05-29,-1.66580578512397,-5.39515610651974,6.67731290174472
"321","NTAMAC0002",2014-10-07,2019-05-29,-3.96890987800079,9.2534435261708,-5.39433293978748
"322","NTAMAC0003",2014-10-06,2019-05-29,-4.87378882872613,5.22730774618294,-0.228385885849626
"223","NTAPCK0004",2018-03-19,2021-06-03,-11.549334035033,14.0771855253095,-2.40177831209671
