system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,date,google:max_source_file_timestamp,site_location_name,timestamp,.geo
2001_11_01_1_1_1_1_1_1_2_0,316.0,283.0,355.0,3.0,7.0,2001-11-01,1.651879788E12,NTAGFU0021,1.0045728E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[135.942461198385,-16.715848757818183],[135.94432803391564,-16.715848757818183],[135.94432803391564,-16.714049330448812],[135.942461198385,-16.714049330448812],[135.942461198385,-16.715848757818183]]]}"
2001_12_01_1_1_1_1_1_1_1_1_2_0,355.0,320.0,15.0,3.0,2.0,2001-12-01,1.651879762E12,NSANSS0001,1.0071648E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[148.34715192378522,-32.750278956240244],[148.34927779985452,-32.750278956240244],[148.34927779985452,-32.748479528872736],[148.34715192378522,-32.748479528872736],[148.34715192378522,-32.750278956240244]]]}"
2006_11_01_1_1_1_1_1_1_2_0,315.0,283.0,348.0,3.0,1.0,2006-11-01,1.65188064E12,NTAGFU0021,1.1623392E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[135.942461198385,-16.715848757818183],[135.94432803391564,-16.715848757818183],[135.94432803391564,-16.714049330448812],[135.942461198385,-16.714049330448812],[135.942461198385,-16.715848757818183]]]}"
2011_05_01_1_1_1_1_2_0,147.0,100.0,172.0,3.0,2.0,2011-05-01,1.65187458E12,QDASSD0015,1.304208E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[138.19261161389105,-23.18852935233897],[138.1945566938126,-23.18852935233897],[138.1945566938126,-23.186729924970294],[138.19261161389105,-23.186729924970294],[138.19261161389105,-23.18852935233897]]]}"
2012_02_01_1_1_1_1_1_1_2_0,40.0,9.0,84.0,3.0,2.0,2012-02-01,1.651878327E12,NTAGFU0021,1.3280544E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[135.942461198385,-16.715848757818183],[135.94432803391564,-16.715848757818183],[135.94432803391564,-16.714049330448812],[135.942461198385,-16.714049330448812],[135.942461198385,-16.715848757818183]]]}"
2015_01_01_2_0,9.0,344.0,48.0,3.0,2.0,2015-01-01,1.651875126E12,WAAPIL0003,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[117.05652974357938,-21.54154923049628],[117.05845195291933,-21.54154923049628],[117.05845195291933,-21.53974980312742],[117.05652974357938,-21.53974980312742],[117.05652974357938,-21.54154923049628]]]}"
2019_10_01_1_1_1_1_1_1_1_1_1_2_0,298.0,251.0,324.0,3.0,2.0,2019-10-01,1.651869035E12,NSANAN0002,1.569888E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[150.15154256667856,-30.282740632418896],[150.15361302692577,-30.282740632418896],[150.15361302692577,-30.280941205051064],[150.15154256667856,-30.280941205051064],[150.15154256667856,-30.282740632418896]]]}"
2021_10_01_1_1_1_1_1_1_2_0,299.0,253.0,325.0,3.0,2.0,2021-10-01,1.651870437E12,NTAGFU0021,1.6330464E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[135.942461198385,-16.715848757818183],[135.94432803391564,-16.715848757818183],[135.94432803391564,-16.714049330448812],[135.942461198385,-16.714049330448812],[135.942461198385,-16.715848757818183]]]}"
