"","window","WAAPIL0003.adjusted.R2","TCATCH0006.adjusted.R2","WAAGAS0002.adjusted.R2","NSAMDD0014.adjusted.R2","NTAGFU0021.adjusted.R2","NSANSS0001.adjusted.R2","SATSTP0005.adjusted.R2","QDASSD0015.adjusted.R2","NTAFIN0002.adjusted.R2","NSANAN0002.adjusted.R2","QDAEIU0010.adjusted.R2"
"1",1,-0.000525692811705447,0.00489174922974067,-0.00106784404391691,-0.000286327839122968,0.0103210167463044,0.00195267780796904,0.00276407084510344,-0.000407940886202329,0.00350833600311085,0.00036784486662178,0.000877550463982746
"2",6,0.001207645302303,0.00662729469156687,-0.00104060629638414,-0.00112674665822188,0.0251924590486072,-0.00104925376862552,0.0012512564090541,0.00400379909022142,0.0113334142360191,0.00340898443535298,0.0467381946064062
"3",11,0.00799873556058195,3.24619209425281e-05,0.00998306996517329,-0.000734771930992695,0.0404840668513279,-0.000396980484823395,-0.000896853431506139,0.014871092546453,0.0458266328820157,0.00272338193147381,0.0847631621464082
"4",16,0.0186711162072244,-4.18389696879018e-05,0.0234416253956459,0.00161101300760658,0.0598332220067547,0.00304424942724379,0.00425394973129567,0.0296877503523305,0.0742517616807408,0.00297306641859318,0.123408691357007
"5",21,0.0313218655574207,-0.000941572397619161,0.051554233350471,0.00274672590536484,0.0793088238459813,0.00374569963419225,0.0133148092638342,0.0487488405454216,0.11717139900515,0.0052426253777661,0.170298280335774
"6",26,0.0398496171261196,-0.000498743396526224,0.090644144748815,0.00756883817079512,0.109878724615466,0.0056908844582878,0.0308676051608597,0.0865552785860919,0.166289382983288,0.00844364307445467,0.216260326760233
"7",31,0.0527747345372379,-0.000684387063297542,0.128269997526451,0.013611604063778,0.136322966203868,0.00985538024057131,0.0540352569981234,0.113852486413033,0.225279063054636,0.0106112825107044,0.247109162563897
"8",36,0.07647861099895,0.000558744420049107,0.157846874718379,0.0126423611572266,0.159338645679821,0.0107437765371431,0.0744796345688234,0.146298541705859,0.270481150738501,0.0119519691992835,0.264309843482416
"9",41,0.0830164441680594,0.000473180307127397,0.200558794684756,0.0188339594610498,0.195419804706137,0.0106269900956919,0.0865850492121757,0.190512526058029,0.313041378972145,0.011588531931606,0.298395880929782
"10",46,0.0965014989581419,0.000798582807498893,0.225243688381887,0.0209502175199977,0.230368100291892,0.0124195735497217,0.103760951389293,0.211979856966165,0.359582212271344,0.0133109504112916,0.319268243791668
