"","site_unique","time","diff","bs","pv","npv","ue"
"1",NA,NA,NA,NA,NA,NA,NA
"2","NSABBS0001-58580","2018-05-17",6,11.1570247933884,42.8512396694215,44.7520661157025,15.0082644628099
"3","NSABBS0002-58555","2018-05-25",13,6.15702479338843,51.6611570247934,40.603305785124,16.5619834710744
"4","NSABBS0003-58581","2018-05-09",-4,6.83471074380165,30.8429752066116,60.9586776859504,30.0495867768595
"5","NSABBS0004-58556","2018-05-17",3,4.71900826446281,50.5454545454545,43.5619834710744,20.7768595041322
"6","NSABBS0005-58582","2018-05-17",2,6.62809917355372,49.0330578512397,42.9090909090909,23.3057851239669
"7","NSABBS0006-58557","2018-05-25",10,7.47933884297521,50.9256198347107,40.1735537190083,22.297520661157
"8","NSABHC0001-53596",NA,NA,NA,NA,NA,NA
"9","NSABHC0002-53597","2012-05-20",-11,37.6942148760331,13.2148760330579,47.7438016528926,10.504132231405
"10","NSABHC0003-53598","2012-05-20",-15,48.5950413223141,14.3471074380165,35.6694214876033,8.1900826446281
"11","NSABHC0004-53599","2012-05-20",-17,20.297520661157,27.4380165289256,50.8264462809917,10.5867768595041
"12","NSABHC0005-53600","2012-08-01",2,25.5702479338843,7.60330578512397,65.702479338843,10.9752066115702
"13","NSABHC0006-53601","2012-07-23",-9,25.8677685950413,15.5537190082645,57.2644628099174,12.5619834710744
"14","NSABHC0007-53602","2012-08-08",6,34.1652892561983,12.4628099173554,51.7685950413223,10.1322314049587
"15","NSABHC0008-53603","2012-09-09",9,44.7297297297297,12.5675675675676,41.4864864864865,9.7027027027027
"16","NSABHC0009-53604","2012-09-09",6,39.8099173553719,12.2644628099174,46.5537190082645,8.90082644628099
"17","NSABHC0009-58026","2016-09-12",-1,NA,NA,NA,NA
"18","NSABHC0010-53605","2012-09-09",5,67.3057851239669,3.48760330578512,27.7520661157025,5.37190082644628
"19","NSABHC0011-53606","2012-09-25",7,36.5428571428571,14.2857142857143,48.0571428571429,9.74285714285714
