"","site_unique","time","diff","bs","pv","npv","ue"
"1",NA,NA,NA,NA,NA,NA,NA
"2","NSABBS0001-58580",17668,6,10.2823529411765,43.2352941176471,45.2352941176471,15.2705882352941
"3","NSABBS0002-58555",17668,5,2.54545454545455,50.6363636363636,45.9090909090909,16.3030303030303
"4","NSABBS0003-58581",17660,4,6.8,31.3411764705882,60.4,29.9882352941176
"5","NSABBS0004-58556",17668,3,4.82142857142857,50.3571428571429,43.5952380952381,20.8809523809524
"6","NSABBS0005-58582",17668,2,6.11904761904762,49.4166666666667,43.0476190476191,23.1428571428571
"7","NSABBS0006-58557",17668,2,8.05128205128205,48.8974358974359,42.1282051282051,22.4615384615385
"8","NSABHC0001-53596",15480,9,31.5405405405405,17.4594594594595,49.8648648648649,10.2162162162162
"9","NSABHC0002-53597",15480,11,37.1547619047619,13.9047619047619,47.5119047619048,10.547619047619
"10","NSABHC0003-53598",15480,15,48.2857142857143,14.2738095238095,36.0476190476191,8.28571428571429
"11","NSABHC0004-53599",15496,1,38.5434782608696,17.4565217391304,43.0434782608696,12.8913043478261
"12","NSABHC0005-53600",15553,2,25.8095238095238,7.73809523809524,65.3214285714286,10.9761904761905
"13","NSABHC0006-53601",15560,7,27,13,59,12
"14","NSABHC0007-53602",15560,6,34.6025641025641,12.5769230769231,51.2307692307692,10.0641025641026
"15","NSABHC0008-53603",15592,9,44.5633802816901,12.7042253521127,41.5070422535211,9.69014084507042
"16","NSABHC0009-53604",15592,6,39.6794871794872,12.2307692307692,46.7307692307692,8.87179487179487
"17","NSABHC0009-58026",17056,1,32.3205128205128,21.6410256410256,44.6923076923077,10.5641025641026
"18","NSABHC0010-53605",15592,5,66.3411764705882,3.61176470588235,28.6588235294118,5.47058823529412
"19","NSABHC0011-53606",15608,7,36.5915492957746,14.1408450704225,48.0422535211268,9.63380281690141
"20","NSABHC0012-53607",15608,6,34.6904761904762,13.0119047619048,51.0476190476191,8.63095238095238
"21","NSABHC0012-58022",17056,3,41.9176470588235,25.9764705882353,30.3882352941176,7.96470588235294
"22","NSABHC0013-53608",15608,5,48.6923076923077,11.1346153846154,38.6346153846154,7.48076923076923
"23","NSABHC0014-53609",15608,4,53.6438356164384,8.46575342465753,36.5068493150685,7.10958904109589
"24","NSABHC0016-57105",16056,11,57.1410256410256,5.88461538461539,35.4615384615385,7.06410256410256
