"","site_unique","time","latitude","longitude","diff","bs","pv","npv","ue","timesteps"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NSABBS0001-58580","2018-05-17",-31.281189,148.976552,6,-0.170122553950876,-0.492392497757411,0.784178392827801,-0.261409811655383,1020
"3","NSABBS0002-58555","2018-05-25",-31.2794527777778,148.992461111111,13,0.0488987189694678,-0.220693127133497,0.168588605261143,-0.377247649857221,1020
"4","NSABBS0003-58581","2018-05-09",-30.4546472222222,149.226827777778,-4,-0.246987500850866,-1.48308046988673,1.75867514844759,2.60862809977796,1026
"5","NSABBS0004-58556","2018-05-17",-30.4609638888889,149.246894444444,3,-0.417517903200958,0.580414434307598,-0.281946931150471,-0.000252064605279914,1026
"6","NSABBS0005-58582","2018-05-17",-30.4987833333333,149.279986111111,2,-0.207239689700564,0.837814794282251,-0.656305311180723,0.325575736372258,1025
"7","NSABBS0006-58557","2018-05-25",-30.5102722222222,149.267288888889,10,-0.0482218672349422,0.828848264463791,-0.760749183535166,0.130473649613293,1026
"8","NSABHC0001-53596",NA,-31.8933505555556,141.433754444444,NA,NA,NA,NA,NA,1011
"9","NSABHC0002-53597","2012-05-20",-31.9270269444444,141.432960833333,-11,-1.24938217735499,0.710812021440496,1.10625844968806,0.496443308290191,1011
"10","NSABHC0003-53598","2012-05-20",-31.8287208333333,141.434033611111,-15,-1.29333036604807,1.18662200790905,0.827453065575209,0.357820156011613,1011
"11","NSABHC0004-53599","2012-05-20",-31.8472788888889,141.9480675,-17,-1.63464104473639,1.36023002129657,0.811745673286434,0.990672136317987,1973
"12","NSABHC0005-53600","2012-08-01",-31.8449577777778,141.940497777778,2,-1.13224967615942,-0.0560746164065611,1.47081123546073,1.19650216697314,1973
"13","NSABHC0006-53601","2012-07-23",-31.8842083333333,141.782308888889,-9,-1.32171155361733,0.692727232008104,1.07221382546537,1.47086660158734,1682
"14","NSABHC0007-53602","2012-08-08",-31.9011336111111,141.764431944444,6,-0.925464613583505,0.168053704732789,0.96768511874205,0.602220773341592,1619
"15","NSABHC0008-53603","2012-09-09",-31.8859216666667,141.52881,9,-0.583810984094086,0.528305163390295,0.347721149972006,0.0957311969843792,1011
"16","NSABHC0009-53604","2012-09-09",-31.0802347222222,141.697368611111,6,-0.77137440506327,1.11259981820626,-0.00436087958366719,0.738310595391059,1061
"17","NSABHC0009-58026","2016-09-12",-31.0802347222222,141.697368611111,-1,NA,NA,NA,NA,NA
"18","NSABHC0010-53605","2012-09-09",-31.0767180555556,141.700309722222,5,0.0115855544369251,1.09897886416766,-0.334607931131143,-0.0511863579593671,1061
