"","site_unique","time","diff","bs","pv","npv","ue","npixels"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2","NSABBS0001-58580","2018-05-17",6,10.3431952662722,43.2248520710059,45.1834319526627,15.2485207100592,169
"3","NSABBS0002-58555","2018-05-25",13,6.32692307692308,50.6282051282051,41.4807692307692,16.6858974358974,156
"4","NSABBS0003-58581","2018-05-09",-4,6.74556213017751,31.3431952662722,60.4615384615385,29.9881656804734,169
"5","NSABBS0004-58556","2018-05-17",3,4.84615384615385,50.414201183432,43.5266272189349,20.8698224852071,169
"6","NSABBS0005-58582","2018-05-17",2,6.13609467455621,49.3786982248521,43.0769230769231,23.1360946745562,169
"7","NSABBS0006-58557","2018-05-25",10,7.40384615384615,50.8269230769231,40.3653846153846,22.2307692307692,156
"8","NSABHC0001-53596",NA,NA,NA,NA,NA,NA,0
"9","NSABHC0002-53597","2012-05-20",-11,37.1301775147929,13.9171597633136,47.5384615384615,10.5443786982249,169
"10","NSABHC0003-53598","2012-05-20",-15,48.2426035502959,14.3550295857988,36.0118343195266,8.29585798816568,169
"11","NSABHC0004-53599","2012-05-20",-17,19.9704142011834,27.8343195266272,50.810650887574,10.6568047337278,169
"12","NSABHC0005-53600","2012-08-01",2,25.792899408284,7.71005917159763,65.3727810650888,10.9822485207101,169
"13","NSABHC0006-53601","2012-07-23",-9,25.9763313609467,15.2426035502959,57.5029585798817,12.5147928994083,169
"14","NSABHC0007-53602","2012-08-08",6,34.4615384615385,12.5961538461538,51.3653846153846,10.0769230769231,169
"15","NSABHC0008-53603","2012-09-09",9,44.5035460992908,12.6808510638298,41.5815602836879,9.65957446808511,156
"16","NSABHC0009-53604","2012-09-09",6,39.6923076923077,12.25,46.7115384615385,8.86538461538461,156
"17","NSABHC0009-58026","2016-09-12",-1,32.4615384615385,21.5576923076923,44.6346153846154,10.5769230769231,156
"18","NSABHC0010-53605","2012-09-09",5,66.3491124260355,3.63313609467456,28.6213017751479,5.46153846153846,169
"19","NSABHC0011-53606","2012-09-25",7,36.6478873239437,14.1478873239437,47.9859154929577,9.63380281690141,169
"20","NSABHC0012-53607","2012-09-25",6,34.7633136094675,13.0118343195266,50.9526627218935,8.62721893491124,169
"21","NSABHC0012-58022","2016-09-12",-3,41.9526627218935,25.8994082840237,30.414201183432,7.96449704142012,169
"22","NSABHC0013-53608","2012-09-09",-11,50.3313609467456,12.887573964497,35.4023668639053,6.89940828402367,169
"23","NSABHC0014-53609","2012-09-25",4,53.6206896551724,8.44827586206897,36.5241379310345,7.12413793103448,169
"24","NSABHC0016-57105","2013-12-17",11,57.1217948717949,5.90384615384615,35.4679487179487,7.07051282051282,156
"25","NSABHC0018-57077","2013-03-13",0,38.9423076923077,0.653846153846154,59.2692307692308,7.65384615384615,156
"26","NSABHC0019-57078","2013-03-20",7,36.9881656804734,2.59171597633136,59.0118343195266,10.301775147929,169
"27","NSABHC0020-57599","2013-03-20",6,37.5443786982249,3.61538461538462,57.4319526627219,9.61538461538461,169
"28","NSABHC0021-57098","2014-04-24",5,35.6508875739645,12.9349112426036,49.9289940828402,9.6094674556213,169
"29","NSABHC0022-57086","2014-04-17",-2,63.2662721893491,2.10650887573965,33.3786982248521,5.41420118343195,169
"30","NSABHC0023-57099","2014-04-25",4,26.1479289940828,34.2721893491124,38.2485207100592,9.76923076923077,169
"31","NSABHC0024-57100","2014-04-25",3,24.1242603550296,37.4378698224852,36.9881656804734,9.58579881656805,169
"32","NSABHC0026-57102","2014-05-27",-8,11.3974358974359,53.3012820512821,33.8525641025641,12.9038461538462,156
"33","NSABHC0028-58027","2016-09-12",0,41.8047337278106,15.2011834319527,41.4970414201183,10.4852071005917,169
"34","NSABHC0029-58028","2016-09-12",0,8.53846153846154,56.0576923076923,33.6153846153846,17.3653846153846,156
"35","NSACHC0001-58574","2018-04-19",2,66.5917159763314,2.3491124260355,29.5621301775148,5.4792899408284,169
"36","NSACHC0002-58558","2018-04-19",2,42.9230769230769,14.4792899408284,41.3313609467456,7.23076923076923,169
"37","NSACHC0003-58575","2018-04-19",1,36.2958579881657,14.4852071005917,47.7751479289941,8.3491124260355,169
"38","NSACHC0004-58576","2018-04-19",1,57.3012820512821,5.18589743589744,35.9487179487179,6.50641025641026,156
"39","NSACOP0001-58551","2018-04-06",-4,18.8461538461538,25.9822485207101,54.2485207100592,11.189349112426,169
"40","NSACOP0002-58552","2018-04-14",3,22.6686390532544,24.3491124260355,51.5562130177515,13.112426035503,169
"41","NSAMDD0001-56965","2014-06-04",8,8.42011834319527,72.6213017751479,17.5384615384615,13.2485207100592,169
"42","NSAMDD0002-56952","2014-05-19",-9,6.24260355029586,38.7633136094675,53.8579881656805,16.9467455621302,169
"43","NSAMDD0003-56968","2014-05-19",-9,8.07692307692308,36.3012820512821,54.7628205128205,15.0576923076923,156
"44","NSAMDD0004-56953","2014-05-11",-18,8.8698224852071,37.6686390532544,52.2307692307692,18.3550295857988,169
"45","NSAMDD0005-56969","2014-05-28",-2,17.4497041420118,28.4082840236686,53.0295857988166,15.2958579881657,169
"46","NSAMDD0006-56954","2014-05-28",-2,12.6363636363636,32.8848484848485,53.3878787878788,17.0666666666667,169
"47","NSAMDD0007-56970","2014-05-10",-20,28.2011834319527,24.491124260355,45.8698224852071,13.1065088757396,169
"48","NSAMDD0008-56955","2014-05-10",-22,13.1005917159763,32.7337278106509,52.9822485207101,14.8047337278107,169
"49","NSAMDD0009-56971","2014-05-10",-22,49.887573964497,20.2662721893491,28.7278106508876,8.69822485207101,169
"50","NSAMDD0010-56956","2014-06-03",1,13.2485207100592,49.5680473372781,35.5976331360947,22.3550295857988,169
"51","NSAMDD0011-56981","2014-05-10",-23,35.9349112426035,20.189349112426,42.2307692307692,11.7751479289941,169
"52","NSAMDD0012-56957","2014-06-03",0,17.1153846153846,6.1474358974359,75.8012820512821,8.90384615384615,156
"53","NSAMDD0013-56982","2014-05-10",-25,28.2248520710059,23.8698224852071,46.6153846153846,12.4852071005917,169
"54","NSAMDD0014-56963","2014-06-03",-1,38.9940828402367,16.8994082840237,42.491124260355,14.9526627218935,169
