"","site_unique","time","diff","bs","pv","npv","ue","npixels"
"39","NSACOP0001-58551","2018-04-06",-4,20,25,55,11,121
"40","NSACOP0002-58552","2018-04-14",3,24,26,52,13,121
"41","NSAMDD0001-56965","2014-06-04",8,8,72,17,13,121
"42","NSAMDD0002-56952","2014-05-19",-9,5,40,53,17,121
"43","NSAMDD0003-56968","2014-05-19",-9,8,35,56,15,121
"44","NSAMDD0004-56953","2014-05-11",-18,10,37,53,18,121
"45","NSAMDD0005-56969","2014-05-28",-2,19,29,52,15,121
"46","NSAMDD0006-56954","2014-05-28",-2,13,33,54,17,121
"47","NSAMDD0007-56970","2014-05-10",-20,26,25,47,13,121
"48","NSAMDD0008-56955","2014-05-10",-22,11,35,53,15,121
"49","NSAMDD0009-56971","2014-05-10",-22,54,20,26,8,121
"50","NSAMDD0010-56956","2014-06-03",1,13,52,36,22,121
"51","NSAMDD0011-56981","2014-05-10",-23,36,21,41,12,121
"52","NSAMDD0012-56957","2014-06-03",0,11,4,85,9,121
"53","NSAMDD0013-56982","2014-05-10",-25,29,24,47,13,121
"54","NSAMDD0014-56963","2014-06-03",-1,40,17,41,14,121
"55","NSAMDD0015-57636","2014-05-10",-26,11,35,53,18,121
"56","NSAMDD0016-56973","2014-05-10",-26,9,43,47,14,121
"57","NSAMDD0017-57080","2014-08-09",3,8,39,51,14,121
"58","NSAMDD0018-56976","2014-08-01",-5,10,40,49,18,121
"59","NSAMDD0019-57081","2014-08-01",-6,15,27,54,11,121
"60","NSAMDD0020-56984","2014-08-09",2,17,28,53,11,121
"61","NSAMDD0021-57082","2014-08-01",-7,13,35,51,13,121
"62","NSAMDD0022-56985","2014-08-01",-8,10,40,48,19,121
"63","NSAMDD0023-57083","2014-08-08",-2,10,35,54,15,121
"64","NSAMDD0024-56986","2014-08-08",-2,18,22,59,14,121
"65","NSAMDD0025-57084","2014-08-08",-4,23,27,49,11,121
"66","NSAMDD0026-56987","2014-08-08",-4,33,14,50,9,121
"67","NSAMDD0027-57087","2014-08-08",-5,23,20,54,14,121
"68","NSAMDD0028-56988","2014-08-08",-5,38,11,50,10,121
"69","NSAMDD0029-57088","2014-08-08",-6,36,10,52,10,121
"70","NSAMDD0030-56989","2014-08-08",-6,26,26,45,11,121
"71","NSAMDD0031-58572","2018-04-14",3,28,21,49,11,121
"72","NSAMDD0032-58573","2018-04-14",2,21,22,54,13,121
