"","site_unique","time","diff","bs","pv","npv","ue","npixels"
"402","QDASSD0007-56916","2014-05-06",1,52,10,35,8,121
"403","QDASSD0007-57627","2015-04-23",3,NA,NA,NA,NA,0
"404","QDASSD0007-58686","2018-06-19",0,NA,NA,NA,NA,0
"405","QDASSD0008-56917","2014-05-07",3,43,16,42,9,121
"406","QDASSD0008-57628","2015-04-16",-4,NA,NA,NA,NA,0
"407","QDASSD0008-58687","2018-06-19",0,NA,NA,NA,NA,0
"408","QDASSD0009-56918","2014-05-07",3,27,18,53,11,121
"409","QDASSD0009-57629","2015-04-08",-13,NA,NA,NA,NA,0
"410","QDASSD0009-58688","2018-06-18",0,NA,NA,NA,NA,0
"411","QDASSD0010-56919","2014-05-07",2,60,5,33,8,121
"412","QDASSD0010-58689","2018-06-19",-1,NA,NA,NA,NA,0
"413","QDASSD0011-56920","2014-05-07",0,65,13,19,6,121
"414","QDASSD0011-57631","2015-04-24",1,NA,NA,NA,NA,0
"415","QDASSD0011-58690","2018-06-19",-3,NA,NA,NA,NA,0
"416","QDASSD0012-56921","2014-05-07",0,63,4,33,5,121
"417","QDASSD0012-57632","2015-04-23",-1,NA,NA,NA,NA,0
"418","QDASSD0012-58691","2018-06-19",-4,NA,NA,NA,NA,0
"419","QDASSD0013-56922","2014-05-07",0,57,9,34,8,121
"420","QDASSD0013-57633","2015-04-23",-1,NA,NA,NA,NA,0
"421","QDASSD0013-58692","2018-04-24",-1,NA,NA,NA,NA,0
"422","QDASSD0014-56923","2014-05-07",-1,69,7,22,6,121
"423","QDASSD0014-57634","2015-04-16",-7,NA,NA,NA,NA,0
"424","QDASSD0014-58693","2018-06-26",3,NA,NA,NA,NA,0
"425","QDASSD0015-56924","2014-05-07",-1,66,10,23,7,121
"426","QDASSD0015-57635","2015-04-24",-1,NA,NA,NA,NA,0
"427","QDASSD0015-58694","2018-06-26",2,NA,NA,NA,NA,0
"428","SAABHC0001-58578","2018-04-18",-2,54,10,33,7,121
"429","SAABHC0001-58793","2019-10-06",1,NA,NA,NA,NA,0
"430","SAABHC0002-58563","2018-04-26",6,62,8,30,6,121
"431","SAABHC0002-58794","2019-10-07",0,NA,NA,NA,NA,0
"432","SAABHC0003-58577","2018-04-27",6,56,4,38,8,121
"433","SAABHC0003-58795","2019-10-07",-1,NA,NA,NA,NA,0
"434","SAABHC0004-58564","2018-04-19",-2,29,34,43,10,121
"435","SAABHC0004-58796","2019-10-07",1,NA,NA,NA,NA,0
"436","SAABHC0005-58797","2019-09-29",-4,77,2,20,5,121
"437","SAABHC0006-58798","2019-10-07",3,76,2,20,5,121
"438","SAAEYB0001-57637","2015-10-18",6,15,39,44,14,121
"439","SAAEYB0002-58852","2020-08-20",0,8,44,47,18,121
"440","SAAEYB0003-58853","2020-09-13",-1,9,49,41,23,121
"441","SAAEYB0004-58846","2020-08-04",-15,15,46,38,19,121
"442","SAAEYB0005-58851",NA,NA,NA,NA,NA,NA,0
"443","SAAEYB0006-58850","2020-09-13",-18,8,50,40,22,121
"444","SAAEYB0007-58848","2020-08-19",1,7,33,52,40,121
"445","SAAEYB0008-58849","2020-09-13",-2,7,52,41,21,121
"446","SAAEYB0009-58841","2020-09-21",-7,13,44,41,16,121
"447","SAAEYB0010-58842","2020-09-20",-9,7,47,43,22,121
"448","SAAEYB0011-58847",NA,NA,NA,NA,NA,NA,0
"449","SAAEYB0012-58840","2020-09-05",-25,9,51,38,17,121
"450","SAAEYB0013-58845",NA,NA,NA,NA,NA,NA,0
"451","SAAEYB0021-58834","2020-09-12",1,27,24,48,12,121
"452","SAAEYB0022-58839","2020-09-12",0,13,29,56,14,121
"453","SAAEYB0023-58835","2020-09-12",0,51,26,21,8,121
"454","SAAEYB0024-58836","2020-09-12",-1,31,31,38,10,121
"455","SAAEYB0025-58844","2020-09-19",5,10,46,41,18,121
"456","SAAEYB0026-58843","2020-09-19",5,10,49,39,17,121
"457","SAAEYB0027-58854","2020-09-19",4,14,51,33,16,121
"458","SAAEYB0028-58829","2020-09-19",4,2,4,92,3,121
"459","SAAEYB0029-58855","2021-02-28",-2,57,13,29,7,121
"460","SAAEYB0030-58856","2021-03-14",11,33,20,45,23,121
"461","SAAEYB0031-58884","2021-02-28",-2,23,27,48,12,121
"462","SAAEYB0032-58899","2021-02-28",-4,36,17,45,10,121
"463","SAAEYB0033-58859","2021-02-28",-4,13,34,50,13,121
"464","SAAFLB0003-58033",NA,NA,NA,NA,NA,NA,0
"465","SAAFLB0003-58704",NA,NA,NA,NA,NA,NA,0
"466","SAAFLB0004-58526","2017-08-13",-4,NA,NA,NA,NA,0
"467","SAAFLB0005-58618",NA,NA,NA,NA,NA,NA,0
"468","SAAFLB0007-58620","2018-10-18",8,59,7,31,8,121
"469","SAAFLB0008-58621","2018-10-18",8,43,13,47,9,121
"470","SAAFLB0030-53506","2013-08-17",4,63,2,31,7,121
"471","SAAFLB0030-58617","2018-08-06",4,NA,NA,NA,NA,0
"472","SAAFLB0031-53507","2013-08-17",4,65,2,30,8,121
"473","SAAFLB0031-58616","2018-08-06",4,NA,NA,NA,NA,0
"474","SAAGAW0001-56992","2015-02-19",1,33,18,46,9,121
"475","SAAGAW0002-56993","2015-02-19",1,37,12,49,8,121
"476","SAAGAW0003-56994","2015-02-19",2,27,21,50,13,121
"477","SAAGAW0005-58748","2019-05-20",-1,54,0,44,7,121
"478","SAAGAW0006-58717","2019-05-20",-2,59,14,27,8,121
"479","SAAGAW0007-58749","2019-05-20",-2,62,12,24,7,121
"480","SAAGAW0008-58750","2019-05-20",-3,60,3,34,4,121
"481","SAAGVD0001-56925","2014-08-30",-4,37,17,45,9,121
"482","SAAGVD0002-56926","2014-08-30",-4,44,15,39,8,121
"483","SAAGVD0003-56927","2014-08-31",-4,40,15,43,9,121
"484","SAAGVD0004-56947","2014-09-17",7,38,15,44,9,121
"485","SAAKAN0001-58610","2018-10-18",-1,17,52,28,11,121
"486","SAAKAN0001-58893","2020-09-13",-29,11,55,27,15,121
"487","SAAKAN0002-58630","2018-10-18",-2,9,58,32,23,121
"488","SAAKAN0002-58876",NA,NA,NA,NA,NA,NA,0
"489","SAAKAN0003-58622","2018-10-18",-3,7,53,38,16,99
"490","SAAKAN0003-58892",NA,NA,NA,NA,NA,NA,0
"491","SAAKAN0004-58623","2018-10-18",-4,10,52,35,19,121
"492","SAAKAN0004-58877",NA,NA,NA,NA,NA,NA,0
"493","SAAKAN0005-58624","2018-10-18",-5,5,60,33,25,121
"494","SAAKAN0005-58891",NA,NA,NA,NA,NA,NA,0
"495","SAAKAN0006-58625","2018-10-26",2,7,42,48,17,121
"496","SAAKAN0007-58632","2018-10-25",0,13,51,33,23,121
"497","SAAKAN0007-58878","2020-09-28",-9,54,22,23,11,121
"498","SAAKAN0008-58626","2018-10-26",0,4,50,44,19,110
"499","SAAKAN0008-58894",NA,NA,NA,NA,NA,NA,0
"500","SAAKAN0009-58634","2018-10-26",-1,23,39,36,31,22
"501","SAAKAN0009-58901",NA,NA,NA,NA,NA,NA,0
"502","SAAKAN0010-58627","2018-10-26",-2,11,47,38,41,121
"503","SAAKAN0010-58895","2020-11-01",18,9,51,39,19,121
"504","SAAKAN0011-58628",NA,NA,NA,NA,NA,NA,0
"505","SAAKAN0011-58879",NA,NA,NA,NA,NA,NA,0
"506","SAAKAN0012-58629","2018-10-10",-20,20,44,34,15,121
"507","SAAKAN0012-58896","2020-11-01",17,17,50,31,16,121
"508","SAAMDD0007-53742","2011-06-26",10,12,40,48,13,121
"509","SAAMDD0007-58833","2020-06-26",-12,43,19,37,9,121
"510","SAAMDD0008-53743","2011-06-26",9,0,52,47,20,121
"511","SAAMDD0008-58832","2020-07-04",-3,8,42,48,20,121
"512","SAAMDD0009-53744",NA,NA,NA,NA,NA,NA,0
"513","SAAMDD0009-58830","2020-07-04",-4,22,28,51,12,121
"514","SAAMDD0010-53700","2011-06-26",6,12,41,48,17,121
"515","SAAMDD0010-58831","2020-07-04",-5,16,28,53,17,121
"516","SAAMDD0011-53745",NA,NA,NA,NA,NA,NA,0
"517","SAAMDD0011-58828","2020-07-04",-5,12,35,53,15,121
"518","SAANUL0001-56948","2014-09-17",8,32,17,50,9,121
"519","SAANUL0002-56949","2014-09-16",5,27,20,52,11,121
"520","SAANUL0003-56950","2014-09-08",-3,36,11,52,17,121
"521","SAANUL0004-56951","2014-09-16",4,38,11,51,7,121
"522","SAASTP0001-53719","2012-06-24",-3,26,9,65,7,121
"523","SAASTP0002-53720","2012-06-24",-4,29,4,66,7,121
"524","SAASTP0003-53721","2012-06-24",-5,39,0,60,7,121
"525","SAASTP0004-53722","2012-06-24",-7,41,11,46,7,121
"526","SAASTP0005-53723","2012-07-10",8,29,21,45,7,121
"527","SAASTP0006-57066","2012-08-04",-4,11,49,40,11,121
"528","SAASTP0007-53724","2012-08-11",2,19,16,63,8,121
"529","SAASTP0008-53725","2012-08-11",1,69,4,26,5,121
"530","SAASTP0009-53726","2012-08-04",-7,23,39,37,10,121
"531","SAASTP0010-53727","2012-08-11",-1,63,0,36,6,121
"532","SAASTP0011-53728","2012-08-11",-2,55,0,44,4,121
"533","SAASTP0012-53729","2012-08-27",13,53,0,46,7,121
"534","SAASTP0013-53730","2012-08-11",-4,56,0,43,7,121
"535","SAASTP0014-57067","2012-09-05",-8,60,0,39,5,121
"536","SAASTP0015-53715","2012-08-20",-23,60,2,36,5,121
"537","SAASTP0016-53716","2012-09-21",7,40,7,52,7,121
"538","SAASTP0017-53717","2012-09-21",5,32,13,55,10,121
"539","SAASTP0018-53718","2012-09-05",-11,52,0,47,6,121
"540","SAASTP0019-53731","2012-09-21",4,55,0,44,6,121
"541","SAASTP0020-53732","2012-09-05",-13,68,0,32,5,121
"542","SAASTP0021-53733","2012-09-21",3,60,0,39,7,121
"543","SAASTP0022-53735","2012-10-14",-3,32,0,67,8,121
"544","SAASTP0023-53736","2012-10-14",-4,32,0,64,8,121
"545","SAASTP0024-53737","2012-10-30",11,46,0,53,9,121
"546","SAASTP0025-53734","2012-10-14",-5,46,0,53,9,121
"547","SAASTP0026-53738","2012-10-14",-6,47,0,52,8,121
"548","SAASTP0027-53739","2012-10-14",-7,50,0,49,8,121
"549","SAASTP0028-53740","2012-10-30",2,51,0,47,8,121
"550","SAASTP0029-53741","2012-10-23",0,58,0,41,6,121
"551","SAASTP0030-56935","2013-08-17",-2,56,2,40,7,121
"552","SAASTP0031-56938","2013-08-17",-3,57,2,39,7,121
"553","SAASTP0032-56939","2013-08-17",-3,51,2,45,8,121
"554","SAASTP0033-58724","2019-05-20",-3,61,0,38,8,121
"555","SAASTP0034-58751","2019-05-20",-4,55,1,42,6,121
"556","SASMDD0001-53710","2012-09-25",4,28,25,45,12,121
"557","SASMDD0001-58760","2019-05-08",6,50,20,27,8,77
"558","SASMDD0002-53711","2012-09-25",2,18,32,48,14,121
"559","SASMDD0003-57009","2015-04-19",-12,42,19,38,9,121
"560","SASMDD0004-56997","2015-04-19",-4,19,19,61,12,121
"561","SASMDD0004-57013","2013-01-15",-7,31,8,60,9,121
"562","SASMDD0005-53712","2012-09-25",1,23,18,57,12,121
"563","SASMDD0005-57006","2015-04-19",-10,28,13,57,11,121
"564","SASMDD0006-53713","2012-09-25",0,32,22,45,11,121
"565","SASMDD0006-57007","2015-04-11",-18,30,21,48,10,121
"566","SASMDD0006-58759","2019-05-08",7,31,21,47,10,121
"567","SASMDD0008-57638","2015-04-19",-7,11,41,46,16,121
"568","SASMDD0008-58757","2019-04-22",-8,12,32,53,14,121
"569","SASMDD0009-57008","2015-05-05",5,35,24,39,8,121
"570","SASMDD0011-56998","2015-04-19",-5,22,18,59,12,121
"571","SASMDD0011-57068","2012-12-30",14,34,9,57,10,121
"572","SASMDD0012-56974","2013-10-30",-20,17,30,51,13,110
"573","SASMDD0013-56979","2013-10-30",-19,41,23,37,9,121
"574","SASMDD0014-56980","2013-10-30",-21,41,16,43,8,121
"575","SASMDD0016-57000","2015-04-19",-6,20,16,58,28,121
"576","SASMDD0017-56999","2015-04-19",-5,29,23,46,16,121
"577","SASMDD0017-58021","2014-11-10",11,32,22,44,10,121
"578","SASMDD0018-57010","2015-05-05",3,34,16,50,14,121
"579","SASRIV0001-57603","2015-05-05",7,38,17,43,7,11
"580","SASRIV0001-58758","2019-04-22",-8,42,1,56,8,121
"581","SASRIV0002-57604","2015-05-05",7,50,21,28,7,121
"582","SATEYB0001-56940","2014-10-24",-4,15,32,52,13,121
"583","SATEYB0001-58665","2018-09-25",0,NA,NA,NA,NA,0
"584","SATEYB0002-56991","2014-10-23",-7,15,36,47,14,121
"585","SATEYB0002-58662","2018-09-08",-4,NA,NA,NA,NA,0
"586","SATFLB0001-53698",NA,NA,NA,NA,NA,NA,0
"587","SATFLB0001-58672","2018-09-25",1,11,39,49,17,11
"588","SATFLB0002-53703","2012-07-30",-15,8,50,41,19,11
"589","SATFLB0002-58675","2018-09-25",0,7,54,37,21,121
"590","SATFLB0003-53704","2012-07-30",-16,35,49,13,23,22
"591","SATFLB0003-58674","2018-09-25",1,7,55,37,20,121
"592","SATFLB0004-53705",NA,NA,NA,NA,NA,NA,0
"593","SATFLB0004-58658",NA,NA,NA,NA,NA,NA,0
"594","SATFLB0005-53706",NA,NA,NA,NA,NA,NA,0
"595","SATFLB0005-58656",NA,NA,NA,NA,NA,NA,0
"596","SATFLB0006-53708","2012-08-06",-15,12,36,50,18,1
"597","SATFLB0006-58655","2018-08-15",3,21,32,45,17,121
"598","SATFLB0007-53709",NA,NA,NA,NA,NA,NA,0
"599","SATFLB0007-58657",NA,NA,NA,NA,NA,NA,0
"600","SATFLB0008-53752",NA,NA,NA,NA,NA,NA,0
"601","SATFLB0008-58670",NA,NA,NA,NA,NA,NA,0
"602","SATFLB0009-53753",NA,NA,NA,NA,NA,NA,0
"603","SATFLB0009-58659",NA,NA,NA,NA,NA,NA,0
"604","SATFLB0010-53714",NA,NA,NA,NA,NA,NA,0
"605","SATFLB0010-58673",NA,NA,NA,NA,NA,NA,0
"606","SATFLB0011-53754",NA,NA,NA,NA,NA,NA,0
"607","SATFLB0011-58671",NA,NA,NA,NA,NA,NA,0
"608","SATFLB0012-53699",NA,NA,NA,NA,NA,NA,0
"609","SATFLB0012-58677",NA,NA,NA,NA,NA,NA,0
"610","SATFLB0013-53701",NA,NA,NA,NA,NA,NA,0
"611","SATFLB0013-58664",NA,NA,NA,NA,NA,NA,0
"612","SATFLB0014-53702",NA,NA,NA,NA,NA,NA,0
"613","SATFLB0014-58667",NA,NA,NA,NA,NA,NA,0
"614","SATFLB0015-53707",NA,NA,NA,NA,NA,NA,0
"615","SATFLB0015-58676",NA,NA,NA,NA,NA,NA,0
"616","SATFLB0016-53547","2013-08-02",-4,37,19,44,11,121
"617","SATFLB0016-58651","2018-08-08",0,34,18,46,10,121
"618","SATFLB0017-53548",NA,NA,NA,NA,NA,NA,0
"619","SATFLB0017-58644",NA,NA,NA,NA,NA,NA,0
"620","SATFLB0018-53549",NA,NA,NA,NA,NA,NA,0
"621","SATFLB0018-58650",NA,NA,NA,NA,NA,NA,0
"622","SATFLB0019-53550",NA,NA,NA,NA,NA,NA,0
"623","SATFLB0019-58645",NA,NA,NA,NA,NA,NA,0
"624","SATFLB0020-53551","2013-08-17",7,33,22,44,12,121
"625","SATFLB0020-58648","2018-08-08",1,30,24,44,12,11
"626","SATFLB0021-53552","2013-08-17",3,21,25,52,14,1
"627","SATFLB0021-58641","2018-08-08",-1,24,15,60,10,121
"628","SATFLB0022-53553","2013-08-17",3,22,25,51,14,121
"629","SATFLB0022-58649","2018-08-08",-1,21,29,49,12,121
"630","SATFLB0023-53554","2013-08-17",2,40,14,43,9,88
"631","SATFLB0023-58712","2018-08-07",-4,38,10,49,8,121
"632","SATFLB0024-53555","2013-08-17",1,47,18,31,9,121
"633","SATFLB0024-58713","2018-08-15",4,58,8,33,8,121
"634","SATFLB0025-53556","2013-08-17",0,36,26,38,14,121
"635","SATFLB0025-58714","2018-08-15",2,39,18,42,14,121
"636","SATFLB0026-57001",NA,NA,NA,NA,NA,NA,0
"637","SATFLB0026-58678",NA,NA,NA,NA,NA,NA,0
"638","SATFLB0027-56975",NA,NA,NA,NA,NA,NA,0
"639","SATFLB0027-58669",NA,NA,NA,NA,NA,NA,0
"640","SATFLB0028-56995","2014-11-09",3,11,25,63,11,121
"641","SATFLB0028-58668","2018-09-16",2,NA,NA,NA,NA,0
"642","SATKAN0001-53688",NA,NA,NA,NA,NA,NA,0
"643","SATKAN0001-58695","2018-11-11",-9,0,67,32,25,121
"644","SATKAN0002-53689",NA,NA,NA,NA,NA,NA,0
"645","SATKAN0002-58679","2018-12-06",8,4,57,38,22,121
"646","SATKAN0003-56996","2014-10-24",-10,2,58,40,21,121
"647","SATKAN0003-58701","2018-10-27",-17,NA,NA,NA,NA,0
"648","SATKAN0004-56928","2014-11-01",-4,8,44,47,14,121
"649","SATKAN0004-58696","2018-09-25",-7,NA,NA,NA,NA,0
"650","SATSTP0001-53557","2013-08-10",0,51,4,41,7,121
"651","SATSTP0001-58652","2018-08-08",-2,58,2,38,6,121
"652","SATSTP0002-53558","2013-08-10",-2,70,12,17,6,121
"653","SATSTP0002-58646","2018-08-08",-2,69,11,17,6,121
"654","SATSTP0003-53511","2013-08-17",2,61,4,33,7,121
"655","SATSTP0003-58638","2018-08-07",3,64,0,34,6,121
"656","SATSTP0004-53512","2013-08-17",2,33,18,48,12,121
"657","SATSTP0004-58642","2018-07-30",-4,NA,NA,NA,NA,0
"658","SATSTP0005-53513","2013-08-17",0,68,11,18,6,121
"659","SATSTP0005-58639","2018-08-07",2,NA,NA,NA,NA,0
"660","SATSTP0006-53514","2013-08-17",0,34,21,45,8,121
"661","SATSTP0006-58640","2018-08-07",3,NA,NA,NA,NA,0
"662","SATSTP0007-53515","2013-08-17",-1,20,18,60,8,121
"663","SATSTP0007-58637","2018-07-30",-5,NA,NA,NA,NA,0
"664","SATSTP0008-53516","2013-08-17",-1,53,5,41,8,121
"665","SATSTP0008-58643","2018-08-07",2,NA,NA,NA,NA,0
"666","TCABEL0001-58801","2020-02-17",18,16,28,54,11,121
"667","TCABEL0002-58799","2020-02-17",17,14,34,49,22,121
"668","TCABEL0003-58803","2020-01-16",-15,5,47,46,17,121
"669","TCATCH0001-58823","2020-02-16",14,5,51,40,27,121
"670","TCATCH0002-58805","2020-02-16",12,5,37,57,15,121
"671","TCATCH0003-58825","2020-01-16",-19,7,37,54,16,121
"672","TCATCH0004-58806","2020-02-16",11,11,35,53,19,121
"673","TCATCH0005-58824","2020-02-16",10,16,25,57,16,121
"674","TCATCH0006-58807","2020-02-16",10,1,53,46,14,121
"675","TCATCH0007-58809","2020-02-16",9,7,48,46,24,121
"676","TCATCH0008-58821","2020-02-16",8,1,56,41,22,121
"677","TCATCH0009-58811","2020-02-16",8,22,13,60,18,121
"678","TCATCH0010-58826","2020-02-16",7,5,53,41,24,121
"679","TCATCH0011-58827","2020-02-16",6,22,22,54,18,121
"680","TCATCH0012-58822","2020-02-16",5,4,59,39,17,121
"681","TCATNM0001-58742","2019-11-21",0,3,53,44,20,121
"682","TCATNM0002-58782","2019-11-21",-1,4,47,49,13,121
"683","TCATNM0003-58775","2019-11-21",-2,2,42,54,15,121
"684","TCATNM0004-58785","2019-11-21",-3,1,46,52,17,121
"685","TCATNM0005-58792",NA,NA,NA,NA,NA,NA,0
"686","TCATNM0006-58800","2019-11-29",3,10,48,41,13,121
"687","VCAAUA0001-58565","2018-01-17",-5,6,67,25,17,121
"688","VCAAUA0002-58635","2018-01-25",2,2,67,30,16,121
"689","VCAAUA0003-58567","2018-01-25",1,0,70,29,24,121
"690","VCAAUA0005-58570","2018-01-17",-8,8,66,24,15,121
"691","VCAAUA0007-58543","2018-01-25",-2,5,66,28,15,121
"692","VCAAUA0008-58544","2018-02-10",14,0,70,29,25,121
"693","VCAAUA0009-58569","2018-01-17",-11,2,71,25,22,121
"694","VCAAUA0010-58546","2018-02-02",4,18,59,22,11,121
"695","VCAAUA0011-58540","2018-01-25",-5,1,66,32,16,121
"696","VCAAUA0012-58613","2018-01-09",-22,0,67,32,17,121
"697","VCAAUA0013-58541","2018-02-02",0,4,64,29,15,242
"698","VCAAUA0014-58571","2018-02-02",0,6,64.5,28,15,242
"699","VCAAUA0015-58539","2018-02-10",7,4,64,28,16,242
"700","VCAMDD0001-57011","2015-01-22",2,62,12,25,7,121
"701","VCAMDD0002-56990","2015-01-22",2,23,18,58,11,121
"702","VCAMDD0003-57012","2015-01-22",1,24,27,49,12,121
"703","WAAAVW0001-58517","2016-09-30",-4,11,20,68,15,121
"704","WAAAVW0002-58518","2016-09-30",-5,8,25,65,15,121
"705","WAAAVW0003-58519","2016-09-29",-7,8,38,53,18,121
"706","WAAAVW0004-58520","2016-09-29",-7,8,37,54,17,121
"707","WAAAVW0005-58768","2019-08-28",1,28,26,47,11,121
"708","WAAAVW0006-58810","2019-08-28",0,20,28,51,11,121
"709","WAAAVW0007-58772","2019-08-20",-8,22,19,58,10,121
"710","WAACAR0001-58777","2019-07-25",-1,53,21,26,7,121
"711","WAACAR0002-58776","2019-07-25",-1,24,24,48,11,121
"712","WAACAR0003-58778","2019-08-02",6,27,28,45,11,121
"713","WAACAR0004-58779","2019-07-25",-2,46,11,39,26,121
"714","WAACEK0001-58505","2016-06-12",3,29,27,43,13,121
"715","WAACEK0002-58506","2016-06-11",1,2,36,60,14,121
"716","WAACEK0003-58507",NA,NA,NA,NA,NA,NA,0
"717","WAACOO0001-53444","2013-07-04",2,15,25,59,23,121
"718","WAACOO0002-53445","2013-10-08",2,2,2,96,8,121
"719","WAACOO0003-53447","2013-07-04",-6,17,23,58,21,121
"720","WAACOO0004-53449","2014-07-15",1,15,30,53,21,121
"721","WAACOO0005-53446","2013-08-21",-2,39,11,48,17,121
"722","WAACOO0006-53438","2013-07-20",-3,2,17,81,14,121
"723","WAACOO0007-53440","2013-08-21",-2,8,41,50,16,121
"724","WAACOO0008-53442","2013-09-06",3,15,32,52,17,121
"725","WAACOO0009-53443","2013-10-08",5,39,10,47,9,121
"726","WAACOO0010-53441","2013-10-08",-7,49,10,36,8,121
"727","WAACOO0011-53439","2013-09-30",-4,0,2,96,5,121
"728","WAACOO0012-53462","2014-03-01",-4,22,28,48,12,121
"729","WAACOO0016-53459","2014-01-04",-2,16,4,79,9,121
"730","WAACOO0017-53460","2014-03-01",12,19,10,71,9,121
"731","WAACOO0018-53461","2014-03-01",9,19,14,67,13,121
"732","WAACOO0019-53463","2014-03-01",-2,21,7,70,10,121
"733","WAACOO0020-53450","2013-11-01",2,41,16,40,12,121
"734","WAACOO0021-53456","2013-11-01",0,31,21,46,13,121
"735","WAACOO0022-53453","2013-11-01",0,32,20,47,15,121
"736","WAACOO0023-53448","2013-11-09",-6,38,16,44,13,121
"737","WAACOO0024-53451","2013-11-26",0,25,15,59,18,121
"738","WAACOO0025-53452","2013-11-25",-4,50,8,41,11,121
"739","WAACOO0026-53454","2014-01-04",0,27,10,59,11,121
"740","WAACOO0027-53455","2014-01-20",-1,29,10,59,8,121
"741","WAACOO0028-53457","2014-01-12",2,30,14,54,10,121
"742","WAACOO0029-53458","2014-01-12",1,28,17,54,11,121
"743","WAACOO0030-56958","2014-06-25",-2,21,34,45,12,121
"744","WAACOO0031-58512","2016-09-30",-3,26,16,56,12,121
"745","WAACOO0032-58511","2016-09-30",-3,27,10,62,12,121
"746","WAADAL0001-58508","2016-06-11",-1,0,44,55,13,121
"747","WAADAL0002-58743","2019-07-05",1,43,9,47,7,121
"748","WAADAL0003-58767","2019-07-05",1,43,15,42,7,121
"749","WAADAL0004-58764","2019-07-05",0,9,41,49,12,121
"750","WAADAL0005-58815","2019-07-05",-1,13,38,49,12,121
"751","WAAESP0001-58516","2016-10-23",11,6,40,53,17,121
"752","WAAGAS0001-58420","2016-08-04",-4,68,2,28,10,121
"753","WAAGAS0002-58421","2016-08-04",-4,26,29,44,11,121
"754","WAAGES0001-58023","2016-09-02",3,23,26,50,11,121
"755","WAAGES0001-58802","2019-08-02",1,NA,NA,NA,NA,0
"756","WAAGES0002-58024","2016-09-02",3,13,30,57,17,121
"757","WAAGES0002-58732","2019-08-02",0,NA,NA,NA,NA,0
"758","WAAGES0003-58025","2016-09-02",2,16,32,51,13,121
"759","WAAGES0003-58731","2019-08-02",1,NA,NA,NA,NA,0
"760","WAAGES0004-58804","2019-08-02",0,36,18,44,8,121
"761","WAAGES0005-58808","2019-08-02",-1,35,8,56,7,121
"762","WAAGSD0001-58509","2016-06-17",3,58,14,25,7,121
"763","WAAGVD0001-56960","2014-07-02",2,30,22,49,14,121
"764","WAAHAM0001-56964","2014-06-26",2,32,42,23,11,121
"765","WAAHAM0002-56941","2014-06-26",2,17,25,55,12,121
"766","WAAHAM0003-56959","2014-06-27",2,25,41,31,9,121
"767","WAAHAM0004-56942","2014-06-26",1,19,30,50,13,121
"768","WAAHAM0005-56961","2014-06-26",0,24,44,32,18,121
"769","WAAHAM0006-56944","2014-06-25",-3,16,46,36,18,121
"770","WAAJAF0001-58513","2016-09-29",-11,8,52,36,19,121
"771","WAAJAF0002-58515","2016-10-15",4,3,70,26,17,121
"772","WAAJAF0003-58514","2016-10-15",3,17,42,40,11,121
"773","WAALSD0001-53569","2014-05-12",-3,42,14,44,10,121
"774","WAALSD0002-53570","2014-05-20",2,40,18,40,11,121
"775","WAALSD0003-53571","2014-05-20",-1,54,18,25,8,121
"776","WAAMAL0001-56962","2014-06-25",-2,12,42,44,19,121
"777","WAAMAL0002-58521","2016-09-30",-7,17,25,56,12,121
"778","WAAMAL0003-58522","2016-09-30",-8,17,29,53,14,121
"779","WAAMUR0001-58498","2016-09-30",-1,39,11,48,12,121
"780","WAAMUR0002-58510","2016-09-30",-1,45,8,46,13,121
"781","WAAMUR0003-58755","2019-08-19",-2,34,23,41,8,121
"782","WAAMUR0004-58813","2019-08-19",-3,37,20,40,8,121
"783","WAAMUR0005-58761","2019-08-19",-3,55,11,33,7,121
"784","WAAMUR0006-58763","2019-08-19",-4,54,9,36,7,121
"785","WAAMUR0007-58812","2019-08-19",-4,32,23,44,9,121
"786","WAAMUR0008-58765","2019-08-27",3,61,6,31,6,121
"787","WAAMUR0028-53572","2014-08-16",-1,41,15,41,9,121
"788","WAAMUR0029-53573","2014-08-16",-3,40,9,48,11,121
"789","WAAMUR0030-53464","2014-03-25",-2,41,17,40,9,121
"790","WAAMUR0031-53465","2014-03-25",-3,42,12,44,10,121
"791","WAANOK0001-58752","2019-06-29",2,35,18,48,11,121
"792","WAANOK0002-58754","2019-06-29",1,23,22,52,12,121
"793","WAANOK0003-58773","2019-06-29",1,13,28,58,11,121
"794","WAANOK0004-58756","2019-06-29",0,7,34,57,12,121
"795","WAANOK0005-58746","2019-06-29",0,24,18,56,10,121
"796","WAANOK0006-58753","2019-06-29",-1,9,33,57,13,121
"797","WAANOK0007-58762","2019-07-07",6,13,32,54,11,121
"798","WAANOK0008-58744","2019-06-29",-2,10,29,59,12,121
"799","WAANUL0001-56966","2014-06-25",-4,39,23,36,9,121
"800","WAANUL0002-56945","2014-06-25",-4,32,25,42,9,121
"801","WAANUL0003-56946","2014-07-02",1,37,19,42,11,121
"802","WAANUL0004-56967","2014-07-03",1,35,29,36,9,121
"803","WAANUL0005-56931","2014-09-06",1,32,20,46,9,121
"804","WAANUL0006-56929","2014-09-06",0,39,20,40,8,121
"805","WAANUL0007-56932","2014-09-06",-1,30,28,40,9,121
"806","WAANUL0008-56933","2014-09-06",-1,53,10,35,7,121
"807","WAANUL0009-56934","2014-09-06",-2,38,12,48,9,121
"808","WAAPIL0001-57619","2015-04-27",-1,26,29,43,18,121
