"","site_unique","bs","pv","npv","ue","npixels"
"2","NSABBS0001-58580",13.9771986970684,42.1938110749186,42.3387622149837,14.7866449511401,121
"3","NSABBS0002-58555",4.97247706422018,51.8477064220183,41.8440366972477,16.4935779816514,121
"4","NSABBS0003-58581",6.41838134430727,45.7078189300411,46.5788751714678,20.8065843621399,121
"5","NSABBS0004-58556",5.24851367419738,51.5291319857313,41.807372175981,20.5493460166468,121
"6","NSABBS0005-58582",7.02892561983471,49.146694214876,42.4338842975207,22.1590909090909,121
"7","NSABBS0006-58557",6.86026200873362,50.6972343522562,41.0494905385735,21.174672489083,121
"8","NSABHC0001-53596",31.6363636363636,17.4727272727273,49.7818181818182,10.2363636363636,55
"9","NSABHC0002-53597",37.396694214876,14.1942148760331,47.0619834710744,10.3223140495868,121
"10","NSABHC0003-53598",48.5950413223141,14.3471074380165,35.6694214876033,8.1900826446281,121
"11","NSABHC0004-53599",23.6601941747573,26.5275080906149,48.5533980582524,10.9870550161812,121
"12","NSABHC0005-53600",21.7779237844941,7.54533508541393,69.4822601839685,11.6149802890933,121
"13","NSABHC0006-53601",25.9068493150685,14.172602739726,58.5945205479452,10.7369863013699,121
"14","NSABHC0007-53602",32.2699724517906,15.2699724517906,51.1184573002755,10.4738292011019,121
"15","NSABHC0008-53603",44.028328611898,12.5325779036827,42.0651558073654,9.88668555240793,121
"16","NSABHC0009-53604",38.7122969837587,11.2320185614849,48.7494199535963,9.09744779582367,121
"17","NSABHC0009-58026",34.1206611570248,21.198347107438,43.2661157024793,10.6165289256198,121
"18","NSABHC0010-53605",66.7066115702479,3.18388429752066,28.75,5.54752066115702,121
"19","NSABHC0011-53606",35.8184438040346,16.7521613832853,46.1066282420749,10.2939481268012,121
"20","NSABHC0012-53607",32.4793388429752,15.6804407713499,50.5509641873278,9.17906336088154,121
"21","NSABHC0012-58022",37.3960546282246,27.2518968133536,33.711684370258,8.85280728376328,121
"22","NSABHC0013-53608",49.5362776025237,13.4321766561514,35.5331230283912,7.2397476340694,121
"23","NSABHC0014-53609",52.6619318181818,8.15909090909091,37.7727272727273,7.23579545454545,121
"24","NSABHC0016-57105",55.1663244353183,4.58110882956879,38.700205338809,6.98562628336756,121
"25","NSABHC0018-57077",40.5147579693034,2.22195985832349,55.9244391971665,7.89846517119244,121
"26","NSABHC0019-57078",34.0776859504132,1.61652892561983,63.0462809917355,10.3223140495868,121
"27","NSABHC0020-57599",32.9578313253012,3.03212851405622,62.6024096385542,9.69678714859438,121
"28","NSABHC0021-57098",37.5381578947368,12.6236842105263,48.3868421052632,9.68421052631579,121
"29","NSABHC0022-57086",60.8781549173194,2.33768494342907,35.2245430809399,5.33594429939077,121
"30","NSABHC0023-57099",33.0345945945946,26.2097297297297,39.3632432432432,9.22918918918919,121
"31","NSABHC0024-57100",32.7919463087248,25.4170661553212,40.3835091083413,9.14477468839885,121
"32","NSABHC0026-57102",21.3537061118335,44.6801040312094,32.5656697009103,12.3810143042913,121
"33","NSABHC0028-58027",45.6235795454545,14.8366477272727,38.0326704545455,10.1392045454545,121
"34","NSABHC0029-58028",8.02754820936639,57.1900826446281,32.9931129476584,18.0110192837466,121
"35","NSACHC0001-58574",63.5361570247934,2.77066115702479,32.0940082644628,5.64566115702479,121
"36","NSACHC0002-58558",40.3888280394305,15.604600219058,42.4665936473165,7.64184008762322,121
"37","NSACHC0003-58575",31.0495867768595,17.9704840613932,49.482880755608,9.08264462809917,121
"38","NSACHC0004-58576",54.9126328217237,5.48524203069658,38.0094451003542,6.76741440377804,121
"39","NSACOP0001-58551",19.0852417302799,25.2862595419847,54.5203562340967,11.2697201017812,121
"40","NSACOP0002-58552",13.9433293978749,32.4356552538371,52.5289256198347,13.7072018890201,121
"41","NSAMDD0001-56965",9.42448979591837,60.5142857142857,28.665306122449,13.7142857142857,121
"42","NSAMDD0002-56952",6.93388429752066,39.7851239669422,52.0743801652893,18.1652892561983,121
"43","NSAMDD0003-56968",10.4840294840295,36.1842751842752,52.4029484029484,15.8402948402948,121
"44","NSAMDD0004-56953",7.22649572649573,37.0769230769231,54.7735042735043,17.9871794871795,121
"45","NSAMDD0005-56969",23.6717663421419,25.7552155771905,49.3059805285118,13.0139082058414,121
"46","NSAMDD0006-56954",16.9327296248383,30.143596377749,51.7412677878396,15.1707632600259,121
"47","NSAMDD0007-56970",27.0495867768595,24.8595041322314,46.6859504132231,13.2148760330579,121
"48","NSAMDD0008-56955",12.3223140495868,33.2396694214876,53.2396694214876,14.8264462809917,121
"49","NSAMDD0009-56971",52.0661157024793,20.0082644628099,26.8595041322314,8.46280991735537,121
"50","NSAMDD0010-56956",10.2809917355372,54.7892561983471,33.5413223140496,18.8264462809917,121
"51","NSAMDD0011-56981",35.099173553719,20.6446280991736,42.603305785124,12,121
"52","NSAMDD0012-56957",13.7134986225895,4.05509641873278,81.4187327823691,9.45730027548209,121
"53","NSAMDD0013-56982",40.54296875,21.20703125,36.828125,11.7890625,121
"54","NSAMDD0014-56963",41.3172413793103,16.3172413793103,40.5655172413793,15.9724137931034,121
"55","NSAMDD0015-57636",11.0330578512397,34.9504132231405,52.9173553719008,18.0661157024793,121
"56","NSAMDD0016-56973",13.0751879699248,41.2406015037594,44.4360902255639,13.7293233082707,121
"57","NSAMDD0017-57080",10.2814371257485,42.5904191616766,45.859880239521,15.0850299401198,121
"58","NSAMDD0018-56976",7.92599620493359,40.1005692599621,51.034155597723,18.9013282732448,121
"59","NSAMDD0019-57081",15.4543269230769,29.8677884615385,53.6850961538462,12.1730769230769,121
"60","NSAMDD0020-56984",14.3090909090909,31.9836363636364,52.66,13.5963636363636,121
"61","NSAMDD0021-57082",14.7878787878788,29.8429752066116,54.3691460055096,14.366391184573,121
"62","NSAMDD0022-56985",9.45454545454546,39.4049586776859,49.9972451790634,18.9283746556474,121
"63","NSAMDD0023-57083",19.4159779614325,30.3223140495868,49.1212121212121,14.2727272727273,121
"64","NSAMDD0024-56986",16.1101928374656,22.5509641873278,60.4159779614325,14.5895316804408,121
"65","NSAMDD0025-57084",20.1942148760331,27.797520661157,50.8243801652893,11.8863636363636,121
"66","NSAMDD0026-56987",27.9793388429752,20.1776859504132,50.495867768595,9.65909090909091,121
"67","NSAMDD0027-57087",25.5599173553719,19.3595041322314,53.8863636363636,14.4194214876033,121
"68","NSAMDD0028-56988",34.1129807692308,13.0769230769231,51.4903846153846,10.3701923076923,121
"69","NSAMDD0029-57088",33.547520661157,11.5103305785124,53.5185950413223,10.0392561983471,121
"70","NSAMDD0030-56989",26.8326446280992,24.9814049586777,46.75,10.6363636363636,121
"71","NSAMDD0031-58572",24.6502590673575,25.5647668393782,48.5699481865285,10.9987046632124,121
"72","NSAMDD0032-58573",20.1523022432113,24.8170011806375,53.9421487603306,13.5324675324675,121
"73","NSAMUL0001-58549",35.3354673495519,18.4750320102433,44.9295774647887,9.00768245838668,121
"74","NSAMUL0002-58559",34.9075215782984,20.34401972873,43.4192355117139,9.09494451294698,121
"75","NSAMUL0003-58550",41.1868743047831,18.6685205784205,38.6840934371524,7.60956618464961,121
"76","NSAMUL0004-58560",34.5922551252847,10.6560364464692,53.4715261958998,10.8861047835991,121
"77","NSANAN0001-58583",8.1380042462845,60.255838641189,29.8152866242038,21.7887473460722,121
"78","NSANAN0002-58561",7.29286474973376,46.3141640042599,44.7912673056443,20.6645367412141,121
"79","NSANET0001-58584",7.63636363636364,50.4035812672176,40.7424242424242,21.2933884297521,121
"80","NSANSS0001-58579",5.25045372050817,58.8983666061706,34.1769509981851,21.7649727767695,121
"81","NSANSS0002-58562",8.23813708260105,54.0509666080844,36.1458699472759,21.3005272407733,121
"82","NSTNSS0001-57641",10.3195592286501,44.8980716253444,43.1955922865014,16.5537190082645,121
"83","NSTSYB0001-58122",4.79545454545455,64.5971074380165,28.9896694214876,21.849173553719,121
"84","NSTSYB0002-58008",3.74679487179487,70.7019230769231,23.8557692307692,23.6474358974359,116
"85","NSTSYB0003-58414",3.17226890756303,60.5126050420168,34.6764705882353,22.8403361344538,119
"86","NSTSYB0004-58493",7.35227272727273,64.9602272727273,26.0965909090909,19.9829545454545,100
"87","NSTSYB0005-58501",8.52702702702703,58.7027027027027,30.8716216216216,24.1283783783784,121
"88","NSTSYB0006-58502",5.36626506024096,58.7180722891566,34.1855421686747,21.0433734939759,121
"89","NSTSYB0007-58496",4.70523415977961,55.5426997245179,38.1019283746556,21.4380165289256,121
"90","NSTSYB0008-58503",3.68731563421829,48.0766961651917,47.0058997050147,17.283185840708,113
"91","NSTSYB0009-57649",5.42241379310345,58.301724137931,34.5086206896552,22.9655172413793,116
"92","NTAARP0001-58422",8.28537170263789,47.3165467625899,42.7745803357314,16.658273381295,121
"93","NTAARP0002-58423",8.86091954022988,40.1114942528736,49.7459770114943,13.5689655172414,121
"94","NTAARP0003-58424",19.8014101057579,33.2808460634548,45.4958871915394,12.599294947121,121
"95","NTAARP0004-58918",9.3037120359955,46.9370078740157,42.3329583802025,16.1023622047244,121
"96","NTAARP0004-58932",1.79591836734694,67.8122448979592,28.734693877551,18.2979591836735,121
"97","NTAARP0005-58919",2.05801687763713,60.5770042194093,35.7373417721519,17.3502109704641,121
"98","NTAARP0005-58933",4.62468513853904,61.5591939546599,32.2770780856423,16.2216624685139,121
"99","NTABRT0001-53616",26.4628099173554,20.2727272727273,52.2148760330578,13.3305785123967,121
"100","NTABRT0001-58861",38.4729574223245,14.6651323360184,45.5454545454545,10.7341772151899,121
"101","NTABRT0002-53617",28.4462809917355,18.1074380165289,52.297520661157,13.3636363636364,121
"102","NTABRT0002-58862",37.8858218318695,14.3889585947302,46.396486825596,11.0664993726474,121
"103","NTABRT0003-53618",27.8181818181818,16.3553719008264,54.7520661157025,14.4380165289256,121
"104","NTABRT0003-58872",36.3984547461369,13.6699779249448,48.6523178807947,11.5176600441501,121
"105","NTABRT0004-53619",28.6005509641873,17.9752066115702,52.3415977961432,14.0606060606061,121
"106","NTABRT0004-58873",33.6146971201589,15.1191658391261,49.8867924528302,11.3624627606753,121
"107","NTABRT0005-53620",37.5703883495146,17.0825242718447,43.9271844660194,10.0364077669903,121
"108","NTABRT0005-58863",56.6660181582361,17.6783398184176,23.9001297016861,7.46238651102464,121
"109","NTABRT0006-53621",31.702479338843,15.7465564738292,51.2203856749311,13.0909090909091,121
"110","NTABRT0006-58864",40.6369485294118,11.3547794117647,46.5386029411765,10.2527573529412,121
"111","NTABRT0007-58865",47.872070930969,11.4452184927169,39.1355288157061,9.40721975934136,121
"112","NTABRT0008-58866",50.6819407008086,8.18867924528302,39.4272237196765,11.2493261455526,121
"113","NTADAC0001-53518",3.46446280991736,47.0578512396694,48.3471074380165,15.7570247933884,121
"114","NTADAC0002-58039",7.07444668008048,55.79476861167,35.5492957746479,17.0523138832998,121
"115","NTADMR0001-58868",39.7520661157025,11.4839302112029,47.3746556473829,9.06060606060606,121
